Index Title,Psalms
        Version Title,"Bible in Polish, trans. Izaak Cylkow, 1841-1908 [pl]"
        Language,en
        Version Source,http://bibliepolskie.pl/
        Version Notes,
Psalms 1:1,"Szczęsny mąż, który nie szedł za radą niegodziwych, a na drodze grzeszników nie postał, a w kole szyderców nie zasiadł. "
Psalms 1:2,Lecz w nauce Bożej ma upodobanie i zakon Jego bada dzień i noc. 
Psalms 1:3,"I będzie jako drzewo zasadzone nad strumieniami wód, które owoc daje w czasie swoim, którego liść nie więdnie, a wszystko co czyni się powiedzie. "
Psalms 1:4,Nie tak niegodziwi; bo są jako plewa którą rozwieje wiatr. 
Psalms 1:5,"Przetoż nie ostoją się niegodziwi na sądzie, ani grzesznicy w gronie sprawiedliwych. "
Psalms 1:6,"Albowiem świadom Bóg drogi sprawiedliwych, a ślad niegodziwych zaginie. "
Psalms 2:1,"Czemu burzą się ludy, a narody knują zamysły próżne. "
Psalms 2:2,"Powstają królowie ziemi i książęta radzą społem, przeciw Bogu i pomazańcowi Jego. "
Psalms 2:3,Stargajmy ich więzy i zrzućmy z siebie ich pęta. 
Psalms 2:4,"Królujący w niebiosach uśmiecha się, Pan urąga im. "
Psalms 2:5,"Tedy przemówi do nich w gniewie Swoim, a w grozie Swojej zatrwoży ich. "
Psalms 2:6,"Ja to namaściłem króla mego na Cyonie, górze mojej świętej. "
Psalms 2:7,"Wygłaszam ten wyrok: Wiekuisty rzekł do mnie: Tyś mój syn, jam cię dziś światu wydał. "
Psalms 2:8,"Zażądaj odemnie, a dam ludy w dziedzictwo twoje, a na własność twoję kończyny ziemi. "
Psalms 2:9,"Roztrącisz je berłem żelazném, jak naczynie garncarskie, skruszysz je. "
Psalms 2:10,"A teraz królowie rozmyślcie się, ukorzcie się, sędziowie ziemi. "
Psalms 2:11,"Służcie Bogu w bojaźni, a radujcie się w skrusze. "
Psalms 2:12,Hołdujcie synowi by się nie gniewał i abyście nie zmylili drogi; bo łatwo zapłonie gniew Jego. Szczęśni którzy się doń uciekają. 
Psalms 3:1,"Psalm Dawida, gdy uciekał przed Absalonem synem swoim. "
Psalms 3:2,"Boże, jak liczni wrogowie moi, wielu powstaje przeciwko mnie. "
Psalms 3:3,Wielu powiada o duszy mojéj: Nie ma dlań zbawienia u Pana. - Sela. 
Psalms 3:4,"Ale Tyś o Boże, tarczą moją, chwałą moją, i co podnosisz głowę moję. "
Psalms 3:5,"Głosem moim do Boga wołam, a On odpowie mi z góry świętej Swojej. - Sela. "
Psalms 3:6,"Kładę się i zasypiam; budzę się, bo Bóg wspiera mnie. "
Psalms 3:7,"Nie lękam się kroci ludu, które zewsząd mnie oblegają. "
Psalms 3:8,"Powstań o Boże, wspomóż mnie Panie mój, bo porazisz wszystkich wrogów moich szczęki, zęby niegodziwych pokruszysz. "
Psalms 3:9,U Boga ocalenie; nad narodem Twoim błogosławieństwo Twoje. - Sela. 
Psalms 4:1,"Przewodnikowi chóru, przy towarzyszeniu instrumentów smyczkowych. Psalm Dawida. "
Psalms 4:2,"Na wezwanie moje, odpowiedz mi Panie słuszności mojej, w niedoli rozprzestrzeniłeś mi, zmiłuj się nademną i wysłuchaj modlitwę moję. "
Psalms 4:3,"Synowie ludzcy! dopókiż będzie chwała moja w poniewierce? upodobacie sobie marność, poszukiwać będziecie fałszu? - Sela. "
Psalms 4:4,"Wiedzcież, że odznaczył Bóg wiernego Sobie, Bóg słyszy, gdy wołam do Niego. "
Psalms 4:5,"Drżyjcie, a nie grzeszcie; rozważajcie w sercach waszych na łożach waszych, i uśmierzcie się. - Sela. "
Psalms 4:6,Ofiarujcie ofiary sprawiedliwości i ufajcie Bogu. 
Psalms 4:7,Wielu powiada: któż wskaże nam dobro? Zwróć na nas światło oblicza Twojego Boże. 
Psalms 4:8,"Dałeś radość sercu memu, z chwilą gdy zboże ich i wino obrodziło. "
Psalms 4:9,"W spokoju zarazem kładę się i zasypiam, bo Ty o Boże sam pozwalasz mi bezpiecznie spoczywać. "
Psalms 5:1,"Przewodnikowi chóru, przy towarzyszeniu fletów. Psalm Dawida. "
Psalms 5:2,Słowa moje usłysz Boże; wyrozumiéj westchnienia moje. 
Psalms 5:3,"Usłysz głos skargi mojéj, królu mój i Panie, gdy się modlę do Ciebie. "
Psalms 5:4,"Boże, zrana usłyszysz głos mój, zrana zwracam się do Ciebie i czekam. "
Psalms 5:5,"Bo nie jesteś Bogiem, który upodobał sobie nieprawość, nie przebywa przy Tobie zło. "
Psalms 5:6,"Nie ostaną się zuchwalcy przed oczyma Twemi, nienawidzisz wszelakich złoczyńców. "
Psalms 5:7,"Gubisz kłamców, człekiem krwi i zdrady brzydzi się Bóg. "
Psalms 5:8,"A ja w wielkiéj łasce Twojéj, wstąpię do domu Twojego, ukorzę się w przybytku Twoim świętym, w bojaźni przed Tobą. "
Psalms 5:9,"Boże, prowadź mnie w sprawiedliwości Twojéj, wobec czyhających na mnie, utoruj przedemną drogę Twoję. "
Psalms 5:10,"Bo niemasz w ustach ich szczerości, ich wnętrze zgubą tchnące, grobem otwartym ich gardło, język swój wygładzili. "
Psalms 5:11,"Potęp ich Panie, niech upadną przez własne knowania, dla ogromu grzechów strąć ich, bo przekorni są Tobie. "
Psalms 5:12,"A niech cieszą się wszyscy, co uciekają się do Ciebie, i wiecznie się radują, gdyż otaczasz ich opieką Swą, i weselą się w Tobie, którzy umiłowali imię Twoje. "
Psalms 5:13,"Bo błogosławisz sprawiedliwemu o Boże, gdyby tarczą, łaską go wieńczysz. "
Psalms 6:1,"Przewodnikowi chóru, przy towarzyszeniu instrumentów smyczkowych, na ośm głosów. Psalm Dawida. "
Psalms 6:2,"Boże, nie w gniewie Twoim napominaj mnie, nie w uniesieniu Twojém karć mnie. "
Psalms 6:3,"Zmiłuj się nademną o Boże, bo zawiędnę, ulecz mnie, bo strętwiały członki moje. "
Psalms 6:4,"A dusza moja strwożona wielce, a Ty o Boże dopókiż jeszcze? "
Psalms 6:5,"Zwróć się Boże, wyswobódź duszę moję, dopomóż mi przez litość Twoję. "
Psalms 6:6,Bo nie w śmierci pamięć o Tobie; w grobie któż wielbi Cię. 
Psalms 6:7,"Zmożony jestem łkaniem, skrapiam co noc me posłanie, łzami łoże moje zalewam. "
Psalms 6:8,"Zamroczyło się od strapienia oko moje, zgrzybiało przez tylu gnębiących mnie. "
Psalms 6:9,"Odstąpcie odemnie wszyscy złoczyńcy, gdyż wysłuchał Bóg głos płaczu mego. "
Psalms 6:10,Wysłuchał Bóg błaganie moje; Bóg modlitwę mą przyjął. 
Psalms 6:11,"Zawstydzeni i zatrwożeni wielce wszystkie wrogi moje, pierzchają shańbieni w jednéj chwili. "
Psalms 7:1,"Pieśń Dawida, którą zaśpiewał Bogu z powodu Kusza Benjaminity. "
Psalms 7:2,"Boże Panie mój, w Tobie szukam obrony, ocal mnie od wszystkich prześladowców, i wyzwól mnie. "
Psalms 7:3,"By nie porwał jako lew, życia mego, szarpiąc gdy niema zbawcy. "
Psalms 7:4,"Boże Panie mój, jeżelim to uczynił, jeżeli jest bezprawie w ręku mojém. "
Psalms 7:5,"Jeżelim odpłacił przyjacielowi złem, ja co wyzwoliłem prześladującego mnie niewinnie. "
Psalms 7:6,"Niech ściga wróg duszę moję; niech ją pojmą, i rozdepcze po ziemi żywot mój, a sławę moję w proch niechaj strąci. - Sela. "
