Index Title,Top Level Index Category,Total Number of Links to Index,Word Count of Primary Version,Number of Links / Number of Words,Number of distinct texts linked to this text,Number of top-level Categories linked,Number of distinct texts linked from Tanakh,Total number of links from Tanakh,Number of distinct texts linked from Mishnah,Total number of links from Mishnah,Number of distinct texts linked from Talmud,Total number of links from Talmud,Number of distinct texts linked from Midrash,Total number of links from Midrash,Number of distinct texts linked from Halakhah,Total number of links from Halakhah,Number of distinct texts linked from Kabbalah,Total number of links from Kabbalah,Number of distinct texts linked from Liturgy,Total number of links from Liturgy,Number of distinct texts linked from Jewish Thought,Total number of links from Jewish Thought,Number of distinct texts linked from Tosefta,Total number of links from Tosefta,Number of distinct texts linked from Chasidut,Total number of links from Chasidut,Number of distinct texts linked from Musar,Total number of links from Musar,Number of distinct texts linked from Responsa,Total number of links from Responsa,Number of distinct texts linked from Second Temple,Total number of links from Second Temple,Number of distinct texts linked from Reference,Total number of links from Reference
Obadiah,Tanakh,1096,291,3.7663230240549828,220,12,82,511,9,9,30,47,29,167,7,7,8,34,8,24,17,36,0,0,17,69,7,24,1,1,0,0,5,167
Jonah,Tanakh,1877,695,2.7007194244604316,297,13,99,867,20,28,50,93,35,203,13,17,6,58,9,30,24,60,3,3,18,37,11,39,0,0,1,2,8,440
Micah,Tanakh,5132,1427,3.59635599159075,507,13,167,2344,24,36,92,196,55,545,25,45,21,199,15,81,39,143,7,9,37,274,14,145,0,0,1,1,10,1114
Nahum,Tanakh,2003,572,3.5017482517482517,232,12,106,1107,8,9,30,37,36,146,3,4,9,25,3,16,13,31,3,4,7,9,5,13,0,0,0,0,9,602
Habakkuk,Tanakh,3157,685,4.608759124087591,419,14,137,1356,22,47,75,128,44,317,17,24,16,146,13,27,34,115,2,2,36,181,12,75,1,1,1,1,9,737
Zephaniah,Tanakh,2087,783,2.665389527458493,301,13,118,1067,8,10,52,99,31,152,12,17,10,37,9,12,17,32,3,3,21,71,10,42,1,1,0,0,9,544
Haggai,Tanakh,1168,613,1.9053833605220227,213,12,64,539,19,27,38,82,30,111,4,4,9,24,2,2,17,42,0,0,13,29,9,29,0,0,1,1,7,278
Zechariah,Tanakh,8230,3197,2.57428839537066,655,14,190,3648,41,75,142,397,54,863,48,115,24,351,15,203,49,313,14,28,40,399,14,189,8,18,2,3,14,1627
Malachi,Tanakh,4339,892,4.864349775784754,557,13,160,1396,35,137,124,257,50,656,43,115,21,221,10,118,39,225,6,11,37,442,15,207,8,18,0,0,9,536
Psalms,Tanakh,103611,20360,5.088948919449901,1476,14,331,37947,248,1494,315,5375,73,12068,127,1688,45,5537,44,5212,84,4007,46,155,75,9264,30,3669,23,80,18,64,17,16991
Proverbs,Tanakh,40715,7108,5.728052898142938,1170,14,272,14616,133,1138,270,2677,67,4605,112,731,35,2307,28,353,73,1961,44,116,65,3353,28,2160,21,54,6,24,16,6619
Job,Tanakh,32380,8528,3.7969043151969983,989,14,269,14727,93,319,240,1408,71,2748,55,253,39,1102,28,306,63,988,26,55,54,1290,25,630,9,16,4,10,13,8527
Song of Songs,Tanakh,11476,1301,8.820906994619524,657,14,166,4580,55,106,160,521,49,1660,42,110,22,967,28,203,38,292,12,13,53,1074,15,323,5,16,1,3,11,1608
Ruth,Tanakh,4747,1315,3.6098859315589356,497,14,132,2370,52,161,98,218,43,593,43,93,13,171,4,17,29,121,18,30,26,150,11,82,13,28,1,1,14,712
