Index Title,Top Level Index Category,Total Number of Links to Index,Word Count of Primary Version,Number of Links / Number of Words,Number of distinct texts linked to this text,Number of top-level Categories linked,Number of distinct texts linked from Tanakh,Total number of links from Tanakh,Number of distinct texts linked from Mishnah,Total number of links from Mishnah,Number of distinct texts linked from Talmud,Total number of links from Talmud,Number of distinct texts linked from Midrash,Total number of links from Midrash,Number of distinct texts linked from Halakhah,Total number of links from Halakhah,Number of distinct texts linked from Kabbalah,Total number of links from Kabbalah,Number of distinct texts linked from Liturgy,Total number of links from Liturgy,Number of distinct texts linked from Jewish Thought,Total number of links from Jewish Thought,Number of distinct texts linked from Tosefta,Total number of links from Tosefta,Number of distinct texts linked from Chasidut,Total number of links from Chasidut,Number of distinct texts linked from Musar,Total number of links from Musar,Number of distinct texts linked from Responsa,Total number of links from Responsa,Number of distinct texts linked from Second Temple,Total number of links from Second Temple,Number of distinct texts linked from Reference,Total number of links from Reference
Mishnat Eretz Yisrael on Mishnah Makkot,Mishnah,127,46983,0.0027031053785411745,10,4,2,3,2,118,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mishnat Eretz Yisrael on Mishnah Shevuot,Mishnah,189,100418,0.001882132685375132,1,1,0,0,1,189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mishnat Eretz Yisrael on Mishnah Eduyot,Mishnah,247,109494,0.0022558313697554205,1,1,0,0,1,247,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mishnat Eretz Yisrael on Mishnah Avodah Zarah,Mishnah,221,126220,0.0017509111075899224,1,1,0,0,1,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mishnat Eretz Yisrael on Pirkei Avot,Mishnah,1231,120172,0.010243650767233633,107,7,28,201,19,603,35,286,21,136,1,2,1,1,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Mishnat Eretz Yisrael on Mishnah Horayot,Mishnah,93,40438,0.002299817003808299,7,4,3,7,1,79,2,6,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Mishnat Eretz Yisrael on Mishnah Zevachim,Mishnah,243,89556,0.002713386037786413,10,3,3,7,3,229,4,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mishnat Eretz Yisrael on Mishnah Menachot,Mishnah,231,95798,0.002411323827219775,6,2,3,5,3,226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mishnat Eretz Yisrael on Mishnah Chullin,Mishnah,205,87487,0.0023432052762124658,1,1,0,0,1,205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mishnat Eretz Yisrael on Mishnah Bekhorot,Mishnah,200,81748,0.0024465430346919804,11,4,4,6,1,185,4,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mishnat Eretz Yisrael on Mishnah Arakhin,Mishnah,165,87252,0.0018910741301059002,1,1,0,0,1,165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mishnat Eretz Yisrael on Mishnah Temurah,Mishnah,84,33043,0.0025421420573192507,6,3,1,2,3,80,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mishnat Eretz Yisrael on Mishnah Keritot,Mishnah,102,60842,0.001676473488708458,1,1,0,0,1,102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mishnat Eretz Yisrael on Mishnah Meilah,Mishnah,85,39864,0.00213224964880594,1,1,0,0,1,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mishnat Eretz Yisrael on Mishnah Tamid,Mishnah,507,37919,0.013370605764919961,56,4,11,34,14,333,22,123,9,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mishnat Eretz Yisrael on Mishnah Middot,Mishnah,340,42022,0.008090999952405883,54,4,14,30,14,228,20,73,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mishnat Eretz Yisrael on Mishnah Kinnim,Mishnah,46,14380,0.003198887343532684,1,1,0,0,1,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mishnat Eretz Yisrael on Mishnah Oholot,Mishnah,392,170914,0.0022935511426799443,1,1,0,0,1,392,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mishnat Eretz Yisrael on Mishnah Negaim,Mishnah,249,91815,0.002711975167456298,1,1,0,0,1,249,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mishnat Eretz Yisrael on Mishnah Parah,Mishnah,242,97638,0.0024785431901513757,1,1,0,0,1,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mishnat Eretz Yisrael on Mishnah Tahorot,Mishnah,413,107225,0.0038517136861739333,49,4,6,13,20,347,19,49,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mishnat Eretz Yisrael on Mishnah Mikvaot,Mishnah,270,69932,0.003860893439341074,1,1,0,0,1,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mishnat Eretz Yisrael on Mishnah Niddah,Mishnah,1517,134699,0.011262147454695283,92,6,15,79,21,679,37,726,13,22,2,4,0,0,0,0,0,0,4,5,0,0,0,0,0,0,0,0,0,0
Mishnat Eretz Yisrael on Mishnah Makhshirin,Mishnah,195,62457,0.0031221480378500407,4,2,0,0,3,194,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mishnat Eretz Yisrael on Mishnah Zavim,Mishnah,119,39546,0.0030091538967278613,4,2,0,0,1,113,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mishnat Eretz Yisrael on Mishnah Tevul Yom,Mishnah,98,22073,0.004439813346622571,12,3,1,1,7,91,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mishnat Eretz Yisrael on Mishnah Yadayim,Mishnah,93,44380,0.002095538530869761,1,1,0,0,1,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mishnat Eretz Yisrael on Mishnah Oktzin,Mishnah,117,27987,0.004180512380748205,1,1,0,0,1,117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Notes by Rabbi Yehoshua Hartman on Derekh Chayim,Mishnah,13229,1422290,0.009301197364813083,55,6,18,148,3,12948,28,113,4,14,1,1,1,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berakhot,Talmud,41447,73239,0.5659143352585371,1296,14,183,3286,196,859,323,19487,47,465,229,5679,25,439,27,200,67,1060,56,383,70,4446,23,1129,38,509,3,23,9,3397
Shabbat,Talmud,56851,120848,0.47043393353634316,1543,14,192,2745,266,1987,399,29470,44,477,298,8555,24,266,22,124,65,884,81,876,67,3424,26,911,46,1115,4,17,9,5817
Eruvin,Talmud,29525,71307,0.4140547211353724,1147,14,123,738,201,907,305,19351,34,151,222,4356,13,54,10,13,41,177,84,574,50,843,16,237,37,351,3,3,8,1572
Pesachim,Talmud,34169,86211,0.3963415341429748,1406,14,151,2068,258,1360,345,19559,35,405,293,4103,23,122,25,86,53,728,90,697,63,1426,17,380,43,507,2,5,8,2613
Rosh Hashanah,Talmud,11638,24835,0.4686128447755184,804,14,122,1076,85,274,224,6255,29,159,129,1210,16,70,13,20,40,226,45,161,52,1049,13,210,26,178,2,10,8,723
Yoma,Talmud,22780,58787,0.3875006378961335,1104,14,157,2436,169,796,273,12176,40,421,203,1889,11,110,23,73,57,414,62,452,57,1384,17,395,25,189,2,10,8,1966
Sukkah,Talmud,18941,34176,0.5542193352059925,974,14,116,797,165,569,259,12911,31,155,172,1656,11,50,10,15,46,228,57,263,51,799,18,178,28,185,1,1,9,1015
Beitzah,Talmud,12093,26689,0.4531080220315486,671,13,59,233,99,262,210,7650,14,37,140,2241,4,10,2,2,19,52,46,307,34,173,10,62,26,184,0,0,8,860
Taanit,Talmud,10895,27415,0.3974101769104505,707,14,127,904,71,245,186,5889,35,195,101,883,14,91,10,13,37,177,26,158,55,1079,18,186,16,52,3,18,8,978
Megillah,Talmud,15060,30042,0.5012981825444378,884,14,151,2063,107,308,217,7418,47,266,148,1611,18,69,7,10,44,245,36,202,54,1239,13,270,32,231,2,8,8,1103
Moed Katan,Talmud,9811,23589,0.4159141972953495,655,14,99,435,84,192,180,5335,17,48,112,2092,8,19,3,3,30,79,46,148,33,237,13,69,23,165,1,2,6,976
Chagigah,Talmud,7815,19289,0.4051531961221422,747,14,112,948,106,297,194,3538,26,172,108,630,20,138,9,9,44,222,31,130,56,890,14,183,16,67,3,6,8,577
Yevamot,Talmud,38736,89470,0.43294959204202527,1241,14,142,2045,173,967,351,24541,30,274,278,6073,14,55,4,6,43,321,78,660,54,722,14,230,47,1204,3,17,10,1434
Ketubot,Talmud,40986,77314,0.5301239102879168,1129,14,130,1177,174,952,314,26717,30,129,236,6868,8,32,5,11,40,312,76,528,47,595,15,213,46,1383,1,2,7,1946
Nedarim,Talmud,22326,36373,0.6138069447117367,913,14,104,892,135,604,245,15239,27,129,186,2804,7,48,14,19,34,230,57,320,50,713,16,148,29,382,1,5,8,766
Nazir,Talmud,10201,29859,0.34163903680632307,554,14,63,586,73,260,164,7192,16,114,123,1224,1,4,1,1,16,44,42,210,24,104,6,23,17,72,1,1,7,330
Sotah,Talmud,16174,40357,0.4007731000817702,995,14,166,2726,138,404,234,7510,39,401,178,1614,17,111,10,27,54,301,56,354,55,1165,16,271,22,158,2,6,8,1097
Gittin,Talmud,31393,65133,0.4819830193603857,1117,14,118,716,182,702,296,19787,28,120,254,5606,9,30,3,6,42,324,74,547,48,345,12,99,42,1078,2,3,7,1930
Kiddushin,Talmud,34456,62139,0.5544987849820564,1098,14,123,1903,154,584,289,23477,32,216,234,4114,16,75,6,10,53,406,76,410,54,1054,16,227,35,557,2,11,8,1342
Bava Kamma,Talmud,42485,90994,0.46689891641207115,1160,14,124,1596,176,750,314,27627,30,180,274,7641,13,37,10,11,41,289,67,643,48,522,16,209,39,895,1,1,7,1919
Bava Metzia,Talmud,44593,85009,0.5245679869190321,1140,14,109,1304,192,866,314,27813,24,182,257,8376,12,51,3,5,35,300,82,646,45,544,18,331,38,1441,1,2,10,2630
Bava Batra,Talmud,54302,94720,0.5732896959459459,1295,14,150,1671,195,1009,358,34562,47,271,260,9059,14,149,6,11,52,387,84,642,57,1173,16,335,44,1977,2,4,10,2933
Sanhedrin,Talmud,41625,105959,0.39284062703498523,1463,14,218,5680,213,1049,369,20154,51,952,278,4977,25,256,17,38,67,909,79,320,62,2444,23,816,48,745,4,40,9,3115
Makkot,Talmud,7097,18282,0.38819603982058853,651,14,96,950,66,157,179,3840,21,111,138,1105,9,22,2,2,29,138,37,57,39,197,14,99,15,92,1,1,5,309
Shevuot,Talmud,15099,33306,0.45334174022698615,703,14,79,754,90,276,199,10291,19,184,171,2335,8,19,4,4,25,72,41,120,27,95,7,34,24,431,2,3,7,415
Avodah Zarah,Talmud,24107,51437,0.46867041234908724,1047,14,128,1033,130,415,286,14531,31,152,213,3809,17,98,6,11,52,231,65,206,51,795,16,216,43,464,1,1,8,2082
Horayot,Talmud,3440,12871,0.2672675005827053,350,13,71,425,26,77,104,2050,15,115,53,370,4,5,1,1,15,26,16,52,24,66,6,20,9,17,0,0,6,207
Zevachim,Talmud,20678,70122,0.2948860557314395,824,14,109,2296,138,634,213,13583,30,487,171,1952,5,10,10,23,23,141,63,387,29,225,3,23,20,93,2,8,8,658
Menachot,Talmud,26681,74436,0.3584421516470525,1066,14,113,2531,204,810,274,16690,34,485,219,3190,11,55,5,12,32,201,77,387,49,607,13,151,26,229,2,8,7,1207
Chullin,Talmud,42125,90287,0.46656772292799625,1314,14,140,2177,261,1198,331,26056,41,367,280,6363,13,89,6,9,42,333,84,442,49,744,15,235,42,604,2,5,8,3378
Bekhorot,Talmud,15105,41157,0.3670092572344923,736,13,66,938,116,412,216,10141,20,159,161,1956,10,13,2,2,13,24,64,230,29,126,7,17,25,188,0,0,7,861
Arakhin,Talmud,8677,25354,0.3422339670268991,598,14,77,939,64,193,168,5529,22,147,123,921,4,21,5,5,21,57,42,110,31,158,12,85,20,106,2,4,7,388
Temurah,Talmud,6865,23598,0.29091448427832867,459,13,52,548,60,160,133,4888,15,95,105,717,3,4,0,0,10,22,41,111,17,71,3,4,13,32,1,1,6,181
Keritot,Talmud,7431,27832,0.26699482609945385,479,14,60,709,65,172,143,5114,13,126,105,680,3,3,1,1,11,19,40,116,18,57,4,10,9,21,1,1,6,369
Meilah,Talmud,3550,8743,0.406039117007892,241,11,15,133,29,105,96,2725,5,38,54,340,2,3,0,0,5,6,22,66,3,8,0,0,4,8,0,0,6,110
Tamid,Talmud,1880,5144,0.3654743390357698,222,14,37,111,17,77,57,1210,13,32,28,151,4,6,5,7,5,18,18,21,27,108,4,4,3,4,1,1,3,128
Niddah,Talmud,21186,50773,0.4172690209363244,931,14,95,902,170,962,258,13553,23,163,182,3238,13,39,2,8,34,98,61,191,41,294,11,76,32,309,1,8,8,1264
Avot D'Rabbi Natan,Talmud,5247,31689,0.16557796080658904,169,13,38,667,13,113,61,3961,21,254,5,6,3,3,0,0,3,3,14,32,1,1,5,15,1,1,2,3,2,154
Tractate Avadim,Talmud,112,810,0.1382716049382716,28,6,6,19,4,6,12,80,1,1,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,1,2
Tractate Derekh Eretz Rabbah,Talmud,595,5006,0.11885737115461446,73,7,19,72,2,3,31,443,12,40,0,0,0,0,0,0,0,0,7,10,0,0,0,0,1,2,0,0,1,25
Tractate Derekh Eretz Zuta,Talmud,485,3170,0.1529968454258675,72,8,24,87,4,7,25,309,14,63,1,1,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,0,1,12
Tractate Gerim,Talmud,203,1122,0.18092691622103388,27,5,11,33,0,0,10,162,4,5,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
Tractate Kallah,Talmud,427,2048,0.20849609375,51,10,13,25,2,2,20,374,7,16,1,1,2,3,0,0,1,1,3,3,0,0,1,1,0,0,1,1,0,0
Tractate Kallah Rabbati,Talmud,1204,15497,0.07769245660450409,94,6,32,300,6,21,31,770,16,99,1,1,0,0,0,0,0,0,8,9,0,0,0,0,0,0,0,0,0,0
Tractate Kutim,Talmud,71,598,0.11872909698996656,21,5,3,6,3,7,8,49,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,1,1
Tractate Mezuzah,Talmud,47,502,0.09362549800796813,10,1,0,0,0,0,10,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tractate Sefer Torah,Talmud,157,1576,0.09961928934010152,29,6,11,47,2,4,11,99,2,2,1,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0
Tractate Semachot,Talmud,1265,9997,0.12653796138841653,81,7,24,110,6,9,43,1077,0,0,4,6,0,0,0,0,0,0,2,2,0,0,0,0,1,2,0,0,1,59
Tractate Soferim,Talmud,3411,11278,0.3024472424188686,143,12,38,570,11,30,47,2637,14,36,14,26,0,0,0,0,5,5,7,24,2,2,1,1,2,7,1,1,1,65
Tractate Tefillin,Talmud,86,890,0.09662921348314607,22,4,6,13,3,3,12,69,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tractate Tzitzit,Talmud,55,313,0.1757188498402556,13,5,2,2,1,1,6,48,1,1,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Darkhei HaTalmud,Talmud,45,10053,0.004476275738585497,19,3,3,3,2,2,14,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Introductions to Amoraic Literature,Talmud,322,177984,0.0018091513843941029,75,4,19,40,20,47,33,229,3,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Introductions to Tanaitic Literature,Talmud,900,327262,0.0027500901418435384,94,4,27,84,25,229,37,579,5,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Introductions to the Babylonian Talmud,Talmud,1147,253669,0.0045216404054102,58,3,20,481,1,1,37,665,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mevo HaTalmud (Chajes),Talmud,572,37157,0.015394138385768495,46,5,5,5,4,5,35,559,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Rashi on Berakhot,Talmud,3730,45269,0.08239634186750315,61,8,22,146,1,1,33,3479,0,0,1,1,0,0,0,0,1,1,0,0,0,0,1,4,1,1,0,0,1,97
Rashi on Shabbat,Talmud,10560,140175,0.07533440342429107,75,7,24,199,3,4,39,9936,2,2,5,7,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,410
Rashi on Eruvin,Talmud,5706,107722,0.0529696812164646,49,4,14,65,2,2,32,5555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,84
Rashi on Pesachim,Talmud,5930,108427,0.05469117470740683,59,6,20,168,4,4,32,5644,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,112
Rashi on Rosh Hashanah,Talmud,1586,24337,0.06516826231663722,46,6,19,74,1,1,23,1474,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,2,0,0,1,34
Rashi on Yoma,Talmud,4047,63706,0.06352619847424104,60,4,25,232,4,5,30,3767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43
Rashi on Sukkah,Talmud,3175,52959,0.05995203836930456,56,5,21,104,4,5,29,2971,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,94
Rashi on Beitzah,Talmud,2550,40378,0.06315320223884294,41,5,14,57,1,1,24,2413,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,78
Rashi on Taanit,Talmud,2000,28065,0.07126313914127917,50,5,26,101,3,3,19,1853,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,42
Rashi on Megillah,Talmud,1733,24401,0.07102167943936724,49,4,23,139,0,0,24,1568,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25
Rashi on Moed Katan,Talmud,1557,18933,0.08223736333386152,30,5,11,23,0,0,16,1473,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,1,59
Rashi on Chagigah,Talmud,1140,17457,0.0653033167210861,32,5,14,63,1,1,15,1057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,18
Rashi on Yevamot,Talmud,6257,104849,0.059676296388139136,63,5,19,196,2,2,40,6016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,41
Rashi on Ketubot,Talmud,5915,84636,0.06988751831371993,59,6,20,72,2,2,34,5783,0,0,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,56
Rashi on Nedarim,Talmud,2815,53902,0.05222440725761567,33,4,11,44,1,1,19,2755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,15
Rashi on Nazir,Talmud,2040,55662,0.036649779023391185,46,3,16,57,0,0,29,1973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
Rashi on Sotah,Talmud,3034,45112,0.06725483241709523,61,5,28,191,2,2,29,2806,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,33
Rashi on Gittin,Talmud,5546,77889,0.07120389271912593,55,4,22,105,1,1,31,5345,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,95
Rashi on Kiddushin,Talmud,4920,75967,0.06476496373425303,64,5,19,208,4,4,39,4660,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,47
Rashi on Bava Kamma,Talmud,6316,86333,0.07315858362387499,58,5,15,146,3,3,38,6085,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,81
Rashi on Bava Metzia,Talmud,7117,103189,0.06897052980453343,62,4,20,111,9,16,32,6869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,121
Rashi on Bava Batra,Talmud,1402,20201,0.06940250482649374,40,6,15,38,2,2,20,1327,0,0,0,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,1,1,1,30
Rashi on Sanhedrin,Talmud,7494,119550,0.06268506900878294,77,7,31,367,3,4,39,7058,1,1,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,62
Rashi on Makkot,Talmud,1023,20642,0.0495591512450344,35,5,10,44,3,3,20,961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,13
Rashi on Shevuot,Talmud,2220,40117,0.055338135952339405,44,3,17,94,0,0,26,2115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11
Rashi on Avodah Zarah,Talmud,3839,55439,0.06924728079510814,54,6,20,82,2,2,29,3588,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,163
Rashi on Horayot,Talmud,760,17049,0.0445773945685964,25,3,7,14,0,0,17,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Rashi on Zevachim,Talmud,6324,119581,0.052884655589098606,51,4,18,273,2,2,30,6010,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,39
Rashi on Menachot,Talmud,5666,92028,0.061568218368322686,49,6,15,247,1,1,30,5346,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,70
Rashi on Chullin,Talmud,8684,146999,0.05907523180429799,63,7,21,90,4,6,34,8319,0,0,1,2,0,0,0,0,1,1,0,0,0,0,0,0,1,7,0,0,1,259
Rashi on Bekhorot,Talmud,3280,53841,0.06092011663973552,18,3,6,27,0,0,11,3191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,62
Rashi on Arakhin,Talmud,1580,29557,0.05345603410359644,20,4,8,15,1,1,10,1545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19
Rashi on Temurah,Talmud,1596,34724,0.0459624467227278,15,3,7,14,0,0,7,1581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Rashi on Keritot,Talmud,1530,28275,0.05411140583554377,15,3,4,7,0,0,10,1513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
Rashi on Meilah,Talmud,807,20866,0.03867535704016103,14,3,4,13,0,0,9,792,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Rashi on Niddah,Talmud,3985,64544,0.06174082796232028,29,3,9,24,0,0,19,3889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,72
Chiddushei Ramban on Berakhot,Talmud,23,7408,0.0031047516198704104,4,2,0,0,1,1,3,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Ramban on Shabbat,Talmud,598,96945,0.006168446026097271,36,3,4,6,6,9,26,583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Ramban on Eruvin,Talmud,11,13036,0.0008438171218165081,1,1,0,0,0,0,1,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Ramban on Pesachim,Talmud,18,10290,0.001749271137026239,5,1,0,0,0,0,5,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Ramban on Rosh Hashanah,Talmud,25,10250,0.0024390243902439024,3,2,0,0,1,1,2,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Ramban on Yoma,Talmud,11,3980,0.002763819095477387,3,2,1,1,0,0,2,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Ramban on Sukkah,Talmud,4,2347,0.0017043033659991478,1,1,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Ramban on Beitzah,Talmud,3,2340,0.001282051282051282,2,1,0,0,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Ramban on Taanit,Talmud,20,10205,0.0019598236158745713,6,2,1,1,0,0,5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Ramban on Megillah,Talmud,13,7644,0.0017006802721088435,6,4,1,1,1,1,3,10,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Ramban on Moed Katan,Talmud,104,42712,0.0024349129050383967,21,2,3,3,0,0,18,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Ramban on Chagigah,Talmud,3,917,0.003271537622682661,1,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Ramban on Yevamot,Talmud,733,84857,0.008638061680238519,31,4,2,2,2,2,26,728,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Ramban on Ketubot,Talmud,401,2175,0.18436781609195402,3,3,1,1,1,1,1,399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hilkhot HaRamban on Nedarim,Talmud,161,24614,0.00654099293085236,1,1,0,0,0,0,1,161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Ramban on Nazir,Talmud,2,1223,0.001635322976287817,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Ramban on Sotah,Talmud,2,660,0.0030303030303030303,1,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Ramban on Gittin,Talmud,405,82954,0.004882223883115944,20,2,1,2,0,0,19,403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Ramban on Kiddushin,Talmud,403,59901,0.0067277674830136395,20,2,0,0,0,0,19,402,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Ramban on Bava Metzia,Talmud,461,113026,0.004078707554014121,17,2,1,1,0,0,16,460,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chiddushei Ramban on Bava Batra,Talmud,769,145554,0.005283262569218297,32,5,8,16,4,5,18,746,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
