Ref;Number
Genesis_17:22;7
Genesis_17:23;7
Genesis_17:24;4
Genesis_17:25;2
Genesis_17:26;9
Genesis_17:27;2
Genesis_18:1;12
Genesis_18:2;9
Genesis_18:3;8
Genesis_18:4;9
Genesis_18:5;11
Genesis_18:6;8
Genesis_18:7;8
Genesis_18:8;7
Genesis_18:9;10
Genesis_18:10;10
Genesis_18:11;7
Genesis_18:12;8
Genesis_18:13;8
Genesis_18:14;10
Genesis_18:15;8
Genesis_18:16;9
Genesis_18:17;10
Genesis_18:18;9
Genesis_18:19;8
Genesis_18:20;12
Genesis_18:21;9
Genesis_18:22;8
Genesis_18:23;10
Genesis_18:24;10
Genesis_18:25;8
Genesis_18:26;9
Genesis_18:27;10
Genesis_18:28;8
Genesis_18:29;4
Genesis_18:30;3
Genesis_18:31;5
Genesis_18:32;5
Genesis_18:33;7
Genesis_19:1;10
Genesis_19:2;9
Genesis_19:3;9
Genesis_19:4;9
Genesis_19:5;7
Genesis_19:6;2
Genesis_19:7;1
Genesis_19:8;9
Genesis_19:9;9
Genesis_19:10;1
Genesis_19:11;6
Genesis_19:12;9
Genesis_19:13;4
Genesis_19:14;9
Genesis_19:15;6
Genesis_19:16;8
Genesis_19:17;11
Genesis_19:18;5
Genesis_19:19;5
Genesis_19:20;8
Genesis_19:21;5
Genesis_19:22;4
Genesis_19:23;5
Genesis_19:24;9
Genesis_19:25;6
Genesis_19:26;8
Genesis_19:27;4
Genesis_19:28;6
Genesis_19:29;7
Genesis_19:30;7
Genesis_19:31;10
Genesis_19:32;4
Genesis_19:33;6
Genesis_19:34;4
Genesis_19:35;2
Genesis_19:36;4
Genesis_19:37;6
Genesis_19:38;3
Genesis_20:1;7
Genesis_20:2;8
Genesis_20:3;5
Genesis_20:4;10
Genesis_20:5;5
Genesis_20:6;7
Genesis_20:7;9
Genesis_20:8;3
Genesis_20:9;8
Genesis_20:10;4
Genesis_20:11;7
Genesis_20:12;10
Genesis_20:13;8
Genesis_20:14;4
Genesis_20:15;1
Genesis_20:16;11
Genesis_20:17;4
Genesis_20:18;8
Genesis_21:1;10
Genesis_21:2;8
Genesis_21:3;4
Genesis_21:4;3
Genesis_21:5;4
Genesis_21:6;6
Genesis_21:7;9
Genesis_21:8;7
Genesis_21:9;11
Genesis_21:10;8
Genesis_21:11;8
Genesis_21:12;7
Genesis_21:13;3
Genesis_21:14;10
Genesis_21:15;9
Genesis_21:16;7
Genesis_21:17;7
Genesis_21:18;2
Genesis_21:19;4
Genesis_21:20;9
Genesis_21:21;3
Genesis_21:22;7
Genesis_21:23;9
Genesis_21:24;5
Genesis_21:25;4
Genesis_21:26;4
Genesis_21:27;3
Genesis_21:28;1
Genesis_21:29;2
Genesis_21:30;7
Genesis_21:31;2
Genesis_21:32;5
Genesis_21:33;8
Genesis_21:34;3
Genesis_22:1;9
Genesis_22:2;11
Genesis_22:3;10
Genesis_22:4;9
Genesis_22:5;7
Genesis_22:6;4
Genesis_22:7;4
Genesis_22:8;4
Genesis_22:9;4
Genesis_22:10;3
Genesis_22:11;6
Genesis_22:12;8
Genesis_22:13;10
Genesis_22:14;10
Genesis_22:15;1
Genesis_22:16;6
Genesis_22:17;9
Genesis_22:18;5
Genesis_22:19;6
Genesis_22:20;9
Genesis_22:21;2
Genesis_22:22;1
Genesis_22:23;4
Genesis_22:24;4
Genesis_23:1;12
Genesis_23:2;13
Genesis_23:3;6
Genesis_23:4;10
Genesis_23:5;4
Genesis_23:6;10
Genesis_23:7;6
Genesis_23:8;7
Genesis_23:9;10
Genesis_23:10;6
Genesis_23:11;9
Genesis_23:12;5
Genesis_23:13;9
Genesis_23:14;2
Genesis_23:15;8
Genesis_23:16;10
Genesis_23:17;8
Genesis_23:18;6
Genesis_23:19;5
Genesis_23:20;3
Genesis_24:1;13
Genesis_24:2;8
Genesis_24:3;8
Genesis_24:4;6
Genesis_24:5;5
Genesis_24:6;4
Genesis_24:7;10
Genesis_24:8;8
Genesis_24:9;5
Genesis_24:10;11
Genesis_24:11;4
Genesis_24:12;7
Genesis_24:13;2
Genesis_24:14;12
Genesis_24:15;4
Genesis_24:16;8
Genesis_24:17;7
Genesis_24:18;4
Genesis_24:19;8
Genesis_24:20;6
Genesis_24:21;9
Genesis_24:22;13
Genesis_24:23;9
Genesis_24:24;4
Genesis_24:25;6
Genesis_24:26;3
Genesis_24:27;4
Genesis_24:28;5
Genesis_24:29;7
Genesis_24:30;6
Genesis_24:31;6
Genesis_24:32;8
Genesis_24:33;7
Genesis_24:34;3
Genesis_24:35;4
Genesis_24:36;5
Genesis_24:37;5
Genesis_24:38;3
Genesis_24:39;5
Genesis_24:40;2
Genesis_24:41;4
Genesis_24:42;3
Genesis_24:43;1
Genesis_24:44;2
Genesis_24:45;5
Genesis_24:46;0
Genesis_24:47;4
Genesis_24:48;3
Genesis_24:49;8
Genesis_24:50;6
Genesis_24:51;5
Genesis_24:52;4
Genesis_24:53;6
Genesis_24:54;3
Genesis_24:55;8
Genesis_24:56;4
Genesis_24:57;5
Genesis_24:58;6
Genesis_24:59;4
Genesis_24:60;9
Genesis_24:61;5
Genesis_24:62;10
Genesis_24:63;11
Genesis_24:64;9
Genesis_24:65;8
Genesis_24:66;5
Genesis_24:67;8
Genesis_25:1;9
Genesis_25:2;2
Genesis_25:3;7
Genesis_25:4;2
Genesis_25:5;5
Genesis_25:6;11
Genesis_25:7;4
Genesis_25:8;7
Genesis_25:9;5
Genesis_25:10;1
Genesis_25:11;6
Genesis_25:12;3
Genesis_25:13;5
Genesis_25:14;0
Genesis_25:15;0
Genesis_25:16;5
Genesis_25:17;6
Genesis_25:18;8
Genesis_25:19;13
Genesis_25:20;11
Genesis_25:21;11
Genesis_25:22;12
Genesis_25:23;13
Genesis_25:24;7
Genesis_25:25;10
Genesis_25:26;11
Genesis_25:27;11
Genesis_25:28;11
Genesis_25:29;8
Genesis_25:30;13
Genesis_25:31;11
Genesis_25:32;11
Genesis_25:33;6
Genesis_25:34;12
Genesis_26:1;8
Genesis_26:2;9
Genesis_26:3;8
Genesis_26:4;4
Genesis_26:5;11
Genesis_26:6;4
Genesis_26:7;7
Genesis_26:8;9
Genesis_26:9;3
Genesis_26:10;8
Genesis_26:11;4
Genesis_26:12;8
Genesis_26:13;7
Genesis_26:14;8
Genesis_26:15;9
Genesis_26:16;5
Genesis_26:17;6
Genesis_26:18;5
Genesis_26:19;4
Genesis_26:20;9
Genesis_26:21;5
Genesis_26:22;7
Genesis_26:23;3
Genesis_26:24;6
Genesis_26:25;6
Genesis_26:26;8
Genesis_26:27;3
Genesis_26:28;10
Genesis_26:29;11
Genesis_26:30;2
Genesis_26:31;2
Genesis_26:32;3
Genesis_26:33;8
Genesis_26:34;8
Genesis_26:35;8
Genesis_27:1;12
Genesis_27:2;6
Genesis_27:3;11
Genesis_27:4;5
Genesis_27:5;7
Genesis_27:6;4
Genesis_27:7;7
Genesis_27:8;3
Genesis_27:9;5
Genesis_27:10;0
Genesis_27:11;4
Genesis_27:12;9
Genesis_27:13;7
Genesis_27:14;0
Genesis_27:15;9
Genesis_27:16;2
Genesis_27:17;1
Genesis_27:18;3
Genesis_27:19;9
Genesis_27:20;3
Genesis_27:21;6
Genesis_27:22;7
Genesis_27:23;3
Genesis_27:24;6
Genesis_27:25;3
Genesis_27:26;3
Genesis_27:27;10
Genesis_27:28;13
Genesis_27:29;11
Genesis_27:30;9
Genesis_27:31;3
Genesis_27:32;1
Genesis_27:33;13
Genesis_27:34;3
Genesis_27:35;8
Genesis_27:36;11
Genesis_27:37;9
Genesis_27:38;3
Genesis_27:39;9
Genesis_27:40;12
Genesis_27:41;9
Genesis_27:42;8
Genesis_27:43;3
Genesis_27:44;5
Genesis_27:45;7
Genesis_27:46;8
Genesis_28:1;2
Genesis_28:2;4
Genesis_28:3;4
Genesis_28:4;6
Genesis_28:5;7
Genesis_28:6;6
Genesis_28:7;2
Genesis_28:8;4
Genesis_28:9;5
Genesis_28:10;11
Genesis_28:11;12
Genesis_28:12;13
Genesis_28:13;11
Genesis_28:14;11
Genesis_28:15;8
Genesis_28:16;11
Genesis_28:17;11
Genesis_28:18;7
Genesis_28:19;3
Genesis_28:20;10
Genesis_28:21;10
Genesis_28:22;9
Genesis_29:1;7
Genesis_29:2;11
Genesis_29:3;6
Genesis_29:4;3
Genesis_29:5;4
Genesis_29:6;7
Genesis_29:7;7
Genesis_29:8;3
Genesis_29:9;6
Genesis_29:10;9
Genesis_29:11;6
Genesis_29:12;8
Genesis_29:13;10
Genesis_29:14;9
Genesis_29:15;7
Genesis_29:16;4
Genesis_29:17;11
Genesis_29:18;6
Genesis_29:19;5
Genesis_29:20;7
Genesis_29:21;9
Genesis_29:22;4
Genesis_29:23;4
Genesis_29:24;4
Genesis_29:25;6
Genesis_29:26;4
Genesis_29:27;9
Genesis_29:28;4
Genesis_29:29;1
Genesis_29:30;10
Genesis_29:31;9
Genesis_29:32;7
Genesis_29:33;5
Genesis_29:34;9
Genesis_29:35;8
Genesis_30:1;10
Genesis_30:2;8
Genesis_30:3;9
Genesis_30:4;1
Genesis_30:5;4
Genesis_30:6;7
Genesis_30:7;1
Genesis_30:8;9
Genesis_30:9;4
Genesis_30:10;1
Genesis_30:11;8
Genesis_30:12;0
Genesis_30:13;6
Genesis_30:14;10
Genesis_30:15;10
Genesis_30:16;6
Genesis_30:17;6
Genesis_30:18;4
Genesis_30:19;0
Genesis_30:20;9
Genesis_30:21;6
Genesis_30:22;6
Genesis_30:23;8
Genesis_30:24;4
Genesis_30:25;6
Genesis_30:26;3
Genesis_30:27;8
Genesis_30:28;4
Genesis_30:29;6
Genesis_30:30;9
Genesis_30:31;4
Genesis_30:32;10
Genesis_30:33;9
Genesis_30:34;5
Genesis_30:35;8
Genesis_30:36;5
Genesis_30:37;9
Genesis_30:38;7
Genesis_30:39;6
Genesis_30:40;10
Genesis_30:41;8
Genesis_30:42;6
Genesis_30:43;5
Genesis_31:1;8
Genesis_31:2;5
Genesis_31:3;5
Genesis_31:4;4
Genesis_31:5;6
Genesis_31:6;4
Genesis_31:7;10
Genesis_31:8;7
Genesis_31:9;4
Genesis_31:10;6
Genesis_31:11;0
Genesis_31:12;2
Genesis_31:13;7
Genesis_31:14;5
Genesis_31:15;7
Genesis_31:16;5
Genesis_31:17;4
Genesis_31:18;6
Genesis_31:19;10
Genesis_31:20;6
Genesis_31:21;4
Genesis_31:22;5
Genesis_31:23;8
Genesis_31:24;8
Genesis_31:25;4
Genesis_31:26;4
Genesis_31:27;4
Genesis_31:28;4
Genesis_31:29;7
Genesis_31:30;6
Genesis_31:31;8
Genesis_31:32;8
Genesis_31:33;9
Genesis_31:34;6
Genesis_31:35;5
Genesis_31:36;8
Genesis_31:37;5
Genesis_31:38;7
Genesis_31:39;9
Genesis_31:40;4
Genesis_31:41;6
Genesis_31:42;10
Genesis_31:43;11
Genesis_31:44;7
Genesis_31:45;4
Genesis_31:46;6
Genesis_31:47;4
Genesis_31:48;5
Genesis_31:49;9
Genesis_31:50;5
Genesis_31:51;6
Genesis_31:52;7
Genesis_31:53;7
Genesis_31:54;5
Genesis_32:1;4
Genesis_32:2;6
Genesis_32:3;7
Genesis_32:4;11
Genesis_32:5;13
Genesis_32:6;10
Genesis_32:7;11
Genesis_32:8;13
Genesis_32:9;9
Genesis_32:10;8
Genesis_32:11;12
Genesis_32:12;12
Genesis_32:13;8
Genesis_32:14;8
Genesis_32:15;8
Genesis_32:16;6
Genesis_32:17;10
Genesis_32:18;10
Genesis_32:19;7
Genesis_32:20;5
Genesis_32:21;10
Genesis_32:22;7
Genesis_32:23;9
Genesis_32:24;6
Genesis_32:25;13
Genesis_32:26;10
Genesis_32:27;9
Genesis_32:28;1
Genesis_32:29;8
Genesis_32:30;7
Genesis_32:31;5
Genesis_32:32;7
Genesis_32:33;10
Genesis_33:1;4
Genesis_33:2;5
Genesis_33:3;4
Genesis_33:4;8
Genesis_33:5;8
Genesis_33:6;3
Genesis_33:7;4
Genesis_33:8;10
Genesis_33:9;8
Genesis_33:10;10
Genesis_33:11;9
Genesis_33:12;8
Genesis_33:13;8
Genesis_33:14;9
Genesis_33:15;8
Genesis_33:16;3
Genesis_33:17;7
Genesis_33:18;12
Genesis_33:19;7
Genesis_33:20;8
Genesis_34:1;8
Genesis_34:2;7
Genesis_34:3;6
Genesis_34:4;0
Genesis_34:5;5
Genesis_34:6;2
Genesis_34:7;10
Genesis_34:8;4
Genesis_34:9;3
Genesis_34:10;4
Genesis_34:11;1
Genesis_34:12;5
Genesis_34:13;6
Genesis_34:14;4
Genesis_34:15;4
Genesis_34:16;3
Genesis_34:17;5
Genesis_34:18;1
Genesis_34:19;5
Genesis_34:20;1
Genesis_34:21;7
Genesis_34:22;2
Genesis_34:23;5
Genesis_34:24;1
Genesis_34:25;10
Genesis_34:26;3
Genesis_34:27;6
Genesis_34:28;1
Genesis_34:29;5
Genesis_34:30;8
Genesis_34:31;6
Genesis_35:1;8
Genesis_35:2;8
Genesis_35:3;1
Genesis_35:4;7
Genesis_35:5;6
Genesis_35:6;2
Genesis_35:7;10
Genesis_35:8;9
Genesis_35:9;5
Genesis_35:10;11
Genesis_35:11;8
Genesis_35:12;6
Genesis_35:13;7
Genesis_35:14;6
Genesis_35:15;6
Genesis_35:16;8
Genesis_35:17;8
Genesis_35:18;8
Genesis_35:19;1
Genesis_35:20;4
Genesis_35:21;4
Genesis_35:22;10
Genesis_35:23;6
Genesis_35:24;0
Genesis_35:25;1
Genesis_35:26;2
Genesis_35:27;5
Genesis_35:28;2
Genesis_35:29;6
Genesis_36:1;5
Genesis_36:2;9
Genesis_36:3;2
Genesis_36:4;1
Genesis_36:5;2
Genesis_36:6;7
Genesis_36:7;5
Genesis_36:8;0
Genesis_36:9;6
Genesis_36:10;2
Genesis_36:11;1
Genesis_36:12;7
Genesis_36:13;0
Genesis_36:14;1
Genesis_36:15;3
Genesis_36:16;2
Genesis_36:17;0
Genesis_36:18;0
Genesis_36:19;2
Genesis_36:20;10
Genesis_36:21;1
Genesis_36:22;3
Genesis_36:23;0
Genesis_36:24;8
Genesis_36:25;3
Genesis_36:26;2
Genesis_36:27;1
Genesis_36:28;0
Genesis_36:29;0
Genesis_36:30;1
Genesis_36:31;11
Genesis_36:32;2
Genesis_36:33;4
Genesis_36:34;0
Genesis_36:35;3
Genesis_36:36;0
Genesis_36:37;0
Genesis_36:38;1
Genesis_36:39;6
Genesis_36:40;9
Genesis_36:41;1
Genesis_36:42;0
Genesis_36:43;3
Genesis_37:1;13
Genesis_37:2;12
Genesis_37:3;13
Genesis_37:4;8
Genesis_37:5;5
Genesis_37:6;3
Genesis_37:7;11
Genesis_37:8;11
Genesis_37:9;4
Genesis_37:10;11
Genesis_37:11;8
Genesis_37:12;4
Genesis_37:13;9
Genesis_37:14;9
Genesis_37:15;12
Genesis_37:16;5
Genesis_37:17;11
Genesis_37:18;11
Genesis_37:19;4
Genesis_37:20;7
Genesis_37:21;9
Genesis_37:22;8
Genesis_37:23;9
Genesis_37:24;8
Genesis_37:25;7
Genesis_37:26;10
Genesis_37:27;6
Genesis_37:28;10
Genesis_37:29;7
Genesis_37:30;7
Genesis_37:31;4
Genesis_37:32;8
Genesis_37:33;7
Genesis_37:34;6
Genesis_37:35;12
Genesis_37:36;9
Genesis_38:1;9
Genesis_38:2;9
Genesis_38:3;2
Genesis_38:4;0
Genesis_38:5;8
Genesis_38:6;1
Genesis_38:7;6
Genesis_38:8;7
Genesis_38:9;7
Genesis_38:10;3
Genesis_38:11;8
Genesis_38:12;7
Genesis_38:13;3
Genesis_38:14;11
Genesis_38:15;9
Genesis_38:16;5
Genesis_38:17;6
Genesis_38:18;11
Genesis_38:19;2
Genesis_38:20;2
Genesis_38:21;4
Genesis_38:22;1
Genesis_38:23;9
Genesis_38:24;12
Genesis_38:25;9
Genesis_38:26;11
Genesis_38:27;4
Genesis_38:28;5
Genesis_38:29;10
Genesis_38:30;6
Genesis_39:1;9
Genesis_39:2;7
Genesis_39:3;3
Genesis_39:4;6
Genesis_39:5;3
Genesis_39:6;12
Genesis_39:7;5
Genesis_39:8;4
Genesis_39:9;8
Genesis_39:10;10
Genesis_39:11;7
Genesis_39:12;7
Genesis_39:13;1
Genesis_39:14;10
Genesis_39:15;4
Genesis_39:16;1
Genesis_39:17;6
Genesis_39:18;2
Genesis_39:19;7
Genesis_39:20;5
Genesis_39:21;5
Genesis_39:22;7
Genesis_39:23;6
Genesis_40:1;10
Genesis_40:2;5
Genesis_40:3;4
Genesis_40:4;7
Genesis_40:5;9
Genesis_40:6;5
Genesis_40:7;5
Genesis_40:8;9
Genesis_40:9;3
Genesis_40:10;9
Genesis_40:11;7
Genesis_40:12;4
Genesis_40:13;6
Genesis_40:14;10
Genesis_40:15;6
Genesis_40:16;9
Genesis_40:17;2
Genesis_40:18;3
Genesis_40:19;4
Genesis_40:20;6
Genesis_40:21;3
Genesis_40:22;1
Genesis_40:23;10
Genesis_41:1;14
Genesis_41:2;12
Genesis_41:3;8
Genesis_41:4;6
Genesis_41:5;7
Genesis_41:6;6
Genesis_41:7;8
Genesis_41:8;11
Genesis_41:9;5
Genesis_41:10;4
Genesis_41:11;4
Genesis_41:12;6
Genesis_41:13;4
Genesis_41:14;7
Genesis_41:15;7
Genesis_41:16;9
Genesis_41:17;2
Genesis_41:18;1
Genesis_41:19;7
Genesis_41:20;1
Genesis_41:21;6
Genesis_41:22;1
Genesis_41:23;7
Genesis_41:24;3
Genesis_41:25;5
Genesis_41:26;4
Genesis_41:27;7
Genesis_41:28;3
Genesis_41:29;5
Genesis_41:30;3
Genesis_41:31;4
Genesis_41:32;9
Genesis_41:33;5
Genesis_41:34;11
Genesis_41:35;8
Genesis_41:36;5
Genesis_41:37;2
Genesis_41:38;9
Genesis_41:39;6
Genesis_41:40;7
Genesis_41:41;8
Genesis_41:42;8
Genesis_41:43;10
Genesis_41:44;7
Genesis_41:45;11
Genesis_41:46;6
Genesis_41:47;9
Genesis_41:48;6
Genesis_41:49;7
Genesis_41:50;10
Genesis_41:51;6
Genesis_41:52;2
Genesis_41:53;3
Genesis_41:54;9
Genesis_41:55;5
Genesis_41:56;10
Genesis_41:57;6
Genesis_42:1;10
Genesis_42:2;7
Genesis_42:3;5
Genesis_42:4;4
Genesis_42:5;5
Genesis_42:6;9
Genesis_42:7;13
Genesis_42:8;9
Genesis_42:9;11
Genesis_42:10;6
Genesis_42:11;11
Genesis_42:12;7
Genesis_42:13;8
Genesis_42:14;8
Genesis_42:15;8
Genesis_42:16;7
Genesis_42:17;6
Genesis_42:18;3
