Ref;Number
Genesis_1:1;18
Genesis_1:2;11
Genesis_1:3;9
Genesis_1:4;10
Genesis_1:5;10
Genesis_1:6;11
Genesis_1:7;9
Genesis_1:8;10
Genesis_1:9;9
Genesis_1:10;10
Genesis_1:11;11
Genesis_1:12;10
Genesis_1:13;1
Genesis_1:14;12
Genesis_1:15;9
Genesis_1:16;11
Genesis_1:17;5
Genesis_1:18;8
Genesis_1:19;1
Genesis_1:20;11
Genesis_1:21;11
Genesis_1:22;11
Genesis_1:23;1
Genesis_1:24;11
Genesis_1:25;7
Genesis_1:26;11
Genesis_1:27;9
Genesis_1:28;11
Genesis_1:29;10
Genesis_1:30;5
Genesis_1:31;12
Genesis_2:1;8
Genesis_2:2;9
Genesis_2:3;12
Genesis_2:4;11
Genesis_2:5;9
Genesis_2:6;7
Genesis_2:7;10
Genesis_2:8;9
Genesis_2:9;10
Genesis_2:10;6
Genesis_2:11;9
Genesis_2:12;5
Genesis_2:13;4
Genesis_2:14;6
Genesis_2:15;10
Genesis_2:16;6
Genesis_2:17;6
Genesis_2:18;10
Genesis_2:19;8
Genesis_2:20;6
Genesis_2:21;8
Genesis_2:22;7
Genesis_2:23;9
Genesis_2:24;8
Genesis_2:25;8
Genesis_3:1;10
Genesis_3:2;4
Genesis_3:3;3
Genesis_3:4;6
Genesis_3:5;7
Genesis_3:6;11
Genesis_3:7;8
Genesis_3:8;11
Genesis_3:9;8
Genesis_3:10;4
Genesis_3:11;10
Genesis_3:12;8
Genesis_3:13;7
Genesis_3:14;11
Genesis_3:15;10
Genesis_3:16;13
Genesis_3:17;10
Genesis_3:18;7
Genesis_3:19;10
Genesis_3:20;10
Genesis_3:21;8
Genesis_3:22;10
Genesis_3:23;6
Genesis_3:24;9
Genesis_4:1;9
Genesis_4:2;7
Genesis_4:3;9
Genesis_4:4;10
Genesis_4:5;5
Genesis_4:6;4
Genesis_4:7;11
Genesis_4:8;11
Genesis_4:9;9
Genesis_4:10;7
Genesis_4:11;7
Genesis_4:12;4
Genesis_4:13;8
Genesis_4:14;6
Genesis_4:15;11
Genesis_4:16;8
Genesis_4:17;8
Genesis_4:18;5
Genesis_4:19;8
Genesis_4:20;7
Genesis_4:21;4
Genesis_4:22;7
Genesis_4:23;7
Genesis_4:24;7
Genesis_4:25;7
Genesis_4:26;8
Genesis_5:1;11
Genesis_5:2;4
Genesis_5:3;10
Genesis_5:4;3
Genesis_5:5;4
Genesis_5:6;1
Genesis_5:7;0
Genesis_5:8;0
Genesis_5:9;1
Genesis_5:10;0
Genesis_5:11;1
Genesis_5:12;0
Genesis_5:13;1
Genesis_5:14;0
Genesis_5:15;1
Genesis_5:16;1
Genesis_5:17;0
Genesis_5:18;0
Genesis_5:19;1
Genesis_5:20;0
Genesis_5:21;1
Genesis_5:22;4
Genesis_5:23;0
Genesis_5:24;5
Genesis_5:25;0
Genesis_5:26;0
Genesis_5:27;0
Genesis_5:28;3
Genesis_5:29;7
Genesis_5:30;0
Genesis_5:31;1
Genesis_5:32;3
Genesis_6:1;6
Genesis_6:2;8
Genesis_6:3;13
Genesis_6:4;9
Genesis_6:5;6
Genesis_6:6;9
Genesis_6:7;8
Genesis_6:8;5
Genesis_6:9;13
Genesis_6:10;5
Genesis_6:11;9
Genesis_6:12;8
Genesis_6:13;10
Genesis_6:14;9
Genesis_6:15;4
Genesis_6:16;8
Genesis_6:17;10
Genesis_6:18;10
Genesis_6:19;8
Genesis_6:20;7
Genesis_6:21;4
Genesis_6:22;7
Genesis_7:1;7
Genesis_7:2;9
Genesis_7:3;5
Genesis_7:4;7
Genesis_7:5;7
Genesis_7:6;4
Genesis_7:7;7
Genesis_7:8;2
Genesis_7:9;6
Genesis_7:10;2
Genesis_7:11;7
Genesis_7:12;4
Genesis_7:13;5
Genesis_7:14;5
Genesis_7:15;3
Genesis_7:16;8
Genesis_7:17;6
Genesis_7:18;7
Genesis_7:19;4
Genesis_7:20;3
Genesis_7:21;4
Genesis_7:22;3
Genesis_7:23;11
Genesis_7:24;4
Genesis_8:1;10
Genesis_8:2;7
Genesis_8:3;10
Genesis_8:4;5
Genesis_8:5;7
Genesis_8:6;6
Genesis_8:7;7
Genesis_8:8;5
Genesis_8:9;5
Genesis_8:10;5
Genesis_8:11;10
Genesis_8:12;6
Genesis_8:13;6
Genesis_8:14;5
Genesis_8:15;3
Genesis_8:16;5
Genesis_8:17;6
Genesis_8:18;2
Genesis_8:19;7
Genesis_8:20;6
Genesis_8:21;11
Genesis_8:22;9
Genesis_9:1;2
Genesis_9:2;6
Genesis_9:3;8
Genesis_9:4;9
Genesis_9:5;11
Genesis_9:6;8
Genesis_9:7;8
Genesis_9:8;4
Genesis_9:9;8
Genesis_9:10;5
Genesis_9:11;8
Genesis_9:12;7
Genesis_9:13;5
Genesis_9:14;9
Genesis_9:15;4
Genesis_9:16;6
Genesis_9:17;5
Genesis_9:18;8
Genesis_9:19;5
Genesis_9:20;10
Genesis_9:21;6
Genesis_9:22;6
Genesis_9:23;7
Genesis_9:24;7
Genesis_9:25;9
Genesis_9:26;8
Genesis_9:27;7
Genesis_9:28;1
Genesis_9:29;1
Genesis_10:1;5
Genesis_10:2;6
Genesis_10:3;2
Genesis_10:4;3
Genesis_10:5;4
Genesis_10:6;3
Genesis_10:7;4
Genesis_10:8;8
Genesis_10:9;10
Genesis_10:10;3
Genesis_10:11;7
Genesis_10:12;6
Genesis_10:13;6
Genesis_10:14;5
Genesis_10:15;4
Genesis_10:16;3
Genesis_10:17;1
Genesis_10:18;4
Genesis_10:19;4
Genesis_10:20;5
Genesis_10:21;8
Genesis_10:22;1
Genesis_10:23;3
Genesis_10:24;1
Genesis_10:25;6
Genesis_10:26;4
Genesis_10:27;1
Genesis_10:28;1
Genesis_10:29;2
Genesis_10:30;2
Genesis_10:31;0
Genesis_10:32;2
Genesis_11:1;10
Genesis_11:2;8
Genesis_11:3;8
Genesis_11:4;8
Genesis_11:5;5
Genesis_11:6;7
Genesis_11:7;6
Genesis_11:8;4
Genesis_11:9;4
Genesis_11:10;4
Genesis_11:11;1
Genesis_11:12;0
Genesis_11:13;0
Genesis_11:14;0
Genesis_11:15;0
Genesis_11:16;0
Genesis_11:17;0
Genesis_11:18;0
Genesis_11:19;0
Genesis_11:20;0
Genesis_11:21;0
Genesis_11:22;0
Genesis_11:23;0
Genesis_11:24;0
Genesis_11:25;0
Genesis_11:26;2
Genesis_11:27;2
Genesis_11:28;5
Genesis_11:29;7
Genesis_11:30;4
Genesis_11:31;8
Genesis_11:32;7
Genesis_12:1;11
Genesis_12:2;11
Genesis_12:3;9
Genesis_12:4;4
Genesis_12:5;8
Genesis_12:6;11
Genesis_12:7;9
Genesis_12:8;10
Genesis_12:9;9
Genesis_12:10;7
Genesis_12:11;10
Genesis_12:12;7
Genesis_12:13;10
Genesis_12:14;4
Genesis_12:15;7
Genesis_12:16;6
Genesis_12:17;9
Genesis_12:18;6
Genesis_12:19;8
Genesis_12:20;6
Genesis_13:1;7
Genesis_13:2;5
Genesis_13:3;7
Genesis_13:4;5
Genesis_13:5;7
Genesis_13:6;8
Genesis_13:7;10
Genesis_13:8;7
Genesis_13:9;6
Genesis_13:10;7
Genesis_13:11;8
Genesis_13:12;8
Genesis_13:13;8
Genesis_13:14;9
Genesis_13:15;4
Genesis_13:16;4
Genesis_13:17;7
Genesis_13:18;7
Genesis_14:1;12
Genesis_14:2;5
Genesis_14:3;7
Genesis_14:4;6
Genesis_14:5;8
Genesis_14:6;7
Genesis_14:7;5
Genesis_14:8;2
Genesis_14:9;4
Genesis_14:10;7
Genesis_14:11;2
Genesis_14:12;7
Genesis_14:13;9
Genesis_14:14;9
Genesis_14:15;9
Genesis_14:16;4
Genesis_14:17;4
Genesis_14:18;12
Genesis_14:19;8
Genesis_14:20;9
Genesis_14:21;4
Genesis_14:22;9
Genesis_14:23;8
Genesis_14:24;8
Genesis_15:1;11
Genesis_15:2;8
Genesis_15:3;5
Genesis_15:4;5
Genesis_15:5;8
Genesis_15:6;10
Genesis_15:7;6
Genesis_15:8;6
Genesis_15:9;9
Genesis_15:10;5
Genesis_15:11;7
Genesis_15:12;8
Genesis_15:13;11
Genesis_15:14;9
Genesis_15:15;9
Genesis_15:16;10
Genesis_15:17;7
Genesis_15:18;6
Genesis_15:19;4
Genesis_15:20;4
Genesis_15:21;1
Genesis_16:1;6
Genesis_16:2;8
Genesis_16:3;8
Genesis_16:4;6
Genesis_16:5;8
Genesis_16:6;5
Genesis_16:7;6
Genesis_16:8;7
Genesis_16:9;5
Genesis_16:10;1
Genesis_16:11;8
Genesis_16:12;8
Genesis_16:13;7
Genesis_16:14;5
Genesis_16:15;4
Genesis_16:16;3
Genesis_17:1;11
Genesis_17:2;5
Genesis_17:3;8
Genesis_17:4;8
Genesis_17:5;8
Genesis_17:6;5
Genesis_17:7;4
Genesis_17:8;6
Genesis_17:9;7
Genesis_17:10;6
Genesis_17:11;7
Genesis_17:12;4
Genesis_17:13;7
Genesis_17:14;8
Genesis_17:15;6
Genesis_17:16;6
Genesis_17:17;8
Genesis_17:18;7
Genesis_17:19;8
Genesis_17:20;6
Genesis_17:21;4
