Talmud		Rambam		SMG		ShuA		Tur		Talmud	Rambam	SMG	ShuA	Tur	Comments					
daf.line	EM #	Book	chapter.halacha	Volume	mitzvah	Volume	siman.seif	Volume	siman.seif											
2a.3		שביתת יום טוב	1.19	לאוין	75	א"ח	513.1	א"ח	513	http://www.sefaria.org/Beitzah.2a.3	sefaria.org/Mishneh_Torah,_Rest_on_a_Holiday.1.19	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.75	sefaria.org/Shulchan_Arukh,_Orach_Chayim.513.1	sefaria.org/Tur,_Orach_Chaim.513		Beitzah.2a.3	Mishneh_Torah,_Rest_on_a_Holiday.1.19	Sefer_Mitzvot_Gadol,_Volume_One.75	Shulchan_Arukh,_Orach_Chayim.513.1	Tur,_Orach_Chaim.513
2a.6		חמץ ומצה	1.2			א"ח	442.7	א"ח	442	http://www.sefaria.org/Beitzah.2a.6	sefaria.org/Mishneh_Torah,_Leavened_and_Unleavened_Bread.1.2		sefaria.org/Shulchan_Arukh,_Orach_Chayim.442.7	sefaria.org/Tur,_Orach_Chaim.442		Beitzah.2a.6	Mishneh_Torah,_Leavened_and_Unleavened_Bread.1.2		Shulchan_Arukh,_Orach_Chayim.442.7	Tur,_Orach_Chaim.442
2a.9		שביתת יום טוב	3.1	לאוין	75	א"ח	498.14	א"ח	498	http://www.sefaria.org/Beitzah.2a.9	sefaria.org/Mishneh_Torah,_Rest_on_a_Holiday.3.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.75	sefaria.org/Shulchan_Arukh,_Orach_Chayim.498.14	sefaria.org/Tur,_Orach_Chaim.498		Beitzah.2a.9	Mishneh_Torah,_Rest_on_a_Holiday.3.1	Sefer_Mitzvot_Gadol,_Volume_One.75	Shulchan_Arukh,_Orach_Chayim.498.14	Tur,_Orach_Chaim.498
2a.25		שבת	26.16	לאוין	65	א"ח	308.27	א"ח	308	http://www.sefaria.org/Beitzah.2a.25	sefaria.org/Mishneh_Torah,_Sabbath.26.16	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.65	sefaria.org/Shulchan_Arukh,_Orach_Chayim.308.27	sefaria.org/Tur,_Orach_Chaim.308		Beitzah.2a.25	Mishneh_Torah,_Sabbath.26.16	Sefer_Mitzvot_Gadol,_Volume_One.65	Shulchan_Arukh,_Orach_Chayim.308.27	Tur,_Orach_Chaim.308
2a.31		שבת	21.18	לאוין	65	א"ח	324.6	א"ח	324	http://www.sefaria.org/Beitzah.2a.31	sefaria.org/Mishneh_Torah,_Sabbath.21.18	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.65	sefaria.org/Shulchan_Arukh,_Orach_Chayim.324.6	sefaria.org/Tur,_Orach_Chaim.324		Beitzah.2a.31	Mishneh_Torah,_Sabbath.21.18	Sefer_Mitzvot_Gadol,_Volume_One.65	Shulchan_Arukh,_Orach_Chayim.324.6	Tur,_Orach_Chaim.324
2a.31		שבת	21.18			א"ח	324.7	א"ח	324	http://www.sefaria.org/Beitzah.2a.31	sefaria.org/Mishneh_Torah,_Sabbath.21.18		sefaria.org/Shulchan_Arukh,_Orach_Chayim.324.7	sefaria.org/Tur,_Orach_Chaim.324		Beitzah.2a.31	Mishneh_Torah,_Sabbath.21.18		Shulchan_Arukh,_Orach_Chayim.324.7	Tur,_Orach_Chaim.324
2b.2		שביתת יום טוב	2.12	לאוין	75	א"ח	501.1	א"ח	501	http://www.sefaria.org/Beitzah.2b.2	sefaria.org/Mishneh_Torah,_Rest_on_a_Holiday.2.12	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.75	sefaria.org/Shulchan_Arukh,_Orach_Chayim.501.1	sefaria.org/Tur,_Orach_Chaim.501		Beitzah.2b.2	Mishneh_Torah,_Rest_on_a_Holiday.2.12	Sefer_Mitzvot_Gadol,_Volume_One.75	Shulchan_Arukh,_Orach_Chayim.501.1	Tur,_Orach_Chaim.501
2b.5		שביתת יום טוב	1.17	לאוין	75	א"ח	495.4	א"ח	495	http://www.sefaria.org/Beitzah.2b.5	sefaria.org/Mishneh_Torah,_Rest_on_a_Holiday.1.17	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.75	sefaria.org/Shulchan_Arukh,_Orach_Chayim.495.4	sefaria.org/Tur,_Orach_Chaim.495		Beitzah.2b.5	Mishneh_Torah,_Rest_on_a_Holiday.1.17	Sefer_Mitzvot_Gadol,_Volume_One.75	Shulchan_Arukh,_Orach_Chayim.495.4	Tur,_Orach_Chaim.495
2b.14		שביתת יום טוב	1.19	לאוין	75	א"ח	550.1	א"ח	550	http://www.sefaria.org/Beitzah.2b.14	sefaria.org/Mishneh_Torah,_Rest_on_a_Holiday.1.19	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.75	sefaria.org/Shulchan_Arukh,_Orach_Chayim.550.1	sefaria.org/Tur,_Orach_Chaim.550		Beitzah.2b.14	Mishneh_Torah,_Rest_on_a_Holiday.1.19	Sefer_Mitzvot_Gadol,_Volume_One.75	Shulchan_Arukh,_Orach_Chayim.550.1	Tur,_Orach_Chaim.550
2b.14						א"ח	513.5	א"ח	513	http://www.sefaria.org/Beitzah.2b.14			sefaria.org/Shulchan_Arukh,_Orach_Chayim.513.5	sefaria.org/Tur,_Orach_Chaim.513		Beitzah.2b.14			Shulchan_Arukh,_Orach_Chayim.513.5	Tur,_Orach_Chaim.513
2b.14						א"ח	527.1	א"ח	527	http://www.sefaria.org/Beitzah.2b.14			sefaria.org/Shulchan_Arukh,_Orach_Chayim.527.1	sefaria.org/Tur,_Orach_Chaim.527						
2b.17		שביתת יום טוב	1.19	לאוין	75	א"ח	550.1	א"ח	550	http://www.sefaria.org/Beitzah.2b.17	sefaria.org/Mishneh_Torah,_Rest_on_a_Holiday.1.19	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.75	sefaria.org/Shulchan_Arukh,_Orach_Chayim.550.1	sefaria.org/Tur,_Orach_Chaim.550		Beitzah.2b.17	Mishneh_Torah,_Rest_on_a_Holiday.1.19	Sefer_Mitzvot_Gadol,_Volume_One.75	Shulchan_Arukh,_Orach_Chayim.550.1	Tur,_Orach_Chaim.550
2b.17						א"ח	513.5	א"ח	513	http://www.sefaria.org/Beitzah.2b.17			sefaria.org/Shulchan_Arukh,_Orach_Chayim.513.5	sefaria.org/Tur,_Orach_Chaim.513		Beitzah.2b.17			Shulchan_Arukh,_Orach_Chayim.513.5	Tur,_Orach_Chaim.513
2b.17						א"ח	527.1	א"ח	527	http://www.sefaria.org/Beitzah.2b.17			sefaria.org/Shulchan_Arukh,_Orach_Chayim.527.1	sefaria.org/Tur,_Orach_Chaim.527						
2b.20		שביתת יום טוב	1.19			א"ח	513.1	א"ח	513	http://www.sefaria.org/Beitzah.2b.20	sefaria.org/Mishneh_Torah,_Rest_on_a_Holiday.1.19		sefaria.org/Shulchan_Arukh,_Orach_Chayim.513.1	sefaria.org/Tur,_Orach_Chaim.513		Beitzah.2b.20	Mishneh_Torah,_Rest_on_a_Holiday.1.19		Shulchan_Arukh,_Orach_Chayim.513.1	Tur,_Orach_Chaim.513
2b.22		שביתת יום טוב	1.19			א"ח	322.1	א"ח	322	http://www.sefaria.org/Beitzah.2b.22	sefaria.org/Mishneh_Torah,_Rest_on_a_Holiday.1.19		sefaria.org/Shulchan_Arukh,_Orach_Chayim.322.1	sefaria.org/Tur,_Orach_Chaim.322		Beitzah.2b.22	Mishneh_Torah,_Rest_on_a_Holiday.1.19		Shulchan_Arukh,_Orach_Chayim.322.1	Tur,_Orach_Chaim.322
2b.22						א"ח	322.2	א"ח	322	http://www.sefaria.org/Beitzah.2b.22			sefaria.org/Shulchan_Arukh,_Orach_Chayim.322.2	sefaria.org/Tur,_Orach_Chaim.322						
2b.32		שבת	21.7	לאוין	65	א"ח	322.3	א"ח	322	http://www.sefaria.org/Beitzah.2b.32	sefaria.org/Mishneh_Torah,_Sabbath.21.7	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.65	sefaria.org/Shulchan_Arukh,_Orach_Chayim.322.3	sefaria.org/Tur,_Orach_Chaim.322		Beitzah.2b.32	Mishneh_Torah,_Sabbath.21.7	Sefer_Mitzvot_Gadol,_Volume_One.65	Shulchan_Arukh,_Orach_Chayim.322.3	Tur,_Orach_Chaim.322
