Megillah		Rambam		SMG		ShuA		Tur		Talmud	Rambam	SMG	ShuA	Tur	Comments					
daf.line	EM #	Book	chapter.halacha	Volume	mitzvah	Volume	siman.seif	Volume	siman.seif											
18a.3								א"ח	120	http://www.sefaria.org/Megillah.18a.3				sefaria.org/Tur,_Orach_Chaim.120		Megillah.18a.3				Tur,_Orach_Chaim.120
18a.4								א"ח	121	http://www.sefaria.org/Megillah.18a.4				sefaria.org/Tur,_Orach_Chaim.121		Megillah.18a.4				Tur,_Orach_Chaim.121
18a.13								א"ח	122	http://www.sefaria.org/Megillah.18a.13				sefaria.org/Tur,_Orach_Chaim.122		Megillah.18a.13				Tur,_Orach_Chaim.122
18a.55		מגילה וחנוכה	2.4	עשין דרבנן ד	1	א"ח	690.9	א"ח	690	http://www.sefaria.org/Megillah.18a.55	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.4	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	sefaria.org/Shulchan_Arukh,_Orach_Chayim.690.9	sefaria.org/Tur,_Orach_Chaim.690		Megillah.18a.55	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.4	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	Shulchan_Arukh,_Orach_Chayim.690.9	Tur,_Orach_Chaim.690
18a.60		מגילה וחנוכה	2.3						0	http://www.sefaria.org/Megillah.18a.60	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.3					Megillah.18a.60	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.3			
18b.12		מגילה וחנוכה	2.1			א"ח	690.5	א"ח	690	http://www.sefaria.org/Megillah.18b.12	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.1		sefaria.org/Shulchan_Arukh,_Orach_Chayim.690.5	sefaria.org/Tur,_Orach_Chaim.690		Megillah.18b.12	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.1		Shulchan_Arukh,_Orach_Chayim.690.5	Tur,_Orach_Chaim.690
18b.27		יבום וחליצה	7.8	עשין	51	אה"ע	159.5	אה"ע	159	http://www.sefaria.org/Megillah.18b.27	sefaria.org/Mishneh_Torah,_Levirate_Marriage_and_Release.7.8	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.51	sefaria.org/Shulchan_Arukh,_Even_HaEzer.159.5	sefaria.org/Tur,_Even_HaEzer.159		Megillah.18b.27	Mishneh_Torah,_Levirate_Marriage_and_Release.7.8	Sefer_Mitzvot_Gadol,_Volume_Two.51	Shulchan_Arukh,_Even_HaEzer.159.5	Tur,_Even_HaEzer.159
18b.27		יבום וחליצה	1.14						0	http://www.sefaria.org/Megillah.18b.27	sefaria.org/Mishneh_Torah,_Levirate_Marriage_and_Release.1.14					Megillah.18b.27	Mishneh_Torah,_Levirate_Marriage_and_Release.1.14			
18b.29		מגילה וחנוכה	2.10	עשין דרבנן ד	1	א"ח	690.3	א"ח	690	http://www.sefaria.org/Megillah.18b.29	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.10	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	sefaria.org/Shulchan_Arukh,_Orach_Chayim.690.3	sefaria.org/Tur,_Orach_Chaim.690		Megillah.18b.29	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.10	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	Shulchan_Arukh,_Orach_Chayim.690.3	Tur,_Orach_Chaim.690
18b.31		מגילה וחנוכה	2.10	עשין דרבנן ד	1	א"ח	690.3	א"ח	690	http://www.sefaria.org/Megillah.18b.31	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.10	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	sefaria.org/Shulchan_Arukh,_Orach_Chayim.690.3	sefaria.org/Tur,_Orach_Chaim.690		Megillah.18b.31	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.10	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	Shulchan_Arukh,_Orach_Chayim.690.3	Tur,_Orach_Chaim.690
18b.33		מגילה וחנוכה	2.10	עשין דרבנן ד	1	א"ח	690.3	א"ח	690	http://www.sefaria.org/Megillah.18b.33	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.10	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	sefaria.org/Shulchan_Arukh,_Orach_Chayim.690.3	sefaria.org/Tur,_Orach_Chaim.690		Megillah.18b.33	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.10	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	Shulchan_Arukh,_Orach_Chayim.690.3	Tur,_Orach_Chaim.690
18b.35		מגילה וחנוכה	2.1			א"ח	690.6	א"ח	690	http://www.sefaria.org/Megillah.18b.35	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.1		sefaria.org/Shulchan_Arukh,_Orach_Chayim.690.6	sefaria.org/Tur,_Orach_Chaim.690		Megillah.18b.35	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.1		Shulchan_Arukh,_Orach_Chayim.690.6	Tur,_Orach_Chaim.690
18b.36		מגילה וחנוכה	2.2						0	http://www.sefaria.org/Megillah.18b.36	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.2					Megillah.18b.36	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.2			
18b.51		מגילה וחנוכה	2.6			א"ח	690.13	א"ח	690	http://www.sefaria.org/Megillah.18b.51	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.6		sefaria.org/Shulchan_Arukh,_Orach_Chayim.690.13	sefaria.org/Tur,_Orach_Chaim.690		Megillah.18b.51	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.6		Shulchan_Arukh,_Orach_Chayim.690.13	Tur,_Orach_Chaim.690
18b.53		תפילין ומזוזה וספר תורה	1.12			י"ד	274.2	י"ד	274	http://www.sefaria.org/Megillah.18b.53	sefaria.org/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.1.12		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.274.2	sefaria.org/Tur,_Yoreh_Deah.274		Megillah.18b.53	Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.1.12		Shulchan_Arukh,_Yoreh_De'ah.274.2	Tur,_Yoreh_Deah.274
18b.73		תפילין ומזוזה וספר תורה	1.12			א"ח	32.6	א"ח	32	http://www.sefaria.org/Megillah.18b.73	sefaria.org/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.1.12		sefaria.org/Shulchan_Arukh,_Orach_Chayim.32.6	sefaria.org/Tur,_Orach_Chaim.32		Megillah.18b.73	Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.1.12		Shulchan_Arukh,_Orach_Chayim.32.6	Tur,_Orach_Chaim.32
18b.74		תפילין ומזוזה וספר תורה	1.12			י"ד	288.8	י"ד	288	http://www.sefaria.org/Megillah.18b.74	sefaria.org/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.1.12		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.288.8	sefaria.org/Tur,_Yoreh_Deah.288		Megillah.18b.74	Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.1.12		Shulchan_Arukh,_Yoreh_De'ah.288.8	Tur,_Yoreh_Deah.288
18b.74		תפילין ומזוזה וספר תורה	5.3						0	http://www.sefaria.org/Megillah.18b.74	sefaria.org/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.5.3					Megillah.18b.74	Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.5.3			
18b.75		תפילין ומזוזה וספר תורה	1.12			א"ח	32.29	א"ח	32	http://www.sefaria.org/Megillah.18b.75	sefaria.org/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.1.12		sefaria.org/Shulchan_Arukh,_Orach_Chayim.32.29	sefaria.org/Tur,_Orach_Chaim.32		Megillah.18b.75	Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.1.12		Shulchan_Arukh,_Orach_Chayim.32.29	Tur,_Orach_Chaim.32
18b.75						א"ח	32.31	א"ח	32	http://www.sefaria.org/Megillah.18b.75			sefaria.org/Shulchan_Arukh,_Orach_Chayim.32.31	sefaria.org/Tur,_Orach_Chaim.32		Megillah.18b.75			Shulchan_Arukh,_Orach_Chayim.32.31	Tur,_Orach_Chaim.32
18b.75								י"ד	288	http://www.sefaria.org/Megillah.18b.75				sefaria.org/Tur,_Yoreh_Deah.288		Megillah.18b.75				Tur,_Yoreh_Deah.288
19a.7		מגילה וחנוכה	1.10			א"ח	688.5	א"ח	688	http://www.sefaria.org/Megillah.19a.7	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.10		sefaria.org/Shulchan_Arukh,_Orach_Chayim.688.5	sefaria.org/Tur,_Orach_Chaim.688		Megillah.19a.7	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.10		Shulchan_Arukh,_Orach_Chayim.688.5	Tur,_Orach_Chaim.688
19a.10		מגילה וחנוכה	1.3			א"ח	690.3	א"ח	690	http://www.sefaria.org/Megillah.19a.10	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.3		sefaria.org/Shulchan_Arukh,_Orach_Chayim.690.3	sefaria.org/Tur,_Orach_Chaim.690		Megillah.19a.10	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.3		Shulchan_Arukh,_Orach_Chayim.690.3	Tur,_Orach_Chaim.690
19a.15		מגילה וחנוכה	1.10			א"ח	688.5	א"ח	688	http://www.sefaria.org/Megillah.19a.15	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.10		sefaria.org/Shulchan_Arukh,_Orach_Chayim.688.5	sefaria.org/Tur,_Orach_Chaim.688		Megillah.19a.15	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.10		Shulchan_Arukh,_Orach_Chayim.688.5	Tur,_Orach_Chaim.688
19a.48		מגילה וחנוכה	2.6			א"ח	690.3	א"ח	690	http://www.sefaria.org/Megillah.19a.48	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.6		sefaria.org/Shulchan_Arukh,_Orach_Chayim.690.3	sefaria.org/Tur,_Orach_Chaim.690		Megillah.19a.48	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.6		Shulchan_Arukh,_Orach_Chayim.690.3	Tur,_Orach_Chaim.690
19a.50		מגילה וחנוכה	2.11	עשין דרבנן ד	1	א"ח	691.5	א"ח	691	http://www.sefaria.org/Megillah.19a.50	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.11	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	sefaria.org/Shulchan_Arukh,_Orach_Chayim.691.5	sefaria.org/Tur,_Orach_Chaim.691		Megillah.19a.50	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.11	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	Shulchan_Arukh,_Orach_Chayim.691.5	Tur,_Orach_Chaim.691
19a.50		מגילה וחנוכה	2.11			א"ח	691.6	א"ח	691	http://www.sefaria.org/Megillah.19a.50	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.11		sefaria.org/Shulchan_Arukh,_Orach_Chayim.691.6	sefaria.org/Tur,_Orach_Chaim.691		Megillah.19a.50	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.11		Shulchan_Arukh,_Orach_Chayim.691.6	Tur,_Orach_Chaim.691
19a.50		מגילה וחנוכה	2.11	עשין דרבנן ד	1	א"ח	691.5	א"ח	691	http://www.sefaria.org/Megillah.19a.50	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.11	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	sefaria.org/Shulchan_Arukh,_Orach_Chayim.691.5	sefaria.org/Tur,_Orach_Chaim.691		Megillah.19a.50	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.11	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	Shulchan_Arukh,_Orach_Chayim.691.5	Tur,_Orach_Chaim.691
19a.50		מגילה וחנוכה	2.11			א"ח	691.6	א"ח	691	http://www.sefaria.org/Megillah.19a.50	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.11		sefaria.org/Shulchan_Arukh,_Orach_Chayim.691.6	sefaria.org/Tur,_Orach_Chaim.691		Megillah.19a.50	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.11		Shulchan_Arukh,_Orach_Chayim.691.6	Tur,_Orach_Chaim.691
19a.53		מגילה וחנוכה	2.8			א"ח	691.8	א"ח	691	http://www.sefaria.org/Megillah.19a.53	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.8		sefaria.org/Shulchan_Arukh,_Orach_Chayim.691.8	sefaria.org/Tur,_Orach_Chaim.691		Megillah.19a.53	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.8		Shulchan_Arukh,_Orach_Chayim.691.8	Tur,_Orach_Chaim.691
19a.55		מגילה וחנוכה	2.8			א"ח	691.8	א"ח	691	http://www.sefaria.org/Megillah.19a.55	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.8		sefaria.org/Shulchan_Arukh,_Orach_Chayim.691.8	sefaria.org/Tur,_Orach_Chaim.691		Megillah.19a.55	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.8		Shulchan_Arukh,_Orach_Chayim.691.8	Tur,_Orach_Chaim.691
19b.7		מגילה וחנוכה	2.8	עשין דרבנן ד	1	א"ח	691.8	א"ח	691	http://www.sefaria.org/Megillah.19b.7	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.8	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	sefaria.org/Shulchan_Arukh,_Orach_Chayim.691.8	sefaria.org/Tur,_Orach_Chaim.691		Megillah.19b.7	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.2.8	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	Shulchan_Arukh,_Orach_Chayim.691.8	Tur,_Orach_Chaim.691
19b.11		תפילין ומזוזה וספר תורה	9.14	עשין	25	י"ד	278.1	י"ד	278	http://www.sefaria.org/Megillah.19b.11	sefaria.org/Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.9.14	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.25	sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.278.1	sefaria.org/Tur,_Yoreh_Deah.278		Megillah.19b.11	Mishneh_Torah,_Tefillin,_Mezuzah_and_the_Torah_Scroll.9.14	Sefer_Mitzvot_Gadol,_Volume_Two.25	Shulchan_Arukh,_Yoreh_De'ah.278.1	Tur,_Yoreh_Deah.278
19b.11						א"ח	691.7	א"ח	691	http://www.sefaria.org/Megillah.19b.11			sefaria.org/Shulchan_Arukh,_Orach_Chayim.691.7	sefaria.org/Tur,_Orach_Chaim.691		Megillah.19b.11			Shulchan_Arukh,_Orach_Chayim.691.7	Tur,_Orach_Chaim.691
19b.16		מגילה וחנוכה	1.2	עשין דרבנן ד	1	א"ח	689.2	א"ח	689	http://www.sefaria.org/Megillah.19b.16	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.2	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	sefaria.org/Shulchan_Arukh,_Orach_Chayim.689.2	sefaria.org/Tur,_Orach_Chaim.689		Megillah.19b.16	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.2	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	Shulchan_Arukh,_Orach_Chayim.689.2	Tur,_Orach_Chaim.689
19b.40		ברכות	1.7			א"ח	185.2	א"ח	185	http://www.sefaria.org/Megillah.19b.40	sefaria.org/Mishneh_Torah,_Blessings.1.7		sefaria.org/Shulchan_Arukh,_Orach_Chayim.185.2	sefaria.org/Tur,_Orach_Chaim.185		Megillah.19b.40	Mishneh_Torah,_Blessings.1.7		Shulchan_Arukh,_Orach_Chayim.185.2	Tur,_Orach_Chaim.185
20a.25						א"ח	687.1	א"ח	687	http://www.sefaria.org/Megillah.20a.25			sefaria.org/Shulchan_Arukh,_Orach_Chayim.687.1	sefaria.org/Tur,_Orach_Chaim.687		Megillah.20a.25			Shulchan_Arukh,_Orach_Chayim.687.1	Tur,_Orach_Chaim.687
20a.25		מילה	1.8	עשין	28	י"ד	262.1	י"ד	262	http://www.sefaria.org/Megillah.20a.25	sefaria.org/Mishneh_Torah,_Circumcision.1.8	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.28	sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.262.1	sefaria.org/Tur,_Yoreh_Deah.262		Megillah.20a.25	Mishneh_Torah,_Circumcision.1.8	Sefer_Mitzvot_Gadol,_Volume_Two.28	Shulchan_Arukh,_Yoreh_De'ah.262.1	Tur,_Yoreh_Deah.262
20a.25		מקואות	1.6	עשין	248				0	http://www.sefaria.org/Megillah.20a.25	sefaria.org/Mishneh_Torah,_Immersion_Pools.1.6	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.248				Megillah.20a.25	Mishneh_Torah,_Immersion_Pools.1.6	Sefer_Mitzvot_Gadol,_Volume_Two.248		
20a.25		פרה אדומה	11.1	עשין	233				0	http://www.sefaria.org/Megillah.20a.25	sefaria.org/Mishneh_Torah,_Red_Heifer.11.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.233				Megillah.20a.25	Mishneh_Torah,_Red_Heifer.11.1	Sefer_Mitzvot_Gadol,_Volume_Two.233		
20a.25		איסורי ביאה	6.9	לאוין	111			י"ד	183	http://www.sefaria.org/Megillah.20a.25	sefaria.org/Mishneh_Torah,_Forbidden_Intercourse.6.9	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.111		sefaria.org/Tur,_Yoreh_Deah.183		Megillah.20a.25	Mishneh_Torah,_Forbidden_Intercourse.6.9	Sefer_Mitzvot_Gadol,_Volume_One.111		Tur,_Yoreh_Deah.183
20a.25				עשין	243				0	http://www.sefaria.org/Megillah.20a.25		sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.243				Megillah.20a.25		Sefer_Mitzvot_Gadol,_Volume_Two.243		
20b.12		מגילה וחנוכה	1.3	עשין דרבנן ד	1	א"ח	687.1	א"ח	687	http://www.sefaria.org/Megillah.20b.12	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.3	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	sefaria.org/Shulchan_Arukh,_Orach_Chayim.687.1	sefaria.org/Tur,_Orach_Chaim.687		Megillah.20b.12	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.3	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	Shulchan_Arukh,_Orach_Chayim.687.1	Tur,_Orach_Chaim.687
20b.12								א"ח	688	http://www.sefaria.org/Megillah.20b.12				sefaria.org/Tur,_Orach_Chaim.688		Megillah.20b.12				Tur,_Orach_Chaim.688
20b.12		מגילה וחנוכה	3.9						0	http://www.sefaria.org/Megillah.20b.12	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.3.9					Megillah.20b.12	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.3.9			
20b.12						א"ח	588.1	א"ח	588	http://www.sefaria.org/Megillah.20b.12			sefaria.org/Shulchan_Arukh,_Orach_Chayim.588.1	sefaria.org/Tur,_Orach_Chaim.588		Megillah.20b.12			Shulchan_Arukh,_Orach_Chayim.588.1	Tur,_Orach_Chaim.588
20b.12		שופר וסוכה ולולב	7.10	עשין	44	א"ח	652.1	א"ח	652	http://www.sefaria.org/Megillah.20b.12	sefaria.org/Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.7.10	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.44	sefaria.org/Shulchan_Arukh,_Orach_Chayim.652.1	sefaria.org/Tur,_Orach_Chaim.652		Megillah.20b.12	Mishneh_Torah,_Shofar,_Sukkah_and_Lulav.7.10	Sefer_Mitzvot_Gadol,_Volume_Two.44	Shulchan_Arukh,_Orach_Chayim.652.1	Tur,_Orach_Chaim.652
20b.12		תפילה וברכת כהנים	3.5	עשין	19	א"ח	286.1	א"ח	286	http://www.sefaria.org/Megillah.20b.12	sefaria.org/Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.3.5	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.19	sefaria.org/Shulchan_Arukh,_Orach_Chayim.286.1	sefaria.org/Tur,_Orach_Chaim.286		Megillah.20b.12	Mishneh_Torah,_Prayer_and_the_Priestly_Blessing.3.5	Sefer_Mitzvot_Gadol,_Volume_Two.19	Shulchan_Arukh,_Orach_Chayim.286.1	Tur,_Orach_Chaim.286
20b.12		מעשה הקרבנות	4.6	עשין	183				0	http://www.sefaria.org/Megillah.20b.12	sefaria.org/Mishneh_Torah,_Sacrificial_Procedure.4.6	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.183				Megillah.20b.12	Mishneh_Torah,_Sacrificial_Procedure.4.6	Sefer_Mitzvot_Gadol,_Volume_Two.183		
20b.12		עבודת יום הכפורים	2.7						0	http://www.sefaria.org/Megillah.20b.12	sefaria.org/Mishneh_Torah,_Service_on_the_Day_of_Atonement.2.7					Megillah.20b.12	Mishneh_Torah,_Service_on_the_Day_of_Atonement.2.7			
20b.12		מעשר שני ונטע רבעי	11.4			י"ד	331.142	י"ד	331	http://www.sefaria.org/Megillah.20b.12	sefaria.org/Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.11.4		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.331.142	sefaria.org/Tur,_Yoreh_Deah.331		Megillah.20b.12	Mishneh_Torah,_Second_Tithes_and_Fourth_Year's_Fruit.11.4		Shulchan_Arukh,_Yoreh_De'ah.331.142	Tur,_Yoreh_Deah.331
20b.12		עבודת יום הכפורים	2.7						0	http://www.sefaria.org/Megillah.20b.12	sefaria.org/Mishneh_Torah,_Service_on_the_Day_of_Atonement.2.7					Megillah.20b.12	Mishneh_Torah,_Service_on_the_Day_of_Atonement.2.7			
20b.12		מעשה הקרבנות	4.6	עשין	183				0	http://www.sefaria.org/Megillah.20b.12	sefaria.org/Mishneh_Torah,_Sacrificial_Procedure.4.6	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.183				Megillah.20b.12	Mishneh_Torah,_Sacrificial_Procedure.4.6	Sefer_Mitzvot_Gadol,_Volume_Two.183		
20b.12		פרה אדומה	6.2						0	http://www.sefaria.org/Megillah.20b.12	sefaria.org/Mishneh_Torah,_Red_Heifer.6.2					Megillah.20b.12	Mishneh_Torah,_Red_Heifer.6.2			
20b.12		סוטה	4.2	עשין	56				0	http://www.sefaria.org/Megillah.20b.12	sefaria.org/Mishneh_Torah,_Woman_Suspected_of_Infidelity.4.2	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.56				Megillah.20b.12	Mishneh_Torah,_Woman_Suspected_of_Infidelity.4.2	Sefer_Mitzvot_Gadol,_Volume_Two.56		
20b.12		רוצח ושמירת נפש	10.5	עשין	78				0	http://www.sefaria.org/Megillah.20b.12	sefaria.org/Mishneh_Torah,_Murderer_and_the_Preservation_of_Life.10.5	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.78				Megillah.20b.12	Mishneh_Torah,_Murderer_and_the_Preservation_of_Life.10.5	Sefer_Mitzvot_Gadol,_Volume_Two.78		
20b.12		טומאת צרעת	11.3	עשין	236				0	http://www.sefaria.org/Megillah.20b.12	sefaria.org/Mishneh_Torah,_Defilement_by_Leprosy.11.3	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.236				Megillah.20b.12	Mishneh_Torah,_Defilement_by_Leprosy.11.3	Sefer_Mitzvot_Gadol,_Volume_Two.236		
20b.12				עשין	237				0	http://www.sefaria.org/Megillah.20b.12		sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.237				Megillah.20b.12		Sefer_Mitzvot_Gadol,_Volume_Two.237		
20b.13		תמידים ומוספין	6.7	עשין	159				0	http://www.sefaria.org/Megillah.20b.13	sefaria.org/Mishneh_Torah,_Daily_Offerings_and_Additional_Offerings.6.7	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.159				Megillah.20b.13	Mishneh_Torah,_Daily_Offerings_and_Additional_Offerings.6.7	Sefer_Mitzvot_Gadol,_Volume_Two.159		
20b.13		מעשה הקרבנות	4.6	עשין	163				0	http://www.sefaria.org/Megillah.20b.13	sefaria.org/Mishneh_Torah,_Sacrificial_Procedure.4.6	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.163				Megillah.20b.13	Mishneh_Torah,_Sacrificial_Procedure.4.6	Sefer_Mitzvot_Gadol,_Volume_Two.163		
20b.14		מעשה הקרבנות	4.6	עשין	163				0	http://www.sefaria.org/Megillah.20b.14	sefaria.org/Mishneh_Torah,_Sacrificial_Procedure.4.6	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.163				Megillah.20b.14	Mishneh_Torah,_Sacrificial_Procedure.4.6	Sefer_Mitzvot_Gadol,_Volume_Two.163		
20b.24		עבודת יום הכפורים	2.6						0	http://www.sefaria.org/Megillah.20b.24	sefaria.org/Mishneh_Torah,_Service_on_the_Day_of_Atonement.2.6					Megillah.20b.24	Mishneh_Torah,_Service_on_the_Day_of_Atonement.2.6			
21a.6		תמידים ומוספין	7.22	עשין	200	א"ח	489.1	א"ח	489	http://www.sefaria.org/Megillah.21a.6	sefaria.org/Mishneh_Torah,_Daily_Offerings_and_Additional_Offerings.7.22	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.200	sefaria.org/Shulchan_Arukh,_Orach_Chayim.489.1	sefaria.org/Tur,_Orach_Chaim.489		Megillah.21a.6	Mishneh_Torah,_Daily_Offerings_and_Additional_Offerings.7.22	Sefer_Mitzvot_Gadol,_Volume_Two.200	Shulchan_Arukh,_Orach_Chayim.489.1	Tur,_Orach_Chaim.489
21a.15		קרבן פסח	8.15	עשין	226				0	http://www.sefaria.org/Megillah.21a.15	sefaria.org/Mishneh_Torah,_Paschal_Offering.8.15	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.226				Megillah.21a.15	Mishneh_Torah,_Paschal_Offering.8.15	Sefer_Mitzvot_Gadol,_Volume_Two.226		
