Megillah		Rambam		SMG		ShuA		Tur		Talmud	Rambam	SMG	ShuA	Tur	Comments					
daf.line	EM #	Book	chapter.halacha	Volume	mitzvah	Volume	siman.seif	Volume	siman.seif											
2b.48		מגילה וחנוכה	1.5						0	http://www.sefaria.org/Megillah.2b.48	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.5					Megillah.2b.48	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.5			
2b.48		מגילה וחנוכה	1.10						0	http://www.sefaria.org/Megillah.2b.48	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.10					Megillah.2b.48	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.10			
2b.51		מגילה וחנוכה	1.4	עשין דרבנן ד	1	א"ח	688.2	א"ח	688	http://www.sefaria.org/Megillah.2b.51	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.4	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	sefaria.org/Shulchan_Arukh,_Orach_Chayim.688.2	sefaria.org/Tur,_Orach_Chaim.688		Megillah.2b.51	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.4	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	Shulchan_Arukh,_Orach_Chayim.688.2	Tur,_Orach_Chaim.688
2b.51		מגילה וחנוכה	1.5						0	http://www.sefaria.org/Megillah.2b.51	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.5					Megillah.2b.51	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.5			
2b.51		מגילה וחנוכה	1.10						0	http://www.sefaria.org/Megillah.2b.51	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.10					Megillah.2b.51	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.10			
3a.47		מגילה וחנוכה	1.1	עשין דרבנן ד	1	א"ח	687.2	א"ח	687	http://www.sefaria.org/Megillah.3a.47	sefaria.org/Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.1	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	sefaria.org/Shulchan_Arukh,_Orach_Chayim.687.2	sefaria.org/Tur,_Orach_Chaim.687		Megillah.3a.47	Mishneh_Torah,_Scroll_of_Esther_and_Hanukkah.1.1	Sefer_Mitzvot_Gadol,_Volume_Two,_Laws_of_Megillah.1	Shulchan_Arukh,_Orach_Chayim.687.2	Tur,_Orach_Chaim.687
3b.8		שביתת יום טוב	6.24	עשין	2	א"ח	547.2	א"ח	547	http://www.sefaria.org/Megillah.3b.8	sefaria.org/Mishneh_Torah,_Rest_on_a_Holiday.6.24	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.2	sefaria.org/Shulchan_Arukh,_Orach_Chayim.547.2	sefaria.org/Tur,_Orach_Chaim.547		Megillah.3b.8	Mishneh_Torah,_Rest_on_a_Holiday.6.24	Sefer_Mitzvot_Gadol,_Volume_Two.2	Shulchan_Arukh,_Orach_Chayim.547.2	Tur,_Orach_Chaim.547
3b.8		אבל	11.5			י"ד	401.5	י"ד	401	http://www.sefaria.org/Megillah.3b.8	sefaria.org/Mishneh_Torah,_Mourning.11.5		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.401.5	sefaria.org/Tur,_Yoreh_Deah.401		Megillah.3b.8	Mishneh_Torah,_Mourning.11.5		Shulchan_Arukh,_Yoreh_De'ah.401.5	Tur,_Yoreh_Deah.401
3b.13		שביתת יום טוב	6.24	עשין	2	א"ח	547.2	א"ח	547	http://www.sefaria.org/Megillah.3b.13	sefaria.org/Mishneh_Torah,_Rest_on_a_Holiday.6.24	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.2	sefaria.org/Shulchan_Arukh,_Orach_Chayim.547.2	sefaria.org/Tur,_Orach_Chaim.547		Megillah.3b.13	Mishneh_Torah,_Rest_on_a_Holiday.6.24	Sefer_Mitzvot_Gadol,_Volume_Two.2	Shulchan_Arukh,_Orach_Chayim.547.2	Tur,_Orach_Chaim.547
3b.13		אבל	11.5			י"ד	401.5	י"ד	401	http://www.sefaria.org/Megillah.3b.13	sefaria.org/Mishneh_Torah,_Mourning.11.5		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.401.5	sefaria.org/Tur,_Yoreh_Deah.401		Megillah.3b.13	Mishneh_Torah,_Mourning.11.5		Shulchan_Arukh,_Yoreh_De'ah.401.5	Tur,_Yoreh_Deah.401
3b.20		אבל	14.9			י"ד	361.1	י"ד	361	http://www.sefaria.org/Megillah.3b.20	sefaria.org/Mishneh_Torah,_Mourning.14.9		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.361.1	sefaria.org/Tur,_Yoreh_Deah.361		Megillah.3b.20	Mishneh_Torah,_Mourning.14.9		Shulchan_Arukh,_Yoreh_De'ah.361.1	Tur,_Yoreh_Deah.361
3b.27		אבל	3.8			י"ד	374.1	י"ד	374	http://www.sefaria.org/Megillah.3b.27	sefaria.org/Mishneh_Torah,_Mourning.3.8		sefaria.org/Shulchan_Arukh,_Yoreh_De'ah.374.1	sefaria.org/Tur,_Yoreh_Deah.374		Megillah.3b.27	Mishneh_Torah,_Mourning.3.8		Shulchan_Arukh,_Yoreh_De'ah.374.1	Tur,_Yoreh_Deah.374
