Berakhot		Rambam		SMG		ShuA		Tur		Talmud	Rambam	SMG	ShuA	Tur	Comments					
daf.line	EM #	Book	chapter.halacha	Volume	mitzvah	Volume	siman.seif	Volume	siman.seif											
2a.2		קריאת שמע	1.9	עשין	18	א"ח	235.1	א"ח	235	http://www.sefaria.org/Berakhot.2a.2	sefaria.org/Mishneh_Torah,_Reading_the_Shema.1.9	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.18	sefaria.org/Shulchan_Arukh,_Orach_Chayim.235.1	sefaria.org/Tur,_Orach_Chaim.235		Berakhot.2a.2	Mishneh_Torah,_Reading_the_Shema.1.9	Sefer_Mitzvot_Gadol,_Volume_Two.18	Shulchan_Arukh,_Orach_Chayim.235.1	Tur,_Orach_Chaim.235
2a.4		קריאת שמע	1.9	עשין	18	א"ח	235.3	א"ח	235	http://www.sefaria.org/Berakhot.2a.4	sefaria.org/Mishneh_Torah,_Reading_the_Shema.1.9	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.18	sefaria.org/Shulchan_Arukh,_Orach_Chayim.235.3	sefaria.org/Tur,_Orach_Chaim.235		Berakhot.2a.4	Mishneh_Torah,_Reading_the_Shema.1.9	Sefer_Mitzvot_Gadol,_Volume_Two.18	Shulchan_Arukh,_Orach_Chayim.235.3	Tur,_Orach_Chaim.235
2a.6		קריאת שמע	1.9	עשין	18	א"ח	235.3	א"ח	235	http://www.sefaria.org/Berakhot.2a.6	sefaria.org/Mishneh_Torah,_Reading_the_Shema.1.9	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.18	sefaria.org/Shulchan_Arukh,_Orach_Chayim.235.3	sefaria.org/Tur,_Orach_Chaim.235		Berakhot.2a.6	Mishneh_Torah,_Reading_the_Shema.1.9	Sefer_Mitzvot_Gadol,_Volume_Two.18	Shulchan_Arukh,_Orach_Chayim.235.3	Tur,_Orach_Chaim.235
2a.12		מעשה הקרבנות	4.2	עשין	183				0	http://www.sefaria.org/Berakhot.2a.12	sefaria.org/Mishneh_Torah,_Sacrificial_Procedure.4.2	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.183				Berakhot.2a.12	Mishneh_Torah,_Sacrificial_Procedure.4.2	Sefer_Mitzvot_Gadol,_Volume_Two.183		
2a.12		מעשה הקרבנות	10.8	עשין	183				0	http://www.sefaria.org/Berakhot.2a.12	sefaria.org/Mishneh_Torah,_Sacrificial_Procedure.10.8	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.183				Berakhot.2a.12	Mishneh_Torah,_Sacrificial_Procedure.10.8	Sefer_Mitzvot_Gadol,_Volume_Two.183		
2a.22		קריאת שמע	1.5	עשין	19			א"ח	58	http://www.sefaria.org/Berakhot.2a.22	sefaria.org/Mishneh_Torah,_Reading_the_Shema.1.5	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_Two.19		sefaria.org/Tur,_Orach_Chaim.58		Berakhot.2a.22	Mishneh_Torah,_Reading_the_Shema.1.5	Sefer_Mitzvot_Gadol,_Volume_Two.19		Tur,_Orach_Chaim.58
2a.22						א"ח	236.1	א"ח	236	http://www.sefaria.org/Berakhot.2a.22			sefaria.org/Shulchan_Arukh,_Orach_Chayim.236.1	sefaria.org/Tur,_Orach_Chaim.236		Berakhot.2a.22			Shulchan_Arukh,_Orach_Chayim.236.1	Tur,_Orach_Chaim.236
2a.30		תרומות	7.2	לאוין	257				0	http://www.sefaria.org/Berakhot.2a.30	sefaria.org/Mishneh_Torah,_Heave_Offerings.7.2	sefaria.org/Sefer_Mitzvot_Gadol,_Volume_One.257				Berakhot.2a.30	Mishneh_Torah,_Heave_Offerings.7.2	Sefer_Mitzvot_Gadol,_Volume_One.257		
3a.13						א"ח	1.2	א"ח	1	http://www.sefaria.org/Berakhot.3a.13			sefaria.org/Shulchan_Arukh,_Orach_Chayim.1.2	sefaria.org/Tur,_Orach_Chaim.1		Berakhot.3a.13			Shulchan_Arukh,_Orach_Chayim.1.2	Tur,_Orach_Chaim.1
3a.13						א"ח	1.3	א"ח	1	http://www.sefaria.org/Berakhot.3a.13			sefaria.org/Shulchan_Arukh,_Orach_Chayim.1.3	sefaria.org/Tur,_Orach_Chaim.1		Berakhot.3a.13			Shulchan_Arukh,_Orach_Chayim.1.3	Tur,_Orach_Chaim.1
3a.56								א"ח	56	http://www.sefaria.org/Berakhot.3a.56				sefaria.org/Tur,_Orach_Chaim.56		Berakhot.3a.56				Tur,_Orach_Chaim.56
