Efodi Ref,Moreh Ref Script,Moreh Ref Sandwich Heuristic,Moreh Ref Last in Segment Heuristic
"Efodi on Guide for the Perplexed, Introduction, Letter to R Joseph son of Judah 1","Guide for the Perplexed, Introduction, Letter to R Joseph son of Judah 3",,
"Efodi on Guide for the Perplexed, Introduction, Letter to R Joseph son of Judah 2",,"Guide for the Perplexed, Introduction, Letter to R Joseph son of Judah 3",
"Efodi on Guide for the Perplexed, Introduction, Letter to R Joseph son of Judah 3","Guide for the Perplexed, Introduction, Letter to R Joseph son of Judah 3",,
"Efodi on Guide for the Perplexed, Introduction, Letter to R Joseph son of Judah 4","Guide for the Perplexed, Introduction, Letter to R Joseph son of Judah 3",,
"Efodi on Guide for the Perplexed, Introduction, Letter to R Joseph son of Judah 5",,"Guide for the Perplexed, Introduction, Letter to R Joseph son of Judah 3",
"Efodi on Guide for the Perplexed, Introduction, Letter to R Joseph son of Judah 6","Guide for the Perplexed, Introduction, Letter to R Joseph son of Judah 3",,
"Efodi on Guide for the Perplexed, Introduction, Letter to R Joseph son of Judah 7","Guide for the Perplexed, Introduction, Letter to R Joseph son of Judah 4",,
"Efodi on Guide for the Perplexed, Introduction, Letter to R Joseph son of Judah 8",,,"Guide for the Perplexed, Introduction, Letter to R Joseph son of Judah 4"
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 1","Guide for the Perplexed, Introduction, Prefatory Remarks 1",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 2","Guide for the Perplexed, Introduction, Prefatory Remarks 2",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 3","Guide for the Perplexed, Introduction, Prefatory Remarks 3",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 4","Guide for the Perplexed, Introduction, Prefatory Remarks 3",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 5","Guide for the Perplexed, Introduction, Prefatory Remarks 4",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 6","Guide for the Perplexed, Introduction, Prefatory Remarks 4",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 7","Guide for the Perplexed, Introduction, Prefatory Remarks 5",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 8","Guide for the Perplexed, Introduction, Prefatory Remarks 5",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 9","Guide for the Perplexed, Introduction, Prefatory Remarks 6",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 10","Guide for the Perplexed, Introduction, Prefatory Remarks 8",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 11","Guide for the Perplexed, Introduction, Prefatory Remarks 8",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 12","Guide for the Perplexed, Introduction, Prefatory Remarks 8",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 13","Guide for the Perplexed, Introduction, Prefatory Remarks 8",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 14","Guide for the Perplexed, Introduction, Prefatory Remarks 8",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 15","Guide for the Perplexed, Introduction, Prefatory Remarks 9",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 16","Guide for the Perplexed, Introduction, Prefatory Remarks 12",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 17","Guide for the Perplexed, Introduction, Prefatory Remarks 12",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 18","Guide for the Perplexed, Introduction, Prefatory Remarks 13",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 19","Guide for the Perplexed, Introduction, Prefatory Remarks 14",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 20","Guide for the Perplexed, Introduction, Prefatory Remarks 15",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 21","Guide for the Perplexed, Introduction, Prefatory Remarks 15",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 22","Guide for the Perplexed, Introduction, Prefatory Remarks 16",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 23","Guide for the Perplexed, Introduction, Prefatory Remarks 16",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 24","Guide for the Perplexed, Introduction, Prefatory Remarks 16",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 25","Guide for the Perplexed, Introduction, Prefatory Remarks 17",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 26",,,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 27","Guide for the Perplexed, Introduction, Prefatory Remarks 18",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 28","Guide for the Perplexed, Introduction, Prefatory Remarks 19",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 29","Guide for the Perplexed, Introduction, Prefatory Remarks 21",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 30","Guide for the Perplexed, Introduction, Prefatory Remarks 23",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 31","Guide for the Perplexed, Introduction, Prefatory Remarks 25",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 32","Guide for the Perplexed, Introduction, Prefatory Remarks 25",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 33","Guide for the Perplexed, Introduction, Prefatory Remarks 25",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 34","Guide for the Perplexed, Introduction, Prefatory Remarks 26",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 35","Guide for the Perplexed, Introduction, Prefatory Remarks 26",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 36","Guide for the Perplexed, Introduction, Prefatory Remarks 27",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 37","Guide for the Perplexed, Introduction, Prefatory Remarks 27",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 38","Guide for the Perplexed, Introduction, Prefatory Remarks 27",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 39","Guide for the Perplexed, Introduction, Prefatory Remarks 27",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 40","Guide for the Perplexed, Introduction, Prefatory Remarks 27",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 41","Guide for the Perplexed, Introduction, Prefatory Remarks 28",,
"Efodi on Guide for the Perplexed, Introduction, Prefatory Remarks 42","Guide for the Perplexed, Introduction, Prefatory Remarks 28",,
"Efodi on Guide for the Perplexed, Introduction, Introduction 1","Guide for the Perplexed, Introduction, Introduction 1",,
"Efodi on Guide for the Perplexed, Introduction, Introduction 2",,,
"Efodi on Guide for the Perplexed, Introduction, Introduction 3","Guide for the Perplexed, Introduction, Introduction 4",,
"Efodi on Guide for the Perplexed, Introduction, Introduction 4",,,
"Efodi on Guide for the Perplexed, Introduction, Introduction 5","Guide for the Perplexed, Introduction, Introduction 6",,
"Efodi on Guide for the Perplexed, Introduction, Introduction 6","Guide for the Perplexed, Introduction, Introduction 8",,
"Efodi on Guide for the Perplexed, Introduction, Introduction 7","Guide for the Perplexed, Introduction, Introduction 9",,
"Efodi on Guide for the Perplexed, Introduction, Introduction 8","Guide for the Perplexed, Introduction, Introduction 11",,
"Efodi on Guide for the Perplexed, Introduction, Introduction 9","Guide for the Perplexed, Introduction, Introduction 14",,
"Efodi on Guide for the Perplexed, Introduction, Introduction 10",,,
"Efodi on Guide for the Perplexed, Part 1 1:1","Guide for the Perplexed, Part 1 1:1",,
"Efodi on Guide for the Perplexed, Part 1 1:2","Guide for the Perplexed, Part 1 1:2",,
"Efodi on Guide for the Perplexed, Part 1 1:3","Guide for the Perplexed, Part 1 1:2",,
"Efodi on Guide for the Perplexed, Part 1 1:4","Guide for the Perplexed, Part 1 1:3",,
"Efodi on Guide for the Perplexed, Part 1 1:5","Guide for the Perplexed, Part 1 1:4",,
"Efodi on Guide for the Perplexed, Part 1 1:6","Guide for the Perplexed, Part 1 1:5",,
