Crescas,Guide for the Perplexed,Heuristcally Added
"Crescas on Guide for the Perplexed, Introduction, Prefatory Remarks 20",,
"Crescas on Guide for the Perplexed, Introduction, Prefatory Remarks 21","Guide for the Perplexed, Introduction, Prefatory Remarks 25",
"Crescas on Guide for the Perplexed, Introduction, Prefatory Remarks 22","Guide for the Perplexed, Introduction, Prefatory Remarks 25",
"Crescas on Guide for the Perplexed, Introduction, Prefatory Remarks 23","Guide for the Perplexed, Introduction, Prefatory Remarks 27",
"Crescas on Guide for the Perplexed, Introduction, Prefatory Remarks 24","Guide for the Perplexed, Introduction, Prefatory Remarks 27",
"Crescas on Guide for the Perplexed, Introduction, Introduction 1","Guide for the Perplexed, Introduction, Introduction 1",
"Crescas on Guide for the Perplexed, Introduction, Introduction 2","Guide for the Perplexed, Introduction, Introduction 6",
"Crescas on Guide for the Perplexed, Part 1 1:1","Guide for the Perplexed, Part 1 1:5",
"Crescas on Guide for the Perplexed, Part 1 1:2","Guide for the Perplexed, Part 1 1:5",
"Crescas on Guide for the Perplexed, Part 1 1:3","Guide for the Perplexed, Part 1 1:6",
"Crescas on Guide for the Perplexed, Part 1 1:4","Guide for the Perplexed, Part 1 1:9",
"Crescas on Guide for the Perplexed, Part 1 2:1","Guide for the Perplexed, Part 1 2:4",
"Crescas on Guide for the Perplexed, Part 1 2:2","Guide for the Perplexed, Part 1 2:5",
"Crescas on Guide for the Perplexed, Part 1 2:3","Guide for the Perplexed, Part 1 2:5",
"Crescas on Guide for the Perplexed, Part 1 2:4","Guide for the Perplexed, Part 1 2:5",
"Crescas on Guide for the Perplexed, Part 1 2:5","Guide for the Perplexed, Part 1 2:6",
"Crescas on Guide for the Perplexed, Part 1 2:6","Guide for the Perplexed, Part 1 2:7",
"Crescas on Guide for the Perplexed, Part 1 3:1","Guide for the Perplexed, Part 1 3:2",
"Crescas on Guide for the Perplexed, Part 1 5:1","Guide for the Perplexed, Part 1 5:4",
"Crescas on Guide for the Perplexed, Part 1 5:2","Guide for the Perplexed, Part 1 5:4",
"Crescas on Guide for the Perplexed, Part 1 6:1","Guide for the Perplexed, Part 1 6:1",
"Crescas on Guide for the Perplexed, Part 1 7:1","Guide for the Perplexed, Part 1 7:2",
"Crescas on Guide for the Perplexed, Part 1 9:1","Guide for the Perplexed, Part 1 9:3",
"Crescas on Guide for the Perplexed, Part 1 9:2",,"Guide for the Perplexed, Part 1 9:3"
"Crescas on Guide for the Perplexed, Part 1 9:3","Guide for the Perplexed, Part 1 9:3",
"Crescas on Guide for the Perplexed, Part 1 11:1","Guide for the Perplexed, Part 1 11:2",
"Crescas on Guide for the Perplexed, Part 1 11:2","Guide for the Perplexed, Part 1 11:2",
"Crescas on Guide for the Perplexed, Part 1 15:1",,
"Crescas on Guide for the Perplexed, Part 1 15:2",,
"Crescas on Guide for the Perplexed, Part 1 16:1","Guide for the Perplexed, Part 1 16:2",
"Crescas on Guide for the Perplexed, Part 1 17:1","Guide for the Perplexed, Part 1 17:1",
"Crescas on Guide for the Perplexed, Part 1 17:2","Guide for the Perplexed, Part 1 17:2",
"Crescas on Guide for the Perplexed, Part 1 18:1",,
"Crescas on Guide for the Perplexed, Part 1 18:2","Guide for the Perplexed, Part 1 18:7",
"Crescas on Guide for the Perplexed, Part 1 21:1","Guide for the Perplexed, Part 1 21:2",
"Crescas on Guide for the Perplexed, Part 1 21:2",,
"Crescas on Guide for the Perplexed, Part 1 21:3","Guide for the Perplexed, Part 1 21:4",
"Crescas on Guide for the Perplexed, Part 1 21:4",,
"Crescas on Guide for the Perplexed, Part 1 24:1","Guide for the Perplexed, Part 1 24:3",
"Crescas on Guide for the Perplexed, Part 1 27:1","Guide for the Perplexed, Part 1 27:2",
"Crescas on Guide for the Perplexed, Part 1 28:1",,
"Crescas on Guide for the Perplexed, Part 1 31:1","Guide for the Perplexed, Part 1 31:1",
"Crescas on Guide for the Perplexed, Part 1 31:2","Guide for the Perplexed, Part 1 31:8",
"Crescas on Guide for the Perplexed, Part 1 32:1",,
"Crescas on Guide for the Perplexed, Part 1 32:2","Guide for the Perplexed, Part 1 32:7",
"Crescas on Guide for the Perplexed, Part 1 33:1","Guide for the Perplexed, Part 1 33:1",
"Crescas on Guide for the Perplexed, Part 1 33:2","Guide for the Perplexed, Part 1 33:3",
"Crescas on Guide for the Perplexed, Part 1 33:3","Guide for the Perplexed, Part 1 33:3",
"Crescas on Guide for the Perplexed, Part 1 33:4","Guide for the Perplexed, Part 1 33:5",
"Crescas on Guide for the Perplexed, Part 1 33:5",,
"Crescas on Guide for the Perplexed, Part 1 33:6",,
"Crescas on Guide for the Perplexed, Part 1 33:7",,
"Crescas on Guide for the Perplexed, Part 1 33:8",,
"Crescas on Guide for the Perplexed, Part 1 33:9",,
"Crescas on Guide for the Perplexed, Part 1 35:1","Guide for the Perplexed, Part 1 35:1",
"Crescas on Guide for the Perplexed, Part 1 35:2","Guide for the Perplexed, Part 1 35:3",
"Crescas on Guide for the Perplexed, Part 1 35:3","Guide for the Perplexed, Part 1 35:3",
"Crescas on Guide for the Perplexed, Part 1 35:4","Guide for the Perplexed, Part 1 35:5",
"Crescas on Guide for the Perplexed, Part 1 36:1","Guide for the Perplexed, Part 1 36:3",
"Crescas on Guide for the Perplexed, Part 1 37:1",,
"Crescas on Guide for the Perplexed, Part 1 37:2",,
"Crescas on Guide for the Perplexed, Part 1 38:1",,
"Crescas on Guide for the Perplexed, Part 1 38:2","Guide for the Perplexed, Part 1 38:2",
"Crescas on Guide for the Perplexed, Part 1 39:1","Guide for the Perplexed, Part 1 39:7",
"Crescas on Guide for the Perplexed, Part 1 40:1",,
"Crescas on Guide for the Perplexed, Part 1 42:1","Guide for the Perplexed, Part 1 42:2",
"Crescas on Guide for the Perplexed, Part 1 43:1","Guide for the Perplexed, Part 1 43:5",
"Crescas on Guide for the Perplexed, Part 1 43:2","Guide for the Perplexed, Part 1 43:5",
"Crescas on Guide for the Perplexed, Part 1 46:1",,
"Crescas on Guide for the Perplexed, Part 1 46:2","Guide for the Perplexed, Part 1 46:10",
"Crescas on Guide for the Perplexed, Part 1 46:3",,
"Crescas on Guide for the Perplexed, Part 1 46:4","Guide for the Perplexed, Part 1 46:11",
"Crescas on Guide for the Perplexed, Part 1 47:1","Guide for the Perplexed, Part 1 47:1",
"Crescas on Guide for the Perplexed, Part 1 47:2","Guide for the Perplexed, Part 1 47:2",
"Crescas on Guide for the Perplexed, Part 1 47:3","Guide for the Perplexed, Part 1 47:3",
"Crescas on Guide for the Perplexed, Part 1 48:1","Guide for the Perplexed, Part 1 48:3",
"Crescas on Guide for the Perplexed, Part 1 49:1","Guide for the Perplexed, Part 1 49:1",
"Crescas on Guide for the Perplexed, Part 1 49:2","Guide for the Perplexed, Part 1 49:3",
"Crescas on Guide for the Perplexed, Part 1 49:3","Guide for the Perplexed, Part 1 49:4",
"Crescas on Guide for the Perplexed, Part 1 49:4",,
"Crescas on Guide for the Perplexed, Part 1 49:5","Guide for the Perplexed, Part 1 49:8",
"Crescas on Guide for the Perplexed, Part 1 50:1","Guide for the Perplexed, Part 1 50:1",
"Crescas on Guide for the Perplexed, Part 1 50:2","Guide for the Perplexed, Part 1 50:3",
"Crescas on Guide for the Perplexed, Part 1 51:1","Guide for the Perplexed, Part 1 51:1",
"Crescas on Guide for the Perplexed, Part 1 51:2","Guide for the Perplexed, Part 1 51:1",
"Crescas on Guide for the Perplexed, Part 1 51:3","Guide for the Perplexed, Part 1 51:3",
"Crescas on Guide for the Perplexed, Part 1 51:4","Guide for the Perplexed, Part 1 51:4",
"Crescas on Guide for the Perplexed, Part 1 51:5","Guide for the Perplexed, Part 1 51:6",
"Crescas on Guide for the Perplexed, Part 1 51:6","Guide for the Perplexed, Part 1 51:6",
"Crescas on Guide for the Perplexed, Part 1 52:1","Guide for the Perplexed, Part 1 52:2",
"Crescas on Guide for the Perplexed, Part 1 52:2",,
"Crescas on Guide for the Perplexed, Part 1 52:3",,
"Crescas on Guide for the Perplexed, Part 1 52:4","Guide for the Perplexed, Part 1 52:12",
"Crescas on Guide for the Perplexed, Part 1 52:5","Guide for the Perplexed, Part 1 52:14",
"Crescas on Guide for the Perplexed, Part 1 52:6","Guide for the Perplexed, Part 1 52:14",
"Crescas on Guide for the Perplexed, Part 1 52:7","Guide for the Perplexed, Part 1 52:15",
"Crescas on Guide for the Perplexed, Part 1 53:1","Guide for the Perplexed, Part 1 53:1",
"Crescas on Guide for the Perplexed, Part 1 53:2","Guide for the Perplexed, Part 1 53:3",
"Crescas on Guide for the Perplexed, Part 1 53:3","Guide for the Perplexed, Part 1 53:3",
"Crescas on Guide for the Perplexed, Part 1 53:4","Guide for the Perplexed, Part 1 53:6",
"Crescas on Guide for the Perplexed, Part 1 53:5","Guide for the Perplexed, Part 1 53:7",
"Crescas on Guide for the Perplexed, Part 1 55:1","Guide for the Perplexed, Part 1 55:1",
"Crescas on Guide for the Perplexed, Part 1 55:2","Guide for the Perplexed, Part 1 55:2",
"Crescas on Guide for the Perplexed, Part 1 56:1","Guide for the Perplexed, Part 1 56:1",
"Crescas on Guide for the Perplexed, Part 1 56:2","Guide for the Perplexed, Part 1 56:4",
"Crescas on Guide for the Perplexed, Part 1 57:1","Guide for the Perplexed, Part 1 57:2",
"Crescas on Guide for the Perplexed, Part 1 57:2","Guide for the Perplexed, Part 1 57:2",
"Crescas on Guide for the Perplexed, Part 1 58:1","Guide for the Perplexed, Part 1 58:5",
"Crescas on Guide for the Perplexed, Part 1 58:2",,
"Crescas on Guide for the Perplexed, Part 1 59:1","Guide for the Perplexed, Part 1 59:2",
"Crescas on Guide for the Perplexed, Part 1 59:2","Guide for the Perplexed, Part 1 59:2",
"Crescas on Guide for the Perplexed, Part 1 59:3","Guide for the Perplexed, Part 1 59:2",
"Crescas on Guide for the Perplexed, Part 1 59:4","Guide for the Perplexed, Part 1 59:2",
"Crescas on Guide for the Perplexed, Part 1 59:5","Guide for the Perplexed, Part 1 59:3",
"Crescas on Guide for the Perplexed, Part 1 60:1","Guide for the Perplexed, Part 1 60:1",
"Crescas on Guide for the Perplexed, Part 1 60:2","Guide for the Perplexed, Part 1 60:1",
"Crescas on Guide for the Perplexed, Part 1 60:3","Guide for the Perplexed, Part 1 60:4",
"Crescas on Guide for the Perplexed, Part 1 60:4","Guide for the Perplexed, Part 1 60:4",
"Crescas on Guide for the Perplexed, Part 1 60:5","Guide for the Perplexed, Part 1 60:5",
"Crescas on Guide for the Perplexed, Part 1 60:6","Guide for the Perplexed, Part 1 60:5",
"Crescas on Guide for the Perplexed, Part 1 61:1","Guide for the Perplexed, Part 1 61:1",
"Crescas on Guide for the Perplexed, Part 1 61:2","Guide for the Perplexed, Part 1 61:2",
"Crescas on Guide for the Perplexed, Part 1 62:1","Guide for the Perplexed, Part 1 62:3",
"Crescas on Guide for the Perplexed, Part 1 62:2","Guide for the Perplexed, Part 1 62:3",
"Crescas on Guide for the Perplexed, Part 1 62:3",,
"Crescas on Guide for the Perplexed, Part 1 63:1","Guide for the Perplexed, Part 1 63:2",
"Crescas on Guide for the Perplexed, Part 1 63:2","Guide for the Perplexed, Part 1 63:3",
"Crescas on Guide for the Perplexed, Part 1 64:1","Guide for the Perplexed, Part 1 64:2",
"Crescas on Guide for the Perplexed, Part 1 65:1","Guide for the Perplexed, Part 1 65:3",
"Crescas on Guide for the Perplexed, Part 1 65:2","Guide for the Perplexed, Part 1 65:4",
"Crescas on Guide for the Perplexed, Part 1 66:1","Guide for the Perplexed, Part 1 66:1",
"Crescas on Guide for the Perplexed, Part 1 66:2",,
"Crescas on Guide for the Perplexed, Part 1 67:1","Guide for the Perplexed, Part 1 67:2",
"Crescas on Guide for the Perplexed, Part 1 67:2",,
"Crescas on Guide for the Perplexed, Part 1 67:3","Guide for the Perplexed, Part 1 67:5",
"Crescas on Guide for the Perplexed, Part 1 67:4","Guide for the Perplexed, Part 1 67:5",
"Crescas on Guide for the Perplexed, Part 1 68:1","Guide for the Perplexed, Part 1 68:1",
"Crescas on Guide for the Perplexed, Part 1 68:2","Guide for the Perplexed, Part 1 68:8",
"Crescas on Guide for the Perplexed, Part 1 68:3","Guide for the Perplexed, Part 1 68:9",
"Crescas on Guide for the Perplexed, Part 1 69:1","Guide for the Perplexed, Part 1 69:5",
"Crescas on Guide for the Perplexed, Part 1 69:2","Guide for the Perplexed, Part 1 69:5",
"Crescas on Guide for the Perplexed, Part 1 70:1","Guide for the Perplexed, Part 1 70:1",
"Crescas on Guide for the Perplexed, Part 1 70:2","Guide for the Perplexed, Part 1 70:4",
"Crescas on Guide for the Perplexed, Part 1 70:3",,"Guide for the Perplexed, Part 1 70:4"
"Crescas on Guide for the Perplexed, Part 1 70:4","Guide for the Perplexed, Part 1 70:4",
"Crescas on Guide for the Perplexed, Part 1 70:5","Guide for the Perplexed, Part 1 70:4",
"Crescas on Guide for the Perplexed, Part 1 70:6",,
"Crescas on Guide for the Perplexed, Part 1 70:7",,
"Crescas on Guide for the Perplexed, Part 1 71:1","Guide for the Perplexed, Part 1 71:1",
"Crescas on Guide for the Perplexed, Part 1 71:2",,
"Crescas on Guide for the Perplexed, Part 1 71:3","Guide for the Perplexed, Part 1 71:1",
"Crescas on Guide for the Perplexed, Part 1 71:4","Guide for the Perplexed, Part 1 71:2",
"Crescas on Guide for the Perplexed, Part 1 71:5","Guide for the Perplexed, Part 1 71:2",
"Crescas on Guide for the Perplexed, Part 1 71:6","Guide for the Perplexed, Part 1 71:2",
"Crescas on Guide for the Perplexed, Part 1 71:7","Guide for the Perplexed, Part 1 71:2",
