masechet,bach,ravad,ch start,ch end,del,gemara page,bach tag in milchemet,ravad in tag,,,,
Berakhot,,(?:@11|#).\],,,,,,@22.\],,,,"בראב""ד יש הערה עם כוכבית שקשורה למיקום"
Shabbat,@77\(.\),,,@99,\*\),@22,@77\(.\),,,,,
Eruvin,#\(.\),,,9,,2,#\(.\),,,,,
Pesachim,, .\],@00,@99,,@44,,@22.\],,,במלחמות יש כותרת פרק אחת עם @00,
Rosh Hashanah,,,,,,,,,,,,
Yoma,,,,@99,,@22,,,,,,
Sukkah,@77\(.\),@66.\],,@99,,@22,@66\(.\)@77,@22.\],,,במלחמת @99בתחילת וסוף הכרזה על סוף פרק,
Beitzah,@77\(.\),@88.\],,@99,,@22,,@22.\],,,,
Taanit,, .\],,,,,,@22.\],,,,
Megillah,,#.\],,@99,,,,@22.\],,,,
Moed Katan,,@11.\],,,,,,@22.\],,,,
Chagigah,,,,,,@22,,,,,,
Yevamot,#\(.\),,,@99,,@22,#\(.\),,,,,
Ketubot,@88\(.\),,,@99,,@22,,,,,,
Sotah,,,,@99,,@11,,,,,,
Gittin,#\(.\),,,,,@22,#\(.\),,,,,
Kiddushin,,,,,,@22,,,,,,
Bava Kamma,,,,,\*\),,,,,,,
Bava Metzia,#\(.\),,,@99,,@22,@22\(.\),,,,,
Bava Batra,@88\(.\),,,,,@22,,,,,,
Sanhedrin,,,,@99,,@22,#\(.\),,,,@99 בסופי פרקים במלחמת,
Makkot,,,,@00,,,,,,,,
Shevuot,,,,,,,,,,,,
Avodah Zarah,,,,,,@22,,,,,@99 בסופי פרקים במלחמת,
Chullin,@88\(.\),,,@99,,@22,,,,,,
