60b,2/4
61a,6/6
61b,4/4
62a,8/8
62b,4/4
63a,3/9
63b,4/5
64a,1/1
64b,4/14
65a,5/8
65b,5/5
66a,5/15
66b,6/7
67a,2/3
67b,1/1
68a,1/5
68b,3/3
69a,2/2
69b,4/4
70a,2/3
70b,9/12
71a,5/8
71b,1/3
72a,3/4
73a,2/2
73b,5/7
74a,1/1
75a,3/3
75b,4/9
76a,1/3
77b,1/3
78a,0/1
79b,0/1
81b,0/1
82b,0/1
87b,2/5
88b,0/2
89a,1/2
90a,1/2
90b,1/2
91a,2/3
91b,1/1
93a,0/1
94a,1/4
