2a,2/13
2b,2/7
3a,2/11
3b,0/6
4a,1/9
4b,1/2
5a,2/8
5b,2/17
6a,0/10
6b,0/7
7a,1/7
7b,0/6
9a,2/15
9b,0/6
10a,1/5
