29b,3/33
30a,5/13
30b,3/5
31a,7/14
31b,7/15
32a,2/2
33a,4/7
33b,2/7
34a,3/4
34b,4/6
35a,7/20
35b,6/9
36a,3/4
36b,4/5
37a,4/4
37b,3/3
38a,6/8
39a,3/4
41a,6/6
41b,10/14
42a,2/51
