2b,5/15
3a,3/6
3b,4/5
4a,2/2
4b,3/7
5a,2/2
5b,1/1
6a,1/2
6b,1/1
7b,1/1
8a,6/12
8b,8/12
9a,2/3
9b,1/1
10a,7/9
10b,6/8
11a,11/19
11b,6/8
12a,4/4
12b,2/2
13a,1/1
13b,1/2
14a,4/7
14b,1/1
15a,4/25
18a,1/2
18b,2/2
19a,1/1
19b,4/6
20a,6/9
20b,0/1
21a,2/2
22a,1/1
22b,3/3
23b,2/11
24a,3/12
24b,2/2
25a,1/1
25b,5/5
26b,1/1
27a,2/4
27b,3/3
28a,4/5
28b,1/1
29a,1/1
30a,1/1
30b,1/1
33a,3/5
36a,2/3
38a,1/1
38b,1/1
39a,1/1
39b,1/2
