Im_Id,Im_Ms,Im_ImRun,Im_File,Im_Web,Im_Title,SSMA_TimeStamp,PID,Im_Description
16766,1721,278,..\MnuImages\N1721a\w\0138v.jpg,0,"חלה נט ע""ב - חלה נט ע""ג",000000000000E55F,871688,
16767,1721,279,..\MnuImages\N1721a\w\0139r.jpg,0,"חלה נט ע""ג - חלה נט ע""ד",0,871689,
16768,1721,280,..\MnuImages\N1721a\w\0139v.jpg,0,"חלה נט ע""ד - חלה נט ע""ד",0,871691,
16769,1721,281,..\MnuImages\N1721a\w\0140r.jpg,0,"חלה נט ע""ד - חלה ס ע""א",0,871692,
16770,1721,282,..\MnuImages\N1721a\w\0140v.jpg,0,"חלה ס ע""א - חלה ס ע""ב",0,871694,
16771,1721,283,..\MnuImages\N1721a\w\0141r.jpg,0,"חלה ס ע""ב - חלה ס ע""ב",0,871696,
16772,1721,284,..\MnuImages\N1721a\w\0141v.jpg,0,"ערלה ס ע""ג - ערלה ס ע""ד",0,871697,
16773,1721,285,..\MnuImages\N1721a\w\0142r.jpg,0,"ערלה ס ע""ד - ערלה ס ע""ד",0,871699,
16774,1721,286,..\MnuImages\N1721a\w\0142v.jpg,0,"ערלה ס ע""ד - ערלה סא ע""א",0,871701,
16775,1721,287,..\MnuImages\N1721a\w\0143r.jpg,0,"ערלה סא ע""א - ערלה סא ע""ב",0,871702,
16776,1721,288,..\MnuImages\N1721a\w\0143v.jpg,0,"ערלה סא ע""ב - ערלה סא ע""ד",0,871704,
16777,1721,289,..\MnuImages\N1721a\w\0144r.jpg,0,"ערלה סא ע""ד - ערלה סא ע""ד",000000000000E56A,871705,
16778,1721,290,..\MnuImages\N1721a\w\0144v.jpg,0,"ערלה סא ע""ד - ערלה סב ע""א",000000000000E56B,871706,
16779,1721,291,..\MnuImages\N1721a\w\0145r.jpg,0,"ערלה סב ע""א - ערלה סב ע""א",000000000000E56C,871708,
16780,1721,292,..\MnuImages\N1721a\w\0145v.jpg,0,"ערלה סב ע""א - ערלה סב ע""ב",000000000000E56D,871710,
16781,1721,293,..\MnuImages\N1721a\w\0146r.jpg,0,"ערלה סב ע""ב - ערלה סב ע""ג",000000000000E56E,871711,
16782,1721,294,..\MnuImages\N1721a\w\0146v.jpg,0,"ערלה סב ע""ג - ערלה סב ע""ד",000000000000E56F,871713,
16783,1721,295,..\MnuImages\N1721a\w\0147r.jpg,0,"ערלה סב ע""ד - ערלה סג ע""א",0,871714,
