Jerusalem Talmud Sheviit 6:1:12,אשקלון,138,150,אַשְּׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:12,אשקלון,174,186,אַשְּׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:18,אשקלון,277,288,אַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:9,אשקלון,566,573,דאשקלון
Jerusalem Talmud Sheviit 6:1:9,אשקלון,672,684,אַשְּׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:9,אשקלון,1293,1305,דְאַשְקְלוֹן
Jerusalem Talmud Sheviit 6:1:10,אשקלון,0,11,אַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:10,אשקלון,98,111,דְאַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:10,אשקלון,127,138,אַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:10,אשקלון,263,274,אַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:10,אשקלון,422,433,אַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:11,אשקלון,335,348,דְאַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:11,אשקלון,364,375,אַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:12,אשקלון,138,150,אַשְּׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:12,אשקלון,174,186,אַשְּׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:18,אשקלון,277,288,אַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:9,אשקלון,566,573,דאשקלון
Jerusalem Talmud Sheviit 6:1:9,אשקלון,1293,1305,דְאַשְקְלוֹן
Jerusalem Talmud Sheviit 6:1:10,אשקלון,98,111,דְאַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:11,אשקלון,335,348,דְאַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:9,אשקלון,566,573,דאשקלון
Jerusalem Talmud Sheviit 6:1:9,אשקלון,672,684,אַשְּׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:9,אשקלון,1293,1305,דְאַשְקְלוֹן
Jerusalem Talmud Sheviit 6:1:10,אשקלון,0,11,אַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:10,אשקלון,98,111,דְאַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:10,אשקלון,127,138,אַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:10,אשקלון,263,274,אַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:10,אשקלון,422,433,אַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:11,אשקלון,335,348,דְאַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:11,אשקלון,364,375,אַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:12,אשקלון,138,150,אַשְּׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:12,אשקלון,174,186,אַשְּׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:18,אשקלון,277,288,אַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:9,אשקלון,566,573,דאשקלון
Jerusalem Talmud Sheviit 6:1:9,אשקלון,1293,1305,דְאַשְקְלוֹן
Jerusalem Talmud Sheviit 6:1:10,אשקלון,98,111,דְאַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:11,אשקלון,335,348,דְאַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:9,אשקלון,566,573,דאשקלון
Jerusalem Talmud Sheviit 6:1:9,אשקלון,1293,1305,דְאַשְקְלוֹן
Jerusalem Talmud Sheviit 6:1:10,אשקלון,98,111,דְאַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:11,אשקלון,335,348,דְאַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:9,אשקלון,566,573,דאשקלון
Jerusalem Talmud Sheviit 6:1:9,אשקלון,672,684,אַשְּׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:9,אשקלון,1293,1305,דְאַשְקְלוֹן
Jerusalem Talmud Sheviit 6:1:10,אשקלון,0,11,אַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:10,אשקלון,98,111,דְאַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:10,אשקלון,127,138,אַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:10,אשקלון,263,274,אַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:10,אשקלון,422,433,אַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:11,אשקלון,335,348,דְאַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:11,אשקלון,364,375,אַשְׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:12,אשקלון,138,150,אַשְּׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:12,אשקלון,174,186,אַשְּׁקְלוֹן
Jerusalem Talmud Sheviit 6:1:18,אשקלון,277,288,אַשְׁקְלוֹן
Mishnah Gittin 1:2,אשקלון,65,78,מֵאַשְׁקְלוֹן
Mishnah Gittin 1:2,אשקלון,90,103,וְאַשְׁקְלוֹן
Mishnah Gittin 1:2,אשקלון,65,78,מֵאַשְׁקְלוֹן
Mishnah Gittin 1:2,אשקלון,90,103,וְאַשְׁקְלוֹן
Tosefta Oholot 18:1,אשקלון,603,609,אשקלון
Tosefta Oholot 18:10,אשקלון,119,125,אשקלון
Tosefta Oholot 18:1,אשקלון,603,609,אשקלון
Tosefta Oholot 18:10,אשקלון,119,125,אשקלון
Tosefta Oholot 18:1,אשקלון,603,609,אשקלון
Tosefta Oholot 18:10,אשקלון,119,125,אשקלון
Tosefta Sheviit 4:5,אשקלון,350,356,אשקלון
Tosefta Sheviit 4:5,אשקלון,779,786,דאשקלון
Tosefta Sheviit 4:5,אשקלון,350,356,אשקלון
Tosefta Sheviit 4:5,אשקלון,779,786,דאשקלון
Yoma 10a:4,בבל,32,38,בָּבֶל
Yoma 10a:4,בבל,69,75,בָּבֶל
Chullin 95b:10,בבל,47,52,שבבבל
Chullin 95b:10,בבל,93,98,שבבבל
Chullin 95b:10,בבל,47,52,שבבבל
Chullin 95b:10,בבל,93,98,שבבבל
Horayot 11b:2,בבל,60,64,בבבל
Horayot 11b:3,בבל,134,139,שבבבל
Shevuot 14b:1,בבל,43,46,בכל
Shevuot 14b:12,בבל,62,65,בכל
Shevuot 14b:12,בבל,107,110,בכל
Sanhedrin 96b:1,בבל,69,72,בבל
Sanhedrin 96b:9,בבל,228,231,בבל
Sanhedrin 96b:9,בבל,296,299,בבל
Sanhedrin 93a:5,בבל,168,171,בבל
Sanhedrin 93a:12,בבל,161,165,בבבל
Sanhedrin 93a:12,בבל,207,210,בבל
Sanhedrin 38a:1,בבל,63,67,בבבל
Sanhedrin 38a:2,בבל,207,212,שבבבל
Sanhedrin 24a:12,בבל,155,160,שבבבל
Sanhedrin 24a:13,בבל,163,168,שבבבל
