Name,Geo,Suggested Eng from geonames,Corresponding geo from geonames
בית נמר,"(31.897306699999994, 35.622521)",,
אפרת,"(31.69958915, 35.19969662)",Efrat,"31.65305,35.15013"
גדור,"(32.03213768, 35.73958056)",,
גולן (בשן),"(32.97901264, 35.72382252999999)",,
עזה,"(31.503960000000003, 34.46203)",Gaza,"31.50161,34.46672"
גלגלה,"(31.843575209999997, 35.4849376)",,
חפםרים,"(32.606138000000016, 35.449647)",,
לוד,"(31.951721150000004, 34.89294729)",Lod,"31.9467,34.8903"
ננוה,"(36.34772999999999, 43.1609)",,
נוב,"(32.82545127, 35.78700255999999)",Nov,"32.83283,35.7836"
שושן,"(37.5, 41.49999999999999)",,
צוער,"(31.031926310000006, 35.46158327999999)",,
אושה,"(32.799414, 35.14670099999999)",Usha,"32.79509,35.11511"
גבעה,"(31.823159999999994, 35.231051)",,
פי רעמסס,"(30.798889000000003, 31.835833000000004)",,
עי,"(31.916944, 35.261111)",Bnei Ayish,"31.78333,34.75"
קדש,"(33.111638, 35.529517)",East Jerusalem,"31.78336,35.23388"
סכנין,"(32.86666699999999, 35.3)",Sakhnīn,"32.86422,35.29707"
נציבין,"(37.06864, 41.21462)",,
טרסוס,"(36.91242, 34.89592)",,
חומס,"(34.72341000000001, 36.7144)",Homs,"34.72682,36.72339"
ארדוס,"(34.856111000000006, 35.858333)",,
רודוס,"(36.18501122690339, 27.9527587899338)",,
תרביקנה,"(32.047299, 44.315755)",,
חולת המרכז,"(31.91499767, 34.69218781)",,
ציון,"(31.771666999999997, 35.229167)",Jerusalem,"31.76904,35.21633"
עין שחר,"(32.21359997, 35.28452837999999)",,
שילוח,"(31.770556, 35.235)",,
עין עיטם,"(31.685764, 35.172437)",,
חצרות,"(30.63033000000001, 34.07128)",H̱aẕrot Yasaf,"32.96073,35.08061"
קרמיון,"(32.835782619999996, 35.10350998)",,
הבירה,"(33.366834229999995, 35.69387978999999)",,
פי החירות,"(29.849999999999994, 32.466667)",,
קברות התאווה,"(28.916667000000004, 34.483333)",,
הר גריזים,"(32.195575979999994, 35.26330211999999)",,
הר הברזל,"(31.58163336, 35.63164073)",,
הר עיבל,"(32.2316472, 35.26332533)",,
הר המלך,"(32.19556490999999, 35.125433949999994)",,
צופים,"(31.798789589999995, 35.23137050999999)",Zofim,"32.19782,35.00914"
מוריה,"(31.777972000000005, 35.235806)",Jerusalem,"31.76904,35.21633"
סולם צור,"(33.089816000000006, 35.148095999999995)",,
דפנה,"(36.130419999999994, 36.1428)",Dafna,"33.23013,35.63867"
מגדל צבעיא,"(32.828087999999994, 35.488544)",,
כפר תותא,"(31.879715810000004, 34.95660294)",,
בית נטופה,"(32.812, 35.334999999999994)",,
אלון מורה,"(32.21361610000001, 35.25270639)",Kafr Qaddūm,"32.22162,35.14471"
גיבעון,"(31.84388161999999, 35.17855950999999)",,
גוש חלב,"(31.669573570000008, 53.555361839999996)",Jīsh,"33.02216,35.44694"
חדוד,"(31.960857980000004, 34.94580706)",,
כפר סיגנא,"(31.99888899999999, 34.91194399999999)",,
כפר הבבלי,"(31.57194484999999, 34.60980248)",,
כפר עותנאי,"(32.57432462, 35.17835121)",,
כפר יותמא,"(32.10539703, 35.263244279999995)",,
כפר עמיקו,"(32.97107016999998, 35.16753792)",,
מכמש,"(31.870920420000015, 35.27366296999999)",Ma‘ale Mikhmas,"31.87972,35.3054"
מצפס,"(31.879957379999993, 35.21025618)",,
מוצא,"(31.78976532, 35.15745734)",Motsa ‘Illit,"31.79357,35.15776"
מודיעין,"(31.93390035, 34.99875786)",Modiin,"31.89385,35.01504"
אהליה,"(31.68154347, 35.15751202)",,
אונו,"(32.02378309, 34.86094764)",Kiryat Ono,"32.06124,34.85618"
רקם,"(31.895616649999994, 35.98190869)",Qaryat Sanad Raqm Wāḩid,"31.01335,29.91336"
צרדה,"(32.04223624000001, 35.09380349)",,
סוכו,"(31.681332289999983, 34.96767794)",,
תקוע,"(31.627440370000002, 35.21024062)",Tekoa,"31.65406,35.22822"
שיקמונה,"(32.81753894999999, 34.95403182999999)",,
תמנע,"(32.006172770000006, 35.10443023)",,
טיבון,"(32.71858345, 35.13564238)",,
יבנה,"(31.861091919999993, 34.74531918)",Yavné,"31.87808,34.73983"
שילה,"(32.05127746, 35.284386819999995)",,
כבול,"(32.869722, 35.202222)",Kābūl,"32.86856,35.21171"
צלמון,"(32.88079750999999, 35.370611)",,
