אתונה,"(37.972819149999985, 23.723743849999998)",10050. P. Terentius Afer (Terence) Andria: The Fair Andrian 2.2
אתונה,"(37.972819149999985, 23.723743849999998)",10049. פץ טרנטיוס אפר אדלפי 2.1
אתונה,"(37.972819149999985, 23.723743849999998)",10048. פץ טרנטיוס אפר אדלפי introduction.subject
אתונה,"(37.972819149999985, 23.723743849999998)",10047. T. Maccius Plautus Truculentus or The Churl 2.6
אתונה,"(37.972819149999985, 23.723743849999998)",10046. T. Maccius Plautus Mostellaria or The Haunted House 1.1
אתונה,"(37.972819149999985, 23.723743849999998)",10045. פלאוטוס טרינומוס 1.2
אתונה,"(37.972819149999985, 23.723743849999998)",10044. פלאוטוס רודנס 3.1
אתונה,"(37.972819149999985, 23.723743849999998)",10043. T. Maccius Plautus Miles Gloriosus or The Braggart Captain 2.6
אתונה,"(37.972819149999985, 23.723743849999998)",10042. T. Maccius Plautus Miles Gloriosus or The Braggart Captain 3.3
אתונה,"(37.972819149999985, 23.723743849999998)",10041. T. Maccius Plautus Mostellaria or The Haunted House intro.subject
אתונה,"(37.972819149999985, 23.723743849999998)",10040. T. Maccius Plautus Bacchides or The Twin Sisters 1.fragments
אתונה,"(37.972819149999985, 23.723743849999998)",10039. פלאוטוס קאסינה 2.6
אתונה,"(37.972819149999985, 23.723743849999998)",10038. T. Maccius Plautus Epidicus or The Fortunate Discovert 1.1
אתונה,"(37.972819149999985, 23.723743849999998)",10037. נאסו מטמורפוזות 6.1
אתונה,"(37.972819149999985, 23.723743849999998)",10036. נאסו מטמורפוזות 7.404
אתונה,"(37.972819149999985, 23.723743849999998)",10035. נאסו מטמורפוזות 6.587
אתונה,"(37.972819149999985, 23.723743849999998)",10034. פוליו 10 הספרים על ארכיטקטורה 4.8
אתונה,"(37.972819149999985, 23.723743849999998)",10033. פוליו 10 הספרים על ארכיטקטורה 5.9
אתונה,"(37.972819149999985, 23.723743849999998)",10032. וירגיליוס אינאיס 6.14
אתונה,"(37.972819149999985, 23.723743849999998)",10031. הורציוס כל החיבורים 1.1
אתונה,"(37.972819149999985, 23.723743849999998)",10030. נאסו מטמורפוזות 7.661
אתונה,"(37.972819149999985, 23.723743849999998)",10029. קיקרו נגד ורס 2.5.98
אתונה,"(37.972819149999985, 23.723743849999998)",10027. נאסו מטמורפוזות 6.675
אתונה,"(37.972819149999985, 23.723743849999998)",10024. קיקרו נגד ורס 2.1.100
אתונה,"(37.972819149999985, 23.723743849999998)",10023. פוליביוס היסטוריות 6.15
אתונה,"(37.972819149999985, 23.723743849999998)",10022. אפיקטטוס שיחות 1.20
אתונה,"(37.972819149999985, 23.723743849999998)",10006. אפיקטטוס שיחות 1.4
