Jerusalem Talmud Bava Kamma 6:6:2,ערבה,445,453,בָּעֲרָב
Mishnah Shabbat 16:7,ערבה,205,213,בַּעֲרָב
Mishnah Shabbat 22:3,ערבה,377,385,בַּעֲרָב
Tosefta Bava Kamma 6:11,ערבה,328,332,בערב
Tosefta Gittin 2:11,ערבה,256,260,בערב
Mishnah Challah 4:11,אפמיאה,311,323,מֵאַפַּמְיָא
Avodah Zarah 23b:11,אשקלון,117,124,באשקלון
Avodah Zarah 11b:8,אשקלון,144,152,שבאשקלון
Ketubot 27a:2,אשקלון,158,172,בְּאַשְׁקְלוֹן
Ketubot 26b:8,אשקלון,112,126,בְּאַשְׁקְלוֹן
Jerusalem Talmud Ketubot 2:9:2,אשקלון,195,208,בְאַשְׁקְלוֹן
Jerusalem Talmud Yevamot 7:3:4,אשקלון,304,321,שֶׁלְּאַשְׁקְלוֹן
Mishnah Eduyot 8:2,אשקלון,295,308,בְאַשְׁקְלוֹן
Mishnah Sanhedrin 6:4,אשקלון,786,800,בְּאַשְׁקְלוֹן
Mishnah Ta'anit 3:6,אשקלון,123,137,בְּאַשְׁקְלוֹן
Tosefta Mikvaot 6:1,אשקלון,823,830,באשקלון
Shir HaShirim Rabbah 7:2:1,אשקלון,1096,1110,בְּאַשְׁקְלוֹן
Keritot 5b:15,בבל,133,136,בבל
Chullin 92a:4,בבל,84,89,שבבבל
Chullin 7a:5,בבל,129,132,בבל
Chullin 63b:5,בבל,139,143,בבבל
Menachot 110a:3,בבל,89,92,בבל
Horayot 11b:3,בבל,134,139,שבבבל
Avodah Zarah 11b:8,בבל,106,110,בבבל
Sanhedrin 109a:7,בבל,83,86,בבל
Sanhedrin 38b:1,בבל,5,9,מבבל
Sanhedrin 38a:2,בבל,207,212,שבבבל
Sanhedrin 17b:5,בבל,8,13,שבבבל
Sanhedrin 5a:6,בבל,56,61,שבבבל
Bava Batra 91a:6,בבל,47,55,בְּבָבֶל
Bava Batra 15a:3,בבל,74,82,מִבָּבֶל
Bava Kamma 117a:21,בבל,201,205,מבבל
Bava Kamma 81b:9,בבל,144,148,בבבל
Bava Kamma 81b:9,בבל,144,148,בבבל
Bava Kamma 81b:9,בבל,144,148,בבבל
Bava Kamma 81b:9,בבל,144,148,בבבל
Kiddushin 75a:10,בבל,176,184,מִבָּבֶל
Kiddushin 72a:10,בבל,250,261,שֶׁבְּבָבֶל
Kiddushin 72b:1,בבל,69,77,בְּבָבֶל
Kiddushin 71b:2,בבל,35,43,בְּבָבֶל
Gittin 44b:8,בבל,29,35,בָּבֶל
Gittin 6a:10,בבל,74,82,בְּבָבֶל
Sotah 49b:11,בבל,139,147,בְּבָבֶל
Ketubot 111a:14,בבל,56,67,שֶׁבְּבָבֶל
Ketubot 111a:13,בבל,107,115,מִבָּבֶל
Ketubot 110b:25,בבל,135,143,מִבָּבֶל
Ketubot 25a:8,בבל,0,7,וּבָבֶל
Ketubot 25a:5,בבל,56,64,בְּבָבֶל
Ketubot 17b:3,בבל,73,81,בְּבָבֶל
Ketubot 110b:20,בבל,197,205,בְּבָבֶל
Yevamot 85a:5,בבל,63,71,מִבָּבֶל
Chagigah 13b:7,בבל,58,66,בְּבָבֶל
Moed Katan 25b:2,בבל,57,65,מִבָּבֶל
Moed Katan 25a:12,בבל,91,100,שֶׁבָּבֶל
Megillah 29a:4,בבל,306,313,לְבָבֶל
Megillah 28b:4,בבל,38,49,שֶׁבְּבָבֶל
Taanit 10a:10,בבל,101,108,לְבָבֶל
Pesachim 109a:4,בבל,154,162,בְּבָבֶל
Pesachim 54b:5,בבל,76,84,בְּבָבֶל
Pesachim 8a:12,בבל,47,55,בְּבָבֶל
Eruvin 45b:11,בבל,151,157,בָּבֶל
Eruvin 45a:15,בבל,52,59,וּבָבֶל
Eruvin 19a:20,בבל,187,195,בְּבָבֶל
Eruvin 19a:20,בבל,187,195,בְּבָבֶל
Shabbat 113b:3,בבל,254,260,בָּבֶל
Shabbat 113b:3,בבל,254,260,בָּבֶל
Shabbat 41a:5,בבל,136,144,מִבָּבֶל
Shabbat 26a:7,בבל,79,84,בָבֶל
Shabbat 20b:3,בבל,35,41,בָּבֶל
Berakhot 59b:3,בבל,73,80,דְבָבֶל
Berakhot 58a:7,בבל,265,273,בְּבָבֶל
Berakhot 57a:15,בבל,239,247,בְּבָבֶל
Berakhot 24b:8,בבל,154,162,מִבָּבֶל
Jerusalem Talmud Sanhedrin 10:1:23,בבל,284,292,בְּבָבֶל
Jerusalem Talmud Sanhedrin 1:2:33,בבל,862,870,מִבָּבֶל
Jerusalem Talmud Kiddushin 4:3:5,בבל,406,414,מִבָּבֶל
Jerusalem Talmud Gittin 4:3:4,בבל,246,253,לְבָבֶל
Jerusalem Talmud Nedarim 6:8:13,בבל,796,804,מִבָּבֵל
Jerusalem Talmud Ketubot 12:3:11,בבל,632,643,שֶׁבְּבָבֵל
Jerusalem Talmud Ketubot 2:7:3,בבל,213,220,וּבָבֵל
Jerusalem Talmud Yevamot 8:2:8,בבל,412,420,מִבָּבֶל
Jerusalem Talmud Yevamot 4:2:7,בבל,271,279,מִבָּבֶל
Jerusalem Talmud Taanit 4:5:22,בבל,264,272,בְּבָבֶל
Jerusalem Talmud Taanit 2:4:3,בבל,365,373,מִבָּבֶל
Jerusalem Talmud Taanit 1:1:17,בבל,258,265,לָבָבֶל
