Common Word,Headword,Lexicon,URL,Primary,For Deletion,For Addition
,אִי ᴵᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אִי_ᴵᴵᴵ",,,
,אִי ᴵⱽ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אִי_ᴵⱽ",,,
,אִי ⱽ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אִי_ⱽ",,,
,אֵי,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אֵי",,,
,מַאי ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_מַאי_ᴵ",,,
,מַאי ᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_מַאי_ᴵᴵ",,,
הוא,הוּא,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_הוּא",,,
,הוּא ²,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_הוּא_²",,,
,הֲוָא,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_הֲוָא",,,
,הוּא,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_הוּא",X,,
כל,כֹּל,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_כֹּל",,,
,כָּל,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_כָּל",,,
,כול,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_כול",,,
,כֹּל,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_כֹּל",X,,
לו,לוֹ,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_לוֹ",,,
,לוּ,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_לוּ",,,
,לוֹ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_לוֹ",X,,
,לוּ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_לוּ",,,
,לוּא,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_לוּא",,,
בר,בַּר I,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_בַּר_I",,,
,בַּר,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_בַּר",,,
,בַּר II,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_בַּר_II",X,,
,בַּר III,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_בַּר_III",,,
,בַּר IV,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_בַּר_IV",,,
,בּוֹר,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_בּוֹר",,,
,בור ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_בור_ᴵ",,,
,בור ᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_בור_ᴵᴵ",,,
,בַּר ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_בַּר_ᴵ",,,
,בַּר ᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_בַּר_ᴵᴵ",,,
,בַּר ᴵᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_בַּר_ᴵᴵᴵ",,,
,בַּר ᴵⱽ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_בַּר_ᴵⱽ",,,
,בַּר ⱽ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_בַּר_ⱽ",,,
,בַּר ⱽᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_בַּר_ⱽᴵ",,,
,בַּר ⱽᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_בַּר_ⱽᴵᴵ",,,
,בֹּר ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_בֹּר_ᴵ",,,
,בֹּר ᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_בֹּר_ᴵᴵ",,,
לה,סְפִקוּלָא,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_סְפִקוּלָא",,X,
,לָהּ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_לָהּ",,,
של,שַׁל,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_שַׁל",,,
,שַׁל ²,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_שַׁל_²",,,
,שֶׁל,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_שֶׁל",,,
,שַׁל,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_שַׁל",,,
,שֶׁל,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_שֶׁל",X,,
יהודה,יָדָה,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_יָדָה",,X,
,יְהוּדָה,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_יְהוּדָה",X,,
,יוּדָה,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_יוּדָה",,,
,יוּדָן,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_יוּדָן",,,
,יָדָה,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_יָדָה",,X,
נמי,נֹמִי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_נֹמִי",,,
,נַמִּי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_נַמִּי",X,,
,נָמֵי,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_נָמֵי",,,
הא,הָא I,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_הָא_I",X,,
,הָא II,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_הָא_II",,,
,הֵא II,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_הֵא_II",,,
,הִא III,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_הִא_III",,,
,הֵא ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_הֵא_ᴵ",,,
,הֵא ᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_הֵא_ᴵᴵ",,,
,הָא ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_הָא_ᴵ",,,
,הָא ᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_הָא_ᴵᴵ",,,
דאמר,אָמַר I,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אָמַר_I",,,
,אֲמַר,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אֲמַר",X,,
,אָמַר II,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אָמַר_II",,,
,אֵמֶר,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אֵמֶר",,,
,אִמַּר,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אִמַּר",,,
,מְרַר,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_מְרַר",,,
,אמר ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אמר_ᴵ",,,
