Common Word,Headword,Lexicon,URL,Primary,For Deletion,For Addition
,אִי ᴵᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אִי_ᴵᴵᴵ",,,
,אִי ᴵⱽ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אִי_ᴵⱽ",,,
,אִי ⱽ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אִי_ⱽ",,,
,אֵי,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אֵי",,,
דברי,דַּבָּרָא II,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_דַּבָּרָא_II",,,
,דְּבָרִי,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_דְּבָרִי",,,
,דִּבְרִי,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_דִּבְרִי",,,
,דָּבָר,Klein Dictionary,https://www.sefaria.org.il/Klein_Dictionary%2C_דָּבָר,X,,X
האי,אִי־,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אִי־",,,
,אִי I,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אִי_I",,,
,אִי II,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אִי_II",,,
,אִי III,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אִי_III",,,
,אִי IV,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אִי_IV",,,
,אֵי II,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אֵי_II",,,
,אֵי III,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אֵי_III",,,
,הַאי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_הַאי",X,,
,אִי ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אִי_ᴵ",,,
,אִי ᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אִי_ᴵᴵ",,,
,אִי ᴵᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אִי_ᴵᴵᴵ",,,
,אִי ᴵⱽ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אִי_ᴵⱽ",,,
,אִי ⱽ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אִי_ⱽ",,,
,אֵי,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אֵי",,,
,הַאי,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_הַאי",,,
תנא,תְּנָא,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_תְּנָא",,,
,תַּנָּא,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_תַּנָּא",,,
,תְּנֵי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_תְּנֵי",X,,
,תַּנָּא,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_תַּנָּא",,,
,תְּנַא ⱽ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_תְּנַא_ⱽ",,,
כאן,כַּאַן,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_כַּאַן",,,
,כָּאן,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_כָּאן",X,,
הונא,הוּנָא,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_הוּנָא",,,
,נוא,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_נוא",,X,
היה,הוי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_הוי",,,
,היה,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_היה",X,,
שני,שָׁנֵי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_שָׁנֵי",,,
,שָׁנִי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_שָׁנִי",,,
,שני,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_שני",,,
,שְׁנֵי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_שְׁנֵי",,,
,שְׁנֵי ²,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_שְׁנֵי_²",,,
,שְׂנֵי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_שְׂנֵי",,,
,שֵׁנִי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_שֵׁנִי",,,
,שָׁנִי,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_שָׁנִי",,,
,שֵׁנִי,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_שֵׁנִי",,,
,שֹֽׁנִי,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_שֹֽׁנִי",,,
,שִׁנִּי,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_שִׁנִּי",,,
,שְׁנֵֽיִם,Klein Dictionary,https://www.sefaria.org.il/Klein_Dictionary%2C_שְׁנֵֽיִם.1,X,,X
מפני,מִפְּנֵי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_מִפְּנֵי",,,
,מִפְנֵי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_מִפְנֵי",,,
,מִפְּנֵי,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_מִפְּנֵי",X,,
כיון,יָוֵן,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_יָוֵן",,,
,יָוָן,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_יָוָן",,,
,יוֹן,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_יוֹן",,,
,כִּיּוּן,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_כִּיּוּן",,,
,כִּיוָּן,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_כִּיוָּן",,,
,כֵּיוָן,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_כֵּיוָן",X,,
,יוֹן ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_יוֹן_ᴵ",,,
,יוֹן ᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_יוֹן_ᴵᴵ",,,
,יָוָן,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_יָוָן",,,
,יָוֵן,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_יָוֵן",,,
,יון,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_יון",,,
,כִּיּוּן,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_כִּיּוּן",,,
,כֵּיוָן,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_כֵּיוָן",,,
יש,יֵשׁ,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_יֵשׁ",,,
,יֵשׁ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_יֵשׁ",X,,
קרא,קוֹרֵא,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_קוֹרֵא",,,
,קָרָא I,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_קָרָא_I",,,
,קָרָא II,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_קָרָא_II",,,
,קְרָא I,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_קְרָא_I",,,
,קְרָא II,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_קְרָא_II",,,
,קַרָא,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_קַרָא",,,
,קרי ²,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_קרי_²",,,
,קרי ³,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_קרי_³",,,
,קרא ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_קרא_ᴵ",X,,
,קרא ᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_קרא_ᴵᴵ",,,
,קרא ᴵᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_קרא_ᴵᴵᴵ",,,
,קָרָא ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_קָרָא_ᴵ",,,
,קָרָא ᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_קָרָא_ᴵᴵ",,,
,קְרָא,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_קְרָא",,,
אחר,אָחַר,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אָחַר",,,
,אֲחַר,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אֲחַר",,,
,אַחַר,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אַחַר",,,
,אַחֵר,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אַחֵר",,,
,אחר,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אחר",,,
,אַחֵר,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אַחֵר",X,,
,אַחַר,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אַחַר",,,
ורבי,רַב,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_רַב",,,
,רִבֵּי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_רִבֵּי",,,
,רבי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_רבי",,,
,רְבֵי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_רְבֵי",,,
,*רְבֵי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_*רְבֵי",,,
,רְבֵי ²,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_רְבֵי_²",,,
,רַבִּי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_רַבִּי",X,,
,רָבֵי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_רָבֵי",,,
,רֻבִּי,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_רֻבִּי",,,
נחמן,נַחֲמַן,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_נַחֲמַן",,,
,נַחֲמָן,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_נַחֲמָן",X,,
,נֶחֶמְתָּא,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_נֶחֶמְתָּא",,,
מר,מֹר,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_מֹר",,,
,מַר I,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_מַר_I",,,
,מַר II,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_מַר_II",,,
,מַר III,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_מַר_III",,,
,מַר IV,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_מַר_IV",X,,
,מָר,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_מָר",,,
,מָרַר,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_מָרַר",,,
,מַר ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_מַר_ᴵ",,,
,מַר ᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_מַר_ᴵᴵ",,,
,מַר ᴵᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_מַר_ᴵᴵᴵ",,,
,מַר ᴵⱽ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_מַר_ᴵⱽ",,,
,מֹר,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_מֹר",,,
,מרר,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_מרר",,,
יום,יוֹם,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_יוֹם",,,
,יוֹם ²,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_יוֹם_²",,,
,יוֹם,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_יוֹם",X,,
רבה,רַב,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_רַב",,,
,רָבָה,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_רָבָה",,,
,רָבֶה,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_רָבֶה",,,
,רַבָּה I,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_רַבָּה_I",,,
,רַבָּה II,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_רַבָּה_II",X,,
,רַבָּה III,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_רַבָּה_III",,,
,רבי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_רבי",,,
,רַבָּא,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_רַבָּא",,,
,רבה ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_רבה_ᴵ",,,
,רַבָּה,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_רַבָּה",,,
,רִבָּה,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_רִבָּה",,,
אליעזר,אֱלִיעֶזֶר,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אֱלִיעֶזֶר",,,
כוכבים,כּוֹכָב,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_כּוֹכָב",,,
,כּוֹכָב,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_כּוֹכָב",X,,
אשי,אַשֵּׁי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אַשֵּׁי",X,,
,אִשִּׁי,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אִשִּׁי",,,
דמי,דָּם ²,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_דָּם_²",,,
,דְּמַאי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_דְּמַאי",,,
,דמי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_דמי",,,
,דְּמֵי I,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_דְּמֵי_I",X,,
,דְּמֵי II,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_דְּמֵי_II",,,
,דְּמַי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_דְּמַי",,,
,דָּמִין,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_דָּמִין",,,
,דָּמִי,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_דָּמִי",,,
,דֳּמִי,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_דֳּמִי",,,
דרבי,רִבֵּי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_רִבֵּי",,,
,רבי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_רבי",,,
,רְבֵי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_רְבֵי",,,
,*רְבֵי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_*רְבֵי",,,
,רְבֵי ²,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_רְבֵי_²",,,
,רַבִּי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_רַבִּי",X,,
,רָבֵי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_רָבֵי",,,
,דֶּרְבִּי,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_דֶּרְבִּי",,,
,רֻבִּי,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_רֻבִּי",,,
יהושע,יְהוֹשׁוּעַ,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_יְהוֹשׁוּעַ",,,
עליה,עַל,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_עַל",,,
,עֲלִיָּה,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_עֲלִיָּה",,,
,עֲלִיָּה ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_עֲלִיָּה_ᴵ",,,
,עֲלִיָּה ᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_עֲלִיָּה_ᴵᴵ",,,
,עַל ᴵᴵ,Klein Dictionary,https://www.sefaria.org.il/Klein_Dictionary%2C_עַל_ᴵᴵ,X,,X
קשיא,קַשְׁיָא II,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_קַשְׁיָא_II",X,,
,קָשְׁיָא,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_קָשְׁיָא",,,
אומרים,אמר ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אמר_ᴵ",X,,X
יוסף,יוֹסֵף,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_יוֹסֵף",X,,
,יָסַף,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_יָסַף",,,
מהו,מָהוּ,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_מָהוּ",X,,
,מַהוּ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_מַהוּ",,,
אסור,אָסוּר,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אָסוּר",,,
,אִסּוּר,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אִסּוּר",,,
,אֱסוּר,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אֱסוּר",,,
,אָסַר,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אָסַר",,,
,סוּר,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_סוּר",,,
,אָסוּר,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אָסוּר",X,,
,אִסּוּר,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אִסּוּר",,,
,אֵסוּר,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אֵסוּר",,,
בני,בני,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_בני",,,
,בְּנֵי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_בְּנֵי",,,
,בֵּן,Klein Dictionary,https://www.sefaria.org.il/Klein_Dictionary%2C_בֵּן,X,,X
ביה,יָהּ,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_יָהּ",,,
,יָהּ II,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_יָהּ_II",,,
,יָהּ ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_יָהּ_ᴵ",,,
,יָהּ ᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_יָהּ_ᴵᴵ",,,
,בְּ־ I,Jastrow Dictionary,https://www.sefaria.org.il/Jastrow%2C_בְּ־_I,X,,X
קאמר,אֲמַר,Jastrow Dictionary,https://www.sefaria.org.il/Jastrow%2C_אֲמַר,,,X
(דברים,דָּבָר,Klein Dictionary,https://www.sefaria.org.il/Klein_Dictionary%2C_דָּבָר,,,X
שמע,שָׁמַע,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_שָׁמַע",,,
,שְׁמַע I,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_שְׁמַע_I",,,
,שְׁמַע II,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_שְׁמַע_II",,,
,שֵׁמַע,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_שֵׁמַע",,,
,שֵׁמַע ²,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_שֵׁמַע_²",,,
,שׁמע,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_שׁמע",X,,
,שֵֽׁמַע,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_שֵֽׁמַע",,,
,שֶֽׁמַע,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_שֶֽׁמַע",,,
,שֹֽׁמַע,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_שֹֽׁמַע",,,
,שְׁמַע,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_שְׁמַע",,,
כתיב,כְּתַב I,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_כְּתַב_I",,,
,כְּתִיב,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_כְּתִיב",X,,
,כְּתִיב,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_כְּתִיב",,,
אל,אַיִל,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אַיִל",,,
,אַל־,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אַל־",,,
,אַל,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אַל",,,
,אֶל,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אֶל",,,
,אֵל,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אֵל",,,
,לֹא,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_לֹא",,,
,אַל,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אַל",,,
,אֵל ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אֵל_ᴵ",,,
,אֵל ᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אֵל_ᴵᴵ",,,
,אֵל ᴵᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אֵל_ᴵᴵᴵ",,,
,אֶל,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אֶל",X,,
,לֹא,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_לֹא",,,
פפא,פַּפָּא,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_פַּפָּא",X,,
,פַּפָּא II,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_פַּפָּא_II",,,
תניא,תַּנְיָא,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_תַּנְיָא",,,
יצחק,יִצְחָק,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_יִצְחָק",X,,
,צָחַק,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_צָחַק",,,
אבא,אַבָּא I,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אַבָּא_I",X,,
,אַבָּא II,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אַבָּא_II",,,
,אַבָּא III,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אַבָּא_III",,,
,אִבָּא,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אִבָּא",,,
,אִיבָּא I,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אִיבָּא_I",,,
,בּוֹא,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_בּוֹא",,,
,אַבָּא,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אַבָּא",,,
לומר,אמר ᴵ,Klein Dictionary,https://www.sefaria.org.il/Klein_Dictionary%2C_אמר_ᴵ,,,X
אותו,אֵת,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אֵת",,,
וכי,כְּ־,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_כְּ־",,,
,כי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_כי",,,
,כֵּי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_כֵּי",,,
,כִּי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_כִּי",,,
,כִּי ²,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_כִּי_²",,,
,כִּי ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_כִּי_ᴵ",X,,
,כִּי ᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_כִּי_ᴵᴵ",,,
לעולם,עוֹלָם,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_עוֹלָם",,,
,לְעוֹלָם,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_לְעוֹלָם",X,,
,עוֹלָם,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_עוֹלָם",,,
לרב,רַב I,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_רַב_I",,,
,רַב II,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_רַב_II",X,,
,רַב,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_רַב",,,
,רָבַב,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_רָבַב",,,
,לָרֹב,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_לָרֹב",,,
,רַב ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_רַב_ᴵ",,,
,רַב ᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_רַב_ᴵᴵ",,,
,רַב ᴵᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_רַב_ᴵᴵᴵ",,,
,רַב ᴵⱽ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_רַב_ᴵⱽ",,,
,רֹב,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_רֹב",,,
,רבב ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_רבב_ᴵ",,,
,רבב ᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_רבב_ᴵᴵ",,,
,ריב,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_ריב",,,
,רִיב,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_רִיב",,,
אשר,אֲשֶׁר,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אֲשֶׁר",,,
,אָשַׁר,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אָשַׁר",,,
,אֲשַׁר,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אֲשַׁר",,,
,אֶשֶׁר,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אֶשֶׁר",,,
,שֵׁיר,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_שֵׁיר",,,
,שֵׁר,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_שֵׁר",,,
,שַׂר,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_שַׂר",,,
,אָשׁוּר,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אָשׁוּר",,,
,אשׁר ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אשׁר_ᴵ",,,
,אשׁר ᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אשׁר_ᴵᴵ",,,
,אשׁר ᴵᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אשׁר_ᴵᴵᴵ",,,
,אֶשֶׁר,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אֶשֶׁר",,,
,אֽשֶׁר,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אֽשֶׁר",,,
,אֲשֶׁר,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_אֲשֶׁר",X,,
,שׂור ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_שׂור_ᴵ",,,
,שׂור ᴵᴵᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_שׂור_ᴵᴵᴵ",,,
,שׁור ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_שׁור_ᴵ",,,
,שׁיר ᴵ,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_שׁיר_ᴵ",,,
,שֵׁיר,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_שֵׁיר",,,
,שַׂר,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_שַׂר",,,
,שָׁר,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_שָׁר",,,
,שֹׁר,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_שֹׁר",,,
,שֵׁר,Klein Dictionary,"https://www.sefaria.org/Klein_Dictionary,_שֵׁר",,,
ה',הַשֵּׁם,Klein Dictionary,https://www.sefaria.org.il/Klein_Dictionary%2C_הַשֵּׁם,,,X
אני,אני,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אני",,,
,אֲנִי,Jastrow Dictionary,"https://www.sefaria.org/Jastrow,_אֲנִי",,,
