מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
267,"פס' א, א (כז ע""ב, 58)",קולפו כמין,,,,"פס' ח ע""ב",,
275,"פס' א, ג (כז ע""ג, 14)",טעמא דרבי,,,,"פס' י ע""ב",,
335,"פס' א, ג (כז ע""ג, 20)",הפקיד אצלו,,,,"פס' ו ע""א",,
365,"פס' א, ג (כז ע""ג, 36)",רצה היא,,,,"פס' ט ע""א",,
483,"פס' א, ד (כז ע""ג, 57)",תמן הדבר,,,,"פס' יב ע""ב",,
515,"פס' א, ד (כז ע""ד, 6)",עשאו תרומה,,,,"פס' לב ע""א; פס' לג ע""א",,
517,"פס' א, ד (כז ע""ד, 9)",שאין פודין,,,,"פס' כט ע""א",,
518,"פס' א, ה (כז ע""ד, 11)",כשירות היו,,,,"פס' יג ע""ב",,
519,"פס' א, ה (כז ע""ד, 15)",שתי פרות,,,,"פס' יד ע""א",,
585,"פס' א, ו (כז ע""ד, 42)",ששה ספיקות,,,,"שבת טו ע""ב",,
665,"פס' א, ח (כח ע""א, 63)",אמר רבי,,,,"פס' יד ע""ב",,
785,"פס' א, ח (כח ע""א, 45)",במה דברים,,,,"הש' פס' כא ע""א",,
795,"פס' א, ח (כח ע""א, 50)",כדי לחוס,,,,"פס' כ ע""ב",,
825,"פס' א, ח (כח ע""ב, 3)",רבי שמעון,,,,"בכ' לג ע""ב",,
865,"פס' א, ח (כח ע""ב, 19)",אתיא דרבי,,,,"בכ' לג ע""ב",,
855,"פס' א, ח (כח ע""ב, 10)",הסיע דבר,,,,"פס' לד ע""א",,
857,"פס' א, ח (כח ע""ב, 14)",תמן רבי,,,,"הש' פס' כ ע""ב",,
1085,"פס' ב, א (כח ע""ג, 26)",העושה איספלנית,,,,"פס' כד ע""ב",,
1155,"פס' ב, א (כח ע""ג, 37)",בניין אב,,,,"פס' כג ע""ב",,
1495,"פס' ב, א (כח ע""ד, 23)",עד שלא,,,,"הש' פס' יב ע""ב",,
1522,"פס' ב, ב (כח ע""ד, 39)",כופה עליה,,,,"פס' ו ע""א",,
1525,"פס' ב, ב (כח ע""ד, 39)",צריך לומר,,,,"פס' ו ע""ב",,
1526,"פס' ב, ב (כח ע""ד, 40)",צריך לומר,,,,"פס' ז ע""א",,
1527,"פס' ב, ב (כח ע""ד, 41)",אמר רבי,,,,"פס' מה ע""ב",,
1545,"פס' ב, ב (כח ע""ד, 48)",בזמן שמסר,,,,"פס' ד ע""א",,
1575,"פס' ב, ב (כח ע""ד, 52)",גוי שבא,,,,"פס' ו ע""א",,
1825,"פס' ב, ב (כט ע""א, 36)",עד שלשה,,,,"פס' לא ע""ב",,
2095,"פס' ב, ד (כט ע""ב, 26)",הרי מעשר,,,,"פס' לו ע""ב",,
2097,"פס' ב, ד (כט ע""ב, 28)",הלקוח בכסף,,,,"פס' לח ע""א",,
2125,"פס' ב, ד (כט ע""ב, 42)",ועולתו ושלמיו,,,,"הש' זב' קיז ע""ב",,
2145,"פס' ב, ד (כט ע""ב, 47)",אותו כזית,,,,"פס' לו ע""א",,
2155,"פס' ב, ד (כט ע""ב, 52)",רביעית היא,,,,"פס' לח ע""ב",,
2225,"פס' ב, ד (כט ע""ב, 59)",יוצאין במצה,,,,"פס' לו ע""ב",,
2227,"פס' ב, ד (כט ע""ב, 60)",יוצאין במצה,,,,"פס' לז ע""א",,
2275,"פס' ב, ה (כט ע""ג, 6)",בחזרת,,,,"פס' לט ע""א",,
2305,"פס' ב, ה (כט ע""ג, 9)",מה חזרת,,,,"פס' לט ע""א",,
2325,"פס' ב, ה (כט ע""ג, 12)",אית תניי,,,,"פס' לט ע""ב",,
2335,"פס' ב, ה (כט ע""ג, 14)",ר' בנימן,,,,"בר' לח ע""ב",,
2385,"פס' ב, ז (כט ע""ג, 29)",אין נותנין,,,,"הש' פס' מ ע""ב",,
2465,"פס' ב, ז (כט ע""ג, 48)",שריין בחומץ,,,,"פס' מ ע""א",,
2475,"פס' ג, א (כט ע""ד, 41)",טיפולי,,,,"פס' מב ע""ב",,
2555,"פס' ג, א (כט ע""ד, 51)",המחה את,,,,"חו' קכ ע""א",,
2565,"פס' ג, א (כט ע""ד, 59)",דרבי שמעון,,,,"מכות יז ע""א; שבו' כד ע""א",,
2567,"פס' ג, ב (ל ע""א, 6)",בנקלף כולו,,,,"פס' מה ע""ב",,
2785,"פס' ג, ד (ל ע""ב, 8)",גמרה זה,,,,"הש' פס' מח ע""ב",,
2805,"פס' ג, ה (ל ע""ב, 18)",אין לך,,,,"פס' מח ע""ב",,
2825,"פס' ג, ו (ל ע""ב, 27)",שאני אומר,,,,"הש' פס' יג ע""א",,
2845,"פס' ג, ז (ל ע""ב, 36)",מילת בנו,,,,"הש' יב' ע ע""ב",,
2895,"פס' ג, ח (ל ע""ב, 47)",כתיב ביום,,,,"פס' נ ע""א",,
2915,"פס' ג, ח (ל ע""ב, 54)",אית תניי,,,,"פס' מט ע""ב",,
3235,"פס' ד, א (ל ע""ד, 18)",דשושי עכו,,,,"מ""ק יג ע""ב",,
