מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
5770,"יומא ו, א (מג ע""ג, 21)",דר' אליעזר,,"מ' תמ' ג, ג",,,,
5780,"יומא ו, א (מג ע""ג, 23)",וולד חטאת,,"מ' תמ' ד, א",,,,
6360,"יומא ז, א (מד ע""ב, 5)",שנייא היא,,,"תע' סח ע""ב (8)",,"וש""נ",
6370,"יומא ז, א (מד ע""ב, 8)",ומברך עליה,,"ת' יומא ג, יח (80:247)",,,,
6380,"יומא ז, א (מד ע""ב, 10)",מוחל עונות,,,"הש' סופ' יט, ז (326)",,,
6390,"יומא ז, ב (מד ע""ב, 15)",רבי חונה,,,"נזיר נו ע""ב",,,
6400,"יומא ז, ב (מד ע""ב, 23)",ויצא ועשה,"ויקרא טז, כד",,,,,
6410,"יומא ז, ב (מד ע""ב, 24)",מדם חטאת,"במדבר כט, יא",,,,"צ""ל: מלבד",
6420,"יומא ז, ב (מד ע""ב, 25)",ובא אהרן,"ויקרא טז, כג",,,,,
6430,"יומא ז, ב (מד ע""ב, 26)",ולהיכן הוא,,"ספ' פב ע""ב",,,,
6440,"יומא ז, ב (מד ע""ב, 26)",ויצא ועשה,"ויקרא טז, כד",,,,,
6450,"יומא ז, ב (מד ע""ב, 29)",כל הפרשה,,"ספ' פב ע""ב",,,,
6460,"יומא ז, ב (מד ע""ב, 30)",ובא אהרן,"ויקרא טז, כג",,,,,
6470,"יומא ז, ב (מד ע""ב, 32)",ובא,"ויקרא טז, כג","ספ' פב ע""ג","יומא מ ע""ד",,,
6480,"יומא ז, ב (מד ע""ב, 33)",אשר לבש,"ויקרא טז, כג",,,,,
6490,"יומא ז, ג (מד ע""ב, 38)",ולמה בבגדי,,,"ו""ר תצב",,,
6500,"יומא ז, ג (מד ע""ב, 39)",איש אחד,"יחזקאל ט, ב",,,,,
6510,"יומא ז, ג (מד ע""ב, 39)",כתוהת בד,"ויקרא טז, ד",,,,,
6520,"יומא ז, ג (מד ע""ב, 40)",מפני מה,,,"ו""ר תפט",,,
6530,"יומא ז, ג (מד ע""ב, 41)",כנגד המילה,,,"הש' ו""ר תפב",,,
6540,"יומא ז, ג (מד ע""ב, 41)",בריתי היתה,"מלאכי ב, ה",,,,,
6550,"יומא ז, ג (מד ע""ב, 42)",אל תתהדר,"משלי כה, ו",,,,,
6560,"יומא ז, ג (מד ע""ב, 43)",אמר רבי,,,"ר""ה נח ע""ד",,,
6570,"יומא ז, ג (מד ע""ב, 43)",ויעשו להם,"שמות לב, לא",,,,,
6580,"יומא ז, ג (מד ע""ב, 44)",תני רבי,,,"ו""ר תצב",,,
6590,"יומא ז, ג (מד ע""ב, 44)",ולבשם,"ויקרא טז, ד",,,,,
6600,"יומא ז, ג (מד ע""ב, 51)",ועשית לאהרן,"שמות כט, לה",,,,,
6610,"יומא ז, ה (מד ע""ב, 53)",אמר רבי,,,"ו""ר, י, ו (רי:1); שהש""ר ד, ד, ה (כד ע""ד, 6)","זבחים, פח ע""ב; ערכין, טז ע""א;  מו""ק, כח ע""א","<וש""נ>פס""ז, ויק' א ע""א; אה""מ, 499; י""ש, וישב קמב; תצוה שפ; צו תקיג; מצורע תקנט",
6620,"יומא ז, ה (מד ע""ב, 56)",ויטבלו את,"בראשית לז, לא",,,,,
6630,"יומא ז, ה (מד ע""ב, 57)",ועשה להם,"שמות כח, מב",,,,,
6640,"יומא ז, ה (מד ע""ב, 58)",וישם את,"ויקרא ח, ט",,,,,
6650,"יומא ז, ה (מד ע""ב, 61)",ועשית חושן,"שמות כח, טז",,,,,
6660,"יומא ז, ה (מד ע""ב, 62)",אין אפוד,"הושע ג, ד",,,,,
6670,"יומא ז, ה (מד ע""ג, 1)",והיה על,"שמות כח, לה",,"ו""ר טז, ז (שסא)",,,ז
6680,"יומא ז, ה (מד ע""ג, 3)",וישב בה,"במדבר לה, כה",,,,,
6690,"יומא ז, ה (מד ע""ג, 4)",כפרה בחוץ,"הש' דברים כא, ח",,,,,
6700,"יומא ז, ה (מד ע""ג, 9)",ותטבע האבן,"שמ""א יז, מט",,,,,
6710,"יומא ז, ה (מד ע""ג, 9)",והיה על,"שמות כח, לח",,,,,
6720,"יומא ז, ה (מד ע""ג, 10)",ומצח אשה,"ירמיה ג, ג",,,,,
6730,"יומא ז, ה (מד ע""ג, 12)",בגבע בנימן,"הש' שופטים כ, יח-כח",,,,,
6740,"יומא ז, ה (מד ע""ג, 13)",שבראשונה אמר,"הש' שופטים כ, כג",,,,,
6750,"יומא ז, ה (מד ע""ג, 14)",ובשנייה אמר,"הש' שופטים כ, כח",,,,,
6760,"יומא ז, ה (מד ע""ג, 18)",ויאמר דוד,"שמ""א כג, י",,,,,
6770,"יומא ז, ה (מד ע""ג, 18)",היסגירוני,"שמ""א כג, יא",,,,,
6780,"יומא ז, ה (מד ע""ג, 19)",הירד שאול,"שמ""א כג, יא",,,,,
6790,"יומא ז, ה (מד ע""ג, 21)",ויאמר דוד,"שמ""א כג, יב",,,,,
6800,"יומא ז, ה (מד ע""ג, 22)",וישאל דוד,"שמ""א ל, ח",,,,,
6810,"יומא ז, ה (מד ע""ג, 23)",ה' אלהי,"שמ""א כג, יא",,,,,
6820,"יומא ז, ה (מד ע""ג, 24)",ויאמר רדוף,"שמ""א ל, ח",,,,,
6830,"יומא ז, ה (מד ע""ג, 26)",וישמע את,"במדבר ז, פט",,,,,
6840,"יומא ז, ה (מד ע""ג, 28)",כל אלה,"בראשית מט, כח",,,,,
