מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
1850,"שק' ג, ד (מז ע""ג, 56)",ענוה יראת,"משלי כב, ד",,,,,
1900,"שק' ד, א (מז ע""ד, 41)",מה ראה,,"ת' תע' ג, ה (21:338)","תע' סח ע""ב; מג' ע ע""ג",,,
1860,"שק' ג, ד (מז ע""ג, 57)",וחסד ה',"תהלים קג, יז",,"תנ""ב במ' (52)",,,
1890,"שק' ג, ד (מז ע""ג, 59)",אז תבין,"משלי ב, ה",,,,,
1870,"שק' ג, ד (מז ע""ג, 58)",אז דברת,"תהלים פט, ב",,,,,
1880,"שק' ג, ד (מז ע""ג, 58)",ונתתי רוחי,"יחזקאל לז, ו",,,,,
1910,"שק' ד, א (מז ע""ד, 47)",דרבי יוסה,,"מ' שק' ד, א",,,,
1920,"שק' ד, א (מז ע""ד, 49)",אשה שעשת,,"ת' יומא א, כג (103:228)",,,,
1930,"שק' ד, א (מז ע""ד, 53)",אותן הימים,,"ת' מג' ג, ו (27:338)",,,,
1940,"שק' ד, א (מז ע""ד, 55)",אמר רבי,,"ת' מג' ג, ו (29:338)",,,,
1950,"שק' ד, א (מז ע""ד, 57)",דר' ישמעאל,,,"שבי' לג ע""ב",,,
1960,"שק' ד, א (מז ע""ד, 58)",כל קרבנו',,"מ' מנ' ח, א",,,,
1970,"שק' ד, א (מז ע""ד, 61)",עשר קדושות,,"מ' כלים א, ו",,,,
1980,"שק' ד, א (מז ע""ד, 64)",דרבי ישמעאל,,,"שבי' לג ע""ב",,,
1990,"שק' ד, א (מז ע""ד, 64)",רבי ישמעאל,,"מ' שבי' א, ד",,,,
2000,"שק' ד, א (מח ע""א, 2)",שומרי ספחית,,"מ' שק' ד, א",,,,
2010,"שק' ד, א (מח ע""א, 5)",כחמשה דברים,,"מ' פס' ז, ד",,,,
2020,"שק' ד, א (מח ע""א, 11)",וטבא היא,,,"הש' מע""ש נב ע""ד (13)",,,
2030,"שק' ד, ב (מח ע""א, 13)",רבי שמואל,,,"יומא מא ע""ג",,,
2040,"שק' ד, ג (מח ע""א, 16)",רב יהודה,,,"במ""ר יא, ג (מג ע""א); שהש""ר ג, ז-ח, א (כא ע""א)","כתובות, קו ע""א","י""ש, תשא תשפו",
2050,"שק' ד, ג (מח ע""א, 21)",נשים האורגות,,"הש' ת' שק' ב, ו (25:207)",,,,
2060,"שק' ד, ג (מח ע""א, 25)",ממותרי נסכים,,"הש' שק' ד, ד",,,,
2070,"שק' ד, ג (מח ע""א, 27)","דר""מ אמ'",,,"שק' מו ע""ג (51); שק' מז ע""ג (48)",,,
2080,"שק' ד, ג (מח ע""א, 32)",נכח,"הש' שמות כו, לה",,,,,
2090,"שק' ד, ג (מח ע""א, 32)",צלע,"הש' שמות כו, לה",,,,,
2100,"שק' ד, ג (מח ע""א, 36)",ולא היה,,"הש' ת' שק' ב, ו (30:207)",,,,
2110,"שק' ד, ג (מח ע""א, 38)",לא בכבש,,,"פד""כ 10:73",,,
2120,"שק' ד, ג (מח ע""א, 39)",מעלה היא,,,"הש' יומא לח ע""א (52)",,,
2130,"שק' ד, ד (מח ע""א, 42)",מדל דיתמין,,,"הש' כת' ל ע""ד (50)",,,
2150,"שק' ד, ה (מח ע""א, 49)",אין משתכרין,,"מ' שק' ד, ג",,,,
2160,"שק' ד, ה (מח ע""א, 49)",זה וזה,,"מ' שק' ד, ד",,,,
2170,"שק' ד, ה (מח ע""א, 50)",עמדו משלש,,"מ' שק' ד, ט",,,,
2180,"שק' ד, ה (מח ע""א, 51)",וזה וזה,,"מ' שק' ד, ד",,,,
2190,"שק' ד, ה (מח ע""א, 53)",אשה שעשת,,"ת' יומא א, כג (103:228)",,,,
2200,"שק' ד, ה (מח ע""א, 54)",הנסכים שקדשו,,"מ' מנ' ו, ד",,,,
2210,"שק' ד, ה (מח ע""א, 59)",לבית גרמו,,"הש' מ' שק' ה, א",,,,
2220,"שק' ד, ה (מח ע""א, 64)",דאיתפלגון פיטמה,,,"יומא מב ע""ב",,,
2230,"שק' ד, ה (מח ע""ב, 2)",קודש היא,"שמות ל, לה",,,,,
2240,"שק' ד, ה (מח ע""ב, 3)",קודש היא,"שמות ל, לה",,,,,
2250,"שק' ד, ה (מח ע""ב, 5)",המקדיש נכסיו,,"מ' שק' ד, ו",,,,
2260,"שק' ד, ה (מח ע""ב, 5)",רבי יוחנן,,,"שק' מח ע""ב (16)",,,
2270,"שק' ד, ה (מח ע""ב, 15)",תניי בית,,,"שק' נ ע""ג (23); שק' נ ע""ד (5)",,,
2280,"שק' ד, ו (מח ע""ב, 16)",רבי יוחנן,,,"שק' מח ע""ב (5)",,,
2290,"שק' ד, ו (מח ע""ב, 18)",שאין ההקדש,,"ת' שק' ב, ח (42:208)",,,,
2300,"שק' ד, ז (מח ע""ב, 19)",יש בקדשי,,"מ' תמ' ז, ב",,,,
2310,"שק' ד, ז (מח ע""ב, 21)",המקדיש נכסיו,,"מ' שק' ד, ז",,,,
2320,"שק' ד, ז (מח ע""ב, 24)",ואיש כי,"ויקרא כז, יד",,,,,
2330,"שק' ד, ז (מח ע""ב, 25)",אם המקדיש,"ויקרא כז, טו",,,,,
2340,"שק' ד, ז (מח ע""ב, 33)",וולדן וחלבן,,"מ' חו' י, ב",,,,
2350,"שק' ד, ז (מח ע""ב, 35)",וולדן וחלבן,,"מ' חו' י, ב",,,,
2360,"שק' ד, ז (מח ע""ב, 38)",הפריש נקיבה,,"ת' פס' ט, יט (75:195)",,,,
2370,"שק' ד, ז (מח ע""ב, 42)",ואמר רבי,,,"שק' מח ע""ב (63)",,,
2380,"שק' ד, ז (מח ע""ב, 48)",אמר רבי,,"ת' פס' ט, יט (77:195); ת' תמ' ב, ה (22:553)",,,,
2390,"שק' ד, ח (מח ע""ב, 54)",דבר אל,"ויקרא כב, יח",,,,,
2400,"שק' ד, ח (מח ע""ב, 55)",אשר יקריב,"ויקרא כב, יח",,,,"צ""ל: אשר יקריבו",
2410,"שק' ד, ח (מח ע""ב, 55)",לרצונכם תמית,"ויקרא כב, יט",,,,"צ""ל: לרצונכם תמים",
2420,"שק' ד, ח (מח ע""ב, 56)",בבקר,"ויקרא כב, יט",,,,,
2430,"שק' ד, ח (מח ע""ב, 57)",זכר,"ויקרא כב, יט",,,,,
2870,"שק' ה, ב (מח ע""ד, 34)",רבי חגיי,,,"דמאי כב ע""א",,,
2440,"שק' ד, ח (מח ע""ב, 57)",בבקר,"ויקרא כב, יט",,,,,
2450,"שק' ד, ח (מח ע""ב, 58)",תמים,"ויקרא כב, יט",,,,,
2460,"שק' ד, ח (מח ע""ב, 58)",בבקר,"ויקרא כב, יט",,,,,
2470,"שק' ד, י (מח ע""ב, 60)",דבר אל,"ויקרא כב, יח",,,,,
2480,"שק' ד, י (מח ע""ב, 61)",אשר יקריב,"ויקרא כב, יח",,,,"צ""ל: אשר יקריבו",
2490,"שק' ד, י (מח ע""ב, 61)",לרצונכם תמים,"ויקרא כב, יט",,,,,
2500,"שק' ד, י (מח ע""ב, 62)",בבקר,"ויקרא כב, יט",,,,,
2510,"שק' ד, י (מח ע""ב, 63)",אמר רבי,,,"שק' מח ע""ב (42)",,,
2520,"שק' ד, י (מח ע""ג, 2)",בבקר,"ויקרא כב, יט",,,,,
2530,"שק' ד, י (מח ע""ג, 3)",שאין לעוף,,"הש' מ' מנ' יב, א",,,,
2540,"שק' ד, י (מח ע""ג, 5)",ואם כל,"ויקרא כז, יא",,,,,
2550,"שק' ד, י (מח ע""ג, 7)",והעמיד,"ויקרא כז, יא",,,,,
2560,"שק' ד, י (מח ע""ג, 7)",והעריך,"ויקרא כז, יב",,,,,
2570,"שק' ד, י (מח ע""ג, 7)",ואם כל,"ויקרא כז, יא",,,,,
2580,"שק' ד, י (מח ע""ג, 11)",עושין תמורה,,"הש' ת' תמ' א, ט (40:551)",,,,
2590,"שק' ד, י (מח ע""ג, 13)",והעמיד,"ויקרא כז, יא",,,,,
2600,"שק' ד, י (מח ע""ג, 13)",והעריך,"ויקרא כז, יב",,,,,
2610,"שק' ד, יא (מח ע""ג, 13)",תני בשם,,,"שק' מו ע""ג (47)",,,
2620,"שק' ה, א (מח ע""ג, 49)",רבי חזקיה,,,"יומא מא ע""ב",,,
2630,"שק' ה, א (מח ע""ג, 52)",על כולן,,"ת' יומא ב, ח (79:234)",,,,
2640,"שק' ה, א (מח ע""ג, 52)",זיכר צדק,"משלי י, ז",,,,"צ""ל: זכר צדיק",
2650,"שק' ה, א (מח ע""ג, 53)",ושם רשעים,"משלי י, ז",,,,,
2660,"שק' ה, א (מח ע""ג, 54)",זיכר צדיק,"משלי י, ז",,,,,
2670,"שק' ה, א (מח ע""ג, 54)",בן קטין,,"הש' מ' יומא ג, י",,,,
2680,"שק' ה, א (מח ע""ג, 54)",לכן אחלק,"ישעיה נג, יב",,,,,
2690,"שק' ה, א (מח ע""ג, 57)",משפחות סופרים,"דה""א ב, נה",,,,,
2700,"שק' ה, א (מח ע""ג, 58)",חמשה לא,,"מ' תר' א, א",,,,
2710,"שק' ה, א (מח ע""ג, 58)",חמשה דברים,,"מ' חלה א, א",,,,
2720,"שק' ה, א (מח ע""ג, 59)",חמש עשרה,,"מ' יב' א, א",,,,
2800,"שק' ה, א (מח ע""ד, 9)",הלוקח זרע,,"מ' דמאי א, ג;",,,,
2810,"שק' ה, א (מח ע""ד, 12)",שהוא פותח,,"מ' שק' ה, א",,,,
2820,"שק' ה, א (מח ע""ד, 13)",סנהדרין שיש,,"ת' סנ' ח, א (8:427)",,,,
2830,"שק' ה, א (מח ע""ד, 18)",גגות צריפין,,"הש' מ' מנ' י, ב",,,,
2840,"שק' ה, ב (מח ע""ד, 31)",אמר רבי,,,"ביצה ג, ח (סב ע""ב, 16); תע' ב, א (סה ע""ב, 43); ב""ר, סז, לד (5:757); במ""ר יד,  ו (ס ע""א 3); אס""ר ז, כה (יג ע""ג, 28); ח, א (יג ע""ד, 12); פד""כ, כד (9:363); מ' פנ""א נו""א, א (4:51); <ביצה מח ע""ד>; מת""ה י, ג (93); תנ""ו תשא כו (322)","ב""ק נ ע""א",,ז
2850,"שק' ה, ב (מח ע""ד, 32)",וסביביו נשערה,"תהלים נ, ג",,,,,
2860,"שק' ה, ב (מח ע""ד, 33)",ונורא הוא,"תהלים פט, ח",,,,,
2880,"שק' ה, ב (מח ע""ד, 44)",תירגם רב,,,"סוכה נה ע""ג",,,
2890,"שק' ה, ב (מח ע""ד, 46)",בן גבר,,"מ' שק' ה, ב",,,,
2900,"שק' ה, ב (מח ע""ד, 46)",שהיה מזויג,,,"יומא לט ע""ד",,,
2910,"שק' ה, ב (מח ע""ד, 47)",רבי יוסה,,,"פאה כ ע""ד",,,
2920,"שק' ה, ב (מח ע""ד, 50)",הניף הסגן,,"מ' תמיד ז, ג",,,,
2930,"שק' ה, ב (מח ע""ד, 53)",בית גרמו,,"ת' יומא, ב, ה (231:33); הש' מ' יומא, ג, יא","יומא ג, ט, (מא ע""א, 33); שהש""ר ג, ו<ה>, ה (כ ע""ד, 25)","יומא לח ע""א","וש""נ",
2965,"שק' ה, ב (מח ע""ד, 59)",כל פעל,"משלי טז, ד",,,,,
2950,"שק' ה, ב (מט ע""א, 6)",כל הנקרא,"ישעיה נג, ז",,,,,
2960,"שק' ה, ב (מט ע""א, 14)",והיתם נקיים,"במדבר לב, כב",,,,,
2970,"שק' ה, ג (מט ע""א, 30)",ויחיאל ועוזיהו,"דה""ב לא, יג",,,,,
2980,"שק' ה, ג (מט ע""א, 31)",ועשאל וירימות,"דה""ב לא, יג",,,,,
2990,"שק' ה, ג (מט ע""א, 32)",פקידים מיד,"דה""ב לא, יג",,,,,
3000,"שק' ה, ג (מט ע""א, 32)",במפקד יחזקיהו,"דה""ב לא, יג",,,,,
3010,"שק' ה, ג (מט ע""א, 38)",והם יקחו,"שמות כח, ה",,,,,
3020,"שק' ה, ג (מט ע""א, 38)",אמר רבי,,,"ו""ר תשמא; ק""ר ט, יא (כה ע""א); ש""ר מו, ב (עה ע""ד); פד""א מו (קעח); תנ""ו תשא כט (324); תנ""ו עקב ט (633)",,"וש""נ",ז
3030,"שק' ה, ג (מט ע""א, 39)",פסול לך,"שמות לד, א",,,,,
3040,"שק' ה, ג (מט ע""א, 41)",כתיב והביטו,,,"ביכ' סב ע""ג; ש""ר מה, ד (עה ע""א); ש""ר נא, ו (פא ע""ב); תנ""ו תשא כז (322)",,,ז
3050,"שק' ה, ג (מט ע""א, 42)",והביטו אחרי,"שמות לג, ח",,,,,
3060,"שק' ה, ג (מט ע""א, 43)",חמון שקין,,,"הש' ו""ר תשב",,עמוד?,
3070,"שק' ה, ד (מט ע""א, 46)",היה מביא,,"ת' שק' ב, טז (74:211)",,,,
3080,"שק' ה, ד (מט ע""א, 48)",ככה יעשה,"במדבר טו, יא",,,,,
2730,"שק' ה, א (מח ע""ג, 59)",שלשים ושש,,"מ' כר' א, א",,,,
2740,"שק' ה, א (מח ע""ג, 60)",שלשה עשרה,,"מ' טה' א, א",,,,
2750,"שק' ה, א (מח ע""ג, 60)",ארבע אבות,,"מ' ב""ק א, א",,,,
2760,"שק' ה, א (מח ע""ג, 60)",אבות מלאכות,,"מ' שבת ז, ב",,,,
2770,"שק' ה, א (מח ע""ג, 61)",לעזרא הכהן,"עזרא ז, יא",,,,,
2780,"שק' ה, א (מח ע""ג, 63)",חרשו וזרעו,,"הש' מ' שבת ז, ב",,,,
2790,"שק' ה, א (מח ע""ד, 1)",רבי אבא,,,"דמאי כא ע""ב (57); ב""ר 648; אדר""נ ח נו""א (38)",,,ז
3090,"שק' ה, ד (מט ע""א, 49)",מגיד שלא,,"ס""ב קז (110)",,,עמ'?,
3100,"שק' ה, ד (מט ע""א, 52)",ככה יעשה,"במדבר טו, יא",,,,,
3110,"שק' ה, ד (מט ע""א, 52)",או לאיל,"במדבר טו, יא","ס""ב קז (110)",,,עמ'?,
3120,"שק' ה, ד (מט ע""א, 54)",או לאיל,"במדבר טו, יא",,,,,
3130,"שק' ה, ד (מט ע""א, 54)",או לשה,"במדבר טו, יא",,,,,
