מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
06570,"קד' ג, טו (סד ע""ד, 42)",שיחרר שפחה,,"ת' קד' ה, יב (59:297)",,,,
06580,"קד' ג, טו (סד ע""ד, 44)",יש מוכר,,"ת' קד' ה, יג (60:297)",,,,
06590,"קד' ג, טו (סד ע""ד, 46)",רבי מאיר,,"ת' קד' ב, ד (22:294)","ו""ר תשנג",,,
06355,"קד' ג, יד (סד ע""ג, 46)",לא יקח,"דברים כג, א",,,,,
06600,"קד' ג, טו (סד ע""ד, 47)",וישב ממזר,"זכריה ט, ו",,,,,
06610,"קד' ג, טו (סד ע""ד, 48)",וזרקתי עליכם,"יחזקאל לו, כה",,,,,
06620,"קד' ג, טו (סד ע""ד, 49)",מכל טומאותיכם,"יחזקאל לו, כה",,,,,
06630,"קד' ד, א (סה ע""א, 57)",ויעלו מבני,"עזרא ז, ז",,,,,
06640,"קד' ד, א (סה ע""א, 60)",ומבני הכהנים,"עזרא ב, סא",,,,,
06650,"קד' ד, א (סה ע""א, 60)",אלה בקשו,"עזרא ב, סב",,,,,
06660,"קד' ד, א (סה ע""א, 61)",ויאמ' התרשתא,"עזרא ב, סג",,,,,
06670,"קד' ד, א (סה ע""א, 62)",ואני הייתי,"נחמיה א, יא",,,,,
06680,"קד' ד, א (סה ע""א, 62)",אשר לא,"עזרא ב, סג",,,,,
06690,"קד' ד, א (סה ע""א, 64)",הציבי לך,"ירמיה לא, כ",,,,,
06700,"קד' ד, א (סה ע""ב, 1)",מאיליהן קיבלו,,,"דמאי כג ע""ג",,"וש""נ",
06710,"קד' ד, א (סה ע""ב, 1)",עד עמוד,"עזרא ב, סג",,,,,
06720,"קד' ד, א (סה ע""ב, 2)",באותה השעה,,"הש' מ' סוטה ט, יב",,,,
06730,"קד' ד, א (סה ע""ב, 2)",כאדם שהוא,,"ת' סוטה יג, ב (42:231)",,,,
06740,"קד' ד, א (סה ע""ב, 3)",בנות ברזיליי,"הש' עזרא ב, סא",,,,,
06750,"קד' ד, א (סה ע""ב, 7)",דרבי שמעון,,"ס""ב קנז (8:212)",,,,
06760,"קד' ד, א (סה ע""ב, 9)",מכיון שהיא,,,"הש' קד' סד ע""ד (25)",,,
06770,"קד' ד, א (סה ע""ב, 11)",גירי אריות,"הש' מל""ב יז, כה",,,,,
06780,"קד' ד, א (סה ע""ב, 11)",גירי מרדכי,"הש' אסתר ח, יז",,,,,
06790,"קד' ד, א (סה ע""ב, 14)",וכל הנבדל,"עזרא ו, כא",,,,,
06800,"קד' ד, א (סה ע""ב, 14)",וכל הנתינים,"עזרא ב, נח",,,,,
06810,"קד' ד, א (סה ע""ב, 15)",ואלה העולים,"עזרא ב, נט",,,,,
06820,"קד' ד, א (סה ע""ב, 16)",כרוב,"עזרא ב, נט",,,,,
06830,"קד' ד, א (סה ע""ב, 17)",אדון,"עזרא ב, נט",,,,,
06840,"קד' ד, א (סה ע""ב, 18)",ואימר,"עזרא ב, נט",,,,,
06850,"קד' ד, א (סה ע""ב, 20)",תל מלח,"עזרא ב, נט",,,,,
06860,"קד' ד, א (סה ע""ב, 20)",תל חרשא,"עזרא ב, נט",,,,,
06870,"קד' ד, א (סה ע""ב, 21)",ויתנם יהשע,"יהושע ט, כז",,"סנ' כג ע""ג; במ""ר ח, ד (כב ע""ב)",,,ז
06880,"קד' ד, א (סה ע""ב, 22)",ולמזבח ה',"יהושע ט, כז",,,,,
06890,"קד' ד, א (סה ע""ב, 24)",והגבעונים לא,"שמ""ב כא, ב",,,,,
06900,"קד' ד, א (סה ע""ב, 25)",ויהי רעב,"שמ""ב כא, א",,"סנ' כג ע""ג",,,
06910,"קד' ד, א (סה ע""ב, 27)",השמרו לכן,"דברים יא, טז",,,,,
06920,"קד' ד, א (סה ע""ב, 28)",וחרה אף,"דברים יא, יז",,,,,
06930,"קד' ד, א (סה ע""ב, 29)",ותחניפי ארץ,"ירמיה ג, ב",,,,,
06940,"קד' ד, א (סה ע""ב, 29)",וימנעו רביבים,"ירמיה ג, ג",,,,,
06950,"קד' ד, א (סה ע""ב, 30)",כי הדם,"במדבר לה, לג",,,,,
06960,"קד' ד, א (סה ע""ב, 31)",נשיאים ורוח,"משלי כה, יד",,,,,
06970,"קד' ד, א (סה ע""ב, 33)",ויבקש דוד,"שמ""ב כא, א",,,,,
06980,"קד' ד, א (סה ע""ב, 34)",בקשו את,"צפניה ב, ג",,,,,
06990,"קד' ד, א (סה ע""ב, 35)",ויאמר ה',"שמ""ב כא, ב",,,,,
07000,"קד' ד, א (סה ע""ב, 37)",אמרין ליה,,,"הש' ו""ר תקיג",,,
07010,"קד' ד, א (סה ע""ב, 39)",יותן לנו,"שמ""ב כא, ו",,,,,
07020,"קד' ד, א (סה ע""ב, 41)",אין לנו,"שמ""ב כא, ד",,,,,
07030,"קד' ד, א (סה ע""ב, 43)",אין לנו,"שמ""ב כא, ד",,,,,
07040,"קד' ד, א (סה ע""ב, 45)",ונתן לך,"דברים יג, ח",,,,,
07050,"קד' ד, א (סה ע""ב, 46)",ובעבור תהיה,"שמות כ, טז",,,,,
