מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
3230,"שבת ג, ג (ו ע""א, 57)",אך אשר,"שמות יב, טז",,,,,
3240,"שבת ג, ג (ו ע""א, 61)",והוא מתיירא,,,"הש' שבת ד ע""א (24)",,,
3250,"שבת ג, ד (ו ע""ב, 7)",באמבטי,,"הש' ת' ער' ח, ח (22:133)",,,,
3260,"שבת ג, ד (ו ע""ב, 9)",ממלא הוא,,"ת' שבת ב, ה (13:12)",,"שבת מ ע""ב",,
3270,"שבת ג, ד (ו ע""ב, 12)",דמר רבי,,,"שבת ה ע""ג",,,
3280,"שבת ג, ד (ו ע""ב, 14)",אפילו במקום,,,"מע' מט ע""ב (11)",,,
3300,"שבת ג, ה (ו ע""ב, 23)",אחד שבישל,,"מ' זב' יא, ז; הש' ספ' לב ע""ד",,,,
3310,"שבת ג, ה (ו ע""ב, 25)",אף בכלי,,"הש' ספ' לב ע""ד",,,,
3320,"שבת ג, ו (ו ע""ב, 34)",דבר שהוא,,,"הש' שבת ו ע""ב (42)",,,
3340,"שבת ג, ו (ו ע""ב, 42)",הוא בעינו,,,"הש' שבת ו ע""ב (34)",,,
3330,"שבת ג, ו (ו ע""ב, 38)",התיב רבי,,,"ביצה ס ע""ב (5)",,,
3350,"שבת ג, ז (ו ע""ב, 45)",כופין סל,,"מ' שבת יח, ב; ת' שבת טו, א (2:68)",,"שבת מג ע""א",,
3360,"שבת ג, ז (ו ע""ב, 46)",כל הנירות,,"ת' שבת ג, יג (29:14)",,"שבת מד ע""א",,
3370,"שבת ג, ז (ו ע""ב, 54)",מוכנה שלה,,"מ' כלים יח, ב",,"שבת מד ע""ב; שבת מו ע""א",,
3380,"שבת ג, ז (ו ע""ב, 59)",אם אינה,,"מ' כלים יח, ב",,,,
3390,"שבת ג, ז (ו ע""ב, 61)",מתניתא פליגא,,,"שבת טז ע""ג",,,
75,"שבת א, א (ב ע""ב, 13)",שמע להן,,,,"שבת צו ע""ב",,
3400,"שבת ג, ז (ו ע""ב, 62)",האבן שעל,,"מ' שבת כא, ב",,,,
3410,"שבת ג, ז (ו ע""ב, 63)",היתה בין,,"מ' שבת כא, ב",,,,
3420,"שבת ג, ז (ו ע""ג, 1)",כופין סל,,"מ' שבת יח, ב; ת' שבת טו, א (2:68)",,"שבת מג ע""א",,
3430,"שבת ג, ז (ו ע""ג, 2)",עלו מאיליהן,,"ת' שבת טו, א (3:68)",,,,
3440,"שבת ג, ז (ו ע""ג, 6)",כל הנרות,,"מ' שבת ג, ו",,,,
3450,"שבת ג, ז (ו ע""ג, 15)",נר שהוא,,"ת' שבת ג, יד (33:14)",,"שבת קכ ע""ב",,
3460,"שבת ג, ז (ו ע""ג, 26)",יכרת ה',"מלאכי ב, יב",,,,,
3470,"שבת ג, ז (ו ע""ג, 27)",אבל כוס,,"ת' שבת ג, יג (32:14)",,,,
3480,"שבת ג, ז (ו ע""ג, 33)",נוטל אדם,,"מ' שבת כא, א",,,,
3490,"שבת ג, ז (ו ע""ג, 34)",ותני דבית,,,"שבת טז ע""ב","הש' שבת קמב ע""א",,
3500,"שבת ג, ז (ו ע""ג, 39)",דבית רבי,,,"ב""ב יד ע""ב","הש' ב""ב נט ע""א",,
