מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
1600,"נד' ד, ג (לח ע""ג, 53)",ותרום תרומתו,,"מ' נד' ד, ג",,,"צ""ל: ותורם",
1610,"נד' ד, ג (לח ע""ג, 54)",ראה לימדתי,"דברים ד, ה",,"ו""ר תרכח",,"כ""י כ!",
1620,"נד' ד, ג (לח ע""ג, 56)",חקים ומשפטי',"דברים ד, ה",,,,,
1630,"נד' ד, ג (לח ע""ג, 57)",שכר בטילן,,,"ו""ר תרפח; פד""כ 402",,,
1640,"נד' ד, ד (לח ע""ג, 62)",רבי שמעון,,,"נד' לח ע""ד (7); נד' לט ע""א (41)",,,
1660,"נד' ד, ו (לח ע""ד, 7)",רבי שמעון,,,"נד' לח ע""ג (62); נד' לט ע""א (41)",,,
1820,"נד' ה, א (לט ע""א, 41)",רבי שמעון,,,"נד' לח ע""ג (62); נד' לח ע""ד (7)",,,
1650,"נד' ד, ד (לח ע""ד, 1)",רוחץ עמו,,"ת' נד' ב, ז (27:106)",,,,
1670,"נד' ד, ו (לח ע""ד, 14)",דו רבי,,"ת' נד' ב, ט (33:106)",,,,
1680,"נד' ד, ט (לח ע""ד, 21)",ביומוי דרבי,,,"שבת טו ע""ד",,,
1690,"נד' ד, ט (לח ע""ד, 24)",כל דבר,,"ת' שבת טו, טו (68:73)",,,,
1700,"נד' ד, ט (לח ע""ד, 25)",מעשה שנפלה,,"ת' שבת יג, ט (46:60)","יומא מה ע""ב",,,
1710,"נד' ד, י (לח ע""ד, 33)",רבי מאיר,,,"פאה יט ע""ב; דמאי כג ע""ב",,,
1720,"נד' ד, י (לח ע""ד, 40)",ובא הלוי,"דברים יד, כט",,"מע' מח ע""ג",,"וש""נ",
1730,"נד' ד, י (לח ע""ד, 42)",עד כדון,,,"פאה יט ע""ב",,,
1740,"נד' ד, י (לח ע""ד, 43)",המבקיר שדהו,,"ת' מע' ג, יא (32:240)",,,,
1750,"נד' ד, י (לח ע""ד, 47)",אבל אם,,"ת' מע' ג, יא (33:240)",,,,
1760,"נד' ד, י (לח ע""ד, 53)",מאי טעמא,,,"פס' לא ע""ב",,,
1770,"נד' ד, י (לח ע""ד, 53)",מפני שקדם,,"ת' נד' ב, ט (33:106)",,,,
1780,"נד' ד, י (לח ע""ד, 56)",והלה נוטל,,"מ' נד' ד, י",,,"להוסיף לשורה 62- בפני שלשה. ב' נד' מה ע""א",
1790,"נד' ה, א (לט ע""א, 38)",לוקח ביתר,,"מ' נד' ג, יא",,,,
1800,"נד' ה, א (לט ע""א, 39)",לא ישאילינו,,"מ' נד' ד, ו",,,,
1810,"נד' ה, א (לט ע""א, 40)",לא ימכר,,"מ' נד' ד, ו",,,,
1830,"נד' ה, א (לט ע""א, 42)",השותפין שנדרו,,"מ' נד' ה, א",,,,
1840,"נד' ה, א (לט ע""א, 44)",אמר רבי,,,"ב""ב יג ע""א",,,
1850,"נד' ה, א (לט ע""א, 53)",מקום התנור,,"ת' ב""ב ב, יג (31:400)",,,,
1860,"נד' ה, א (לט ע""א, 54)",רבי יוחנן,,,"ב""ק ג ע""ד",,,
1870,"נד' ה, ב (לט ע""א, 61)",אם היה,,"ת' נד' ב, ט (36:107)",,,,
1880,"נד' ה, ב (לט ע""א, 64)",האומר ליורשיו,,"ת' כת' יא, ו (30:94)",,,,
1890,"נד' ה, ב (לט ע""ב, 1)",האומר לבנו,,"מ' ב""ק ט, י","ב""ק ז ע""א",,,
1900,"נד' ה, ד (לט ע""ב, 8)",קונם שאיני,,"ת' נד' ה, ב (19:115)",,,,
1910,"נד' ה, ד (לט ע""ב, 10)",כמאן דאמר,,,"הש' נד' לח ע""א (51)",,,
1920,"נד' ה, ד (לט ע""ב, 12)",הנודר מבני,,"ת' נד' ב, י (38:107)",,,,
1930,"נד' ה, ד (לט ע""ב, 13)",קונם הנייתי,,"ת' נד' ה, ה (24:115)",,,,
1940,"נד' ה, ד (לט ע""ב, 16)",המודר הנייה,,"ת' נד' ה, ה (39:107)",,,,
1950,"נד' ה, ד (לט ע""ב, 19)",יום הכיפורים,,"ת' יומא ד, יד (73:255)",,,,
1960,"נד' ה, ד (לט ע""ב, 23)",ברוך שבחר,,,"הש' תר' מה ע""ד",,שם הע' 7,
1970,"נד' ה, ה (לט ע""ב, 25)",רחבה שדרך,,"ת' נד' ב, ט (35:107)",,,,
2250,"נד' ו, ח (לט ע""ד, 12)",חמרא מבשלא,,,"הש' תר' מא ע""ד",,,
2260,"נד' ו, ח (לט ע""ד, 12)",זה הכלל,,"ת' תר' ה, טו (87:135)","שבי' לו ע""ד",,,
2270,"נד' ו, ח (לט ע""ד, 17)",שהזקן עוקר,,,"כת' לא ע""ג; נזיר נג ע""ב",,,
2280,"נד' ו, ח (לט ע""ד, 19)",גידולי תרומה,,"מ' תר' ט, ד",,,,
2290,"נד' ו, ח (לט ע""ד, 22)",במה דברים,,"מ' תר' ט, ו",,,,
2300,"נד' ו, ח (לט ע""ד, 23)",דאמר רבי,,,"כל' ל ע""א",,"הע' כ. וש""נ",
2310,"נד' ו, יא (לט ע""ד, 29)",רבי שמעון,,"ת' נד' ג, ג (12:108)",,,,
2320,"נד' ו, יא (לט ע""ד, 31)",וכל דבר,,"ת' נד' ג, ג (15:108)",,,,
2340,"נד' ו, יג (לט ע""ד, 43)",הנודר מן,,"ת' נד' ג, ו (30:109)","שבי' לז ע""א",,,
2350,"נד' ו, יג (לט ע""ד, 50)",אין מעברין,,"ת' סנ' ב, ט (13:417)","פאה יח ע""ד; סנ' יח ע""ד",,,
2360,"נד' ו, יג (לט ע""ד, 51)",עד שלא,,"ת' שבי' ד, טז (51:183)",,,,
2370,"נד' ו, יג (לט ע""ד, 53)",היה ר',,"ת' סנ' ב, ט (13:417)","סנ' יח ע""ד",,עמוד?,
2380,"נד' ו, יג (לט ע""ד, 53)",ואיש בא,"מל""ב ד, מב",,,,,
2390,"נד' ו, יג (לט ע""ד, 56)",תן לעם,"מל""ב ד, מב",,,,,
2400,"נד' ו, יג (לט ע""ד, 57)",אין מעברין,,"ת' סנ' ב, יא (24:417)","פס' לו ע""ג",,"יר' פס' וש""נ",
2410,"נד' ו, יג (לט ע""ד, 59)",כי מרבית,"דה""ב ל, יח",,,,,
2420,"נד' ו, יג (לט ע""ד, 62)",כי אכלו,"דה""ב ל, יח",,,,,
2430,"נד' ו, יג (לט ע""ד, 64)",דמר רבי,,,"פס' לו ע""ג; סוטה כ ע""ב; סנ' יח ע""ד",,,
2440,"נד' ו, יג (מ ע""א, 1)",בכל לבבו,"דה""ב ל, יט",,"פס' לו ע""ג; סנ' יח ע""ד",,,
2450,"נד' ו, יג (מ ע""א, 4)",ויכלו באחד,"דה""ב כט, יז",,,,"צ""ל: ויחלו",
2460,"נד' ו, יג (מ ע""א, 4)",וביום ששה,"דה""ב כט, יז",,,,,
2470,"נד' ו, יג (מ ע""א, 6)",ששה דברים,,,"פס' לו ע""ג",,"וש""נ",
2480,"נד' ו, יג (מ ע""א, 9)",קיצץ דלתות,"הש' מל""ב יח, טז",,,,,
2490,"נד' ו, יג (מ ע""א, 9)",עיבר ניסן,,,"הש' נד' לט ע""ד (63)",,,
2500,"נד' ו, יג (מ ע""א, 12)",רבי אומר,,,"ר""ה נח ע""ג",,"וש""נ",
2510,"נד' ו, יג (מ ע""א, 13)",אם היה,,"מ' שבי' ט, ב",,,,
2520,"נד' ו, יג (מ ע""א, 13)",כשקידשו את,,"ת' ר""ה ב, יא","ר""ה נט ע""ג",,"וש""נ",
2530,"נד' ו, יג (מ ע""א, 19)",יום הראשון,,"ת' ר""ה ב, יא",,,,
2540,"נד' ו, יג (מ ע""א, 19)",קידשוהו קודם,,"ת' ר""ה ב, א (3:312)",,,"וש""נ",
2550,"נד' ו, יג (מ ע""א, 20)",אותם (1),"ויקרא כג, ד",,,,,
2560,"נד' ו, יג (מ ע""א, 20)",אותם אלה,"ויקרא כג, ב",,,,,
2570,"נד' ו, יג (מ ע""א, 21)",ומניין שמעברין,,"ספ' צט ע""ב",,,,
2580,"נד' ו, יג (מ ע""א, 22)",וידבר משה,"ויקרא כג, מד",,,,,
2590,"נד' ו, יג (מ ע""א, 36)",מועדי ה',"ויקרא כג, ד",,,,,
2600,"נד' ו, יג (מ ע""א, 37)",כי מציון,"ישעיה ב, ג",,,,,
2610,"נד' ו, יג (מ ע""א, 42)",ואל יתר,"ירמיה כט, א",,,,,
2620,"נד' ו, יג (מ ע""א, 44)",החרש והמסגר,"מל""ב כד, טז",,,,,
2630,"נד' ו, יג (מ ע""א, 44)",רבי ברכיה,,"הש' ספרי דב' שכא (370:10); מת""ד, לב, כה (8:198); ס""ע כה","סנ' א, ב (יט ע""א, 20); ב""ר, מא א (3:404); ו""ר, יא, ז (רלג:2); שהש""ר ח, יא, א, (מא ע""א, 9); ר""ר א, ז (190:26); אס""ר, פת' יא (ב ע""ג, 31); תנ""ו נח ג (32); הש' משנת ר""א, יג 260","הש'  גיטין, פח ע""א; סנהדרין, לח ע""א",,ז
2640,"נד' ו, יג (מ ע""א, 50)","א""ר אבון",,,"סנ' יח ע""ד; כת' כה ע""ב",,,
2650,"נד' ו, יג (מ ע""א, 50)",אקרא לאלהים,"תהלים נז, ג",,,,,
2660,"נד' ו, יג (מ ע""א, 51)",מה טעמא,,,"נד' לט ע""ד",,,
2670,"נד' ו, טז (מ ע""א, 59)",תני ר',,"הש' ת' נד' ג, ז (36:110)",,,בריתא חולקת,
2680,"נד' ז, א (מ ע""ב, 44)",הנודר מן,,"ת' נד' ג, ה (21:108)",,,,
2690,"נד' ז, א (מ ע""ב, 45)",וכן היה,,"ת' נד' ג, ה (27:108)",,,,
2700,"נד' ז, א (מ ע""ב, 49)",אבל בדלעת,,"הש' ת' נד' ג, ו (16:204)",,,,
2710,"נד' ז, א (מ ע""ב, 49)",ר' קריספא,,,"ערלה סג ע""ב",,,
2720,"נד' ז, א (מ ע""ב, 50)",רבי יודא,,,"שבי' לד ע""ב",,,
