מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
03680,"תע' ד, א (סז ע""ג, 1)",וישא אהרן,"ויקרא ט, כב","ספ' מה ע""ב",,,,
03690,"תע' ד, א (סז ע""ג, 2)",וירד מעשות,"ויקרא ט, כב",,,,,
03700,"תע' ד, א (סז ע""ג, 2)",וישא אהרן,"ויקרא ט, כב",,,,,
03710,"תע' ד, א (סז ע""ג, 4)",ויברכם,"ויקרא ט, כב","ספ' מה ע""ב; ס""ד רח (248)",,"סוטה לח ע""א",,
03720,"תע' ד, א (סז ע""ג, 4)",כי בם,"דברים כא, ה",,,,,
03730,"תע' ד, א (סז ע""ג, 6)",ויקומו הכהנים,"דה""ב ל, כז",,,,,
03740,"תע' ד, א (סז ע""ג, 8)",ובפרשכם כפיכם,"ישעיה א, טו",,,,,
03750,"תע' ד, א (סז ע""ג, 8)",ויברכם,"ויקרא ט, כב",,,,,
02890,"תע' ג, ג (סו ע""ג, 21)",מפני ארבעה,,,"ב""ר 119; ק""ר א, ז (ג ע""ב)",,,ז
02900,"תע' ג, ג (סו ע""ג, 24)",אם לשבט,"איוב לז, יג",,,,,
02910,"תע' ג, ג (סו ע""ג, 27)",השמרו לכם,"דברים יא, טז",,,,,
02920,"תע' ג, ג (סו ע""ג, 28)",וחרה אף,"דברים יא, יז",,,,,
02930,"תע' ג, ג (סו ע""ג, 29)",ותחניפי ארץ,"ירמיה ג, ב",,,,,
02940,"תע' ג, ג (סו ע""ג, 30)",וימנעו רביבים,"ירמיה ג, ג",,,,,
02950,"תע' ג, ג (סו ע""ג, 30)",כי הדם,"במדבר לה, לג",,,,,
02960,"תע' ג, ג (סו ע""ג, 32)",נשיאים ורוח,"משלי כה, יד",,,,,
02970,"תע' ג, ג (סו ע""ג, 32)",חמשה שמות,,,"ב""ר 120; מת""ה קלה, ב (518)",,,ז
02980,"תע' ג, ג (סו ע""ג, 33)",ואד יעלה,"בראשית ב, ו",,,,,
02990,"תע' ג, ג (סו ע""ג, 34)",הנה אנכי,"שמות יט, ט",,,,,
03000,"תע' ג, ג (סו ע""ג, 35)",מעלה נשיאים,"תהלים קלה, ז",,,,,
03010,"תע' ג, ג (סו ע""ג, 36)",ה' עושה,"זכריה י, א",,,,,
03020,"תע' ג, ג (סו ע""ג, 37)",וכל סביבותיה,,,"תע' סו ע""ד (10)",,,
03030,"תע' ג, ד (סו ע""ג, 53)",שכן מצאנו,,"ספרא נדבה, פרק ב, יג (ד ע""ב, 3); מכילתא דר""י פסחא א, (5:11)","הש' פד""כ ה ט (95: 4); שהש""ר ב, יג, ב (יז ע""ג, 4)","הש' תע' ל ע""ב; ב""ב קכא ע""א","י""ש, ויקרא תלא; במ""ד, מ""ו ה אזינו, ג; הש' י""ש שה""ש תתקפו; י""ש מסעי תשפח; דברים תתט",
03040,"תע' ג, ד (סו ע""ג, 55)",ויהי כאשר,"דברים ב, טז",,,,,
03050,"תע' ג, ד (סו ע""ג, 55)",וידבר ה',"דברים ב, יז",,,,,
03060,"תע' ג, ד (סו ע""ג, 58)",ה' הוא,"מל""א יח, לט",,,,,
03070,"תע' ג, ד (סו ע""ג, 60)",כשדים הן,,,"פד""כ 242; ו""ר יז, ד (שפ); פס""ר יז (פט ע""א); ר""ר ב, י",,,ז
03080,"תע' ג, ד (סו ע""ג, 60)",הן ארץ,"ישעיה כג, יג",,,,,
03090,"תע' ג, ד (סו ע""ג, 61)",ישליו אוהלים,"איוב יב, ו",,,,,
03100,"תע' ג, ד (סו ע""ג, 62)",ביום ההוא,"מיכה ד, ו",,,,,
03110,"תע' ג, ד (סו ע""ד, 10)",וכל סביבותיה,,,"תע' סו ע""ג (37)",,,
03120,"תע' ג, ה (סו ע""ד, 13)",ידבק ה',"דברים כח, כא",,,,,
03130,"תע' ג, ה (סו ע""ד, 15)",אפילו עיר,,"ת' תע' ב, ט (57:332)",,"הש' תע' כא ע""א",,
03140,"תע' ג, ה (סו ע""ד, 17)",אסכרה כל,,"ת' תע' ב, ט (59:333)",,,,
03150,"תע' ג, ו (סו ע""ד, 21)",שמה ושערורה,"ירמיה ב, ל",,,,,
03160,"תע' ג, ו (סו ע""ד, 22)",קודר הילכתי,"איוב ל, כח",,,,,
03170,"תע' ג, ו (סו ע""ד, 23)",אוקיר לאסייך,"הש' ב""ס לח, א",,,"הש' סנ' מד ע""ב",,
03180,"תע' ג, ו (סו ע""ד, 24)",היערוך שועך,"איוב לו, יט",,,,,
03190,"תע' ג, ו (סו ע""ד, 26)",וכל מאמצי,"איוב לו, יט",,,,,
03200,"תע' ג, ו (סו ע""ד, 27)",הרחב פיך,"תהלים פא, יא",,,,,
03210,"תע' ג, ו (סו ע""ד, 30)",לא סוף,,"ת' תע' ב, י (62:333)",,"תע' כב ע""א",,
