מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות
02530,"חלה ד, ח (ס ע""א, 39)",אמר רבי,,"הש' ספרי במ', קסא (223:6)","שבי' ו, א (לו ע""ד, 28); _x000D_
שבי' ו, א (לו ע""ד, 28); ש""ר, כג ה (מג ע""א, 16); שהש""ר ד, ח (כו ע""ד, 25); תנ""ב בשלח יא (ל ע""א, 9); הש' תנ""ו שלח י",,"קג""ן (מאן) טו קטע מנו""א תנ' קיח; י""ש, שה""ש תתקפח; הש' שכ""ט שמות יד; י""ש הושע תקיט; שה""ש תתקפ"
02540,"חלה ד, ח (ס ע""א, 40)",תשורי מראש,"שיר השירים ד, ח",,,,
02550,"חלה ד, ח (ס ע""א, 42)",והערבה והירדן,"דברים ג, יז",,,,
02560,"חלה ד, ח (ס ע""א, 43)",והירדן וגבול,"יהושע יח, כ",,,,"צ""ל: יגבול"
02570,"חלה ד, ח (ס ע""א, 44)",ירדן שנטל,,"ת' כת' ח, ד (21:84)",,"ב""מ כב ע""א",
02590,"חלה ד, ט (ס ע""א, 50)",שלא יהו,,,"חלה ס ע""ב (26)",,
02600,"חלה ד, י (ס ע""א, 56)",ונאכלת עם,,"מ' חלה ד, ח",,,
02610,"חלה ד, י (ס ע""ב, 1)",איסי בן,,,"מע' מח ע""ג (56)",,
02620,"חלה ד, י (ס ע""ב, 1)",חלת הגוי,,"ת' חלה ב, ו (24:281)",,"מנ' סז ע""א",
02630,"חלה ד, יא (ס ע""ב, 4)",והביכורים,,"הש' ס""ב ה (19:8)",,,לפי גירסת מדרש חכמים
02640,"חלה ד, יא (ס ע""ב, 5)",מניין שהדמים,,"הש' ס""ב קיז (12:137)",,"ערכ' כח ע""ב","צ""ל: שחרמים"
02650,"חלה ד, יא (ס ע""ב, 6)",כשדה החרם,"ויקרא כז, כא",,,,
02660,"חלה ד, יא (ס ע""ב, 7)",לכהן תהיה,"ויקרא כז, כא",,,,
02670,"חלה ד, יא (ס ע""ב, 8)",ונתן לכהן,"דברים יח, ג",,,,
02680,"חלה ד, יא (ס ע""ב, 9)",כל חרם,"ויקרא כז, כח",,,,
02690,"חלה ד, יא (ס ע""ב, 12)",אשי ה',"דברים יח, א",,,,
02700,"חלה ד, יא (ס ע""ב, 13)",עשרים וארבעה,,"ת' חלה ב, ז (30:281)",,"ב""ק קי ע""ב","ת' וש""נ"
02710,"חלה ד, יא (ס ע""ב, 15)",וזבחי שלמי,"הש' ויקרא כג, יט",,,,
02720,"חלה ד, יא (ס ע""ב, 15)",וחטא' העוף,"הש' ויקרא יב, ו",,,,
02730,"חלה ד, יא (ס ע""ב, 15)",ולוג שמן,"הש' ויקרא יד, טו",,,,
02770,"חלה ד, יא (ס ע""ב, 19)",ופדיון הבן,"הש' במדבר יח, טו",,,,
02780,"חלה ד, יא (ס ע""ב, 19)",ופדיון פטר,"הש' שמות לח, כ",,,,
02810,"חלה ד, יא (ס ע""ב, 20)",דו רבי יודה,,"מ' ביכ' ג, יב",,,"צ""ל: דרבי"
02820,"חלה ד, יא (ס ע""ב, 21)",דו רבי עקיבה,,"מ' מע""ש ב, ד",,,
02840,"חלה ד, יב (ס ע""ב, 26)",שלא יאמרו,,,"חלה ס ע""א (50)",,
02850,"חלה ד, יב (ס ע""ב, 27)",שלא יהו,,,"חלה ס ע""א (49)",,
02580,"חלה ד, ט (ס ע""א, 49)",שלא יהו,,,"חלה ס ע""ב (27)",,
02860,"חלה ד, יב (ס ע""ב, 29)",אמר רבן,,"ת' שבי' ה, ב (3:186)",,,
02870,"חלה ד, יב (ס ע""ב, 35)",רבי שמעון,,,"דמאי כג ע""ב",,
02880,"חלה ד, יב (ס ע""ב, 42)",רבי חייה,,,"הש' חלה ס ע""ב (25)",,
02830,"חלה ד, יב (ס ע""ב, 25)",רבי חייה,,,"הש' חלה ס ע""ב (42)",,
02890,"חלה ד, יב (ס ע""ב, 43)",אין מביאין,,"מ' תר' יא, ג",,,
02900,"חלה ד, יב (ס ע""ב, 44)",רבי הילא,,,"תר' מז ע""ד",,
02910,"חלה ד, יב (ס ע""ב, 45)",דרך ביכורים,,"מדר""י 355",,,
02920,"חלה ד, יב (ס ע""ב, 46)",תביא,"שמות כג, יט",,,,
02930,"חלה ד, יב (ס ע""ב, 47)",ואתייא כמאן,,,"פס' לה ע""ד; קד' סא ע""ג",,
02940,"חלה ד, יב (ס ע""ב, 48)",האשה עושה,,"ת' פס' ח, י (44:187)",,"פס' צא ע""א",
02950,"חלה ד, יב (ס ע""ב, 51)",איש שה,"שמות יב, ג",,,,
02960,"חלה ד, יב (ס ע""ב, 52)",איש שה,"שמות יב, ג",,,,
02970,"חלה ד, יב (ס ע""ב, 53)",איש,"שמות יב, ג",,,,
02980,"חלה ד, יב (ס ע""ב, 55)",קודם לשתי,,"מ' מנ' י, ו",,,
02990,"חלה ד, יב (ס ע""ב, 56)",אם באו,,"מ' תמ' ג, ה",,,
03000,"חלה ד, יב (ס ע""ב, 58)",אריסטון הביא,,,"שבי' לז ע""א",,
03010,"חלה ד, יב (ס ע""ב, 58)",אין מביאין,,"מ' שבי' ו, ו",,,
00830,"חלה א, ה (נז ע""ד, 53)",דבר קל,,,"מע""ש ה, ב (נו ע""א, 9); עירובין, ב, ה (כ ע""ב, 26); ירושלמי, פסחים, ד, ד (לא ע""א, 44); שהש""ר ג, ז<ח>, ג (כב ע""א, 30); שהש""ר ד, יב, א, (כח ע""ד, 2); אס""ר א, ד  (ג ע""א, 24); פד""כ יד, א (9:240)",,
00085,"חלה א, א (נז ע""א, 51)",דבר שהוא,,,,"הש' פס' לה ע""א",
00285,"חלה א, א (נז ע""ב, 38)",ורבי שמעון,,,,"זב' עח ע""א",
00305,"חלה א, א (נז ע""ב, 46)",כשם שאין,,,,"זב' עט ע""א",
00307,"חלה א, א (נז ע""ב, 55)",בשעת הקרבן,,,,"מנ' סח ע""א",
00425,"חלה א, א (נז ע""ג, 17)",רבי יונה,,,,"מנ' ע ע""ב",
00855,"חלה א, ו (נח ע""א, 3)",עיסת כותח,,,,"בר' לז ע""ב",
00805,"חלה א, ה (נז ע""ד, 34)",טריקתא חייבת,,,,"בר' לז ע""ב",
00802,"חלה א, ה (נז ע""ד, 34)",וחלת מסרת,,,,"פס' לז ע""א",
00895,"חלה א, ז (נח ע""א, 15)",חלות תודה,,,,"פס' לח ע""ב",
01435,"חלה ב, ב (נח ע""ג, 16)",מה בינו,,,,"גט' ז ע""ב",
01522,"חלה ב, ד (נח ע""ג, 41)",עגבות אין,,,,"בר' כד ע""א",
01525,"חלה ב, ד (נח ע""ג, 42)",המסתכל בעקיבה,,,,"בר' כד ע""א",
01527,"חלה ב, ד (נח ע""ג, 43)",קול באשה,,,,"קד' ע""א",
01535,"חלה ב, ד (נח ע""ג, 44)",רב הונא,,,,"הש' בר' כה ע""א-ע""ב",
01575,"חלה ב, ה (נח ע""ג, 57)",אית תניי,,,,"פס' מח ע""ב",
01955,"חלה ג, ה (נט ע""ב, 20)",בעיסת הקדש,,,,"מנ' סז ע""א",
02605,"חלה ד, י (ס ע""א, 59)",חלת חוץ,,,,"ביצה ט ע""א",
02607,"חלה ד, י (ס ע""א, 59)",ותרומת חוץ,,,,"בכ' כז ע""א",
