מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות
00180,"חלה א, א (נז ע""ב, 2)",ולחם וקלי,"ויקרא כג, יד",,,,
00190,"חלה א, א (נז ע""ב, 4)",רבי ירמיה,,,"הש' פס' כט ע""א",,
00200,"חלה א, א (נז ע""ב, 10)",ושם חיט',"ישעיה כח, כה",,,,
00210,"חלה א, א (נז ע""ב, 14)",ויסרו למשפט,"ישעיה כח, כו",,,,
00220,"חלה א, א (נז ע""ב, 16)",ויסרו למשפט,"ישעיה כח, כו",,,,
00230,"חלה א, א (נז ע""ב, 18)",רבי יוחנן ישמעאל,,"ספ' יב ע""ד",,,"צ""ל: רבי ישמעאל"
00240,"חלה א, א (נז ע""ב, 23)",שמנחת סוטה,"הש' במדבר ה, טו","הש' מ' סוטה ב, א",,,
00250,"חלה א, א (נז ע""ב, 24)",יצאו החטים,,"הש' ספ' יב ע""ג",,,
00260,"חלה א, א (נז ע""ב, 29)",חמשה דברים,,"מ' חלה א, א",,,
00270,"חלה א, א (נז ע""ב, 30)",איזהו מין,,"מ' חלה ד, ה",,,
00280,"חלה א, א (נז ע""ב, 36)",אין לוקין,,,"הש' חלה נז ע""ג (40)",,
00490,"חלה א, ב (נז ע""ג, 40)",שלוקין על,,,"הש' חלה נז ע""ב (36)",,
00290,"חלה א, א (נז ע""ב, 40)",שני דברים,,,"חלה נז ע""ג (42)",,
00300,"חלה א, א (נז ע""ב, 42)",הלל הזקן,,"ת' פס' ב, כב (67:150)",,"פס' קטו ע""א; זב' עט ע""א",
00310,"חלה א, א (נז ע""ב, 57)",בין בשעת,,,"חלה נז ע""ג (9)","מנ' ה ע""א",
00320,"חלה א, א (נז ע""ב, 59)",עד עצם,"ויקרא כג, יד",,,,
00330,"חלה א, א (נז ע""ב, 60)",עד הביאכם,"ויקרא כג, יד",,,,
00340,"חלה א, א (נז ע""ב, 60)",עד עצם,"ויקרא כג, יד",,,,
00350,"חלה א, א (נז ע""ב, 63)",אין מביאין,,"מ' מנ' י, ו",,,
00360,"חלה א, א (נז ע""ג, 6)",משחרב בית,,"מ' מנ' י, ה",,"ר""ה ל ע""א; סוכה מא ע""א; מנ' סח ע""ב",
00370,"חלה א, א (נז ע""ג, 9)",בין בשעת,,,"חלה נז ע""ב (57)",,
00380,"חלה א, א (נז ע""ג, 10)",עד עצם,"ויקרא כג, יד",,,,
00390,"חלה א, א (נז ע""ג, 11)",עד הביאכם,"ויקרא כג, יד",,,,
00400,"חלה א, א (נז ע""ג, 12)",משחרב בית,,"מ' מנ' י, ה",,,
00410,"חלה א, א (נז ע""ג, 14)",כרבי יודה אמר,,"מ' מנ' י, ה",,"ר""ה ל ע""ב; סוכה מא ע""ב; מנ' סח ע""ב","צ""ל: כרבי יודה, דרבי יודה אמר"
00420,"חלה א, א (נז ע""ג, 14)",תמן חשין,,,"ר""ה נז ע""ב","ר""ה כא ע""א",
00030,"חלה א, א (נז ע""א, 46)",אין לי,,"הש' ספ' ק ע""ג",,,
00050,"חלה א, א (נז ע""א, 47)",ריבה וריבה,,,"הש' ביכ' סג ע""ד (40)",,
00100,"חלה א, א (נז ע""א, 53)",ושאר כל,,"ס""ד קי (113)",,,
00130,"חלה א, א (נז ע""א, 59)",רבי יוסי,,"ת' תר' ח, ט (22:151)",,,
00430,"חלה א, א (נז ע""ג, 22)",ואם תקריב,"ויקרא ב, יד",,,,
00440,"חלה א, א (נז ע""ג, 24)",המנכש בשלשה,,"ת' מנ' י, לא (13:529)",,"פס' נה ע""א",
00450,"חלה א, א (נז ע""ג, 31)",חדש וישן,,"הש' מ' תר' א, ה",,,
00460,"חלה א, א (נז ע""ג, 35)",ראשית קצירך,"ויקרא כג, י",,,,"צ""ל: ראשית קצירכם"
00470,"חלה א, א (נז ע""ג, 35)",ביכורין,"ויקרא ב, יד",,,,"צ""ל: בכורים"
00500,"חלה א, ב (נז ע""ג, 42)",שני דברים,,,"חלה נז ע""ב (40)",,
00510,"חלה א, ג (נז ע""ג, 44)",הא הנודר,,,"נד' מ ע""ג",,
00520,"חלה א, ג (נז ע""ג, 47)",ותבואת הכרם,"דברים כב, ט",,,,
00530,"חלה א, ד (נז ע""ג, 51)",תרימו,"במדבר טו, יט",,,,
00540,"חלה א, ד (נז ע""ג, 51)",וכן תרימו,"במדבר טו, כ",,,,
00550,"חלה א, ד (נז ע""ג, 52)",חייבין בחלה,,"ס""ב קי (113)",,"הש' כת' כה ע""א","ס""ב וש""נ"
00560,"חלה א, ד (נז ע""ג, 53)",ר' יוחנן,,,"תר' מ ע""ד; מע' מח ע""ג",,
00570,"חלה א, ד (נז ע""ג, 54)",ובא הלוי,"דברים יד, כט",,,,
00580,"חלה א, ד (נז ע""ג, 57)",רבי אבהו,,,"ביכ' סה ע""א (42, 53)","בר' מז ע""א; שבת קכז ע""ב; ער' לא ע""ב; פס' לה ע""ב; ביצה יג ע""א","ב' וש""נ"
00590,"חלה א, ד (נז ע""ג, 58)",את כל,"במדבר יח, כט",,,,
00600,"חלה א, ד (נז ע""ג, 59)",והרמותם ממנו,"במדבר יח, כו",,,,
00610,"חלה א, ד (נז ע""ג, 64)",מעשר שני,,"מ' חלה א, ג",,,
00620,"חלה א, ד (נז ע""ד, 1)",כמאן דאמר אינו,,"הש' מ' קד' ב, ח","הש' מע""ש נב ע""ב (43, 51); נב ע""ד (35); נד ע""ד (64); נו ע""ב (9); חלה נז ע""ד (1)",,
00630,"חלה א, ד (נז ע""ד, 1)",כמאן דאמר כנכסיו,,"הש' מ' קד' ב, ח","הש' מע""ש נב ע""ב (43, 51); נב ע""ג (29); נב ע""ד (35); נד ע""ד (64); נו ע""ב (1, 10); חלה נז ע""ד (2)",,
00640,"חלה א, ד (נז ע""ד, 10)",המפריש חלתו,,"מ' חלה ב, ה",,,
00650,"חלה א, ד (נז ע""ד, 11)",דר' עקיבה,,"מ' מנ' י, ד",,,
00690,"חלה א, ד (נז ע""ד, 14)",כתרומת גורן,"במדבר טו, כ",,,,
00700,"חלה א, ד (נז ע""ד, 15)",מפירות שהביאו,,"הש' מ' מע' א, ג",,,
00710,"חלה א, ד (נז ע""ד, 16)",לחם (1),"דברים טז, ג",,,,
00720,"חלה א, ד (נז ע""ד, 16)",לחם (2),"במדבר טו, יט",,,,
00730,"חלה א, ד (נז ע""ד, 18)",ולחם וקלי,"ויקרא כג, יד",,,,
00740,"חלה א, ד (נז ע""ד, 20)",אמר רבי,,,"שבי' לד ע""א; מע' מט ע""א",,
00750,"חלה א, ד (נז ע""ד, 20)",עשר תעשר,"דברים יד, כב",,,,
00760,"חלה א, ד (נז ע""ד, 21)",דבר שהוא,,"ת' תר' ב, יד (60:115)",,,
00780,"חלה א, ה (נז ע""ד, 29)",העושה עיסה,,"ת' תר' ד, י (38:125)",,,
00790,"חלה א, ה (נז ע""ד, 31)",חלה תרימו,"במדבר טו, כ",,,,
00800,"חלה א, ה (נז ע""ד, 32)",ראשית,"במדבר טו, כ",,,,
00810,"חלה א, ה (נז ע""ד, 45)",הסופגנין והדובשנין,,"מ' חלה א, ה",,,
00820,"חלה א, ה (נז ע""ד, 46)",ואין יוצאין,,"ת' פס' ב, ט (51:148)",,,
00830,"חלה א, ה (נז ע""ד, 48)",מיליהון דרבנין,,,"תר' מג ע""א",,
00840,"חלה א, ה (נז ע""ד, 58)",דאמר ר',,,"תר' מה ע""א",,
00850,"חלה א, ה (נז ע""ד, 59)",מדומע פטור,,"ת' תר' ז, ח (29:144)",,,
00860,"חלה א, ז (נח ע""א, 6)",תני רבי,,"ת' חלה א, א (1:275)","פס' כט ע""ג","פס' לז ע""ב",
00870,"חלה א, ז (נח ע""א, 11)",וחכמים אומרים,,"ת' חלה א, ב (3:275)",,,
00880,"חלה א, ז (נח ע""א, 12)",אי זהו,,,"מע' מט ע""ב",,
00890,"חלה א, ז (נח ע""א, 14)",קמח קלי,,"ת' חלה א, ד (7:275)",,,
00900,"חלה א, ז (נח ע""א, 16)",ראשית עריסותיכם,"במדבר טו, כ",,,,
00910,"חלה א, ז (נח ע""א, 17)",לא בדעתו,,,"חלה נח ע""א (24)",,
00920,"חלה א, ז (נח ע""א, 17)",בדעת הלקוחות,,,"מע' מט ע""א",,
00930,"חלה א, ח (נח ע""א, 18)",הממריח כריו,,,"מע' נא ע""א; מע' נב ע""א",,
00940,"חלה א, ח (נח ע""א, 20)",וכן נשים,,"מ' חלה א, ז",,,"צ""ל: נשים"
00950,"חלה א, ח (נח ע""א, 22)",שכן העושה,,,"חלה נט ע""ד (26)",,
02230,"חלה ד, א (נט ע""ד, 26)",דאמר רבי,,,"מע' נב ע""א (11); חלה נח ע""א (22)",,
00960,"חלה א, ח (נח ע""א, 23)",נחתום שעשה,,"מ' חלה א, ז",,,
00970,"חלה א, ח (נח ע""א, 24)",לא בדעתו,,,"חלה נח ע""א (17)",,
00980,"חלה א, ח (נח ע""א, 26)",חורי הנמלים,,"מ' מע' ה, ז",,,
00990,"חלה א, ח (נח ע""א, 29)",הקדישן עד,,"מ' פאה ד, ח",,,
01000,"חלה א, ח (נח ע""א, 31)",גיזבר כבעלים,,,"תר' מ ע""ב",,
01010,"חלה א, ח (נח ע""א, 33)","דא""ר יוסי",,,"תר' מט ע""ב",,
01020,"חלה א, ט (נח ע""א, 36)",בזמן שהרועין,,"מ' חלה א, ח",,,
01030,"חלה א, ט (נח ע""א, 38)",עשאן כעבין,,"ת' חלה א, ז (15:276)",,,
01040,"חלה א, ט (נח ע""א, 39)",אם אין,,"מ' חלה א, ח",,,
01050,"חלה א, ט (נח ע""א, 41)",אין עושין,,"ת' ביצה ב, ה (14:287)","ביצה סא ע""ד","ביצה יז ע""א",
01060,"חלה א, ט (נח ע""א, 42)",ממלאה אשה,,"הש' ת' ביצה ב, ה (15:287)",,,
