מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
01360,"ביכ' ב, ב (סד ע""ד, 52)",דכתיב והבאתם,,,"ביכ' סד ע""ג (41)",,,
01370,"ביכ' ב, ב (סד ע""ד, 53)",והבאתם שמה,"דברים יב, ו",,,,,
01380,"ביכ' ב, ב (סד ע""ד, 54)",ולקח הכהן,"דברים כו, ד",,,,,
01400,"ביכ' ב, ב (סד ע""ד, 56)",וענית ואמרת,"דברים כו, ה",,,,,
01420,"ביכ' ב, ב (סד ע""ד, 58)",לא אכלתי,"דברים כו, יד",,,,,
01440,"ביכ' ב, ב (סד ע""ד, 61)",וענית ואמרת,"דברים כו, ה",,,,,
01460,"ביכ' ב, ב (סה ע""א, 9)",היה רבי,,"ת' א, ז (31:288)",,,,
01470,"ביכ' ב, ב (סה ע""א, 14)",גידולי תרומה,,"מ' תר' ט, ד",,"פס' לד ע""א; נד' ס ע""א",,
01480,"ביכ' ב, ב (סה ע""א, 18)",אי זהו,,"מ' תר' ט, ו",,,,
01490,"ביכ' ב, ב (סה ע""א, 23)",לא תוכל,"דברים יב, יז",,,,,
01500,"ביכ' ב, ב (סה ע""א, 24)",במעשר שני,,,"הש' מע""ש נג ע""ב (26)",,,
01510,"ביכ' ב, ב (סה ע""א, 25)",יש במעשר,,"ת' ביכ' א, ו (21:287)",,,,
01520,"ביכ' ב, ב (סה ע""א, 28)",גידולי הקדש,,"מ' תר' ט, ד",,,,
01530,"ביכ' ב, ב (סה ע""א, 33)",וגם נתתיו,"דברים כו, יג","מ' מע""ש ה, י",,,,
01540,"ביכ' ב, ב (סה ע""א, 37)",רבי יוסי,,"מ' מע""ש ה, יד",,,,
01550,"ביכ' ב, ג (סה ע""א, 42)",מעשר ראשון,,,"חלה נז ע""ג (57); ביכ' סה ע""א (53)",,,
01560,"ביכ' ב, ג (סה ע""א, 43)",בכורי כל,"במדבר יח, יג","הש' ס""ב קיז (136)",,,,
01570,"ביכ' ב, ג (סה ע""א, 44)",וראשית כל,"יחזקאל מד, ל",,,,,
01580,"ביכ' ב, ג (סה ע""א, 45)",ראשית בכורי,"שמות כג, יט",,,,,
01610,"ביכ' ב, ג (סה ע""א, 47)",שיר,,"הש' ס""ד שא (7:320)",,,"צ""ל: טוב",
01620,"ביכ' ב, ג (סה ע""א, 47)",והנך להם,"יחזקאל לג, לב",,,,,
01630,"ביכ' ב, ג (סה ע""א, 48)",ולקח הכהן,"דברים כו, ד",,,,,
01640,"ביכ' ב, ג (סה ע""א, 48)",לרבות הביכורין,,"ס""ד ש (318)",,"סוכה מז ע""ב; מכות יח ע""ב; מנ' סא ע""ב",,
01650,"ביכ' ב, ג (סה ע""א, 49)",ופנית בבוקר,"דברים טז, ז","ס""ד קלד (191)",,,,
01660,"ביכ' ב, ד (סה ע""א, 53)",מעשר ראשון,,,"חלה נז ע""ג (57); ביכ' סה ע""א (42)",,,
01670,"ביכ' ב, ה (סה ע""א, 61)",רבותינו חזרו,,"ת' שבי' ד, כא (74:185)",,"ר""ה טו ע""א",,
01450,"ביכ' ב, ב (סה ע""א, 5)",דבר שאין,,,"שבי' לו ע""ד (50); נד' לט ע""ד (12)",,"צ""ל: שיש",
01680,"ביכ' ב, ה (סה ע""ב, 1)",מעשה בר',,"ת' שבי' ד, כא (71:185)","ר""ה נז ע""א","ר""ה יד ע""א",,
01690,"ביכ' ב, ה (סה ע""ב, 2)",כחומרי רבן,,"ת' שבי' ד, כא (72:185)",,,,
01700,"ביכ' ב, ו (סה ע""ב, 7)",דם השרץ,,"מ' ביכ' ב, ז",,,,
01710,"ביכ' ב, ו (סה ע""ב, 8)",דם מהלכי,,"הש' ת' כר' ב, יח (1:565)",,,,
01720,"ביכ' ב, ז (סה ע""ב, 11)",מין הוא,,"ת' ביכ' ב, ב (4:289)",,,,
01730,"ביכ' ב, ח (סה ע""ב, 14)",רבי לעזר,,"ת' ביכ' ב, א (1:289)",,"יב' קיג ע""א; כר' יז ע""ב; כר' יח ע""א",,
01740,"ביכ' ב, ח (סה ע""ב, 15)",דרב כל,,,"יב' ה ע""ג",,"צ""ל: דרב אמר כל",
01750,"ביכ' ב, ח (סה ע""ב, 18)",רבי לעזר,,,"הש' ביכ' סה ע""ב (11)",,,
01760,"ביכ' ב, ט (סה ע""ב, 21)",אמר הריני,,"הש' מ' נזיר ה, ז",,,,
01780,"ביכ' ב, ט (סה ע""ב, 24)",ושאר כל,,"מ' ביכ' ב, יא",,,,
01790,"ביכ' ג, א (סה ע""ג, 4)",ועתה הנה,"דברים כו, י",,,,,
01800,"ביכ' ג, א (סה ע""ג, 7)",הביכורים אחד,,"הש' ת' תר' ה, ג (11:129)",,,,
01810,"ביכ' ג, א (סה ע""ג, 9)",תרומה שאין,,"ת' תר' ה, ו (25:130)",,,,
01820,"ביכ' ג, ב (סה ע""ג, 12)",בדרך היו,,,"איכ""ר 80",,,
01830,"ביכ' ג, ב (סה ע""ג, 12)",שמחתי באומרי',"תהלים קכב, א",,,,,
01840,"ביכ' ג, ב (סה ע""ג, 12)",עומדות היו,"תהלים קכב, ב",,,,,
01850,"ביכ' ג, ב (סה ע""ג, 13)",הללו יה,"תהלים קנ, א",,,,,
01860,"ביכ' ג, ב (סה ע""ג, 14)",כל הנשמה,"תהלים קנ, ו",,,,,
01870,"ביכ' ג, ג (סה ע""ג, 15)",עד היכן,,,"הש' מע' נ ע""ג (35)",,,
01880,"ביכ' ג, ג (סה ע""ג, 16)",מקריב שלמים,,"הש' ת' ביכ' ב, ח (53:292)",,,,
01890,"ביכ' ג, ג (סה ע""ג, 21)",תקום והדרת,"ויקרא יט, לב","ספ' צא ע""א",,,,
01900,"ביכ' ג, ג (סה ע""ג, 23)",ר' חונא,,,"הש' מע""ש נו ע""ג (43)",,,
01910,"ביכ' ג, ג (סה ע""ג, 27)","ר""ש בן",,"ספ' צא ע""א",,"קד' לג ע""א",,
01920,"ביכ' ג, ג (סה ע""ג, 28)",זקן ויראת,"ויקרא יט, לב",,,,,
01930,"ביכ' ג, ג (סה ע""ג, 32)",לזקן ד',,"הש' ת' מג' ג, כד (86:360)","ביכ' סה ע""ג (46)",,,
01940,"ביכ' ג, ג (סה ע""ג, 33)",והיה כצאת,"שמות לג, ח",,,,,
01950,"ביכ' ג, ג (סה ע""ג, 33)",תרין אמורי',,,"שק' מט ע""א; ש""ר מה, ד (עד ע""ד); ש""ר נא, ו (פא ע""ב); תנ""ו תשא כז (322)","קד' לג ע""ב",,ז
