מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
01515,"ער' ג, ג (כא ע""א, 1)",למטה משלשה,,,,"הש' ער' ק ע""א",,
01517,"ער' ג, ג (כא ע""א, 3)",ראוי הוא,,,,"הש' ער' לב ע""ב",,
01535,"ער' ג, ג (כא ע""א, 9)",ראוי הוא,,,,"ער' לג ע""ב",,
01635,"ער' ג, ד (כא ע""א, 50)",תמן בשם,,,,"ער' לו ע""א",,
01745,"ער' ג, ה (כא ע""ב, 25)",שחטוה,,,,"הש' ער' לז ע""ב",,
01747,"ער' ג, ו (כא ע""ב, 30)",אית תניי,,,,"ער' לו ע""ב",,
01749,"ער' ג, ז (כא ע""ב, 33)",כיני מתניתא,,,,"ער' לח ע""א",,
01795,"ער' ג, ח (כא ע""ב, 55)",רבי חונה,,,,"ער' לח ע""ב",,
01815,"ער' ג, ח (כא ע""ב, 64)",עירב בככר,,,,"ער' לט ע""א",,
01875,"ער' ג, ט (כא ע""ג, 21)",רבי יוסי,,,,"ביצה ד ע""ב",,
01885,"ער' ג, י (כא ע""ג, 24)",העובר לפני,,,,"ער' מ ע""א",,
01905,"ער' ד, א (כא ע""ד, 9)",ומניין לאלפיים,,,,"ער' מח ע""א; ער' נא ע""א",,
01965,"ער' ד, א (כא ע""ד, 14)",כשהוא נפנה,,,,"הש' ער' מא ע""ב",,
01993,"ער' ד, א (כא ע""ד, 23)",קנה לו,,,,"ער' מב ע""א",,
01994,"ער' ד, א (כא ע""ד, 36)",מה שרצו,,,,"ער' מג ע""א",,
01996,"ער' ד, א (כא ע""ד, 38)",אף בדיר,,,,"ער' מב ע""ב",,
01997,"ער' ד, א (כא ע""ד, 39)",חנניה בן,,,,"ער מג ע""א",,
01998,"ער' ד, א (כא ע""ד, 41)",מה בין,,,,"ער' מב ע""ב",,
01999,"ער' ד, ב (כא ע""ד, 48)",מצודות היו,,,,"ער' מג ע""ב",,
02025,"ער' ד, ג (כא ע""ד, 54)",והן שיהו,,,,"ער' מד ע""ב",,
