מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
00010,"חג' א, א (עה ע""ד, 46)",הקהל את,"דברים לא, יב",,,,,
00020,"חג' א, א (עה ע""ד, 47)",מעשה בר',,"ת' סוטה ז, ט","סוטה יח ע""ד; במ""ר יד, ד (נח ע""ב)","חג' ג ע""א",,ז
00030,"חג' א, א (עה ע""ד, 48)",אמ' להן,,"מדר""י 58","אדר""נ נו""א יח (67)",,,
00040,"חג' א, א (עה ע""ד, 51)",הקהל את,"דברים לא, יב",,,,,
00050,"חג' א, א (עה ע""ד, 54)",מיכן אמ',,"מ' סוטה ג, ד",,,,
00060,"חג' א, א (עה ע""ד, 55)",חברייא בשם,,,"תר' מ ע""ג; יב' יב ע""ד","חג' ב ע""ב",,
00070,"חג' א, א (עה ע""ד, 56)",למען ישמעון,"דברים לא, יב",,,,,
00080,"חג' א, א (עה ע""ד, 57)",למען ילמדון,"דברים לא, יב",,,,,
00090,"חג' א, א (עה ע""ד, 58)",חרש המדבר,,"מ' תר' א, ב",,,,
00100,"חג' א, א (עה ע""ד, 59)",החרש שנחלץ,,"מ' יב' יב, ד",,"יב' קד ע""ב",,
00110,"חג' א, א (עה ע""ד, 61)",ואמר,"דברים כה, ח",,,,,
00120,"חג' א, א (עה ע""ד, 61)",ואמרה,"דברים כה, ז",,,,,
00130,"חג' א, א (עה ע""ד, 61)",חרש שדיברו,,"מ' תר' א, ב",,,,
00140,"חג' א, א (עה ע""ד, 63)",דתני ולבני,,,"יומא מ ע""ג",,,
00150,"חג' א, א (עה ע""ד, 63)",ולבני אהרן,"שמות כח, מ",,,,,
00160,"חג' א, א (עו ע""א, 1)",ולבני אהרן,"שמות כח, מ",,,,,
00170,"חג' א, א (עו ע""א, 2)",תקר' את,"דברים לב, יא",,,,,
00180,"חג' א, א (עו ע""א, 4)",אתה הראי',"דברים ד, לה",,,,,
00190,"חג' א, א (עו ע""א, 5)",אי זהו קטן,,"מ' חג' א, א",,,,
00200,"חג' א, א (עו ע""א, 6)",כל זכורך,"שמות כג, יז; שמות לד, כג; דברים טז, טז","ס""ד קמג (196)",,"חג' ד ע""א",,
00210,"חג' א, א (עו ע""א, 6)",כל זכורך,"שמות כג, יז (ועוד)",,,,,
00220,"חג' א, א (עו ע""א, 6)",למען ישמעון,"דברים לא, יב",,,,,
00230,"חג' א, א (עו ע""א, 7)",למען ישמעון,"דברים לא, יב",,,,,
00240,"חג' א, א (עו ע""א, 12)",כל זכורך,"שמות כג, יז (ועוד)",,,,,
00250,"חג' א, א (עו ע""א, 17)",יראה,"שמות כג, יז (ועוד)",,,,,
00260,"חג' א, א (עו ע""א, 18)",כל ז',,"הש' ס""ד קמב (195)",,,,
00270,"חג' א, א (עו ע""א, 24)",כל זכורך,"שמות כג, יז (ועוד)","מדר""י 333",,"חג' ד ע""א",,
00280,"חג' א, א (עו ע""א, 25)",ספק אנדרוגינס,,"מ' שבת יט, ג",,,,
00290,"חג' א, א (עו ע""א, 25)",מה אמ',,,"שבת יז ע""ב; יב' ט ע""א",,,
