מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,רשימה,הערות
00250,"ב""ק א, א (ב ע""ב, 23)",שהן בצו,,"ספ' כט ע""א; ספ' קג ע""ב; ס""ב א (1)",,,,
00260,"ב""ק א, א (ב ע""ב, 25)",דכתיב,,הש' מכילתא 289,,,,
00270,"ב""ק א, א (ב ע""ב, 25)",והמת יהיה,"שמות כא, לו",,,,,
00280,"ב""ק א, א (ב ע""ב, 26)",והמת יהיה,"שמות כא, לד",,,,,
00290,"ב""ק א, א (ב ע""ב, 27)",יצא אדם,,"ת' ב""ק ו, יד (11:355)",,,,
00300,"ב""ק א, א (ב ע""ב, 27)",מלמדת,,מכילתא 3:297,,,,
00310,"ב""ק א, א (ב ע""ב, 29)",ומכה בהמה,"ויקרא כד, טו",,,,,
00320,"ב""ק א, א (ב ע""ב, 30)",מכה בהמה,"ויקרא כד, טו",,,,,
00330,"ב""ק א, א (ב ע""ב, 30)",אם טרף,"שמות כב, יב",,,,,
00340,"ב""ק א, א (ב ע""ג, 2)",רב יהודה,,,"קד' ס ע""ג",,,
00350,"ב""ק א, א (ב ע""ג, 4)",חיים שנים,"שמות כב, ג",,,,,
00360,"ב""ק א, א (ב ע""ג, 5)",והשיב את,"ויקרא ה, כג",,,,,
00370,"ב""ק א, ב (ב ע""ג, 6)",זה השור,,"ת' ב""ק א, א (2:346)",,,,
00380,"ב""ק א, ב (ב ע""ג, 10)",חפר בור,,"ת' ב""ק ו, ח (32:354)",,,,
00390,"ב""ק א, ב (ב ע""ג, 12)",חפר בור,,"ת' ב""ק ו, ט (33:354)",,,,
00400,"ב""ק א, ב (ב ע""ג, 15)",חפר זה,,"ת' ב""ק ו, ט (1:355)",,,,
00410,"ב""ק א, ב (ב ע""ג, 16)",כמה שיעורן,,"ת' ב""ק ו, יב (5:355)",,,,
00420,"ב""ק א, ב (ב ע""ג, 19)",בהן מעילה,,"הש' מ' קד' א, ו",,,,
00430,"ב""ק א, ב (ב ע""ג, 20)",ומעלה מעל,"ויקרא ה, כא",,,,,
00440,"ב""ק א, ב (ב ע""ג, 20)",רבי יוסי,,"ספ' כז ע""ד",,,,
00450,"ב""ק א, ב (ב ע""ג, 23)",רבי שמעון,,"ספ' כז ע""ד","שבו' לז ע""ב",,,
00460,"ב""ק א, ב (ב ע""ג, 25)",וכחש,"ויקרא ה, כא",,,,,
00470,"ב""ק א, ב (ב ע""ג, 28)",פרט לשור,,"ת' ב""ק א, א (5:346)",,,,
00480,"ב""ק א, ב (ב ע""ג, 29)",ולא נכסי,,"ת' ב""ק א, א (5:346)",,,,
00490,"ב""ק א, ב (ב ע""ג, 30)",נוהגין הן,,"ת' ב""ק א, א (7:346)",,,,
00500,"ב""ק א, ב (ב ע""ג, 33)",שומר חנם),,"ת' ב""ק א, א (8:346)",,,,
00510,"ב""ק א, ב (ב ע""ג, 38)",מיטב שדהו,"שמות כב, ד",,,,,
00520,"ב""ק א, ב (ב ע""ג, 39)",ובער בשדה,"שמות כב, ד",,,,,
00530,"ב""ק א, ב (ב ע""ג, 41)",ארבעה כללות,,"ת' ב""ק א, ט (9:347)",,,,
00540,"ב""ק א, ג (ב ע""ג, 48)",אין אומרים,,"ת' ב""ק א, ב (11:346)",,,,
00550,"ב""ק א, ג (ב ע""ג, 49)",מלמד שאין,,"ת' ב""ק א, ב (12:346)",,,,
00560,"ב""ק א, ג (ב ע""ג, 51)",שאין שמין,,"ת' ב""ק א, ב (13:346)",,,,
00570,"ב""ק א, ג (ב ע""ג, 53)",ונשים בכלל,,"ת' ב""ק א, ג (15:346)",,,,
00580,"ב""ק א, ג (ב ע""ג, 53)",האיש,"הש' שמות כא, לג",,,,,
00590,"ב""ק א, ג (ב ע""ג, 54)",רבי ישמעאל,,הש' מכילתא 269,,,,
00600,"ב""ק א, ג (ב ע""ג, 54)",אלה המשפטי',"שמות כא, א",,,,,
00610,"ב""ק א, ד (ב ע""ג, 57)",רבי יוחנן,,,"ב""ק ג ע""א",,,
00620,"ב""ק א, ג (ב ע""ג, 57)",נזק שלם,,"מ' ב""ק ב, ה",,,,
00630,"ב""ק א, ה (ב ע""ג, 59)",רבי מאיר,,"ת' ב""ק א, ד (17:346)",,,,
00640,"ב""ק ב, א (ב ע""ד, 43)",שור שמתחכך,,"ת' ב""ק ד, ו (16:352)",,,,
00650,"ב""ק ב, א (ב ע""ד, 44)",כופר בתם,,"הש' מ' ב""ק ד, ה",,,,
00660,"ב""ק ב, א (ב ע""ד, 53)",דרסה על,,"הש' ב""ק ב ע""ב (2)",,,,
01510,"ב""ק ד, ז (ד ע""ג, 21)",ואיש כי יכה,"ויקרא כא, יז",,,,,
01520,"ב""ק ד, ז (ד ע""ג, 22)",להביא,,"ספ' קד ע""ד",,,,
01530,"ב""ק ד, ז (ד ע""ג, 23)",והמית איש,"שמות כא, כט",,,,,
01540,"ב""ק ד, ז (ד ע""ג, 24)",מה האיש,,"מדרשב""י 17:181",,,,
01550,"ב""ק ד, ז (ד ע""ג, 24)",ואין הבעל,,,"ביכ' סד ע""א; כת' לב ע""ב",,,
01560,"ב""ק ד, ז (ד ע""ג, 26)",שנו,,,,"ב""ק מב ע""ב",,
01570,"ב""ק ד, ז (ד ע""ג, 26)",המוכר שור,,,"שבי' לו ע""א",,,
01580,"ב""ק ד, ז (ד ע""ג, 26)",מקח טעות,,"הש' ת' ב""ק ה, ז (25:353)",,,,
01590,"ב""ק ד, ז (ד ע""ג, 27)",ונתן פדיון,"שמות כא, ל",,,,,
01600,"ב""ק ד, ז (ד ע""ג, 28)",הכהו הראשון,,"מדרשב""י 17:169",,,,
01610,"ב""ק ד, ח (ד ע""ג, 33)",דרבי יודן,,"ת' ב""ק ד, ו (21:352)",,,,
01620,"ב""ק ד, ח (ד ע""ג, 33)",והועד בבעליו,"שמות כא, כט",,,,,
01630,"ב""ק ד, ח (ד ע""ג, 34)",לעניין נזקין,,"ת' ב""ק ד, ו (18:352)",,,,
01650,"ב""ק ד, ח (ד ע""ג, 35)",הכל מודין,,"ת' ב""ק ד, ו (18:352)",,,,
01660,"ב""ק ד, ח (ד ע""ג, 38)",לעניין נזקין,,"ת' ב""ק ד, ו (18:352)",,,,
01670,"ב""ק ד, ט (ד ע""ג, 39)",שור שהיה,,,"סנ' כג ע""ב; סנ' כט ע""ד",,,
01680,"ב""ק ד, ט (ד ע""ג, 42)",זכה עצמו,,,"הש' גט' מה ע""ד",,,
01690,"ב""ק ד, י (ד ע""ג, 48)",רבי לעזר,,,"שבו' לח ע""ג",,,
01000,"ב""ק ג, ו (ג ע""ד, 27)",אמר רב,,,"ב""ק ג ע""ב",,,
01010,"ב""ק ג, ז (ג ע""ד, 29)",יוסי הבבלי,,"ת' ב""ק ב, יא (11:349)",,,,
01020,"ב""ק ג, ז (ג ע""ד, 31)",ולמה נקרא,,"ת' סוטה טו, ה","סוטה כד ע""ג",,,
01030,"ב""ק ג, ח (ג ע""ד, 32)",אמר ר' יוסי,,"הש' ת' ב""ק ו, כז (32:356)","מכות לא ע""ג",,,
01040,"ב""ק ג, ח (ג ע""ד, 34)",פטור,,"ת' ב""ק ו, כז (2:357)",,,,
01050,"ב""ק ג, ח (ג ע""ד, 37)",ר' יוחנן,,,"נדרים לט ע""א",,,
01060,"ב""ק ג, ט (ג ע""ד, 41)",בן פדייא,,,"שבת ה ע""א, פס' לג ע""ב",,,
01070,"ב""ק ג, יא (ג ע""ד, 44)",שור שוה,,"ת' ב""ק ג, ג (32:349)",,,,
01080,"ב""ק ג, יא (ג ע""ד, 46)",שור שוה,,"ת' ב""ק ג, ו (12:350)",,,,
01090,"ב""ק ג, יא (ג ע""ד, 51)",השביח המזיק,,"ת' ב""ק ג, ו (17:350)",,,,
01100,"ב""ק ג, יא (ג ע""ד, 53)",ומכרו את,"שמות כא, לה",,,,,
01110,"ב""ק ג, יא (ג ע""ד, 53)",וגם את המת,"שמות כא, לה",,,,,
01120,"ב""ק ג, יב (ג ע""ד, 56)",שנים שזרקו,,"ת' ב""ק ג, ז (15:351)",,,,
01130,"ב""ק ד, א (ד ע""א, 41)",רבי לעזר,,,"ב""ק ד ע""ג",,,
01140,"ב""ק ד, א (ד ע""א, 50)",וכן שלשה,,"מ' כת' י, ד",,,,
01150,"ב""ק ד, א (ד ע""א, 57)",שלשה שהטילו,,"ת' כת' י, ד (13:91)",,,,
01160,"ב""ק ד, א (ד ע""א, 64)",האחרון נוטל,,,"כת' לג ע""ד",,,
01170,"ב""ק ד, ב (ד ע""ב, 8)",נגיחה,,,"ב""ק ג ע""א",,,
01180,"ב""ק ד, ג (ד ע""ב, 19)",רב אמר,,,"ו""ר רעד:1; דבר""ל עקב (71); תנ""ב שמיני י (28)",,ז,
01190,"ב""ק ד, ג (ד ע""ב, 19)",ראה ויתר,"חבקוק ג, ו",,,,,
01200,"ב""ק ד, ג (ד ע""ב, 20)",הופיע מהר,"דברים לג, ב",,,,,
01210,"ב""ק ד, ג (ד ע""ב, 22)",שור של גוי,,"ת' ב""ק ד, ב (26:351)",,,,
01220,"ב""ק ד, ג (ד ע""ב, 24)",מעשה ששילח,,"ס""ד שמד (401)",,,,
01230,"ב""ק ד, ג (ד ע""ב, 29)",גזילו של,,"ס""ד שמד (1:401)",,,,
01240,"ב""ק ד, ג (ד ע""ב, 30)",גזילות נכרי,,"ת' ב""ק י, טו (2:368); הש' ספ' קי ע""ב",,,,
01250,"ב""ק ד, ג (ד ע""ב, 31)",בדבר הזה,,"ס""ד שמד (1:401)",,,,
01260,"ב""ק ד, ה (ד ע""ב, 36)",שאלו בחזקת,,"ת' ב""ק ד, ה (16:353)",,,,
01270,"ב""ק ד, ה (ד ע""ב, 40)",המית בפני,,"ת' ב""ק ד, ה (18:353)",,,,
01280,"ב""ק ד, ה (ד ע""ב, 42)",רבי יוחנן,,"הש' ת' תר' א, יא (39:109)","גט' מז ע""א",,,
