מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,רשימה,הערות
02550,"ב""ק ט, ג (ו ע""ד, 50)",תרומה,,"מ' ב""ק ט, ג",,,,
02560,"ב""ק ט, ה (ז ע""א, 1)",הנותן מעות,,"ת' ב""מ ד, יט (23:380)","דמאי כה ע""ד",,,
02570,"ב""ק ט, ה (ז ע""א, 10)",אחד המקדיש,,"מ' ערכ' ו, ה",,,,
02580,"ב""ק ט, יא (ז ע""א, 20)",אין מקבלים,,"ת' ב""ק יא, א (4:370)","ב""ק י, י (ז ע""ג, 30)",,,
02590,"ב""ק ט, יד (ז ע""א, 27)",רבי ירמיה,,,"נד' לט ע""ב",,,
02600,"ב""ק ט, יד (ז ע""א, 27)",חמי היך,,,"הש' מכות לא ע""ב (11)",,,
02610,"ב""ק ט, יד (ז ע""א, 27)",האומר לבנו,,"מ' ב""ק ט, יד",,,,
02620,"ב""ק ט, טו (ז ע""א, 34)",דרבי יוסי,,"ת' ב""ק י, טז-יז (6:368)",,,,
02630,"ב""ק ט, טו (ז ע""א, 36)",ואם אין,"במדבר ה, ח",,,,,
02640,"ב""ק ט, טו (ז ע""א, 36)",הטעון כפרה,,"ת' ב""ק י, יז (8:368)",,,,
02650,"ב""ק ט, טו (ז ע""א, 39)",ואם אין,"במדבר ה, ח",,,,,
02660,"ב""ק י, א (ז ע""ב, 32)",ישראל שלווה,,"ת' ב""מ ה, כה (12:383)",,,,
02670,"ב""ק י, א (ז ע""ב, 34)",יכין וצדיק,"איוב כז, יז",,,,,
02680,"ב""ק י, א (ז ע""ב, 37)",רב אמר,,,"ב""מ ח ע""א; גט' מה ע""א; גט' מח ע""א",,,
02690,"ב""ק י, א (ז ע""ב, 43)",גזל טלית,,,"תר' מד ע""ד",,,
02700,"ב""ק י, א (ז ע""ב, 45)",נתחלפו כליו,,"ת' ב""ק י, כב (24:368)",,,,
02710,"ב""ק י, א (ז ע""ב, 51)",הגוזל ומאכיל,,"ת' ב""ק י, כא (20:368)",,,,
02720,"ב""ק י, ב (ז ע""ב, 60)",המציל,,"ת' ב""מ ב, ב (18:373)","שק' נ ע""ג",,,
02730,"ב""ק י, ב (ז ע""ב, 61)",רבי חיננא,,,"כת' כז ע""א",,,
02740,"ב""ק י, ו (ז ע""ג, 15)",רבי יוחנן,,,"כת' לה ע""ד",,,
02750,"ב""ק י, ו (ז ע""ג, 16)",אין הקרקע,,,"כל' לא ע""א וש""נ",,,
02760,"ב""ק י, ו (ז ע""ג, 18)",ר' יהושע,,,"נד' לח ע""ג",,,
02770,"ב""ק י, ח (ז ע""ג, 23)",רב הונא,,,"הש' שבו' לז ע""ב (54)",,,
02780,"ב""ק י, ט (ז ע""ג, 28)",מהו כגון,,,"קד' ס ע""ב; ב""ב יג ע""ד",,,
02790,"ב""ק י, י (ז ע""ג, 30)",אין מקבלים,,"ת' ב""ק יא, א (4:370)","ב""ק ט, יא (ז ע""א, 20)",,,
00135,"ב""ק א, א (ב ע""א, 32)",כל פירקא,,"הש' מ' ב""ק פ""ג",,,,
00715,"ב""ק ב, ה (ג ע""א, 29)",שנפלו,,"ת' ב""ק ב, א (27:347)",,,,
00725,"ב""ק ב, ה (ג ע""א, 33)",היה גדי,,"מ' ב""ק ו, ה",,,,
00815,"ב""ק ג, א (ג ע""ג, 22)",ואם כדרך,,"ת' ב""ק ו, יד (13:355)",,,,
01225,"ב""ק ד, ג (ד ע""ב, 27)",בת ישר',,"מ' ע""ז ב, א",,,,
01595,"ב""ק ד, ז (ד ע""ג, 27)",אית תניי,,"מדר""י 285",,,,
01725,"ב""ק ה, ד (ד ע""ד, 50)",הכניס פירותיו,,"ת' ב""ק ה, יא (4:354)",,,,
01745,"ב""ק ה, ה (ד ע""ד, 60)",גדישים בשדה,,,"ב""ק ה ע""ב",,,
02735,"ב""ק י, ב (ז ע""ב, 63)",ר' ישמעאל,,"ת' ב""ק י, יז (8:369)",,,,
02737,"ב""ק י, ד (ז ע""ג, 7)",שנים במדבר,,"ת' ב""ק י, כח (10:369)",,,,
02739,"ב""ק י, ד (ז ע""ג, 9)",פועל ועני,,"ת' ב""ק י, כט (13:369)",,,,
01795,"ב""ק ה, ז (ה ע""א, 13)",כי יפתח,"שמות כא, לג",,,,,
01865,"ב""ק ה, י (ה ע""א, 39)",ונפל שמה,"שמות כא, לג",,,,,
02185,"ב""ק ו, ז (ה ע""ג, 32)",היה גדיש,,"ת' ב""ק ו, כד (28:356)",,,,
02215,"ב""ק ז, א (ה ע""ד, 31)",אם המצא,"שמות כב, ג",,,,,
02285,"ב""ק ז, ב (ה ע""ד, 47)",כדי רשעתו,"דברים כה, ב",,,,,
02325,"ב""ק ז, ד (ה ע""ד, 63)",הן היו,,"ת' ב""ב ב, ט (8:408)",,,,
02517,"ב""ק ט, א (ו ע""ד, 24)",גזל שלח,,"ת' ב""ק י, ב (25:366)",,,,
02375,"ב""ק ז, י (ו ע""א, 27)",ירושלים,"תהילים קכב, ג",,,,,
02405,"ב""ק ז, י (ו ע""א, 32)",למס מרעהו,"איוב ו, יד",,,,,
02455,"ב""ק ח, ח (ו ע""ג, 11)",חד אמר,,,"כת' כח ע""ד",,,
02512,"ב""ק ח, י (ו ע""ג, 23)",פדה,"איוב לג, כח",,,,,
02515,"ב""ק ח, יא (ו ע""ג, 25)",האומר סימא,,"ת' ב""ק ט, לב (19:366)",,,,
02516,"ב""ק ח, יא (ו ע""ג, 29)",ישראל שאנסוהו,,"ת' ב""ק ט, לג (20:366)",,,,
02535,"ב""ק ט, א (ו ע""ד, 39)",והגנב לעולם,,"ת' ב""ק י, ד (3:367)",,,,
