מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
00670,"ב""ב ה, א (טו ע""א, 40)",מעשה,,,"בר' ה ע""א",,,
00680,"ב""ב ה, א (טו ע""א, 45)",שש עשרה,,"הש' מ' ב""ב ו, ז",,,,
00690,"ב""ב ה, ה (טו ע""א, 48)",ר' יוחנן,,,"שבי' לג ע""ב",,,
00700,"ב""ב ה, ז (טו ע""א, 53)",מכר לו יד,,"ת' חו' ט, ח",,,,
00710,"ב""ב ה, ז (טו ע""א, 54)",לקחן במשקל,,"ת' חו' ט, ט",,,,
00720,"ב""ב ה, ח (טו ע""א, 59)",אם שכיר,"שמות כב, יד",,,,,
00730,"ב""ב ה, יא (טו ע""א, 62)",יהיה לך,"דברים כה, טו",,,,,
00740,"ב""ב ה, יא (טו ע""א, 62)",מנה לך,,ספ' רצד (313),,,,
00750,"ב""ב ו, א (טו ע""ב, 49)",המוכר פירות,,"מ' ב""ב ו, א",,,,
00760,"ב""ב ו, א (טו ע""ב, 52)",הבא מקבל,,,"כל' כז ע""ג",,,
00770,"ב""ב ו, א (טו ע""ב, 53)",ימעט,,"מ' כל' ב, א",,,,
00780,"ב""ב ו, א (טו ע""ב, 55)",רבי חייא,,,"תר' מג ע""ד",,,
00790,"ב""ב ו, א (טו ע""ב, 59)",רבי בון,,,"נד' לט ע""א",,,
00800,"ב""ב ו, א (טו ע""ב, 60)",מאה חביות,,"ת' ב""ב ו, ג",,,,
00810,"ב""ב ו, א (טו ע""ב, 64)",בדק חבית,,"ת' תר' ו, ח (31:124)","גט' מה ע""א",,,
00820,"ב""ב ו, ג (טו ע""ג, 16)",קנתר,,"ת' ב""ב ו, ח",,,,
00830,"ב""ב ו, ג (טו ע""ג, 18)",קומתו שלשים,"מל""א ו, ב",,,,,
00840,"ב""ב ו, ג (טו ע""ג, 18)",קומתו עשרים,"מל""א ו, כ",,,,,
00850,"ב""ב ו, ג (טו ע""ג, 21)",וספון בארז,"מל""א ז, ז",,,,,
00860,"ב""ב ו, ג (טו ע""ג, 23)",מן המניין,,,,"הש' ב""ב צט ע""א",,
00870,"ב""ב ז, א (טו ע""ג, 57)",ר' יסא,,,"ב""ב ז, א (טו ע""ג, 64)",,,
00880,"ב""ב ז, א (טו ע""ג, 64)",ר' יסא,,,"ב""ב ז, א (טו ע""ג, 57)",,,
00890,"ב""ב ז, ג (טו ע""ד, 11)",המוכר עבד,,"ת' ב""ב ד, ז",,,,
00900,"ב""ב ז, ג (טו ע""ד, 13)",השתו' עצמו,,"הש' ת' ב""ב ו, כו",,"הש' ב""ב קו ע""א",,
