מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
00815,"נדה ב, ו (נ ע""א, 47)",רבי יצחק,,,"נדה נ ע""ד",,,
01225,"נדה ג, ד (נא ע""א, 2)",שיגמור,,,"הש' נדה נ ע""ד",,,
00005,"נדה א, א (מח ע""ד, 39)",לא כשמאי,,,,"נדה ד ע""ב",,
00055,"נדה א, א (מח ע""ד, 60)",מעת לעת,,,,"נדה ו ע""א",,
00065,"נדה א, א (מח ע""ד, 63)",אלא בשנעשו,,,"הש' חג' עח ע""ב",,,
00115,"נדה א, א (מט ע""א, 6)",תמן אמרין,,,,"נדה ה ע""ב",,
00125,"נדה א, א (מט ע""א, 16)",לוי אמר,,,,"נדה ה ע""א",,
00155,"נדה א, ג (מט ע""א, 35)",מפני ששירפה,,,,"נדה י ע""ב",,
00175,"נדה א, ד (מט ע""א, 46)",וקסמא בידיה,,,"הש' שבי' לד ע""א; ב""ק ז ע""א",,,
00375,"נדה א, ה (מט ע""ב, 28)",שאם היה,,"ת' נדה ב, א (19:642)",,,,
00395,"נדה א, ה (מט ע""ב, 42)",העבדים והשפחות,,,,"בר' טז ע""ב",,
00425,"נדה א, ה (מט ע""ב, 51)",רבי יודה,,,,"הש' ער' מו ע""ב","וש""נ",
00455,"נדה א, ה (מט ע""ב, 59)",פעם אחת,,,,"הש' נדה ט ע""ב",,
00485,"נדה א, ו (מט ע""ג, 3)",שמואל אמר,,,,"נדה י ע""ב",,
00515,"נדה א, ו (מט ע""ג, 14)",תינוקת שלא,,,,"נדה ט ע""ב",,
00565,"נדה א, ו (מט ע""ג, 31)",רוקה טהור,,,,"נדה י ע""ב",,
00605,"נדה א, ז (מט ע""ג, 36)",הפסיקה ואחר,,"ת' נדה ט, ז (4:651)",,"נדה יא ע""ב",,
00685,"נדה ב, א (מט ע""ד, 43)",כל מקום,,,,"נדה ס ע""ב",,
00035,"נדה א, א (מח ע""ד, 46)",ולא מודה,,,,"הש' נדה נו ע""ב",,
00180,"נדה א, ד (מט ע""א, 48)",על דעתיה,,,,"נדה יא ע""א; נדה לה ע""ב",,
