מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
02360,"גט' ה, ד (מז ע""א, 5)",אתם,"במדבר יח, כח",,"תר' מ ע""ב",,,
02370,"גט' ה, ד (מז ע""א, 7)",השותפין שתרמו,,"מ' תר' ג, ג",,,,
02380,"גט' ה, ד (מז ע""א, 12)",מוכר הוא,,"הש' ת' תר' א, ט (32:109)",,,,
02390,"גט' ה, ד (מז ע""א, 13)","א""ר יוחנן",,,"ב""ק  ד ע""ב",,,
02400,"גט' ה, ד (מז ע""א, 15)",מעמידין להן,,"מ' ב""ק ד, ד",,,,
02410,"גט' ה, ד (מז ע""א, 26)",רבי יודן,,,"ב""ק ו ע""ד",,,
02420,"גט' ה, ד (מז ע""א, 27)",תרומה וניטמאת,,"מ' ב""ק ט, ז",,,,
02430,"גט' ה, ד (מז ע""א, 28)",דן את,,"מ' בכ' ד, ד",,,,
02440,"גט' ה, ד (מז ע""א, 33)",המטמא והמדמע,,"מ' גט' ה, ד",,,,
02450,"גט' ה, ד (מז ע""א, 34)",הנותן עול,,"הש' ת' ב""ק ו, יז (21:355)",,,,
02460,"גט' ה, ד (מז ע""א, 36)",הכהנים שפיגלו,,"ת' גט' ג, ח (53:257)",,,,
02470,"גט' ה, ד (מז ע""א, 42)",מתיב ר',,,"ב""ק ג ע""א",,,
02480,"גט' ה, ד (מז ע""א, 44)",המטמא והמדמע,,"מ' גט' ה, ד",,,,
02490,"גט' ה, ה (מז ע""א, 45)",רבי חנינה,,,"יב' יד ע""ב",,,
02500,"גט' ה, ה (מז ע""א, 47)",אף אביו,,"מ' יב' יד, ב",,,"צ""ל: אף זו",
02510,"גט' ה, ה (מז ע""א, 52)",נישאת לכהן,,"מ' גט' ה, ה",,,,
02520,"גט' ה, ה (מז ע""א, 57)",גזל מריש,,"ת' ב""ק י, ב (3:367)","ב""ק ו ע""ד",,,
02530,"גט' ה, ה (מז ע""א, 60)",היורד לתוך,,"ת' כת' ח, ט (33:85)",,,,
02540,"גט' ה, ה (מז ע""ב, 7)",והבאתם גזול,"מלאכי א, יג",,,,,
02550,"גט' ה, ו (מז ע""ב, 9)",בראשונה גזרו,,,"כת' כה ע""ג",,,
02560,"גט' ה, ו (מז ע""ב, 10)",יהודה הרג,,"ס""ד שמח (8:406)",,,"וש""נ",
02570,"גט' ה, ו (מז ע""ב, 10)",ידך בעורף,"בראשית מט, ח",,,,,
02580,"גט' ה, ו (מז ע""ב, 13)",במה דברים,,"ת' גט' ג, י (59:257)",,,,
02590,"גט' ה, ו (מז ע""ב, 17)",גליל לעולם,,"ת' גט' ג, י (61:257)",,,,
02600,"גט' ה, ו (מז ע""ב, 18)",המטלטלין,,"ת' גט' ג, יא (70:258)",,,"ע""פ כת""י א",
02610,"גט' ה, ו (מז ע""ב, 19)",היורד משם,,"ת' גט' ג, יא (70:258)",,,,
02620,"גט' ה, ח (מז ע""ב, 36)",אמר רבי,,,"ב""ב יז ע""ג",,,
02630,"גט' ה, ט (מז ע""ב, 40)",ויכתב משה,"דברים לא, ט",,,,,
02640,"גט' ה, ט (מז ע""ב, 42)",דאמר ר',,,"בר' ט ע""ד",,לשו' 51- ר' ברכות הע' 8,
02650,"גט' ה, ט (מז ע""ב, 49)",נתכוון להזות,,"מ' פרה יב, ב",,,,
02660,"גט' ה, ט (מז ע""ב, 54)",ושמו את,"במדבר ו, כז",,,,,
02670,"גט' ה, ט (מז ע""ב, 55)","א""ר אבין",,,"ער' כג ע""ד",,,
02680,"גט' ה, ט (מז ע""ב, 58)",על דעתיה,,,"מע""ש נב ע""א; ער כד ע""ג",,,
02690,"גט' ה, ט (מז ע""ב, 63)",כי יתן,"שמות כב, ט","סז""ב 12:232",,,,
02700,"גט' ה, ט (מז ע""ג, 3)",איש אל,"שמות כב, ט",,,,,
02710,"גט' ה, ט (מז ע""ג, 5)",הפעוטות מקחן,,"מ' גט' ה, ז",,,,
02720,"גט' ה, ט (מז ע""ג, 5)",אבל אינו,,"מ' ער' ז, ו",,,,
02730,"גט' ה, ט (מז ע""ג, 12)",עיר שיש,,"ת' גט' ג, יג (77:259)","ע""ז לט ע""ג",,"ת' גט' וש""נ",
02740,"גט' ה, ט (מז ע""ג, 14)",ומנחמין אבילי,,"ת' גט' ג, יד (80:259)",,,,
02750,"גט' ה, י (מז ע""ג, 19)",רבי זעירא,,,"שבי' לו ע""א",,,
02760,"גט' ה, י (מז ע""ג, 27)",נחתום שהוא,,"מ' ע""ז ד, ט","שבי' לו ע""א; ע""ז מד ע""ב",,,
02770,"גט' ה, י (מז ע""ג, 31)",אבל משתטיל,,"מ' שבי' ה, ט",,,,
02780,"גט' ה, י (מז ע""ג, 33)",שואלין בשלומן,,"מ' גט' ה, י",,,,
02790,"גט' ה, י (מז ע""ג, 36)",ולא אמרו,"תהלים קכט, ח",,,,,
02800,"גט' ה, י (מז ע""ג, 38)",ברכנו אתכם,"תהלים קכט, ח",,,,,
02810,"גט' ו, א (מז ע""ד, 26)",היא עצמה,,"מ' גט' ב, ז",,,,
02820,"גט' ו, א (מז ע""ד, 30)",האשה שאמרה,,"מ' גט' ו, א",,,,
02830,"גט' ו, א (מז ע""ד, 33)",קטנה שאמרה,,"מ' גט' ו, ג",,,,
02840,"גט' ו, א (מז ע""ד, 36)",שמואל שמעה,,,"ער' יח ע""ד",,,
02850,"גט' ו, א (מז ע""ד, 38)",הרי זה,,"ת' גט' ד, ב (7:260)",,,,
02860,"גט' ו, א (מז ע""ד, 39)",ונתן בידה,"דברים כד, א",,,,,
02870,"גט' ו, א (מז ע""ד, 41)",ונתן (1),"דברים כד, א",,,,,
02880,"גט' ו, א (מז ע""ד, 41)",ונתן (2),"דברים כד, ג",,,,,
02890,"גט' ו, א (מז ע""ד, 41)",אמרה הבא,,"ת' גט' ד, א (1:259)","מע""ש נב ע""א",,"צ""ל: התקבל",
02900,"גט' ו, א (מז ע""ד, 48)",היה מדבר,,"מ' מע""ש ד, ז",,,,
02910,"גט' ו, א (מז ע""ד, 57)",דאמר ר',,,"שבו' לה ע""ד",,"וש""נ",
02920,"גט' ו, א (מז ע""ד, 59)",הין צדק,"ויקרא יט, לו",,,,,
02930,"גט' ו, א (מז ע""ד, 59)",אמר לו,,"ת' גט' ד, ב (10:260)",,,,
02940,"גט' ו, א (מז ע""ד, 63)",טול לי,,"ת' גט' ד, ב (9:260)",,,,
02960,"גט' ו, א (מח ע""א, 4)",רב הונא,,,"גט' מד ע""ד (35)",,,
02990,"גט' ו, ב (מח ע""א, 9)",ריש לקיש,,,"קד' סב ע""א",,,
03000,"גט' ו, ב (מח ע""א, 14)",האיש מקדש,,"מ' קד' ב, א",,,,
03010,"גט' ו, ב (מח ע""א, 15)",קטנה שאמרה,,"מ' גט' ו, ג",,,,
