מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
1740,"נזיר ה, א (נג ע""ד, 47)",רבי יוסי,,"מ' תמ' ב, ג",,,,
1750,"נזיר ה, א (נג ע""ד, 57)",הקדיש תמימים,,"ספ' צט ע""א",,,"צ""ל: המקדיש",
1760,"נזיר ה, א (נג ע""ד, 58)",וידבר ה',"ויקרא כב, יז",,,,,
1770,"נזיר ה, א (נג ע""ד, 59)",רבי הוה,,,"פד""כ 67; פס""ר יד (סב ע""ב); ק""ר ח, א (כב ע""א)",,,ז
1780,"נזיר ה, א (נג ע""ד, 61)",וידבר ה',"ויקרא כב, יז",,,,,
1790,"נזיר ה, א (נג ע""ד, 61)",וכתוב כן,,,"סוטה כ ע""א; הו' מו ע""א",,,
1800,"נזיר ה, א (נג ע""ד, 63)",ויצקת עליה,"ויקרא ב, ו","ספ' יא ע""א",,,,
1810,"נזיר ה, א (נג ע""ד, 64)",שום היתומין,,"מ' ערכ' ו, א",,,,
1820,"נזיר ה, א (נד ע""א, 2)",דרבי אליעזר,,"ת' ערכ' ד, ה (11:547)",,,,
1830,"נזיר ה, א (נד ע""א, 4)",אינו צריך,,"הש' ת' ערכ' ד, ה (9:547)",,,"צ""ל: צריך",
1840,"נזיר ה, א (נד ע""א, 6)",צריך,,"הש' ת' ערכ' ד, ה (10:547)",,,"צ""ל: אין צריך",
1850,"נזיר ה, א (נד ע""א, 9)",קריבתיה דר',,,"ב""ב יז ע""ד",,,
1860,"נזיר ה, א (נד ע""א, 14)",תמן את,,"הש' מ' נזיר ה, ג",,,,
1870,"נזיר ה, א (נד ע""א, 26)",ועגל בן,"ויקרא ט, ב",,,,,
1880,"נזיר ה, ד (נד ע""א, 28)",בית שמאי,,"ת' נזיר ג, יט (58:135)",,,,
1890,"נזיר ה, ד (נד ע""א, 32)",הרי שנזר,,"ת' נד' א, ו (36:103)",,,,
1900,"נזיר ה, ד (נד ע""א, 37)",שסתר הכל,,"הש' מ' נזיר ו, ה",,,,
1910,"נזיר ה, ד (נד ע""א, 38)",שלא סתר,,"הש' מ' נזיר ו, ה",,,,
1920,"נזיר ה, ד (נד ע""א, 39)",קרא לתשיעי,,"מ' בכ' ט, ה",,,,
535,"נזיר א, ו (נא ע""ג, 31)",קרבן חטאת,"הש' במדבר ו, יד",,,,,
1575,"נזיר ד, ו (נג ע""ג, 18)",האיש פורע,,"מ' סוטה ג, ח",,,,
1605,"נזיר ד, ו (נג ע""ג, 22)",עד שיבא,,"הש' ת' נדה ה, טו (32:646)",,,,
1930,"נזיר ה, ד (נד ע""א, 41)",יהיה קודש,"ויקרא כז, לב","ספ' קטו ע""ב",,,,
1940,"נזיר ה, ד (נד ע""א, 42)",בקר,"ויקרא ג, יא","ספ' יג ע""ב",,,,
1950,"נזיר ה, ד (נד ע""א, 43)",בן בקר,"ויקרא ג, יא",,,,"צ""ל: מן הבקר",
1960,"נזיר ה, ד (נד ע""א, 49)",אמרו להן,,"מ' נזיר ה, ד",,,,
1970,"נזיר ה, ד (נד ע""א, 52)",כיי דמר,,,"כל' כז ע""ד; פס' לג ע""ב",,,
620,"נזיר ב, א (נא ע""ד, 45)",לתמורה קדשה,,"הש' מ' חו' י, ב",,,,
720,"נזיר ב, ג (נב ע""א, 17)",פתיחת נדר,,"הש' ת' נזיר ג, ב (4:127)",,,,
970,"נזיר ג, ב (נב ע""ג, 39)",כרבנין,,"הש' מ' נזיר ו, ט",,,,
1090,"נזיר ג, ה (נב ע""ד, 13)",במותן,"במדבר ו, ז",,,,"צ""ל: במותם",
1380,"נזיר ד, ד (נג ע""ב, 32)",טעונין לחם,,"הש' ת' נזיר ג, טז (42:134)",,,,
1540,"נזיר ד, ה (נג ע""ג, 12)",מנוולת,,"הש' ס""ד ריב (246)",,,,
1620,"נזיר ד, ו (נג ע""ג, 36)",וישטחו להם,"במדבר יא, לב","ס""ב צח (97)",,,,
1640,"נזיר ד, ו (נג ע""ג, 39)",לר' יוסי,,"הש' ת' נזיר ג, יח (53:134)",,,,
