מספר,מקום בירו',תח' ציטוט,מקרא,ספ' תנאים,מקבילות,בבלי,הערות,רשימה
00850,"תר' א, ה (מ ע""ד, 32)",על דעתיה,,,"הש' תר' מ ע""ד (9)",,,
00860,"תר' א, ה (מ ע""ד, 33)",על דעתיה,,,"הש' תר' מ ע""ד (11)",,,
01480,"תר' ב, ג (מא ע""ג, 17)",אבל בכלים,,"ת' שבת טז, יב (28:78)",,,,
01640,"תר' ב, ד (מא ע""ד, 22)",אוף אנא,,,"הש' תר' מא ע""ד (9)",,,
01740,"תר' ג, א (מב ע""א, 28)",כדברי רבי,,"הש' ת' תר' ד, ו (22:124)",,,,
03540,"תר' ז, א (מד ע""ג, 31)",רשע (1),"במדבר לה, לא",,,,,
03550,"תר' ז, א (מד ע""ג, 31)",רשע (2),"דברים כה, ה",,,,,
04140,"תר' ח, א (מה ע""ב, 13)",שהוא פטור,,"מ' פס' ו, ה",,,,
04620,"תר' ח, ה (מה ע""ד, 27)",המשמרת של,,"ת' תר' ז, יג (46:145); הש' מ' תר' ח, ז",,"ב""ק קטו ע""ב",,
04510,"תר' ח, ה (מה ע""ג, 42)",קרינה,,,"הש' ע""ז מא ע""א","הש' ע""ז ל ע""א",יר' - ראה הע' 9 שם,
04840,"תר' ח, ט (מו ע""א, 36)",חבית הראשונה,,"הש' מ' תר' ח, ח",,,,
04850,"תר' ח, ט (מו ע""א, 36)",כרבי יוסי,,"הש' מ' פס' א, ז",,,,
04860,"תר' ח, ט (מו ע""א, 36)",והשנייה,,"הש' מ' תר' ח, ט",,,,
05840,"תר' יא, ב (מז ע""ד, 27)",אין צריכין,,"הש' מ' עוק' ג, א; ת' טב""י א, ה (26:684)",,,,
05850,"תר' יא, ב (מז ע""ד, 28)",צריכין מחשבה,,"הש' מ' מכ' ו, ח","גט' מח ע""ג",,,
00880,"תר' א, ו (מ ע""ד, 34)",והערום,,"הש' מ' בר' ג, ה",,,,
00890,"תר' א, ו (מ ע""ד, 34)",ובעל קרי,,"הש' מ' בר' ג, ד",,,,
00770,"תר' א, ד (מ ע""ד, 4)",מפני גזל,,,"הש' תר' מ ע""ד (54); גט' מה ע""ג (27)",,,
01000,"תר' א, ח (מ ע""ד, 54)",גזל השבט,,,"תר' מ ע""ד (4)",,,
02090,"תר' ג, ח (מב ע""ב, 57)",תורה,,"הש' ספ' צח ע""א",,,,
02830,"תר' ה, ד (מג ע""ג, 57)",אמרין נצא,,,"הש' שבת ה ע""א",,"הע' 46 וש""נ",
03210,"תר' ו, א (מד ע""א, 59)",במקום שחיטתה,"הש' במדבר יט, יג",,,"זב' קיג ע""א",,
03350,"תר' ו, ה (מד ע""ב, 31)",על כולהן,,"הש' ספ' צז ע""ד",,,,
03880,"תר' ז, ב (מד ע""ד, 41)",חללה מבנה,,,"הש' קד' סו ע""א (4)",,,
02400,"תר' ד, ו (מב ע""ד, 61)",והשוקל משובח,,"מ' תר' ד, ו",,,,
02410,"תר' ד, ז (מב ע""ד, 62)",מניין שאין,,,"ערלה סא ע""ד (34)",,"צ""ל: שהן",
02420,"תר' ד, ז (מב ע""ד, 63)",מכל חלבו,"במדבר יח, כט",,,,,
02430,"תר' ד, ז (מב ע""ד, 63)",דבר שאת,,"ס""ב קכא (149)",,,,
02440,"תר' ד, ח (מג ע""א, 6)",בידוע מה,,"הש' ת' ה, ו (59:133)",,,,
02450,"תר' ד, ח (מג ע""א, 11)",אין בלילה,,,"דמאי כד ע""ד; מע""ש נג ע""ג","ר""ה יג ע""ב",,
02460,"תר' ד, ח (מג ע""א, 12)",מילתהון דרבנין,,,"חלה נז ע""ד",,,
02470,"תר' ד, ח (מג ע""א, 21)",רבי שמעון,,,"תר' מד ע""ד (58)",,,
02480,"תר' ד, ח (מג ע""א, 21)",רבי יוחנן,,,"תר' מד ע""ד (59)",,,
03950,"תר' ז, ד (מד ע""ד, 58)",ספיקן בטל,,,"תר' מג ע""א (21)",,,
03960,"תר' ז, ד (מד ע""ד, 59)",כולהם נעשו,,,"תר' מג ע""א (21)",,,
02490,"תר' ד, ח (מג ע""א, 23)",רבי שמעון,,,"ערלה סא ע""ב (35); ערלה סג ע""ב (14)","זב' עד ע""ב",,
02500,"תר' ד, ח (מג ע""א, 28)",אמר רבי,,,"ערלה סב ע""ד",,,
02510,"תר' ד, ט (מג ע""א, 30)",נמצאת אומר,,"ת' תר' ה, י (56:133)",,,,
02530,"תר' ד, י (מג ע""א, 42)",דברי ר',,,"ערלה סג ע""א (57)",,,
02540,"תר' ד, י (מג ע""א, 43)",דרסה ואין,,"ת' תר' ה, יא (68:134)",,,,
02550,"תר' ד, יא (מג ע""א, 46)",התחתונות מעלות,,"מ' תר' ד, י",,,,
02560,"תר' ד, יא (מג ע""א, 46)",אם יש,,"מ' תר' ד, יא",,,,
02570,"תר' ד, יב (מג ע""א, 52)",שתי קופות,,"ת' תר' ו, יב (49:139)","הש' תר' מג ע""ב (8)",,,
02580,"תר' ד, יב (מג ע""א, 58)",וכן שני,,"הש' ת' מק' ב, ג (8:654)",,,,
02590,"תר' ד, יב (מג ע""א, 60)",היו לפניו,,"ת' תר' ו, יג (53:140)",,,,
02600,"תר' ד, יב (מג ע""ב, 8)",קופות מעלות,,,"הש' תר' מג ע""א (52)",,,
02610,"תר' ד, יג (מג ע""ב, 12)",בלול מעלה,,"ת' תר' ה, יג (75:134)",,,,
02620,"תר' ד, יג (מג ע""ב, 13)",אמר רבי,,"מ' תר' ד, יג",,,,
02630,"תר' ד, יג (מג ע""ב, 16)",קישות טמאה,,"הש' ת' תר' ה, יד (37:134)",,,,
02640,"תר' ה, א (מג ע""ב, 59)",טבל מעלה,,"ת' תר' ו, א (4:136)",,,,
02650,"תר' ה, א (מג ע""ב, 60)",טבל מעלה,,,"הש' תר' מג ע""ג (21)",,,
03230,"תר' ו, א (מד ע""א, 62)",כרבי,,,"תר' מד ע""א (49)",,,
03240,"תר' ו, א (מד ע""א, 62)",כרבי לעזר,,,"תר' מד ע""א (49)",,,
03250,"תר' ו, א (מד ע""ב, 1)",הפריש פדיון,,"מ' בכ' א, ו",,,,
03260,"תר' ו, א (מד ע""ב, 2)",מעשר שני,,"הש' מ' עד' ז, א",,,,
03270,"תר' ו, א (מד ע""ב, 5)",כיצד הוא,,"ת' דמאי ג, ב (7:73)",,,,
03280,"תר' ו, א (מד ע""ב, 7)",הפרשתו מקדשתו,,,"תר' מד ע""א (50)",,,
03290,"תר' ו, א (מד ע""ב, 7)",מתנתו מקדשתו,,,"תר' מד ע""א (49)",,,
03300,"תר' ו, ד (מד ע""ב, 21)",יש בו,,"ת' תר' ז, ב (6:142)",,,,
03310,"תר' ו, ד (מד ע""ב, 24)",ואיש כי,"ויקרא כב, יד",,,,,
03320,"תר' ו, ד (מד ע""ב, 26)",ישלם שנים,"שמות כב, ח","מדר""י 13:302",,,,
03330,"תר' ו, ה (מד ע""ב, 29)",לית הדא,,,"פאה כ ע""א",,,
03340,"תר' ו, ה (מד ע""ב, 30)",לקט,,"מ' תר' ו, ה",,,,
03360,"תר' ו, ו (מד ע""ב, 32)",הא כיצד,,"ספ' צח ע""א",,"ער' כט ע""ב; פס' לב ע""א",,
03370,"תר' ו, ו (מד ע""ב, 34)",שכן פירות,,"הש' מ' חלה א, ג",,,,
03380,"תר' ו, ו (מד ע""ב, 35)",שכן הביכורי',,"הש' מ' ביכ' ב, ד",,,,
03390,"תר' ו, ו (מד ע""ב, 37)",עד שלא,,"הש' ת' שבי' ד, טז (51:183)",,,"וש""נ",
03400,"תר' ו, ו (מד ע""ב, 39)",נמצא לוקח,,,"הש' פאה כ ע""ג (39)",,ומק',
03410,"תר' ז, א (מד ע""ג, 7)",תמן תנינן,,,"כת' כז ע""ב","כת' לא ע""ב",,
03420,"תר' ז, א (מד ע""ג, 7)",אלו הן,,"מ' מכות ג, א",,,,
03430,"תר' ז, א (מד ע""ג, 8)",אלו נערו',,"מ' כת' ג, א",,,,
03440,"תר' ז, א (מד ע""ג, 11)",כדי רשעתו,"דברים כה, ב",,"תר' מד ע""ג (36)",,,
03570,"תר' ז, א (מד ע""ג, 36)",כדי רשעתו,"דברים כה, ב",,"תר' מד ע""ג (11)",,,
03450,"תר' ז, א (מד ע""ג, 13)",והפילו השופט,"דברים כה, ב",,,,,
03460,"תר' ז, א (מד ע""ג, 14)",רבי שמעון,,,"הש' תר' מד ע""ד (27)","כת' לד ע""ב",,
03820,"תר' ז, א (מד ע""ד, 27)",רבי שמעון,,,"הש' תר' מד ע""ג (14)",,,
03470,"תר' ז, א (מד ע""ג, 16)",אלו נערות,,"מ' כת' ג, א",,,,
03490,"תר' ז, א (מד ע""ג, 18)",וענשו אותו,"דברים כב, יט","ס""ד רלח (270)",,,,
03500,"תר' ז, א (מד ע""ג, 18)",ויסרו אותו,"דברים כב, יח",,,,,
03840,"תר' ז, א (מד ע""ד, 34)",אילו נערות,,"מ' כת' ג, א",,,,
03850,"תר' ז, ב (מד ע""ד, 37)",כי תחל,"ויקרא כא, ט",,,"סנ' נא ע""א",,
03860,"תר' ז, ב (מד ע""ד, 39)",כי תחל,"ויקרא כא, ט",,,,,
03870,"תר' ז, ב (מד ע""ד, 40)",ובת איש,"ויקרא כא, ט",,,,,
03890,"תר' ז, ב (מד ע""ד, 42)",את אביה,"ויקרא כא, ט",,,,,
03900,"תר' ז, ב (מד ע""ד, 44)",רבי ליעזר,,"מ' תר' ח, א",,,,
03910,"תר' ז, ג (מד ע""ד, 48)",היך עבידה,,,"ב""ק ז ע""ב","הש' ב""ק קיא ע""ב; חו' קלד ע""ב",,
03920,"תר' ז, ד (מד ע""ד, 52)",אחת טמאה,,"ת' תר' ו, טו (62:140)",,,,
03930,"תר' ז, ד (מד ע""ד, 53)",אחת מדומעת,,"ת' תר' ו, יב (52:140)",,,,
03940,"תר' ז, ד (מד ע""ד, 54)",אחת יש,,"ת' תר' ו, יב (51:140)",,,,
03970,"תר' ז, ו (מד ע""ד, 61)",שתי קופות,,"ת' תר' ו, טז (64:141)",,,,
03980,"תר' ז, ו (מד ע""ד, 64)",יאכלו ניקודים,,"הש' מ' תר' ה, ג",,,,
03990,"תר' ז, ו (מד ע""ד, 64)",שתי קופות,,"ת' תר' ו, יז (67:141)",,,,
04010,"תר' ז, ו (מה ע""א, 5)",ספק מדומע,,"ת' תר' ז, ח (29:144)",,,,
04020,"תר' ז, ו (מה ע""א, 5)",פטור מן,,"הש' מ' חלה א, ד",,,,
04000,"תר' ז, ו (מה ע""א, 5)",אמר רבי,,,"חלה נז ע""ד",,,
04030,"תר' ז, ו (מה ע""א, 7)",אם נשאלו,,"מ' טה' ה, ה",,"פס' י ע""א; כת' כז ע""א",,
04040,"תר' ז, ו (מה ע""א, 9)",ועל חבירו,,"הש' ת' טה' ו, ו (17:666)",,,,
04050,"תר' ז, ז (מה ע""א, 15)",את שזרעו,,"מ' טה' ט, ו",,,,
04060,"תר' ז, ז (מה ע""א, 18)",רבי זעירא,,,"כל' ל ע""א",,"וש""נ",
04070,"תר' ח, א (מה ע""ב, 3)",ארוסה בת,,"הש' מ' כת' ה, ב-ג",,,,
04080,"תר' ח, א (מה ע""ב, 3)",ואביה מקבל,,"הש' מ' גט' ו, ב",,,,
04090,"תר' ח, א (מה ע""ב, 4)",כמשנה אחרונה,,"מ' כת' ה, ג",,,,
04100,"תר' ח, א (מה ע""ב, 6)",רבי לעזר,,"מ' גט' ו, ד",,,,
04110,"תר' ח, א (מה ע""ב, 6)",ולא מודי,,,"דמאי כד ע""ב; גטין מח ע""א",,,
04120,"תר' ח, א (מה ע""ב, 10)",רבי חגיי,,,"הור' מה ע""ג; הש' מע' נ ע""ג (30)",,,
04130,"תר' ח, א (מה ע""ב, 11)",חייב,,"מ' תר' ו, א",,,,
04150,"תר' ח, א (מה ע""ב, 15)",חייב,,"הש' מ' כר' ד, א",,,,
02660,"תר' ה, א (מג ע""ב, 61)",ספיחי שביעי',,"ת' תר' ו, ג (13:137)",,,,
02670,"תר' ה, א (מג ע""ב, 63)",מדליקין בפת,,"מ' תמ' ז, ה",,"פס' לג ע""ב",,
02680,"תר' ה, א (מג ע""ג, 4)",ומה דנפיל,,,"מע""ש נו ע""ב (49)",,,
02690,"תר' ה, א (מג ע""ג, 5)",דאמר רבי,,,"ביכ' סד ע""ד",,,
02700,"תר' ה, א (מג ע""ג, 6)",לך נתתיו,"במדבר יח, ח",,,,"צ""ל: נתתים",
02710,"תר' ה, א (מג ע""ג, 10)",אין להקדש,,"מ' ערכ' ו, ה",,,,
02720,"תר' ה, א (מג ע""ג, 12)",אם טמאין,,"מ' תר' ה, א",,,,
02730,"תר' ה, א (מג ע""ג, 14)",ונתתם ממנו,"במדבר יח, כח",,,,,
02740,"תר' ה, א (מג ע""ג, 17)",והדין ניקודים,,,"הש' תר' מג ע""ג (33)",,,
02750,"תר' ה, ב (מג ע""ג, 21)",בסאה שהעלת,,,"הש' תר' מג ע""ב (60)",,,
02760,"תר' ה, ב (מג ע""ג, 23)",סאה תרומה,,"מ' תר' ה, ו",,,,
