"Divrei David on Rashi, Genesis 5:23",['כי לקח אותו'],Rashi on Genesis 5:24:2
"Divrei David on Rashi, Genesis 37:32",['וישלחו את כתונת הפסים'],link to Tanakh only
"Divrei David on Rashi, Genesis 46:20","[""כל הנפש כו'""]",Rashi on Genesis 46:26:1
"Divrei David on Rashi, Leviticus 5:25","[""נפש כי תחטא כו'""]",Rashi on Leviticus 5:21:1
"Divrei David on Rashi, Numbers 7:17",['כי לי כל בכור'],Rashi on Numbers 8:17:1
"Divrei David on Rashi, Numbers 7:25",['ולא יעבוד עוד'],Rashi on Numbers 8:25:1
"Divrei David on Rashi, Numbers 25:10","[""והנה איש וגו'""]",Rashi on Numbers 25:6:1
"Divrei David on Rashi, Deuteronomy 2:17","[""וידבר ה' אלי וגו'""]",Rashi on Deuteronomy 2:16:1
