Ma_ID,Ma_Runorder,Ma_Name,Ma_LibID,SSMA_TimeStamp,Ma_Img,Ma_ImgFile,Ma_NameDescription,Ma_Description,Ma_SysNum
362,11161,Ebr. 114/3,11,000000000000EE37,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224257,כתב יד וטיקן Ebr. 114/3,"כתיבה אשכנזית, המאה ה-14, 14 דפים.",000198140
363,11162,Ebr. 115,11,000000000000EE38,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224258,כתב יד וטיקן Ebr. 115,"כתיבה אשכנזית מרובעת, המאה ה-13 או ה-14, 117 דפים.",000198134/000198135/000198136
364,11163,Ebr. 116-117,11,000000000000EE39,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224259,כתב יד וטיקן Ebr. 116-117,"כתיבה אשכנזית, המאה ה-14, 161 דפים.",000198115/000198151
365,11164,Ebr. 119,11,000000000000EE3A,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224260,כתב יד וטיקן Ebr. 119,"כתיבה אשכנזית מרובעת, המאה ה-14, 129 דפים.",000198153
366,11165,Ebr. 120-121,11,000000000000EE3B,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224261,כתב יד וטיקן Ebr. 120-121,"כתיבה אשכנזית מרובעת, המאה ה-13, 425 דפים.",000198141/000198142
367,11166,Ebr. 122,11,000000000000EE3C,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224262,כתב יד וטיקן Ebr. 122,"כתיבה אשכנזית, המאה ה-14, 111 דפים.",000198143
368,11167,"Ebr. 123[a]/1-5,27",11,000000000000EE3D,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224263,"כתב יד וטיקן Ebr. 123[a]/1-5,27","כתיבה אשכנזית, משנת 1400 לערך, 6 דפים.",000198145
369,11168,Ebr. 123[b]/6-26,11,000000000000EE3E,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224264,כתב יד וטיקן Ebr. 123[b]/6-26,"כתיבה אשכנזית, המאה ה-15, 20 דפים.",000198146
370,11169,Ebr. 125,11,000000000000EE3F,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224265,כתב יד וטיקן Ebr. 125,"כתיבה ספרדית מרובעת, המאה ה-12, 78 דפים.",000198229
371,11170,Ebr. 127,11,000000000000EE40,,http://dlib.nli.org.il/webclient/DeliveryManager?&custom_att_2=ext&metadata_request=false&pid=1224266,כתב יד וטיקן Ebr. 127,"כתיבה אשכנזית מרובעת ובינונית, המאה ה-14 או ה-15, 112 דפים.",000198231
