headword,error
אַדְנֵי הַשָּׂדֶה,
אדני מדיונים,
אָדַק,
אדק,
אַדְקוּלָאִין,
אד״ר,
אַדַּר,
"אֵדֶר, אִדְרָא",
אַדְרָא,
"אַדְרַבָּא, אַדְרַבָּה",
אִדְרַבְלִיס,
אַדְרוֹמָא,
אֶדְרוֹעָא,
אִדְרוֹפִיקוֹס,
אִדְרוּתָא,
אַדְרִיאָנוּס,
אַדְרִיאַנְטִין,
אַדְרִיאַס,
"אַדְרִיב, אַדְרִיבָא",
אדריונטוס,
אַדְרִיָינוֹס,
אַדְרְייָנִי,
אדריכולין,
אִדְרִיכוּתָא,
אדריכל,
אדרכולין,
אֲדַרְכִּיאָן,
אֲדַרְכָּל,
אֲדַרְכַּן,
אַדְרַכְתָּא,
אדר״נ,
אדר״ע,
אֶדְרַע,
אדש״ל,
א״ה,
אהבא״ה,
אַהֲבָה,
אַהֲדוּרֵי,
אהד״ל,
אהה״נ,
אֲהוּ,
אֳהוֹלִין,
אֲהוּן,
"אֲהוּרְייָר, אֲהוּרְיָר",
אהורמיז,
אה״ט,
אֲהַיי,
אָהִיל,
אֲהִילַאי,
"אֲהִינָא, אהינו",
אה״כ,
אהל׳,
"אֲהָל, אֲהָלָא",
אָהֲלוֹייֵ,
אָהֲלַיָּא,
אֳהָלִיּוֹת,
אהמ״ט,
אה״נ,
אֲהָן,*
אַהֲנָייְתָא,
אה״ק,
אה״ר,
אַהֲרו̇נִית,
אהשק״ל,
אה״ת,
או׳,
אוּ,
או גריפיס,
או לולגין,
אואדא״ח,
אוּב,
אוֹבְדָן,
אוביונות,
אוֹבֵיסוֹס,
אוּבְלָא,
אוּבְלִין,
או̇בַנְתָּא,
"אוּבְצָן, אוּבְצָנָא",
"או̇בְרִיזָא, או̇בְרִיזִין",
אוּבְשִׁין,
או̇ג,
אוֹגְבִין,
אוֹגְדּוֹר,
אוּגְדָּס,
אוגור,
אוּגְיָא,
או̇גֶן,
אוֹגָנָא,
אוגנסין,
"אוֹגַר, אוֹגְרָא",
אוגרוי קונטא,
אוגרותא [אוֹגְדוּתָא],
אוֹגֶרֶת,
"אוֹדָאָה, אוֹדוּתָא",
אודיאר,
אוּדְייָא,
אוּדְיָינִי,
אודייתא,
אוֹדֵיתָא,
אודלוגין,
אוֹדֶם,
"אוּדַן, אוּדְנָא",
אוּדְנָא,
אודניא,
אוּדְרָא,
אוּדְרָךְ,
אודר״ע,
אוֹהָלַייָא,
אוה״ע,
אוֹהֲרֵי,
אוו״ב,
אווגיטוס,
"אַווְזָא, אַוָּוז",
אֲווַל אַווְלָא,
אַווְלַס,
אַווְנָא,
אֲווַנְכְּרֵי,
אוונתיסאי,
אֶווְסוֹס,
אוורדימס,
אַווְרִיסִי,
