headword,error
בִּנְייָנָא,
בניינות,
בִּנְייָתָא,
"בִּנְיָן, בִּנְייָן",
בִּנֲין אָב,*
"בְּנִיסָא, בְּנִיסְתָּא",
בניסן [כְּנִישָׁן],
בְּנִיפִיקִין,
בְּנִיפִיקָרִין,
בִּנְכֵּי,
בנל״כ,
בְּנָן,
בְּנַס,
בְּנָסָא,
בנפיקין,
בנ״צ,
בנצ״כ,
בַּנְּרִיּוֹת,
"בַּנָּרִיתָא, בַּנַּרְייָתָא",
בנרסי [דַּרְדֵּסִין],
בנשׁ״א,
בנש״ב,
"בְּנָתָא, בְּנָתָן",
בֵּנְתַּייִם,
בַּנְתִּיקָא,
ב״ס,
בס״א,
בְּסָא,
בסבסטי,
בס״ג,
בסג״ר,
בַּסְגַר,
בסה״ד,
בסה״י,
בסו״מ,
בסוב״ג,*
בְּסוּמָא,
"בְּסוֹרָא, בְּסוֹרְתָא",
בֶסְטְיָא,
בְּסִי,
בִּסְיָה,
"בָּסִילֵיאוֹס, בָּסִלוֹגוֹס, בָּסִילְיוֹס",
בָּסִילְיוֹן,
בָּסִילְקִי,
"בָּסִים, בְּסִימָא",
בְּסִימָא,
בְּסִימָה,
בְּסִימוּתָא,
בַּסִּמַיָּה,
בְּסִיס,*
בָּסִיס,
"בְּסִיסַי, בְּסִיסִית, בְּסָסִית",
בְּסִיר,
בְּסירוּתָא,
בָּסֵם,
בִּסֵם,
בֻּסַּם,
בְּסַם,
בַּסָּם,
בִּסְמָא,
"בָּסַס, בְּסַס",
בִּיסֵס,*
בְּסָסִית,
"בָּסַר, בְּסַר",
בִּיסֵר,*
בַּסֵּיר,
"בָּסַר, בְּסַר",
"בְּסַר, בִּסְרָא",
בַּסְרָנוּתָא,
בִּסְתַּייָר [בִּסְטַייָר],
בִּסְתְּקָא,
בִּסְתַּרְקָא,
בע׳,
ב״ע,
בע״א,
בְּעָא,
בעאא״ע,
בע״ב,
בַּעְבּוּעַ,
בִּעְבֵּעַ,
בַּעְבַּע,
בעד,
בע״ד,
בָּעָה,
בּע״ה,
בּעה״ב,
בּע״ה,*
בּעה״ז,
בּעה״י,
בּעה״ש,
"בָּעוּ, בָּעוּתָא",
בְּבָעוּ,*
בּעוה״ב,
בּעוה״ז,
בּעוה״ת,
בְּעוֹט,
"בָּעוּר, בָּעוֹרָא",
בּע״ז,
בע״ח,
בָּעַט,
בִּיעֵט,*
"בָּעַט, בְּעֵיט",
"בַּעֵט, בַּעֵיט",
בַּעֲטָן,
בְּעֵי,
בְּעֵי,
בַּעְיָא,
בָּעְיָא,
בְּעֵיט,
בְּעִיטָה,
בָּעְייָא,
בְּעֵיל,
בְּעִילָה,
בְּעִיץ,
בְּעִיץ,
בְּעֵיר,
בְּעִירָא,
בע״כ,
בָּעַל,
"בְּעַל, בְּעֵיל",
בַּעֵל,*
בַּעַל אַבֵידָה,
בַּעַל אַגָּדָה,
בַּעַל אֶגְרוֹף,
בַּעֲלֵי אֲמָנָה,
בַּעַל בַּיִת,*
בַּעַל בָּשָׂר,
בַּעַל דְּבָרִים,
בַּעַל דִּין,
בַּעֲלֵי זְרוֹעוֹת,
בַּעַל הַנָאָה,*
בַּעַל חוֹב,
"בַּעַל חַי, בַּעֲלֵי חַיִּים",
בַּעַל כְּשָׁפִים,
בַּעַל מַחְשָׁבוֹת,
בַּעֲלֵי מַרְאֶה,
בַּעַל פִּקָדוֹן,*
בַּעַל קְרִי,
בַּעֲלֵי שֵׂיבָה,
בַּעַל תּוֹרָה,*
בַּעַל תְּשׁוּבָה,
בַּעַל תְּשׁוּבוֹת,
בַּעֲלָא,
בַּעֲלָה·,
בַּעֲלַת אֵבָרִים,
בַּעֲלַת יוֹפִי,
בְּעַע,
בע״פ,
בַּעַץ,
בע״ק,
בע״ר,
בָּעַר,
בְּעַר,
בַּעֵר,
בְּעַר,
בע״ש,
בעש״ב,
בע״ש,*
בעש״ג,
בעש״י,
בעשי״ת,
בעש״נ,
בעשע״ח,
בע״ת,
בע״ת,
בָּעַת,
"בְּעֵת, בְּעִית",
"בַּעֵת, בַּעֵית",
בַּעֲתָא,
ב״פ,
בפ׳,
בפ״א,
בפה״א,
בפה״ג,
בפה״ע,
בפו״ר,
בפט״ש,
בפי׳,
בפל״ע,
בפ״מ,
בפמש״פ,
בפ״נ ובפ״נ,
בפסהמ״ק,
בפ״ע,
ב״צ,
בצ״א,
בִּצָא,
בְּצָא,
בִּצְבּוּץ,
בִּצְבֵּץ,
בַּצְבֵּץ,
בְּצוֹצְטְרָא,
בְּצוֹצְרָא,
"בְּצוֹצְרִיּוֹת, בְּצַרְצְרִיּוֹת",
בַּצוֹרֶת,
בַּצוֹרְתָּא,
בְּצוּרְתָא,
ביצים,*
בָּצִיר,
בַּצִּירָא,
בְּצִירָה,
בְּצַל,
בְּצַלְאֵל·,
בְּצַלְצוּל,
בָּצַע,
בִּצַּע,
בְּצַע,
בַּצַּע,
בִּצְעָה,
בָּצַץ,
בָּצֵק,
בָּצַר,
בּצר,
בַּצֵּר,
בֶּצֶת,
ב״ק,
בַּקָא,
"בְּקָא, בְּקִי",
בקוותא [בַּקְרוּת],
בַּקּוֹלְסָא,
בִּקּוּעַ,
"בָּקִי, בָּקִיא",
בְּקִיּעַ,
בְּקִיּעַ,
בְּקִיעָה,
בַּקִיקָא,
בַּקְלָסָא,
בָּקַע·,
בקעי,
בְּקַעַת,
"בִּקְעֲתָא, בַּקְעֲתָא",
בָּקַר,
בֻּקַּר פֻעל,
"בְּקַר, בַּקֵר",*
בַּקָּר,*
בַּקְּרָא,
"בַּקְרוּת, בַּקְרוּתָא",
"בַּקְרוּתָא, בַּקְרָנוּתָא",
בָּקַשׁ,
"בַּקָּשָׁה·– בְּבַקָּשָה מִמָּךְ,",
בִּקְתָא,
ב״ר,
"בַּר בַּר, בַּר בַּת",
בַּר,*
בְּרָא,
בְּרָא,
בְּרָא,
בר״א,
"בָּרָאָה, (בָּרָיָה, בָּרָייָא)",
בְּרָאִי,
"בְּרֵאשִית
ּ",
בְּרַבִּי,
בַּרְבַּיִי,
בַּרְבַּר,
בַּרְבְּרָאָה,
בַּרְבַּרְאי,
בַּרְבַּרוֹן,
בַּרְבָּרִי,
"בַּרְבַּרְיָא, (בַּרְבַּרְיָה, בַּרְבַּרְייָא, בַּרְבָּרִיאָה)",
ברברית [בְּפַרְדֵּיסָא],
"בַּרְגְּזָא, בַּרְגַּזָא",
בַּרְדָּא,
בַּרְדִילָא,
ברדין [גַּרְדּוֹן],
"ברדינין, ברדנין [כַּדְכְּדוֹן]",
בַּרְדִּיסִין,
בַּרְדְּלָא,
"בַּרְדְּלָיָא, בַּרְדְּלָיָה, בַּרְדְּלָייָה",
בַּרְדְּלַס,
ברדס,
בַּרְדְסִין,
בַּרְדֵּק,
בר״ה,
ברה״י,
ברה״ר,
ברובא [כְּרוּבָא],
ברוה״ק,
ברווזא [בִּרְזוּזָא],
בֵּי בָּרוּךְ,*
בְּרוֹכִי,
בְּרוּנָא,
בָּרוֹקָא,
"בָּרוֹקָא, בָּרוֹקָה",
בְּרוּקְלֵי,
בְּרוּקְתִּי,
בָּרוּר,
בֵּרוּר,
בְּרוֹר הַיִּל,
"בְּרוּרְיָא, בְּרוּרְיָה",
ברושׁייתא [כְּרוֹשְׁייָתָא],
בְּרוֹת,
בְּרוֹתָא,
בָּרוּתָא,
בְּרַז,
בִּרְזָא,
בַּרְזָא,
בּרְזֵג,
בַּרְזֵיל,
בַּרְזִילָא [כַּרְזִילָא],
בַּרְזִילָה,
בַּרְזִינָא,
בַּרְזֶל· – צֹאן בַּרְזֶל,
בַּרְזְלָא,
בַּרְזָנִיתָא,
"בָּרַח· – בְּרַח, הִבְרִיחַ",
בַּרְחָא,
ברטיה [בַּרְבַּרְיָה],
"בְּרַי, בְּרָא",
"בְּרֵי, בְּרָא",
"בָּרִי, בָּרִיא",
"בְּרִי, בְּרִיא",
בִּרְיָא,
בְּרִיאוּת בְּרִיאוּתָא,
בְּרִיבִּי,
בָּרָיָה,
בִּרְיָה,
בִּרְיוֹן,
בַּרְיוֹנָא,
בְּרִיּוּתָא,
בַּרְיוּתָא,
בְּרֵיז,
בָּרֵיז,
בְּרִיהָה,*
בְּרִיטַנְיָה,
"בָּרְיָיא,",
בְּרִיָּיה,
בְּרֵיכָה.,
בְּרִיכָה,
בְּריכסון [בְּרִיכְסִין],
בְּרַיכְתָא,
"בָּרִין, רם בָּרִין",
בריקשון,
"בָּרִיר, בְּרִיר, בְּרִירָא",
בְּרֵירָה,
בְּרִירָה,
בָּרִירוּ,
"בְּרִירוּת, בְּרִירוּתָא",
בְּרִית.– בְּרִית כְּרוּתָה,
בְּרִית! הַבְּרִית!,
"בָּרַיְתָא, בָּרַייְתָא",
בָּרַךְ.– הִבְרִיךְ,
"בָּרַךְ·– בֵּרַךְ, בֵּירַךְ",*
בְּרַךְ,*
"בָּרֵיךְ, בָּרִיךְ",*
בֶּרֶךְ·,
בִּרְכָּא,
בִּרְכָא,
בְּרָכָה·,
בִּרְכַּת רְחָבָה,
בִּרְכַּייָר,*
"ברכר, ברכרה [כַּרְכָּר, כַּרְכָּרָה]",
בִּרְכְתָא,
בר״מ,
בְּרַם·,*
בַּרְנֵשׁ,
בִּרְסִין,
בַּרְסָם,
ברסנה [כַּרְסָנָה],
בֵּרֵץ,
"בְּרַץ, בָּרֵץ",
בַּרְצוּץ,
בֵּי בַרְצִיתָא,*
בָּרַק· – הִבְרִיק,
בְּרַק,*
בְּנֵי בְרַק,*
בַּרְקָא,
בַּרְקָא,
בַּרְקָא,
בַּרְקָא,
בַּרְקַאי,
בַּרְקוּרְיָאנֵי,
בְּרַקִּין,
בַּרְקִירְיָא,
בַּרְקִית,
בַּרְקָן,
בַּרְקָנַיָּא,
בָּרֶקֶת,
בַּרְקָתָא,
בְּרַקְתִּי,
בָּרַר·,
"בֵּרַר, בֵּירַר",
בְּרַר,*
בְּרָרָא,
ברש״מ,
בִּרְשָׁן,
ברשפ״מ,
בְּרַת,
בְּרַת חוורן,
בְּרַתָּא,
בְּרָתָא,
בַּרְתּוֹתָא,
ב״ש,
בש״א,
בשבו״ת,
בשׁ״ד,
בשד״א,
בש״ד,*
בשדמ״ע,
בשה״ד,
בשה״ח,
בשוא״ת,
בִּשׁוּל,
בִּשׁוּלָא,
בשו״מ,
בָּשׂוּם,*
בְּשׂוֹרהָ,
בְּשׂוֹרְתָּא,
בש״ה,*
בשי״ה,
"בְּשִׂירוּתָא, בְּשִׂירוּתָה",
בשכמל״ו,
בַּשְׁכַּר,
בָּשַׁל. – בִּשֵּׁל,
בְּשַׁל,*
בַּשֵׁל,
בַּשְׁלָא,
בַּשָּׁלָא,
בשׁלב״ה,
בִּשְׁלָמָא … אֶלָּא,
בשׁלמ״ד,
בַּשָּׂם,
בש״ס,
בש״ע,
בשע״מ,
בש״ק,
בַּשְׁקַר,
בש״ר,
(בְּשַׂר) בַּשֵּׂר פַעֵל,
"בָּשָׂר· – בָּשָׂר וְדָם,",*
בִּשְׂרָא,
בִּשְׂרָא,
בִּשְׂרוּתָה,
בש״ש,
בְּשַׁשׁ,
בש״ת,
ב״ת,
בָּת,
"בַּת· – בַּת אַבְרָהָם אָבִינוּ,",
בַּת אָבוֹת,
בַּת אוֹר,
בַּת אַרְעָא,
בַּת בֵּירְתָא,
בַּת הָכִי,
בַּת חוֹרִין,
בַּת יוֹמָא,
בַּת מַזְגָא חַמְרָא,
בַּת מֶלֶךְ,
בַּת נִירָא,
בַּת עַיִן,
בַּת עֵינָא,
בּת קוֹל,
בַּת תִּיהָא,
בַּת· – בְּבַת אַחַת,*
בת״ב,
בת״ה,
בַּתְוָא,
בְּתוּלָא,
בְּתוּלָה· –,
בְּתוּלִין,
בְּתוּלְתָּא,
בִּתְיָה,
"בְּתֵירָא, בְּתֵירָה",
בְּנֵי בְתֵירָה,*
בת״כ,
בת״ר,
בָּתַר (בַּאֲתַר),
בָּתַר דְ־,
"בַּתְרַי, בַּתְרָךְ, בַּתְרֵיה",
"בַּתְרָא, בַּתְרָאָה, בַּתְרַאי",*
בְּתָרַיָּיא,
בַּתְרַייְתָא,
בְּבָתְרֵיתָא,*
בַּתֵּשׁ,
ג׳,
ג״א,
גְּאָא,
גא״ג,
גאגק״ר,
גָאדִיל,
"גָּאה.– גֵּאָה, גֵּיאָה",
גֵּאו,
גַּאֲוָה· –גַּאֲווָה,
גַּאוָזָא,
גְּאוּלָה·–,
גְּאוּלְתָּא,
גאוסטיינא,
גֵּאוּתָא,
גְּאִי,
גָּאִיז,
גֵּאִים,
גָּאַל · – נִגְאַל,
גְּאַל,*
גַּאַם,
גְּאַם,
גָּאַם,
גָּאנֵי,
גַּב,
"גַּב הַיָּד, גַּב הָרֶגֶל",
"גַּבַּייִם, גַּבַּייִן",
גַּבָּא,*
גְּבָא,
גַּבָּאוּת,
גַּבַּאי,
גָּבַב,
גִּיבֵּב,
גְּבַב,*
גְּבָבָא,
גְּבָבָה,
גַּבְבַיָּא,
גַּבָּה,
גָּבָה,
גָּבַהּ · – הִגְבִּיהַּ,
גְּבַה,*
גַּבְהוּתָא,
גָּבוֹהַּ·,
גִּבוֹהִית,
גִּבּוּי,
גַּבּוֹיִין,
גְּבוּל·,
גְּבוּל,
"גְּבוּלָאָה, גְּבוּלָייָא",
גבונתא [זְבִינְתָּא],
"גְּבוּרָא, גְּבוּרְתָּא",
גְּבוּרָה,
גְּבוּרוֹת,
גְּבוּרוֹת גְּשָׁמִים,
גבוריא,
גְּבוּרְתָּא,
גְּבוּשִׁין,
גַּבּוֹת,
גִּבֵּחַ,
(גבח) גִּבַּח,
גְּבִי,
גבי,
גְּבִי,
גַּבְיָא,
גַּבְיָא,
גְּבִיהַּ,
גְּבִיהָא,
גַּבָּיוּת,
גַּבָּיוּתָא,
גְּבִיחַ,
גַּבַּיי,
גַּבְייָן,
גַּבְייַת,
גְּבִיל,
גְּבִילָה,
גְּבִין,
גָּבִין,
גְּבִינָא,
גְּבִינָא,
גְּבִינִי,
גְּבִינְתָּה,
גְּבִיעָא,
גְּבִיעָה,
גְּבִירָה,
גָּבַל,
גִּיבֵּל,
גְּבַל,*
גַּבֵּל,
גַּבָּל,
גְּבַל,
גַּבְלָא,
גַּבָּלָא,
גַּבְלוּל,
גִּבְלִית,
גַּבְלָן,
(גָּבַן) גִּבֵּן,
גִּבְנָא,
גַּבְנוּן,
גִּבְנוֹנִי,
גִֹּבְסִים,
"גְּבַע , אַגְּבַּע",
גִּבְעוֹל·–,
גִּבְעֲתָא,
גָּבַר,
גְּבַר,
גַּבֵּר,
גֶּבֶר·–,
"גְּבַר, גַּבְרָא",
גִּבָּרָא,
גִּבָּרוּתָא,
גַּבְרִית,
גְּבַרְתָּא,
גְּבַרְתָּן,
גְּבַרְתָּנִית,
"גָּבַשׁ, גִּבֵּשׁ",
גְּבַשׁ,*
גַּבְשׁוּשִׁין,
"גַּבְשׁוּשִׁ‬ית, גַּבְשׁוּשׁיתָא",
גַּבַּת,
גָּג,
גַּגּוֹת צְרִיפִין,
גַּד,
גַּד,
גֵּד,
גַּד,
גַּדָּא,
גַּדַּאי,
גדבל [גַּרְבֵּל],
גְּדָבְרָא,
גַּדְגַּדְנִית,
גדגלידא,
גָּדַד,
גָּדוּד,
גִּדֵּד,*
גֹּדֵּד,
גְּדַד,
גָּדָד,
גְּדוּד,
"גְּדוּדָא, גִּדּוּדָא",
גְּדוּדִי,
גְּדוּדֵי,
גְּדוּדִית,
גְּדוּדְקִי,
גְּדוּדְתָה,
גָּדוֹל,
גְּדוֹל הָעוֹלָמִים,
גְּדוֹלֵי רוֹמִי,
גְּדוֹלִים,
גִּדּוּל,*
גִּדּוּף,
גַּדּוּפִי,
גִּדּוּר,
גְּדוֹר,
גְּדוּרָה,
גָּדוּשׁ,
גְּדֵּי,
גְּדִי,
גַּדְ‬יָא,
גַּדַּיָא,
גדיאן [נַדְיָאן],
גדיגוד [גְדָייוֹ],
גְּדִידָה,
גְּדִידִים,
גְּדִיָּה,
גַּדְיָיתָא,
גָּדֵיל,
גָּדִיל,
גְּדִיל,
גְּדִילָא,
גְּדִילָה,
גְּדִילוּ,
גְּדִילְתָּא,
גַּדִּיפִין,
גָּדֵיר,
"גְּדֵירָא, גָּדֵירָא",
גְּדֵירָה,
גְּדִישׁ,
גַּדֵּ‬ישׁ,
גְּדִישָׁא,
גְּדִישׁוּתָא,
גָּדַל · – הִגְדִּיל,
גָּדַל,*
גְּדַל,
גַּדֵּל,
גְּדַל,
גַּדֵּל,
גִּדָּל,
גִּדָּלוֹן,
גַּדְּלַיי,
גַּדֶּלֶת,
גָּדַם,
גִּדֵּם,
גְּדָנְפָא,
גְּדַע,
גָּדַף,
"גִּדֵּף, גִּידֵּף",
"גַּדֵּיף, גְּדַף,",*
גַּדְפָא,
גדפה,
גַּדְפִי,
גַּדְּפָן,
גַּדְפָנָא,
גָּדַר,
גִּידֵּר,
גְּדַר,*
גֶּדֶר,
"גַּדְרָאנֵיה (גַּדְּרָנֵיה), – [אנא גַּדְּרָא ליה]",
גדרסן [גַּרְדָּאִין],
גדרפוס,
גָּדֵשׁ,
גָּדַשׁ,
גָּדוּשׁ,*
"גְּדַשׁ, גֵּדֵּש",
ג״ה,
"גהא״ה, גזרינן",
גָּהָה,
גְּהַט,
גֵּהִינָּם,
גהיקן,
גה״כ,
גה״נ,
גָּהַץ,
גִּיהֵץ,
"גָּהַק, גִּיהֵק,",*
גַּהַר,
גּוֹ,
גַּו,
גֵּו,
גַּוָּא,
גַּוָּא,
גַּוָּאָה,
גַּוָּאזָא,
גַּוָּאִי,
גּוֹאֲלָה,
גּוּאַלְקָא,
גַּוָּאן,
"גּוּב, גַּיּיֵב",
גּוֹב,*
גּוּב,
גּוּבָּא,
גּוֹבָא,
גובאה [גוֹבְהָא],
"גּוֹבַאי, גּוֹבָאִי",
גּוֹבָאֵי,*
גּוֹבְבָתָא,
גּוֹבַהּ,
גּוֹבְהָא,
גּוֹבִי,
גּוֹבַיָּא,
גּוֹבַיי,
גּוֹבַייְנָא,
גּוּבִּיתָא,
גּוֹבֶל,
גּוּבְלָא,
גּוּבְלָאֵי,
גּוּבְלִית,
גּוּבְלָנָא,
גּוּבְנָא,
גּוֹבָנִי,
גּוֹבְעִין (גוביהן),
גּוּבְרָא,
גּוּבְשָׁא,
גּוּבְתָּא,
גּוּבְתָּא,
גוגייתיה [גִּיגִיָּיתָא],
גּוֹגַּלְתָּא,
גּוּגְמֵי,
גּוֹד,
גּוּד,
"גּוֹד, גּוּד",
גּוּד אוֹ אָגּוֹד,*
גּוֹדָא,
גּוּדָא,
"גּוּדְגָּדָא, גּוּדְגָּדָה",
גּוּדְגַּדִּין,
גודיזין,
גּוֹדֶל,
גּוּדָל,
גּוֹדְלָנָא,
גּוֹדֶלֶת,
גּוּדְמָא,
גּוּדַּע,
גּוֹדְפָן,
גּוֹדְרוֹת,
גּוּדְרִיתָא,
גּוֹדֶשׁ,
גּוּדְ‬שָׁא,
גּוּהָא,
גּוּהַר,
גּוּהַרְקָא,
"גַּוָּוא, גַּוָּואָה",
גַּוָּואזָא,
גַּוָּוזָא,
גְּווִיָּה,
גווכיא,
גַּווְלָנָא,
גְּווַלְקָא,
"גַּוָּון גַּוָּן, גַּוְנָא, גַּווְנָא",
גִּווֵן,*
גּוּז,
גּוּזָא,
גּוֹזָא,
גַּוְּזָאָה,
גּוֹזְזִין,
גּוֹזָל,
גּוֹזָלָא,
גּוֹזְלָן,
גּוּזְמָא,
גַּוְזַנְיָא,
גּוֹזֵר,
גּוֹזְרָיָא,
גּוּזַרְתָּא,
גּוּחַ,
גּוּחֲכָא,
"גוטא, גוטה, גוטי, גוטס [גּוֹסֶה]",
גּוֹי,
גְּוִי,
"גַּוְיָא, גַּוְיָאתָ‬א",
גְּוִיָּא,*
גּוֹיָה,
גְּוִיָּה,
גְּוִיָּיה,
גְּוִייְתָא,
גְּוִיל,
גְּוִילָא,
גְּוִיעָה,
גְּוִיתָא,
גּוּל,
גּוֹל,
גַּוְלָא,
גּוּלָאֵי,
גּוּלְבָּא,
גּוּלְבִּינָא,
גּוּלְגּוֹלֶת,
גולגוקין [גַּלְגְּיוֹלִין],
גולגית,
גּוּלְגְּלָא,
גּוּלְגּלֶֹת,
גּוּלְגַּלְתָּא,
גול͏גסיים [גַּלִּגָאסִין],
גּוּלְדָּנָא,
גּוֹלָה,
גולהא׳ גולהי,
גּוֹלְיָא,
גּוּלְייָר,
גּוּלִילָא,
גוליקוס,
גּוֹלְיְתָא,
גולכ״כ,
"גּוֹלֵל, גּוֹלְלָא",
גּוֹלֶם,
גּוֹלְמָא,
גולמו הרג,
גּוֹלָמִי,
גּוֹלָמִישׁ,
גּוֹלָנִית,
גּוּלְפָא,
גּוּלְקָא,
"גּוֹלְתָא, גּוֹלְתָה",
גו״מ,
גּוּם,*
גּוֹמֶא,
גּוּמָא,
גּוֹמֶד,
גּוּמִי,
גומיא,
גּוּמָל,
גּוּמְלָא,
גּוֹמָמִית,
גומנני,
גּוּמָסִית,
גּוּמְצָא,
"גּוּמְרָא, גּוּמְרָה",
גּוּמַרְתָּא,
גּוּמְתָא,
גו״נגוף ונשמה.,
"גּוּן, הֵגִין",*
"גַּוָּן, גּוֹן, גַּוָנָא",*
גּוֹנְבָא,
גּוֹנְבָה,
גּוּנְבְּרָא,
גּוֹנֶבֶת,
גּוּנְדָּא,
גּוּנְדָּא,
גּוּנְדְלִית,
גּוּנְדְרָא [גְּרוּנְרָא],
גּוּנְדְרִיתָא,
גּוּנִי,
גּוּנְיָא,
גוניסר,
גּוּנְכָא,
גּוּנְתָּאִי,
גו״ס,
גּוּס,
(גּוּס) הֵגִיס,
גּוּס,*
גּוּס,
גּוֹסִי,
גוסין,
גּוֹסֵסֹ,
גוסרדליא,
גָּוַע,
גּוּף,
גִּיּיֵף,
גּוּף,*
"גַּייֵף פַקל,",
גּוּף,*
גּוּפָא,
גּוּפָא,
גּוֹפֶן,
גּוּפָן,
"גּוֹפַן, גּוּפְנָא",
גּוֹפְנָא,
גּוֹפֶר,
גּוּפְרִיתָא,
גּוּפְתָא,
גּוּפְתָּייָה,
גּוּץ,
גּוּץ,
גּוּצָה,
גּוּר,
גּוּר,
גַּיּיֵר,
גּוּר,*
גַּיּיֵר,
גּוּר· – גּוּרָא,*
גּוּרְגָּא,
גורגדנא,
גּוּרְגּוֹס,
גּוּרְגּוּתְנִי,
גּוּרְגָּנָא,
גּוּרְגְּרָן,
"גורדיון, גּוֹרְדְּייָנִי",
גורדייתא,
גּוּרְדְּיָנוֹן,
גּוּרְדְּלִי,
גורזקי,
גּוּרְיָא,
גּוּרְיָה,
"גּוּרְיוֹן, גּוּרְייָן, גּוּרְיָן",
"גּוּרְיְתָא, גּוּרְייְתָא",
גּוֹרֶן,
גּוּרְנָא,
גּוּרְסַק,
"גּוּשׁ, אָגֵיש",
גּוּשׁ,*
גּוּשׁ חָלָב,
גּוּשׁ חֶלְבָּאֵי,
גּוּשָׁא,
גּוּשְׁמָא,
"גושפנא, גּוּשְׁפַּנְקָא",
גּוּשְׁפְּקֵי,
גּוּשְׁקְרָא,
"גּוּתָאִי, גּוּתָיָא",
גּוּתְ‬ייָא,
גַּוְתָנָא,
ג״ז,
גַּז,
"גַּז, גַּזָא",
"גִּזָא, גַּזָא",
גזא דפטי,
גָּזָא,*
גְּזָא,
"גִּזְבָּר, גִּזְבָּרָא",
גז״ד,
גז״ה,
"גְּזוּזְטְרָא, גְּזוּזְטְרָה",
"גְּזוּזְטְרִית, גְּזוֹזְטְרִית",
גְּזוֹלָא,
גַּזּוֹמָא,
גְּזוּסְטְרָא,
גָּזוֹרָא,
גְּזוֹרָאָה,
גְּזוּרָה,
גְּזוֹרִי,
גְּזוּרְתָּא,
גָּזַז· – נִגְזַז,
גְּזַז,*
גַּזָּז,
גְּזֵי,
גַּזֵי,
גְּזִיב,
גְּזִיזָא,
גְֹּזִיזָה,
גַּזְייָתָא,
גָּזֵיל,
"גָּזֵילָא, גְּזֵילָא",
גְּזֵילָה,
גְּזֵילוּת,
גְּזִים,
גְּזִיר,
גְּזֵירָא,
גְּזֵירָה,
גזירה,
"גְזִירִפַּטֵּי, גְזִירִפַּטֵּי",
גְּזֵירְתָא,
גָּזִית·– לִשְׁכַּת הַגָּזִית,
גָּזַל ·– נִגְזַל,
גז״ל,*
גְּזַל,
גזל״ג,
גזל״ג,
גַּזְלָן,
גַּזְלָנָא,
גַּזְלָנוּתָא,
גְּזֵלָתָא,
"גָּזַם, גִּזֵּם",
"גְּזַם, גַּזֵּם",
גֶּזַע.– גֶּזַע יְשִׁישִׁים,
(גזף) אּיגְזֵף,
גָּזַר,
גְּזַר,
גְּזַר קְייָמָא,
גָּזָר,*
גִּזְרָא,
גִּזְרָא,
גְּזָרָאֵי,
גְּזֵרָה,
גְּזֵרָה שָׁוָה,
גז״ש,
ג״ח,
גָּחָה,
גְּחִיךְ,
גְּחִין,
גְּחַךְ,
גַּחֵךְ,
גַּחֲכָן,
גַּחֲמוּן,
"גָּחַן, גְּחַן",
גַּחַר,
ג״ט,
גֵּט,
גֵּט חוֹב,
גֵּט חֲלִיצָה,
גֵּט מִיאוּן,
גֵּט מְעוּשֶׂה,
גטורין,
גי׳,
ג״י,
גֵּיאֶה,
גֵּיאָה,
"גֵּיאוּתָא, גֵּיאיוּתָא",
גַּיָּארָא,
"גִּיב, גַּיֵּיב",
גִּיב,*
גִּיבְבָא,
גִּיבּוּי,
גִּיבּוּל,
גִּיבְלֵי,
גִּיבְנָא,
גיבסם,
"גִּיבַּר, גִּיבָּרָא",
גִּיבָּרָא,
גִּיבָּרוּתָא,
גִּיבְתּוֹן,
גִּיגִּית,
גִּיגִּיתָא,
גִּיגַּל,
גִּיגַנְטוֹן,
גִּיד,
גִּידָא,
גִּידָּא,
גִּידָּא,
גִּדְדָא,*
גִּידוֹ,
גִּידּוֹד,
"גִּידּוּד, גִּידּוּדָא",
גִּידּוּל,
גִּידּוֹל,
גידומי,
גִּידּוּנִין,
גִּידּוּעַ,
גִּידּוּף,
גִּידּוּפָא,
גִּידּוּר,
גִּידָּל,
גִּידֵּל,
גִּידֵּם,
גִּידְמָא,
גידרונא,
גִּיהַּ,
גִּיהָא,
גִּיהוּץ,
גִּיהְיָא,
גֵּיהִנָּם,
גִּיהַר,
גֵּיו,
גיובריא [גִּינְבָּרַיָא],
גֵּיוָה,
גֵּיווָטָאֵי,
גֵּיווְתָן,
גַּיּוּס,
גַּיּוֹפָא,
"גִּיּוֹר, גִּיּוֹרָא",
גַּיּוֹרָא (גִּיּוֹרָא),
גִּיּוּרָא,*
גִּיּוֹרֵי (בַּר גִּיּוֹרֵי),
גִּיּוֹרֶת,
גִּיּוֹרְתָּא,
גַּיּוֹרְתָּא (גִּיּוֹרְתָּא),
"גַּיּוּת, גַּיּוּתָא",
גֵּיוְתָא,
גֵּיוְתָן,
גֵּיוֹתָנָא,
גֵּיוְתָנוּתָא,
גִּיזָא,
"גִּיזְבָּר, גִּיזְבָּרָא",
גִּיזָּה,
גִּיזָה,
גִּיזוּזָא,
גִּיזוּם,
גִּיזוּמָא,
גִּיזִיּוֹת,
גִּיזִין,
גִּיזְמָא,
גֶּיזֶר,
גִּיזְרָא,
גִּיזְרָה,
גיזריפטי,
גִּיזְתָא,
גֵּיזְתַּיָא,
גִּיחַ,
גִּיחוּךְ,
גִּיחוּכָא,
גִּיחוֹר,
גִּיחוֹרָא,
גִּיחְיָא,
גִּיחֲכָא,
"גֵּיט, גִּיטָא",
גִּיטִין,
גְּייֵ,
גִּיּיֵּד,
גַּייְדוֹר,
גָּייֵס,
גַּיָּיס,
"גִּיּיֵס, גַּיּיֵס",
