Siman #,Number of Peleti Tags,Number of Peleti Comments,,,,
5,5,6,,,,
30,3,2,,,,
32,6,5,,,,
35,5,6,,,,
37,16,17,,,,
55,2,5,,,,
65,6,5,,,,
70,22,21,,,,
73,3,2,,,,
82,8,7,,,,
104,6,0,,,,
106,11,12,,,,
111,31,30,,,,
