"['Makkot 7b:2', 'Mishneh Torah, Murderer and the Preservation of Life 6:10']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 286:25:1', 'Shulchan Arukh, Orach Chayim 286:3']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 288:6:1', 'Shulchan Arukh, Orach Chayim 288:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 288:7:1', 'Shulchan Arukh, Orach Chayim 288:2']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 288:8:1', 'Shulchan Arukh, Orach Chayim 288:2']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 288:17:1', 'Shulchan Arukh, Orach Chayim 288:4']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 288:44:1', 'Shulchan Arukh, Orach Chayim 288:4']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 288:53:1', 'Shulchan Arukh, Orach Chayim 288:5']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 288:56:1', 'Shulchan Arukh, Orach Chayim 288:5']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 289:17:1', 'Shulchan Arukh, Orach Chayim 289:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 289:18:1', 'Shulchan Arukh, Orach Chayim 289:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 291:12:1', 'Shulchan Arukh, Orach Chayim 291:2']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 291:30:1', 'Shulchan Arukh, Orach Chayim 291:5']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 291:31:1', 'Shulchan Arukh, Orach Chayim 291:5']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 292:23:1', 'Shulchan Arukh, Orach Chayim 292:2']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 295:17:1', 'Shulchan Arukh, Orach Chayim 295:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 296:14:1', 'Shulchan Arukh, Orach Chayim 296:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 297:19:1', 'Shulchan Arukh, Orach Chayim 297:2']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 298:26:1', 'Shulchan Arukh, Orach Chayim 298:5']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 298:27:1', 'Shulchan Arukh, Orach Chayim 298:5']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 298:52:1', 'Shulchan Arukh, Orach Chayim 298:11']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 298:53:1', 'Shulchan Arukh, Orach Chayim 298:11']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 298:74:1', 'Shulchan Arukh, Orach Chayim 298:15']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 299:11:1', 'Shulchan Arukh, Orach Chayim 299:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 299:14:1', 'Shulchan Arukh, Orach Chayim 299:2']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 299:50:1', 'Shulchan Arukh, Orach Chayim 299:10']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 299:55:1', 'Shulchan Arukh, Orach Chayim 299:10']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 301:46:1', 'Shulchan Arukh, Orach Chayim 301:8']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 301:61:1', 'Shulchan Arukh, Orach Chayim 301:11']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 301:82:1', 'Shulchan Arukh, Orach Chayim 301:13']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 301:83:1', 'Shulchan Arukh, Orach Chayim 301:14']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 301:84:1', 'Shulchan Arukh, Orach Chayim 301:14']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 301:199:1', 'Shulchan Arukh, Orach Chayim 301:34']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 301:221:1', 'Shulchan Arukh, Orach Chayim 301:37']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 301:238:1', 'Shulchan Arukh, Orach Chayim 301:40']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 301:271:1', 'Shulchan Arukh, Orach Chayim 301:46']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 301:272:1', 'Shulchan Arukh, Orach Chayim 301:46']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 301:273:1', 'Shulchan Arukh, Orach Chayim 301:47']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 302:62:1', 'Shulchan Arukh, Orach Chayim 302:9']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 302:100:1', 'Shulchan Arukh, Orach Chayim 302:13']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 302:101:1', 'Shulchan Arukh, Orach Chayim 302:13']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 303:53:1', 'Shulchan Arukh, Orach Chayim 303:14']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 303:56:1', 'Shulchan Arukh, Orach Chayim 303:14']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 303:57:1', 'Shulchan Arukh, Orach Chayim 303:14']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 303:58:1', 'Shulchan Arukh, Orach Chayim 303:14']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 304:4:1', 'Shulchan Arukh, Orach Chayim 304:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 305:36:1', 'Shulchan Arukh, Orach Chayim 305:11']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 306:48:1', 'Shulchan Arukh, Orach Chayim 306:6']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 306:95:1', 'Shulchan Arukh, Orach Chayim 306:12']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 306:107:1', 'Shulchan Arukh, Orach Chayim 306:14']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 306:108:1', 'Shulchan Arukh, Orach Chayim 306:14']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 307:17:1', 'Shulchan Arukh, Orach Chayim 307:2']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 307:42:1', 'Shulchan Arukh, Orach Chayim 307:5']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 307:90:1', 'Shulchan Arukh, Orach Chayim 307:12']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 307:99:1', 'Shulchan Arukh, Orach Chayim 307:14']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 307:143:1', 'Shulchan Arukh, Orach Chayim 307:21']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 308:85:1', 'Shulchan Arukh, Orach Chayim 308:10']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 308:94:1', 'Shulchan Arukh, Orach Chayim 308:11']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 308:114:1', 'Shulchan Arukh, Orach Chayim 308:15']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 308:172:1', 'Shulchan Arukh, Orach Chayim 308:25']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 308:194:1', 'Shulchan Arukh, Orach Chayim 308:29']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 308:218:1', 'Shulchan Arukh, Orach Chayim 308:34']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 308:229:1', 'Shulchan Arukh, Orach Chayim 308:38']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 308:230:1', 'Shulchan Arukh, Orach Chayim 308:38']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 309:21:1', 'Shulchan Arukh, Orach Chayim 309:4']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 309:22:1', 'Shulchan Arukh, Orach Chayim 309:4']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 310:43:1', 'Shulchan Arukh, Orach Chayim 310:7']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 311:33:1', 'Shulchan Arukh, Orach Chayim 311:2']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 311:34:1', 'Shulchan Arukh, Orach Chayim 311:2']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 311:35:1', 'Shulchan Arukh, Orach Chayim 311:2']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 311:36:1', 'Shulchan Arukh, Orach Chayim 311:2']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 311:37:1', 'Shulchan Arukh, Orach Chayim 311:3']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 312:45:1', 'Shulchan Arukh, Orach Chayim 312:10']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 314:60:1', 'Shulchan Arukh, Orach Chayim 314:7']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 314:61:1', 'Shulchan Arukh, Orach Chayim 314:7']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 314:76:1', 'Shulchan Arukh, Orach Chayim 314:10']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 315:30:1', 'Shulchan Arukh, Orach Chayim 315:3']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 315:79:1', 'Shulchan Arukh, Orach Chayim 315:13']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 316:107:1', 'Shulchan Arukh, Orach Chayim 316:11']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 317:10:1', 'Shulchan Arukh, Orach Chayim 317:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 317:38:1', 'Shulchan Arukh, Orach Chayim 317:2']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 317:53:1', 'Shulchan Arukh, Orach Chayim 317:4']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 317:68:1', 'Shulchan Arukh, Orach Chayim 317:7']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 318:120:1', 'Shulchan Arukh, Orach Chayim 318:11']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 318:123:1', 'Shulchan Arukh, Orach Chayim 318:12']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 318:156:1', 'Shulchan Arukh, Orach Chayim 318:16']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 319:14:1', 'Shulchan Arukh, Orach Chayim 319:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 319:15:1', 'Shulchan Arukh, Orach Chayim 319:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 319:30:1', 'Shulchan Arukh, Orach Chayim 319:3']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 319:31:1', 'Shulchan Arukh, Orach Chayim 319:3']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 319:36:1', 'Shulchan Arukh, Orach Chayim 319:3']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 319:37:1', 'Shulchan Arukh, Orach Chayim 319:3']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 319:38:1', 'Shulchan Arukh, Orach Chayim 319:3']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 319:77:1', 'Shulchan Arukh, Orach Chayim 319:9']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 319:90:1', 'Shulchan Arukh, Orach Chayim 319:10']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 319:91:1', 'Shulchan Arukh, Orach Chayim 319:10']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 319:112:1', 'Shulchan Arukh, Orach Chayim 319:14']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 320:34:1', 'Shulchan Arukh, Orach Chayim 320:5']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 320:75:1', 'Shulchan Arukh, Orach Chayim 320:13']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 320:101:1', 'Shulchan Arukh, Orach Chayim 320:18']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 320:102:1', 'Shulchan Arukh, Orach Chayim 320:18']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 320:103:1', 'Shulchan Arukh, Orach Chayim 320:18']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 320:104:1', 'Shulchan Arukh, Orach Chayim 320:18']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 320:113:1', 'Shulchan Arukh, Orach Chayim 320:19']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 320:121:1', 'Shulchan Arukh, Orach Chayim 320:20']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 321:42:1', 'Shulchan Arukh, Orach Chayim 321:7']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 321:112:1', 'Shulchan Arukh, Orach Chayim 321:16']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 322:10:1', 'Shulchan Arukh, Orach Chayim 322:4']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 323:2:1', 'Shulchan Arukh, Orach Chayim 323:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 323:44:1', 'Shulchan Arukh, Orach Chayim 323:7']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 323:45:1', 'Shulchan Arukh, Orach Chayim 323:7']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 323:46:1', 'Shulchan Arukh, Orach Chayim 323:7']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 323:47:1', 'Shulchan Arukh, Orach Chayim 323:7']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 323:48:1', 'Shulchan Arukh, Orach Chayim 323:7']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 323:57:1', 'Shulchan Arukh, Orach Chayim 323:7']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 323:58:1', 'Shulchan Arukh, Orach Chayim 323:7']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 323:59:1', 'Shulchan Arukh, Orach Chayim 323:7']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 324:1:1', 'Shulchan Arukh, Orach Chayim 324:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 325:25:1', 'Shulchan Arukh, Orach Chayim 325:3']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 325:48:1', 'Shulchan Arukh, Orach Chayim 325:5']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 325:90:1', 'Shulchan Arukh, Orach Chayim 325:9']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 325:93:1', 'Shulchan Arukh, Orach Chayim 325:9']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 325:121:1', 'Shulchan Arukh, Orach Chayim 325:11']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 326:1:1', 'Shulchan Arukh, Orach Chayim 326:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 326:2:1', 'Shulchan Arukh, Orach Chayim 326:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 326:20:1', 'Shulchan Arukh, Orach Chayim 326:3']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 327:4:1', 'Shulchan Arukh, Orach Chayim 327:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 328:13:1', 'Shulchan Arukh, Orach Chayim 328:3']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 328:25:1', 'Shulchan Arukh, Orach Chayim 328:4']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 328:71:1', 'Shulchan Arukh, Orach Chayim 328:12']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 328:72:1', 'Shulchan Arukh, Orach Chayim 328:12']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 328:110:1', 'Shulchan Arukh, Orach Chayim 328:17']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 328:143:1', 'Shulchan Arukh, Orach Chayim 328:22']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 328:238:1', 'Shulchan Arukh, Orach Chayim 328:42']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 329:2:1', 'Shulchan Arukh, Orach Chayim 329:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 329:3:1', 'Shulchan Arukh, Orach Chayim 329:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 329:6:1', 'Shulchan Arukh, Orach Chayim 329:2']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 329:12:1', 'Shulchan Arukh, Orach Chayim 329:3']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 330:48:1', 'Shulchan Arukh, Orach Chayim 330:8']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 331:39:1', 'Shulchan Arukh, Orach Chayim 331:5']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 331:40:1', 'Shulchan Arukh, Orach Chayim 331:5']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 331:71:1', 'Shulchan Arukh, Orach Chayim 331:10']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 334:47:1', 'Shulchan Arukh, Orach Chayim 334:9']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 334:67:1', 'Shulchan Arukh, Orach Chayim 334:12']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 334:89:1', 'Shulchan Arukh, Orach Chayim 334:17']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 334:96:1', 'Shulchan Arukh, Orach Chayim 334:21']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 335:26:1', 'Shulchan Arukh, Orach Chayim 335:4']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 339:8:1', 'Shulchan Arukh, Orach Chayim 339:3']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 339:26:1', 'Shulchan Arukh, Orach Chayim 339:4']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 339:37:1', 'Shulchan Arukh, Orach Chayim 339:4']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 339:46:1', 'Shulchan Arukh, Orach Chayim 339:4']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 340:27:1', 'Shulchan Arukh, Orach Chayim 340:3']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 340:42:1', 'Shulchan Arukh, Orach Chayim 340:4']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 343:1:1', 'Shulchan Arukh, Orach Chayim 343:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 343:4:1', 'Shulchan Arukh, Orach Chayim 343:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 343:21:1', 'Shulchan Arukh, Orach Chayim 343:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 344:13:1', 'Shulchan Arukh, Orach Chayim 344:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 345:16:1', 'Shulchan Arukh, Orach Chayim 345:4']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 345:21:1', 'Shulchan Arukh, Orach Chayim 345:5']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 345:22:1', 'Shulchan Arukh, Orach Chayim 345:6']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 345:23:1', 'Shulchan Arukh, Orach Chayim 345:6']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 345:24:1', 'Shulchan Arukh, Orach Chayim 345:6']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 345:123:1', 'Shulchan Arukh, Orach Chayim 345:19']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 346:46:1', 'Shulchan Arukh, Orach Chayim 346:3']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 348:4:1', 'Shulchan Arukh, Orach Chayim 348:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 350:3:1', 'Shulchan Arukh, Orach Chayim 350:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 353:1:1', 'Shulchan Arukh, Orach Chayim 353:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 353:4:1', 'Shulchan Arukh, Orach Chayim 353:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 354:14:1', 'Shulchan Arukh, Orach Chayim 354:2']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 355:30:1', 'Shulchan Arukh, Orach Chayim 355:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 358:6:1', 'Shulchan Arukh, Orach Chayim 358:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 358:7:1', 'Shulchan Arukh, Orach Chayim 358:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 358:27:1', 'Shulchan Arukh, Orach Chayim 358:2']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 358:105:1', 'Shulchan Arukh, Orach Chayim 358:13']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 358:106:1', 'Shulchan Arukh, Orach Chayim 358:13']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 360:1:1', 'Shulchan Arukh, Orach Chayim 360:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 360:2:1', 'Shulchan Arukh, Orach Chayim 360:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 360:23:1', 'Shulchan Arukh, Orach Chayim 360:2']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 361:15:1', 'Shulchan Arukh, Orach Chayim 361:2']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 362:4:1', 'Shulchan Arukh, Orach Chayim 362:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 362:38:1', 'Shulchan Arukh, Orach Chayim 362:4']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 362:87:1', 'Shulchan Arukh, Orach Chayim 362:10']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 362:109:1', 'Shulchan Arukh, Orach Chayim 362:11']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 363:12:1', 'Shulchan Arukh, Orach Chayim 363:2']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 363:45:1', 'Shulchan Arukh, Orach Chayim 363:7']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 451:229:1', 'Shulchan Arukh, Orach Chayim 451:19']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 363:122:1', 'Shulchan Arukh, Orach Chayim 363:22']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 451:284:1', 'Shulchan Arukh, Orach Chayim 451:24']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 363:166:1', 'Shulchan Arukh, Orach Chayim 363:26']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 451:295:1', 'Shulchan Arukh, Orach Chayim 451:25']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 451:298:1', 'Shulchan Arukh, Orach Chayim 451:26']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 363:179:1', 'Shulchan Arukh, Orach Chayim 363:26']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 451:300:1', 'Shulchan Arukh, Orach Chayim 451:26']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 451:308:1', 'Shulchan Arukh, Orach Chayim 451:26']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 363:188:1', 'Shulchan Arukh, Orach Chayim 363:26']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 363:198:1', 'Shulchan Arukh, Orach Chayim 363:29']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 363:201:1', 'Shulchan Arukh, Orach Chayim 363:29']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 363:210:1', 'Shulchan Arukh, Orach Chayim 363:29']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 363:226:1', 'Shulchan Arukh, Orach Chayim 363:31']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 452:29:1', 'Shulchan Arukh, Orach Chayim 452:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 453:25:1', 'Shulchan Arukh, Orach Chayim 453:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 364:32:1', 'Shulchan Arukh, Orach Chayim 364:5']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 453:29:1', 'Shulchan Arukh, Orach Chayim 453:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 453:39:1', 'Shulchan Arukh, Orach Chayim 453:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 453:87:1', 'Shulchan Arukh, Orach Chayim 453:5']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 453:103:1', 'Shulchan Arukh, Orach Chayim 453:8']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 366:7:1', 'Shulchan Arukh, Orach Chayim 366:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 366:9:1', 'Shulchan Arukh, Orach Chayim 366:2']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 453:118:1', 'Shulchan Arukh, Orach Chayim 453:9']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 366:23:1', 'Shulchan Arukh, Orach Chayim 366:2']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 366:94:1', 'Shulchan Arukh, Orach Chayim 366:10']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 366:111:1', 'Shulchan Arukh, Orach Chayim 366:10']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 366:124:1', 'Shulchan Arukh, Orach Chayim 366:13']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 455:54:1', 'Shulchan Arukh, Orach Chayim 455:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 455:98:1', 'Shulchan Arukh, Orach Chayim 455:5']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 370:15:1', 'Shulchan Arukh, Orach Chayim 370:2']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 370:25:1', 'Shulchan Arukh, Orach Chayim 370:3']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 457:19:1', 'Shulchan Arukh, Orach Chayim 457:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 457:26:1', 'Shulchan Arukh, Orach Chayim 457:1']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 457:72:1', 'Shulchan Arukh, Orach Chayim 457:2']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 459:60:1', 'Shulchan Arukh, Orach Chayim 459:4']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 372:37:1', 'Shulchan Arukh, Orach Chayim 372:5']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 372:52:1', 'Shulchan Arukh, Orach Chayim 372:6']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 460:35:1', 'Shulchan Arukh, Orach Chayim 460:4']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 372:112:1', 'Shulchan Arukh, Orach Chayim 372:13']"
"['Kaf HaChayim on Shulchan Arukh, Orach Chayim 373:6:1', 'Shulchan Arukh, Orach Chayim 373:1']"
