"['Makkot 7b:2', 'Mishneh Torah, Murderer and the Preservation of Life 6:10']"
"['Leviticus 7:19', 'Sefer HaMitzvot, Positive Commandments 90:1']"
"['Leviticus 7:17', 'Sefer HaMitzvot, Positive Commandments 91:1']"
"['Numbers 6:5', 'Sefer HaMitzvot, Positive Commandments 92:1']"
"['Mishneh Torah, Nazariteship 8', 'Sefer HaMitzvot, Positive Commandments 93:1']"
"['Deuteronomy 23:24', 'Sefer HaMitzvot, Positive Commandments 94:1']"
"['Numbers 30:3', 'Sefer HaMitzvot, Positive Commandments 95:1']"
"['Leviticus 11:39', 'Sefer HaMitzvot, Positive Commandments 96:1']"
"['Leviticus 11:34', 'Sefer HaMitzvot, Positive Commandments 98:1']"
"['Leviticus 15:19', 'Sefer HaMitzvot, Positive Commandments 99:1']"
"['Leviticus 12:2', 'Sefer HaMitzvot, Positive Commandments 100:1']"
"['Leviticus 13:2', 'Sefer HaMitzvot, Positive Commandments 101:1']"
"['Leviticus 15:16', 'Sefer HaMitzvot, Positive Commandments 105:1']"
"['Numbers 19:14', 'Sefer HaMitzvot, Positive Commandments 107:1']"
"['Leviticus 14:9', 'Sefer HaMitzvot, Positive Commandments 109:1']"
"['Hasagot HaRamban on Sefer HaMitzvot, Negative Commandments 69:1', 'Mishnah Middot 5']"
"['Hasagot HaRamban on Sefer HaMitzvot, Negative Commandments 73:1', 'Mishnah Kelim 1']"
"['Berakhot 20a', 'Hasagot HaRamban on Sefer HaMitzvot, Negative Commandments 353:1']"
"['Menachot 36b:9', 'Rosh on Menachot, Hilchot Tefilin 24:1']"
"['Menachot 36b:3', 'Rosh on Menachot, Hilchot Tefilin 25:1']"
"['Menachot 40b:13', 'Rosh on Menachot, Hilchot Tzitzit 8:1']"
"['Alshich on Torah, Deuteronomy 12:1:1-2', 'Deuteronomy 12:1']"
"['Alshich on Torah, Deuteronomy 16:18:1-7', 'Deuteronomy 16:18']"
"['Alshich on Torah, Deuteronomy 16:19:1-5', 'Deuteronomy 16:19']"
"['Alshich on Torah, Deuteronomy 22:8:1', 'Deuteronomy 22:8']"
"['Alshich on Torah, Deuteronomy 22:1:1-3', 'Deuteronomy 22:1']"
"['Alshich on Torah, Deuteronomy 24:19:1', 'Deuteronomy 24:19']"
"['Alshich on Torah, Deuteronomy 26:17:1', 'Deuteronomy 26:17']"
"['Alshich on Torah, Deuteronomy 32:32:1', 'Deuteronomy 32:32']"
"['Alshich on Torah, Deuteronomy 32:3:1-4', 'Deuteronomy 32:3']"
"['Alshich on Torah, Deuteronomy 33:7:1-3', 'Deuteronomy 33:7']"
"['Alshich on Torah, Exodus 3:1:1-4', 'Exodus 3:1']"
"['Alshich on Torah, Exodus 3:4:1-5', 'Exodus 3:4']"
"['Alshich on Torah, Exodus 14:19:1-17', 'Exodus 14:19']"
