I Kings 12:20,33
I Kings 13:1,2
I Kings 13:2,3
I Kings 13:3,4
I Kings 13:4,6
I Kings 13:5,16
I Kings 13:6,19
I Kings 13:7,21
I Kings 13:8,28
I Kings 13:9,32
I Kings 13:10,33
I Kings 13:11,34
I Kings 14:1,1
I Kings 14:2,4
I Kings 14:3,5
I Kings 14:4,9
I Kings 14:5,10
I Kings 14:6,11
I Kings 14:7,13
I Kings 14:8,14
I Kings 14:9,15
I Kings 14:10,16
I Kings 14:11,17
I Kings 14:12,19
I Kings 14:13,20
I Kings 14:14,21
I Kings 14:15,22
I Kings 14:16,24
I Kings 14:17,25
I Kings 14:18,30
I Kings 15:1,3
I Kings 15:2,4
I Kings 15:3,5
I Kings 15:4,6
I Kings 15:5,10
I Kings 15:6,12
I Kings 15:7,13
I Kings 15:8,14
I Kings 15:9,15
I Kings 15:10,17
I Kings 15:11,18
I Kings 15:12,20
I Kings 15:13,21
I Kings 15:14,22
I Kings 15:15,23
I Kings 15:16,24
I Kings 15:17,25
I Kings 15:18,27
I Kings 16:1,1
I Kings 16:2,3
I Kings 16:3,4
I Kings 16:4,6
I Kings 16:5,7
I Kings 16:6,9
I Kings 16:7,11
I Kings 16:8,13
I Kings 16:9,24
I Kings 16:10,28
I Kings 16:11,30
I Kings 16:12,31
I Kings 16:13,34
I Kings 17:1,1
I Kings 17:2,3
I Kings 17:3,4
I Kings 17:4,9
I Kings 17:5,12
I Kings 17:6,17
I Kings 17:7,18
I Kings 17:8,20
I Kings 17:9,21
I Kings 17:10,22
I Kings 18:1,1
I Kings 18:2,3
I Kings 18:3,5
I Kings 18:4,8
I Kings 18:5,11
I Kings 18:6,12
I Kings 18:7,15
I Kings 18:8,17
I Kings 18:9,18
I Kings 18:10,19
I Kings 18:11,21
I Kings 18:12,26
I Kings 18:13,27
I Kings 18:14,28
I Kings 18:15,29
I Kings 18:16,30
I Kings 18:17,32
I Kings 18:18,34
I Kings 18:19,36
I Kings 18:20,38
I Kings 18:21,39
I Kings 18:22,40
I Kings 18:23,41
I Kings 18:24,42
I Kings 18:25,43
