Ref 1,Ref 2,Found a Better Match?,New Match Ref 1,New Match Ref 2
Tosafot on Bekhorot 47a:15:2,Yevamot 62a:11,disambiguator found a better match,Tosafot on Bekhorot 47a:4:2,Yevamot 62a:11
Tosafot on Bekhorot 47a:15:2,Sanhedrin 59b:3,disambiguator found a better match,Tosafot on Bekhorot 47a:4:2,Sanhedrin 59b:3
Tosafot on Keritot 25a:37:1,Kiddushin 57a:6,disambiguator found a better match,Tosafot on Keritot 25a:11:1,Kiddushin 57a:6
Rashi on Bekhorot 9b:57:4,Chullin 117b:8,disambiguator found a better match,Rashi on Bekhorot 9b:21:4,Chullin 117b:8
Tosafot on Niddah 61b:7:1,Berakhot 18a:13,disambiguator found a better match,Tosafot on Niddah 61b:3:3,Berakhot 18a:13
Tosafot on Niddah 61b:7:1,Menachot 41a:18,disambiguator found a better match,Tosafot on Niddah 61b:3:3,Menachot 41a:18
Rashi on Bekhorot 57a:26:3,Temurah 28a:14,disambiguator found a better match,Rashi on Bekhorot 57a:10:3,Temurah 28a:14
Likutei Moharan 108:2,Berakhot 61a:5,disambiguator found no match
Tosafot on Bekhorot 56b:7:1,Bava Kamma 70b:17,disambiguator found a better match,Tosafot on Bekhorot 56b:3:1,Bava Kamma 70b:17
Tosafot on Berakhot 62a:10:1,Ketubot 65a:9,disambiguator found no match
Tosafot on Bekhorot 12b:26:1,Menachot 84a:4,disambiguator found a better match,Tosafot on Bekhorot 12b:13:1,Menachot 84a:4
Tosafot on Bekhorot 13b:36:1,Yevamot 37a:3,disambiguator found a better match,Tosafot on Bekhorot 13b:12:1,Yevamot 37a:3
Tosafot on Bekhorot 13b:36:1,Bava Metzia 48a:4,disambiguator found a better match,Tosafot on Bekhorot 13b:12:1,Bava Metzia 48a:4
Tosafot on Bekhorot 13b:36:1,Bava Metzia 47b:15,disambiguator found a better match,Tosafot on Bekhorot 13b:12:1,Bava Metzia 47b:15
Rashi on Niddah 24a:51:1,Chullin 111b:14,disambiguator found a better match,Rashi on Niddah 24a:15:1,Chullin 111b:14
Tosafot on Niddah 52a:30:1,Yevamot 100b:17,disambiguator found a better match,Tosafot on Niddah 52a:16:1,Yevamot 100b:17
Tosafot on Niddah 52a:30:1,Bava Batra 156a:6,disambiguator found a better match,Tosafot on Niddah 52a:16:1,Bava Batra 156a:6
Tosafot on Niddah 52a:30:1,Ketubot 72b:14,disambiguator found a better match,Tosafot on Niddah 52a:16:1,Ketubot 72b:14
Tosafot on Niddah 52a:30:1,Ketubot 73a:2,disambiguator found a better match,Tosafot on Niddah 52a:16:1,Ketubot 73a:2
