Ref 1,Ref 2,Found a Better Match?,New Match Ref 1,New Match Ref 2
Tosafot on Niddah 16b:46:1,Ketubot 30a:8,disambiguator found a better match,Tosafot on Niddah 16b:13:1,Ketubot 30a:8
Tosafot on Niddah 16b:46:1,Berakhot 10a:28,disambiguator found a better match,Tosafot on Niddah 16b:13:1,Berakhot 10a:28
Tosafot on Niddah 50a:41:1,Chullin 128a:11,disambiguator found a better match,Tosafot on Niddah 50a:15:1,Chullin 128a:11
Rashi on Niddah 58a:26:1,Shabbat 64a:3,disambiguator found a better match,Rashi on Niddah 58a:10:2,Shabbat 64a:3
Rashi on Bekhorot 13b:16:1,Bava Kamma 113b:7,disambiguator found a better match,Rashi on Bekhorot 13b:6:1,Bava Kamma 113b:7
Tosafot on Bekhorot 23a:16:1,Zevachim 78a:5,disambiguator found a better match,Tosafot on Bekhorot 23a:5:1,Zevachim 78a:5
Tosafot on Bekhorot 23a:16:1,Chullin 124b:9,disambiguator found no match
Rashi on Bekhorot 22a:35:3,Chullin 70b:1,disambiguator found a better match,Rashi on Bekhorot 22a:7:4,Chullin 70b:1
Netzach Yisrael 9:20,Bava Batra 8a:9,disambiguator found a better match,Netzach Yisrael 9:19,Bava Batra 8a:9
Netzach Yisrael 9:20,Bava Batra 8b:2,disambiguator found a better match,Netzach Yisrael 9:19,Bava Batra 8b:2
Rashi on Meilah 19a:29:1,Pesachim 29a:13,disambiguator found a better match,Rashi on Meilah 19a:11:2,Pesachim 29a:13
Rashi on Niddah 42a:26:1,Ketubot 61b:2,disambiguator found a better match,Rashi on Niddah 42a:13:1,Ketubot 61b:2
Rashi on Bekhorot 60b:66:1,Zevachim 75b:13,disambiguator found a better match,Rashi on Bekhorot 60b:21:1,Zevachim 75b:13
"Sefer HaTashbetz, Part II 295:4",Yevamot 66b:1,disambiguator found a better match,"Sefer HaTashbetz, Part II 295:3",Yevamot 66b:1
Rashi on Arakhin 7b:19:1,Sanhedrin 112a:14,disambiguator found a better match,Rashi on Arakhin 7b:6:1,Sanhedrin 112a:14
Tosafot on Bekhorot 8a:38:1,Berakhot 40a:14,disambiguator found a better match,Tosafot on Bekhorot 8a:12:2,Berakhot 40a:14
Tosafot on Bekhorot 20a:34:1,Berakhot 31a:26,disambiguator found a better match,Tosafot on Bekhorot 20a:9:1,Berakhot 31a:26
Tosafot on Bekhorot 20a:34:1,Avodah Zarah 34b:6,disambiguator found a better match,Tosafot on Bekhorot 20a:9:1,Avodah Zarah 34b:6
Tosafot on Bekhorot 20a:34:1,Bava Metzia 55b:3,disambiguator found a better match,Tosafot on Bekhorot 20a:9:1,Bava Metzia 55b:3
Rashi on Bekhorot 21a:2:4,Bekhorot 57b:6,disambiguator found no match
Tosafot on Niddah 47a:14:1,Yevamot 81a:7,disambiguator found a better match,Tosafot on Niddah 47a:8:1,Yevamot 81a:7
Tosafot on Temurah 28b:33:1,Avodah Zarah 23b:8,disambiguator found a better match,Tosafot on Temurah 28b:14:1,Avodah Zarah 23b:8
Tosafot on Bekhorot 17b:5:1,Chullin 70a:15,disambiguator found a better match,Tosafot on Bekhorot 17b:1:1,Chullin 70a:15
Tosafot on Niddah 48b:29:1,Yevamot 105b:9,disambiguator found a better match,Tosafot on Niddah 48b:12:1,Yevamot 105b:9
Tosafot on Niddah 48b:29:1,Bava Batra 155a:4,disambiguator found a better match,Tosafot on Niddah 48b:12:1,Bava Batra 155a:4
Tosafot on Bekhorot 51b:24:2,Ketubot 97a:10,disambiguator found a better match,Tosafot on Bekhorot 51b:6:2,Ketubot 97a:10
Tosafot on Temurah 19b:28:1,Menachot 48b:5,disambiguator found a better match,Tosafot on Temurah 19b:11:1,Menachot 48b:5
Tosafot on Temurah 6a:15:1,Bava Metzia 31b:4,disambiguator found a better match,Tosafot on Temurah 6a:7:1,Bava Metzia 31b:4
Tosafot on Temurah 6a:15:1,Bava Metzia 116a:5,disambiguator found a better match,Tosafot on Temurah 6a:7:1,Bava Metzia 116a:5
Tosafot on Temurah 6a:15:1,Bava Metzia 115a:17,disambiguator found a better match,Tosafot on Temurah 6a:7:1,Bava Metzia 115a:17
Tosafot on Meilah 8a:5:20,Zevachim 44a:18,disambiguator found a better match,Tosafot on Meilah 8a:4:16,Zevachim 44a:18
Tosafot on Meilah 8a:5:20,Zevachim 43a:2,disambiguator found a better match,Tosafot on Meilah 8a:4:20,Zevachim 43a:2
Tosafot on Meilah 8a:5:20,Temurah 14b:8,disambiguator found a better match,Tosafot on Meilah 8a:4:20,Temurah 14b:8
Tosafot on Arakhin 10a:17:1,Shabbat 35b:7,disambiguator found a better match,Tosafot on Arakhin 10a:5:1,Shabbat 35b:7
Tosafot on Niddah 40a:42:1,Pesachim 58b:11,disambiguator found a better match,Tosafot on Niddah 40a:19:1,Pesachim 58b:11
Tosafot on Kiddushin 4b:12:1,Kiddushin 16a:2,disambiguator found no match
Tosafot on Bekhorot 19a:12:1,Chullin 88b:11,disambiguator found a better match,Tosafot on Bekhorot 19a:4:1,Chullin 88b:11
Tosafot on Meilah 16b:5:1,Chagigah 11a:12,disambiguator found a better match,Tosafot on Meilah 16b:2:1,Chagigah 11a:12
Tosafot on Yoma 37b:1:1,Berakhot 26a:13,disambiguator found a better match,Tosafot on Yoma 37b:3:1,Berakhot 26a:13
Tosafot on Yoma 37b:1:1,Berakhot 22b:14,disambiguator found a better match,Tosafot on Yoma 37b:3:1,Berakhot 22b:14
Tosafot on Yoma 37b:1:1,Berakhot 25b:3,disambiguator found a better match,Tosafot on Yoma 37b:3:1,Berakhot 25b:3
Tosafot on Yoma 37b:1:1,Berakhot 29b:9,disambiguator found a better match,Tosafot on Yoma 37b:3:1,Berakhot 29b:9
"Beit Yosef, Orach Chaim 329:18:1",Arakhin 7a:21,disambiguator found no match
Mefaresh on Tamid 29a:7:3,Yoma 24b:9,disambiguator found a better match,Mefaresh on Tamid 29a:3:7,Yoma 24b:9
Rashi on Keritot 21b:7:1,Chullin 125a:5,disambiguator found a better match,Rashi on Keritot 21b:4:1,Chullin 125a:5
Rashi on Berakhot 15a:14:2,Pesachim 7b:9,disambiguator found a better match,Rashi on Berakhot 15a:14:1,Pesachim 7b:9
Tosafot on Temurah 33b:5:1,Meilah 19b:9,disambiguator found a better match,Tosafot on Temurah 33b:3:1,Meilah 19b:9
Tosafot on Niddah 73a:40:1,Berakhot 31a:12,disambiguator found a better match,Tosafot on Niddah 73a:15:1,Berakhot 31a:12
Tosafot on Niddah 65a:33:1,Bava Batra 67b:3,disambiguator found a better match,Tosafot on Niddah 65a:12:1,Bava Batra 67b:3
Tosafot on Niddah 65a:33:1,Bava Batra 67b:2,disambiguator found a better match,Tosafot on Niddah 65a:12:1,Bava Batra 67b:2
Tosafot on Niddah 65a:33:1,Sanhedrin 26a:10,disambiguator found a better match,Tosafot on Niddah 65a:12:1,Sanhedrin 26a:10
Tosafot on Niddah 65a:33:1,Bava Metzia 74a:11,disambiguator found a better match,Tosafot on Niddah 65a:12:1,Bava Metzia 74a:11
Tosafot on Niddah 65a:33:1,Bava Kamma 115b:4,disambiguator found a better match,Tosafot on Niddah 65a:12:1,Bava Kamma 115b:4
Netzach Yisrael 40:13,Sanhedrin 98b:16,disambiguator found a better match,Netzach Yisrael 40:12,Sanhedrin 98b:16
Tosafot on Niddah 36a:17:1,Ketubot 37a:1,disambiguator found a better match,Tosafot on Niddah 36a:9:1,Ketubot 37a:1
Tosafot on Meilah 3b:16:1,Zevachim 28b:13,disambiguator found a better match,Tosafot on Meilah 3b:8:1,Zevachim 28b:13
"Kessef Mishneh on Mishneh Torah, Sabbath 18:17:1",Shabbat 146b:9,disambiguator found no match
Chidushei Halachot on Berakhot 34b:6,Berakhot 32b:8,disambiguator found no match
Tosafot on Arakhin 22b:40:1,Bava Kamma 112a:14,disambiguator found a better match,Tosafot on Arakhin 22b:13:1,Bava Kamma 112a:14
Tosafot on Arakhin 2b:26:1,Chullin 43b:15,disambiguator found a better match,Tosafot on Arakhin 2b:8:2,Chullin 43b:15
Rashi on Niddah 31b:23:1,Bava Kamma 41a:19,disambiguator found a better match,Rashi on Niddah 31b:7:1,Bava Kamma 41a:19
"Beit Yosef, Orach Chaim 329:32:1",Shabbat 135b:6,disambiguator found no match
Rashi on Bekhorot 45b:26:1,Zevachim 24a:14,disambiguator found a better match,Rashi on Bekhorot 45b:4:1,Zevachim 24a:14
Rosh on Sukkah 3:31:2,Sukkah 46b:9,disambiguator found no match
Rosh on Sukkah 3:31:2,Bava Metzia 63a:6,disambiguator found no match
Tosafot on Bekhorot 23a:32:2,Niddah 50b:8,disambiguator found a better match,Tosafot on Bekhorot 23a:8:3,Niddah 50b:8
Tosafot on Arakhin 21b:27:1,Bava Metzia 35b:3,disambiguator found a better match,Tosafot on Arakhin 21b:13:1,Bava Metzia 35b:3
"Avodat HaKodesh, Part Two, Beit Moed, The Third Gate 9",Avodah Zarah 38b:17,disambiguator found no match
Tosafot on Meilah 3b:18:1,Zevachim 28b:13,disambiguator found a better match,Tosafot on Meilah 3b:8:1,Zevachim 28b:13
Tosafot on Niddah 46b:29:1,Yevamot 114a:1,disambiguator found a better match,Tosafot on Niddah 46b:10:1,Yevamot 114a:1
Tosafot on Arakhin 2a:35:1,Menachot 94a:3,disambiguator found a better match,Tosafot on Arakhin 2a:17:1,Menachot 94a:3
Tosafot on Meilah 16a:9:1,Chullin 128b:11,disambiguator found a better match,Tosafot on Meilah 16a:3:1,Chullin 128b:11
Tosafot on Meilah 16a:9:1,Chullin 103b:2,disambiguator found a better match,Tosafot on Meilah 16a:3:1,Chullin 103b:2
Likutei Moharan 110:2,Bava Metzia 85a:18,disambiguator found a better match,Likutei Moharan 110:1:6,Bava Metzia 85a:18
Tosafot on Bekhorot 37b:73:1,Chullin 42b:3,disambiguator found a better match,Tosafot on Bekhorot 37b:17:1,Chullin 42b:3
Tosafot on Bekhorot 37b:73:1,Chullin 43a:6,disambiguator found a better match,Tosafot on Bekhorot 37b:17:1,Chullin 43a:6
Tosafot on Arakhin 31b:80:1,Gittin 36a:13,disambiguator found a better match,Tosafot on Arakhin 31b:18:1,Gittin 36a:13
Tosafot on Niddah 6b:46:1,Gittin 61a:6,disambiguator found a better match,Tosafot on Niddah 6b:13:1,Gittin 61a:6
Tosafot on Niddah 6b:46:1,Avodah Zarah 56a:1,disambiguator found a better match,Tosafot on Niddah 6b:13:1,Avodah Zarah 56a:1
Tosafot on Niddah 6b:46:1,Kiddushin 46b:4,disambiguator found a better match,Tosafot on Niddah 6b:13:1,Kiddushin 46b:4
Rashi on Niddah 49a:16:3,Chullin 54b:13,disambiguator found a better match,Rashi on Niddah 49a:8:3,Chullin 54b:13
Tosafot on Keritot 9a:47:1,Yevamot 48b:6,disambiguator found a better match,Tosafot on Keritot 9a:13:1,Yevamot 48b:6
Tosafot on Niddah 57a:7:1,Nazir 17a:9,disambiguator found a better match,Tosafot on Niddah 57a:4:1,Nazir 17a:9
Tosafot on Niddah 57a:7:1,Nazir 42b:2,disambiguator found a better match,Tosafot on Niddah 57a:4:1,Nazir 42b:2
"Beit Yosef, Orach Chaim 329:39:1",Eruvin 68a:11,disambiguator found no match
Rashi on Arakhin 7b:28:1,Pesachim 22b:5,disambiguator found a better match,Rashi on Arakhin 7b:10:1,Pesachim 22b:5
Tosafot on Arakhin 23a:14:1,Shevuot 42b:9,disambiguator found a better match,Tosafot on Arakhin 23a:3:1,Shevuot 42b:9
Tosafot on Niddah 28b:23:1,Pesachim 67a:10,disambiguator found a better match,Tosafot on Niddah 28b:12:1,Pesachim 67a:10
Tosafot on Niddah 28b:23:1,Eruvin 104b:12,disambiguator found a better match,Tosafot on Niddah 28b:12:1,Eruvin 104b:12
Likutei Moharan 95:2,Yoma 22b:19,disambiguator found no match
Likutei Moharan 209:2,Berakhot 26b:4,disambiguator found no match
Tosafot on Meilah 8a:5:10,Zevachim 103a:1,disambiguator found a better match,Tosafot on Meilah 8a:4:10,Zevachim 103a:1
Tosafot on Bekhorot 6b:10:1,Niddah 37a:13,disambiguator found a better match,Tosafot on Bekhorot 6b:3:1,Niddah 37a:13
Tosafot on Bekhorot 6b:10:1,Chullin 70b:1,disambiguator found a better match,Tosafot on Bekhorot 6b:3:1,Chullin 70b:1
Tosafot on Bekhorot 6b:10:1,Bava Kamma 41b:3,disambiguator found a better match,Tosafot on Bekhorot 6b:3:1,Bava Kamma 41b:3
Tosafot on Bekhorot 6b:10:1,Chullin 75b:10,disambiguator found a better match,Tosafot on Bekhorot 6b:3:1,Chullin 75b:10
Tosafot on Bekhorot 6b:10:1,Ketubot 103a:25,disambiguator found a better match,Tosafot on Bekhorot 6b:3:1,Ketubot 103a:25
Rashi on Niddah 50b:15:1,Chullin 100b:5,disambiguator found a better match,Rashi on Niddah 50b:5:1,Chullin 100b:5
Tosafot on Bekhorot 12a:2:1,Bava Kamma 78a:8,disambiguator found a better match,Tosafot on Bekhorot 12a:1:1,Bava Kamma 78a:8
Tosafot on Niddah 17a:30:1,Shabbat 75b:8,disambiguator found a better match,Tosafot on Niddah 17a:9:1,Shabbat 75b:8
Rashi on Meilah 5b:17:1,Menachot 102b:4,disambiguator found a better match,Rashi on Meilah 5b:11:1,Menachot 102b:4
Tosafot on Bekhorot 13a:39:1,Bava Batra 54b:2,disambiguator found a better match,Tosafot on Bekhorot 13a:16:1,Bava Batra 54b:2
Tosafot on Bekhorot 50a:2:2,Bava Kamma 36a:12,disambiguator found a better match,Tosafot on Bekhorot 50a:1:3,Bava Kamma 36a:12
Tosafot on Bekhorot 50a:2:2,Bava Metzia 44b:8,disambiguator found a better match,Tosafot on Bekhorot 50a:1:3,Bava Metzia 44b:8
Tosafot on Bekhorot 50a:2:2,Chullin 55b:2,disambiguator found a better match,Tosafot on Bekhorot 50a:1:3,Chullin 55b:2
Tosafot on Bekhorot 50a:2:2,Shevuot 44b:9,disambiguator found a better match,Tosafot on Bekhorot 50a:1:3,Shevuot 44b:9
Tosafot on Bekhorot 50a:2:1,Avodah Zarah 32a:2,disambiguator found a better match,Tosafot on Bekhorot 50a:1:2,Avodah Zarah 32a:2
Tosafot on Bekhorot 50a:2:1,Bava Kamma 97b:8,disambiguator found a better match,Tosafot on Bekhorot 50a:1:2,Bava Kamma 97b:8
Tosafot on Bekhorot 11a:35:1,Nedarim 36b:1,disambiguator found a better match,Tosafot on Bekhorot 11a:11:1,Nedarim 36b:1
Rashi on Temurah 18a:22:1,Menachot 22a:5,disambiguator found a better match,Rashi on Temurah 18a:9:2,Menachot 22a:5
Tosafot on Niddah 50a:26:1,Eruvin 28b:2,disambiguator found a better match,Tosafot on Niddah 50a:8:1,Eruvin 28b:2
Tosafot on Niddah 50a:26:1,Chullin 117b:6,disambiguator found a better match,Tosafot on Niddah 50a:8:1,Chullin 117b:6
Tosafot on Bekhorot 7b:62:1,Avodah Zarah 40a:11,disambiguator found a better match,Tosafot on Bekhorot 7b:20:1,Avodah Zarah 40a:11
Tosafot on Meilah 18b:17:1,Kiddushin 43a:13,disambiguator found a better match,Tosafot on Meilah 18b:8:1,Kiddushin 43a:13
"Beit Yosef, Orach Chaim 329:30:1",Shabbat 132b:3,disambiguator found no match
Tosafot on Niddah 40a:39:1,Bekhorot 47b:6,disambiguator found a better match,Tosafot on Niddah 40a:18:1,Bekhorot 47b:6
Tosafot on Niddah 40a:39:1,Chullin 137a:2,disambiguator found a better match,Tosafot on Niddah 40a:18:1,Chullin 137a:2
Tosafot on Bekhorot 41b:22:1,Yevamot 81a:6,disambiguator found a better match,Tosafot on Bekhorot 41b:7:1,Yevamot 81a:6
Tosafot on Bekhorot 41b:22:1,Temurah 19b:1,disambiguator found a better match,Tosafot on Bekhorot 41b:7:1,Temurah 19b:1
Tosafot on Meilah 9a:12:1,Zevachim 52a:15,disambiguator found a better match,Tosafot on Meilah 9a:6:1,Zevachim 52a:15
Rashi on Niddah 24a:42:1,Chullin 69b:2,disambiguator found a better match,Rashi on Niddah 24a:12:2,Chullin 69b:2
Tosafot on Bekhorot 37a:43:1,Pesachim 84a:4,disambiguator found a better match,Tosafot on Bekhorot 37a:15:1,Pesachim 84a:4
Tosafot on Meilah 10a:5:1,Shevuot 17b:2,disambiguator found a better match,Tosafot on Meilah 10a:2:1,Shevuot 17b:2
Tosafot on Keritot 11b:17:1,Kiddushin 66a:7,disambiguator found a better match,Tosafot on Keritot 11b:6:2,Kiddushin 66a:7
Tosafot on Bekhorot 12b:4:1,Bava Kamma 102a:4,disambiguator found a better match,Tosafot on Bekhorot 12b:3:1,Bava Kamma 102a:4
Chidushei Halachot on Berakhot 35a:6,Berakhot 17a:12,disambiguator found no match
Tosafot on Bekhorot 53a:25:1,Berakhot 27b:22,disambiguator found a better match,Tosafot on Bekhorot 53a:9:1,Berakhot 27b:22
Tosafot on Bekhorot 53a:25:1,Shabbat 54b:18,disambiguator found a better match,Tosafot on Bekhorot 53a:9:1,Shabbat 54b:18
Tosafot on Arakhin 29b:3:1,Bava Metzia 106a:8,disambiguator found a better match,Tosafot on Arakhin 29b:2:1,Bava Metzia 106a:8
Tosafot on Temurah 7a:14:1,Chullin 13b:7,disambiguator found a better match,Tosafot on Temurah 7a:4:1,Chullin 13b:7
Tosafot on Temurah 7a:14:1,Menachot 73b:5,disambiguator found a better match,Tosafot on Temurah 7a:4:1,Menachot 73b:5
Tosafot on Niddah 15a:5:1,Pesachim 26b:3,disambiguator found a better match,Tosafot on Niddah 15a:2:1,Pesachim 26b:3
Tosafot on Niddah 15a:5:1,Bava Metzia 22b:4,disambiguator found a better match,Tosafot on Niddah 15a:2:1,Bava Metzia 22b:4
Tosafot on Niddah 15a:5:1,Keritot 22b:26,disambiguator found a better match,Tosafot on Niddah 15a:2:1,Keritot 22b:26
Likutei Moharan 209:3,Berakhot 46a:4,disambiguator found no match
Likutei Moharan 209:3,Berakhot 10b:25,disambiguator found no match
Rashi on Temurah 14a:34:2,Yoma 33a:4,disambiguator found a better match,Rashi on Temurah 14a:14:2,Yoma 33a:4
Tosafot on Bekhorot 27b:13:1,Bava Metzia 65a:9,disambiguator found a better match,Tosafot on Bekhorot 27b:4:1,Bava Metzia 65a:9
Tosafot on Arakhin 32b:59:1,Gittin 36a:14,disambiguator found a better match,Tosafot on Arakhin 32b:18:1,Gittin 36a:14
Tosafot on Temurah 30b:82:1,Pesachim 27a:6,disambiguator found a better match,Tosafot on Temurah 30b:23:1,Pesachim 27a:6
Mefaresh on Tamid 27b:24:1,Pesachim 86a:6,disambiguator found a better match,Mefaresh on Tamid 27b:10:1,Pesachim 86a:6
Tosafot on Niddah 20b:59:1,Chullin 49a:3,disambiguator found a better match,Tosafot on Niddah 20b:19:1,Chullin 49a:3
Tosafot on Temurah 5b:50:1,Yevamot 49a:9,disambiguator found a better match,Tosafot on Temurah 5b:20:1,Yevamot 49a:9
Tosafot on Arakhin 22b:36:2,Bava Batra 174b:20,disambiguator found a better match,Tosafot on Arakhin 22b:11:2,Bava Batra 174b:20
Rashi on Temurah 8b:21:1,Bekhorot 35a:17,disambiguator found a better match,Rashi on Temurah 8b:7:2,Bekhorot 35a:17
Tosafot on Niddah 33b:55:1,Gittin 61b:5,disambiguator found a better match,Tosafot on Niddah 33b:21:1,Gittin 61b:5
Rashi on Temurah 5b:11:2,Bekhorot 31b:1,disambiguator found a better match,Rashi on Temurah 5b:5:2,Bekhorot 31b:1
Tosafot on Niddah 28a:49:1,Yevamot 83a:4,disambiguator found a better match,Tosafot on Niddah 28a:17:1,Yevamot 83a:4
Tosafot on Niddah 28a:49:1,Rosh Hashanah 29a:10,disambiguator found a better match,Tosafot on Niddah 28a:17:1,Rosh Hashanah 29a:10
Rashi on Keritot 2b:37:2,Bava Kamma 4b:5,disambiguator found a better match,Rashi on Keritot 2b:16:1,Bava Kamma 4b:5
Tosafot on Meilah 21b:19:1,Bava Metzia 43a:2,disambiguator found a better match,Tosafot on Meilah 21b:8:1,Bava Metzia 43a:2
Rashi on Temurah 12a:32:1,Pesachim 27a:1,disambiguator found a better match,Rashi on Temurah 12a:13:1,Pesachim 27a:1
Tosafot on Niddah 10b:5:1,Sanhedrin 26a:20,disambiguator found a better match,Tosafot on Niddah 10b:2:1,Sanhedrin 26a:20
Mefaresh on Tamid 29b:11:1,Taanit 25b:2,disambiguator found a better match,Mefaresh on Tamid 29b:4:2,Taanit 25b:2
Rashi on Bekhorot 31a:39:1,Nedarim 78a:3,disambiguator found a better match,Rashi on Bekhorot 31a:9:1,Nedarim 78a:3
Rashi on Keritot 10b:59:1,Yevamot 53b:8,disambiguator found a better match,Rashi on Keritot 10b:19:1,Yevamot 53b:8
"Kessef Mishneh on Mishneh Torah, Sabbath 20:18:2",Shabbat 74a:4,disambiguator found a better match,"Kessef Mishneh on Mishneh Torah, Sabbath 20:3:1",Shabbat 74a:4
"Kessef Mishneh on Mishneh Torah, Sabbath 20:18:3",Shabbat 155a:7,disambiguator found no match
"Kessef Mishneh on Mishneh Torah, Sabbath 20:18:6",Shabbat 155a:5,disambiguator found a better match,"Kessef Mishneh on Mishneh Torah, Sabbath 20:6:1",Shabbat 155a:5
"Kessef Mishneh on Mishneh Torah, Sabbath 20:18:4",Shabbat 155b:1,disambiguator found a better match,"Kessef Mishneh on Mishneh Torah, Sabbath 20:6:1",Shabbat 155b:1
Tosafot on Arakhin 3a:26:1,Sanhedrin 52b:22,disambiguator found a better match,Tosafot on Arakhin 3a:7:1,Sanhedrin 52b:22
Rashi on Niddah 7b:57:1,Shabbat 63a:15,disambiguator found a better match,Rashi on Niddah 7b:19:1,Shabbat 63a:15
Tosafot on Bekhorot 44b:25:1,Chullin 89a:9,disambiguator found a better match,Tosafot on Bekhorot 44b:8:1,Chullin 89a:9
Tosafot on Arakhin 2a:26:1,Bava Metzia 54b:10,disambiguator found a better match,Tosafot on Arakhin 2a:14:2,Bava Metzia 54b:10
Tosafot on Bekhorot 58a:44:1,Shabbat 152a:5,disambiguator found a better match,Tosafot on Bekhorot 58a:15:1,Shabbat 152a:5
"Beit Yosef, Orach Chaim 329:29:1",Yevamot 80a:15,disambiguator found no match
"Kessef Mishneh on Mishneh Torah, Sabbath 27:8:1",Eruvin 55b:5,disambiguator found a better match,"Kessef Mishneh on Mishneh Torah, Sabbath 27:3:2",Eruvin 55b:5
Malbim on I Samuel 8:9:3,Sanhedrin 19a:15,disambiguator found no match
"Derech Hashem, Part Three, On Divine Names and Witchcraft 10",Chullin 7b:14,disambiguator found no match
Rashi on Keritot 4a:69:1,Chullin 115b:1,disambiguator found a better match,Rashi on Keritot 4a:24:1,Chullin 115b:1
Likutei Moharan 43:2,Pesachim 66b:6,disambiguator found no match
Likutei Moharan 43:2,Shabbat 64a:22,disambiguator found no match
Likutei Moharan 43:2,Berakhot 7a:5,disambiguator found no match
Rashba on Ketubot 50b:2,Bava Batra 159a:1,disambiguator found no match
Rashba on Ketubot 50b:2,Bava Batra 139b:5,disambiguator found no match
Tosafot on Niddah 56b:41:1,Yevamot 68b:13,disambiguator found a better match,Tosafot on Niddah 56b:15:1,Yevamot 68b:13
Tosafot on Niddah 56b:41:1,Kiddushin 75b:1,disambiguator found a better match,Tosafot on Niddah 56b:15:1,Kiddushin 75b:1
Rashi on Keritot 7b:7:1,Pesachim 93b:3,disambiguator found a better match,Rashi on Keritot 7b:2:2,Pesachim 93b:3
Tosafot on Meilah 10b:16:1,Temurah 15a:7,disambiguator found a better match,Tosafot on Meilah 10b:7:1,Temurah 15a:7
Tosafot on Meilah 10b:16:1,Temurah 22a:12,disambiguator found a better match,Tosafot on Meilah 10b:7:1,Temurah 22a:12
Tosafot on Meilah 16a:12:1,Chullin 101b:12,disambiguator found a better match,Tosafot on Meilah 16a:4:1,Chullin 101b:12
Rashi on Keritot 2b:71:1,Makkot 23a:19,disambiguator found a better match,Rashi on Keritot 2b:27:1,Makkot 23a:19
Rashi on Temurah 33b:42:2,Pesachim 23a:2,disambiguator found a better match,Rashi on Temurah 33b:17:2,Pesachim 23a:2
Rashi on Temurah 33b:42:2,Shabbat 25a:2,disambiguator found a better match,Rashi on Temurah 33b:17:2,Shabbat 25a:2
Tosafot on Bekhorot 22a:7:1,Niddah 27a:10,disambiguator found a better match,Tosafot on Bekhorot 22a:3:1,Niddah 27a:10
Tosafot on Niddah 51a:44:1,Bava Kamma 94a:17,disambiguator found a better match,Tosafot on Niddah 51a:19:1,Bava Kamma 94a:17
Tosafot on Bekhorot 52b:34:1,Eruvin 67a:4,disambiguator found a better match,Tosafot on Bekhorot 52b:14:1,Eruvin 67a:4
Rashi on Bekhorot 47a:67:2,Yevamot 68a:6,disambiguator found a better match,Rashi on Bekhorot 47a:21:2,Yevamot 68a:6
Tosafot on Niddah 40a:31:1,Bava Kamma 77b:13,disambiguator found a better match,Tosafot on Niddah 40a:14:2,Bava Kamma 77b:13
Tosafot on Niddah 40a:31:1,Meilah 13a:9,disambiguator found a better match,Tosafot on Niddah 40a:14:2,Meilah 13a:9
Tosafot on Bekhorot 55b:15:1,Niddah 66b:11,disambiguator found a better match,Tosafot on Bekhorot 55b:6:1,Niddah 66b:11
Biur Halacha 32:23:3,Shabbat 108a:2,disambiguator found a better match,Biur Halacha 32:25:1,Shabbat 108a:2
Tosafot on Niddah 18a:17:1,Sanhedrin 79a:11,disambiguator found a better match,Tosafot on Niddah 18a:10:1,Sanhedrin 79a:11
Tosafot Yeshanim on Keritot 13b:64:1,Pesachim 29a:9,disambiguator found a better match,Tosafot Yeshanim on Keritot 13b:21:1,Pesachim 29a:9
"Aderet Eliyahu, Deuteronomy 4:1:5",Berakhot 8a:8,disambiguator found no match
Tosafot on Arakhin 13a:27:1,Menachot 49b:10,disambiguator found a better match,Tosafot on Arakhin 13a:11:1,Menachot 49b:10
Tosafot on Bekhorot 6b:25:4,Chullin 120a:1,disambiguator found a better match,Tosafot on Bekhorot 6b:7:4,Chullin 120a:1
Tosafot on Bekhorot 6b:25:1,Chullin 122b:20,disambiguator found a better match,Tosafot on Bekhorot 6b:7:1,Chullin 122b:20
Tosafot on Bekhorot 6b:25:1,Chullin 126b:11,disambiguator found a better match,Tosafot on Bekhorot 6b:7:1,Chullin 126b:11
Rashi on Arakhin 29b:24:1,Kiddushin 4a:3,disambiguator found a better match,Rashi on Arakhin 29b:6:1,Kiddushin 4a:3
Rashi on Niddah 44a:45:1,Yevamot 67a:6,disambiguator found a better match,Rashi on Niddah 44a:16:1,Yevamot 67a:6
Tosafot on Bekhorot 34a:36:1,Chullin 114b:9,disambiguator found a better match,Tosafot on Bekhorot 34a:11:1,Chullin 114b:9
Tosafot on Bekhorot 43b:61:1,Niddah 24a:19,disambiguator found a better match,Tosafot on Bekhorot 43b:15:1,Niddah 24a:19
Rosh on Beitzah 2:27:1,Beitzah 32b:1,disambiguator found a better match,Rosh on Beitzah 2:18:1,Beitzah 32b:1
"Likutei Moharan, Part II 9:3",Chagigah 13a:2,disambiguator found no match
Tosafot on Temurah 27b:22:1,Sanhedrin 88a:6,disambiguator found a better match,Tosafot on Temurah 27b:10:1,Sanhedrin 88a:6
Tosafot on Niddah 49a:24:1,Chullin 107a:3,disambiguator found a better match,Tosafot on Niddah 49a:10:1,Chullin 107a:3
Tosafot on Niddah 49a:24:1,Shabbat 95b:4,disambiguator found a better match,Tosafot on Niddah 49a:10:1,Shabbat 95b:4
Netzach Yisrael 44:14,Sanhedrin 97b:9,disambiguator found a better match,Netzach Yisrael 44:13,Sanhedrin 97b:9
Tosafot on Arakhin 5a:58:1,Pesachim 63a:4,disambiguator found a better match,Tosafot on Arakhin 5a:21:1,Pesachim 63a:4
"Beit Yosef, Orach Chaim 329:21:1",Shabbat 135a:5,disambiguator found no match
Netzach Yisrael 46:18,Shabbat 151b:12,disambiguator found a better match,Netzach Yisrael 46:9,Shabbat 151b:12
