index,versionTitle,replaces number
Zohar Chadash,Sefaria Community Translation,1
Sifra,Sifra by Rabbi Shraga Silverstein,6
Sifrei Bamidbar,Sifrei by Rabbi Shraga Silverstein,686
Haamek Davar on Deuteronomy,Sefaria Community Translation,1
Rashi on Menachot,Sefaria Community Translation,1
Rashi on Numbers,"Pentateuch with Rashi's commentary by M. Rosenbaum and A.M. Silbermann, 1929-1934",1
Or HaChaim on Deuteronomy,Sefaria Community Translation,5
Siddur Ashkenaz,Sefaria Community Translation,62
Letter to the Ten Lost Tribes of Israel,Sefaria Community Translation,1
Or HaChaim on Numbers,Sefaria Community Translation,2
Chizkuni,Sefaria Community Translation,5
"Shulchan Arukh, Orach Chayim",Translated by Jay Dinovitser,7
Abarbanel on Torah,Sefaria Community Translation,4
Tur,Sefaria Community Translation,2
Temurah,Sefaria Community Translation,2
Kedushat Levi,Kedushat Levi translated by Rb. Eliyahu Munk,2
Kedushat Levi,Sefaria Community Translation,4
Assarah Perakim L'Ramchal,Sefaria Community Translation,1
Tosafot Yom Tov Introduction to the Mishnah,TYT Intro to Mishna Commentary,6
Tosafot Yom Tov Introduction to the Mishnah,"Tosafot Yom Tov Introduction to the Mishnah, trans. Moshe Hollender ",6
Rabbeinu Bahya,Sefaria Community Translation,7
"Shulchan Arukh, Yoreh De'ah",Asher Meza (without commentary),1
Netivot Olam,YU Torah miTzion Beit Midrash,8
Rabbeinu Bahya,YU Torah miTzion Beit Midrash,12
Tzidkat HaTzadik,YU Torah miTzion Beit Midrash,1
Meshekh Chokhmah,YU Torah miTzion Beit Midrash,7
Kedushat Levi,YU Torah miTzion Beit Midrash,4
Tomer Devorah,YU Torah miTzion Beit Midrash,11
Hasagot HaRamban on Sefer HaMitzvot,YU Torah miTzion Beit Midrash,2
Gur Aryeh on Bereishit,YU Torah miTzion Beit Midrash,1
Noda BiYhudah I,YU Torah miTzion Beit Midrash,3
Abarbanel on Torah,YU Torah miTzion Beit Midrash,2
Teshuvot haRashba part V,YU Torah miTzion Beit Midrash,4
Minchat Chinukh,Sefaria Community Translation,3
Minchat Chinukh,YU Torah miTzion Beit Midrash,2
Kitzur Shulchan Arukh,YU Torah miTzion Beit Midrash,1
Or HaChaim on Exodus,YU Torah miTzion Beit Midrash,4
Sforno on Leviticus,YU Torah miTzion Beit Midrash,1
Mei HaShiloach,Sefaria Community Translation,28
Chizkuni,"Chizkuni, translated and annotated by Eliyahu Munk",2139
Kli Yakar on Exodus,Sefaria Community Translation,22
Shaarei Orah,Sefaria Community Translation,1
Sifrei Devarim,Sifrei by Rabbi Shraga Silverstein,1150
Sifrei Devarim,Sefaria Community Translation,4
Treasures Hidden in the Sand,"Treasures Hidden in the Sand, Trans. Menachem Kalish and David Herzberg",39
Avot D'Rabbi Natan,Sefaria Community Translation,2
Siddur Edot HaMizrach,Sefaria Community Translation,52
Duties of the Heart,"Duties of the Heart, trans. Rabbi Yosef Sebag",1185
Duties of the Heart,"Duties of the Heart, trans. by Rabbi Moses Hyamson, New York, 1925",234
Mesilat Yesharim,Path of the Just. Trans. Rabbi Yosef Sebag,355
Noam Elimelech,Sefaria Community Translation,11
Pardes Rimonim,Sefaria Community Translation,5
"Contemporary Halakhic Problems, Vol I","Contemporary halakhic problems, by J. David Bleich, 1977-2005",1
Meshekh Chokhmah,Sefaria Community Translation,6
Sha'ar HaEmunah VeYesod HaChasidut,"The Introduction to the Beit Yaakov, Translated and Annotated by Betzalel Edwards",146
Sefat Emet,YU Torah miTzion Beit Midras,3
Ohev Yisrael,YU Torah miTzion Beit Midrash,1
Or Neerav,YU Torah miTzion Beit Midrash,2
Orchot Tzadikim,Sefaria Community Translation,3
Rabbeinu Bahya,"Torah Commentary by Rabbi Bachya ben Asher, trans. Eliyahu Munk, 1998.",800
"Mishneh Torah, Kings and Wars","Laws of Kings and Wars. trans. Reuven Brauner, 2012",35
Pat Lechem,"Duties of the Heart, trans. Rabbi Yosef Sebag",240
Marpeh la'Nefesh,"Duties of the Heart, trans. Rabbi Yosef Sebag",336
Tov haLevanon,"Duties of the Heart, trans. Rabbi Yosef Sebag",223
Sefer HaMiddot,"The Book of Character, trans. Simcha H.",324
Iggeret HaGra,Iggeret HaGra -- Wikisource,13
"Shulchan Arukh, Choshen Mishpat","Code of Hebrew Law by Chaim N. Denburg, Montreal, 1955",23
Akeidat Yitzchak,Akeydat Yitzchak by Eliyahu Munk,2263
Be'er Mayim Chaim,Sefaria Community Translation,1
Avodat Yisrael,Sefaria Community Translation,4
Siftei Chakhamim,"Sifsei Chachomim Chumash, Metsudah Publications, 2009",3
Kav HaYashar,"Kav HaYashar, trans. Metsudah Publications, 2007",3
HaKtav VeHaKabalah,YU Torah miTzion Beit Midrash,1
Peri Tzadik,Sefaria Community Translation,46
Shemirat HaLashon,Shmirath Halashon by Rabbi Shraga Silverstein,644
Sefer Yesodei HaTorah,Translated by R. Shraga Silverstein,172
Kitzur Shulchan Arukh,"Kitzur Shulchan Aruch, trans. Rabbi Avrohom Davis, Metsudah Pub., 1996",2
Tosafot Yom Tov on Pirkei Avot,"Tosafot Yom Tov on Avot, trans. Dov Dukhovny, 2018",291
Duties of the Heart,Sefaria Community Translation,8
Weekday Siddur Sefard Linear,"The Metsudah siddur: a new linear siddur with English translation by Avrohom Davis, 1981",2
Tzror HaMor on Torah,Sefaria Community Translation,19
Midrash Aggadah,Sefaria Community Translation,4
Degel Machaneh Ephraim,Sefaria Community Translation,2
Baal Shem Tov,Sefaria Community Translation,1
Shenei Luchot HaBerit,Shney Luchot Habrit by Rabbi Eliyahu Munk,2
Likutei Halakhot,Sefaria Community Translation,254
Mishnah Berurah,Mishnah Berurah temp,1
Seder Ma'amadot,Sefaria Community Translation,4
Torat HaOlah,YU Torah miTzion Beit Midrash,5
Chayei Adam,Sefaria Community Translation,5
