Hebrew Name,Range of Simanim,English Name
הלכות דיינים,א-כז,Laws for Judges
הלכות עדות,כח-לח,Laws of Testimony
הלכות הלואה,לט-עד,Laws of Loans
הלכות טוען ונטען,עה-צו,Laws of Plaintiffs and Defendants
הלכות גביית מלוה,צז-קו,Laws of Keeping Watch Over an Object
מכנסים משועבדים,קיא-קטז,Mortgage Property
הלכות אפותיקי,קיז-קכ,Laws of Pledges
הלכות העושה שליח לגבות חובו,קכא,Laws of an Agent Collecting Debts
הלכות הרשאה,קכב-קכח,Laws of Authorisation
הלכות ערב,קכט-קלב,Laws of Guaranteeing
הלכות חזקת מטלטלין,קלג-קלט,Laws of Movable Property
הלכות חזקת קרקעות,קמ-קנב,Laws of Immovable Property
הלכות נזקי שכנים,קנג-קנו,Laws of Damages
הלכות שותפים בקרקע,קנז-קע,Laws of Immovable Partnerships
הלכות חלוקת שותפות,קעא-קעד,Laws of Divisions of Partnerships
הלכות מצרנות,קעה,Laws of Boundaries
הלכות שותפים,קעו-קפא,Laws of Partners
הלכות שלוחין,קפב-קפח,Laws of Emissaries
הלכות מקח וממכר,קפט-רכו,Laws of Buying and Selling
הלכות אונאה ומקח טעות,רכז-רמ,Laws of Overreach in Dealings and Mistaken Sales
הלכות מתנה,רמא-רמט,Laws of Stipulations
הלכות מתנת שכיב מרע,רנ-רנח,Laws of a Deathly Ill Person
הלכות אבידה ומציאה,רנט-רעא,Laws of Lost and Found
הלכות פריקה וטעינה ודין הולכי דרכים,ערב,Laws of Unloading and Loading and the Laws for Travellers
הלכות הפקר ונכסי הגר,רעג-ערה,Laws of Ownerless Property and Property of Non-Jews
הלכות נחלות,רעו-רפט,Laws of Inheritance
הלכות אפוטרופוס,רצ,Laws of an Apotropos
הלכות פקדון,רצא-שב,Laws of Deposits
הלכות שומר שכר,שג-שה,Laws for Paid Guardians
הלכות אומנים,שו,Laws of Artisans
הלכות שוכר,שז-שיט,Laws of Hiring
הלכות חכירות וקבלנות,שכ-של,Laws of Leasing and Contract Work
הלכות שכירות פועלים,שלא-שלט,Laws of Hiring Labourers
הלכות שאלה,שמ-שמז,Laws of Borrowing
הלכות גניבה,שמח-שנח,Laws of Theft
הלכות גזילה,שנט-שעז,Laws of Stealing
הלכות נזיקין,שעח-שפח,Laws of Damages
הלכות נזקי ממון,שפט-תיט,Laws of Monetary Damages
הלכות חובל בחבירו,תכ-תכו,Laws of Injuring a Person
