txt file line,Perek running counter,page running counter,Perek aprx,Page aprx,Rambam,Semag,Tur Shulchan Arukh,original,problem
1,א,א,1,1,"[u'Mishneh Torah, Sacrifices Rendered Unfit 15:1']","[u'Sefer Mitzvot Gadol, Negative Commandments 337']",,"א א מיי' פט""ו מהל' פסה""מ הל""א סמג לאוין שלז",False
2,ב,ב,1,1,"[u'Mishneh Torah, Sacrifices Rendered Unfit 15:3']",,,"ב ב מיי' שם הל""ג",False
3,ג,א,1,2,"[u'Mishneh Torah, Sacrificial Procedure 4:10']",,,"ג א מיי' פ""ד מהל' מעשה הקרבנות הלכה י",False
4,ד,ב,1,2,"[u'Mishneh Torah, Divorce 3:1']","[u'Sefer Mitzvot Gadol, Positive Commandments 50']","[u'Tur, Even HaEzer 131', u'Shulchan Arukh, Even HaEzer 131:1']","ד ב ג ד מיי' פ""ג מהל' גירושין הל""א סמג עשין נ טוש""ע אה""ע סי' קלא סעיף א",
4,ד,ג,1,2,"[u'Mishneh Torah, Divorce 3:1']","[u'Sefer Mitzvot Gadol, Positive Commandments 50']","[u'Tur, Even HaEzer 131', u'Shulchan Arukh, Even HaEzer 131:1']","ד ב ג ד מיי' פ""ג מהל' גירושין הל""א סמג עשין נ טוש""ע אה""ע סי' קלא סעיף א",
4,ד,ד,1,2,"[u'Mishneh Torah, Divorce 3:1']","[u'Sefer Mitzvot Gadol, Positive Commandments 50']","[u'Tur, Even HaEzer 131', u'Shulchan Arukh, Even HaEzer 131:1']","ד ב ג ד מיי' פ""ג מהל' גירושין הל""א סמג עשין נ טוש""ע אה""ע סי' קלא סעיף א",False
5,ה,א,1,3,"[u'Mishneh Torah, Divorce 3:2']",,"[u'Tur, Even HaEzer 131', u'Shulchan Arukh, Even HaEzer 131:2']","ה א מיי' פ""ג מהל' גירושין הל""ב טוש""ע אה""ע סי' קלא סעי' ב",False
6,ו,ב,1,3,"[u'Mishneh Torah, Divorce 3:3']",,"[u'Tur, Even HaEzer 131', u'Shulchan Arukh, Even HaEzer 131:3']","ו ב מיי' שם הל""ג טוש""ע שם סעי' ג",False
7,ז,ג,1,3,"[u'Mishneh Torah, Divorce 3:4']",,"[u'Tur, Even HaEzer 131', u'Shulchan Arukh, Even HaEzer 131:4']","ז ג מיי' שם הל""ד טוש""ע שם סעי' ד",False
8,ח,ד,1,3,"[u'Mishneh Torah, Divorce 3:7']",,,"ח ד מיי' פ""ג מהל' גירושין הל""ז",False
9,ט,ה,1,3,"[u'Mishneh Torah, Sacrifices Rendered Unfit 15:4']",,,"ט ה מיי' פט""ו מהל' פסה""מ הל""ד",False
10,י,ו,1,3,"[u'Mishneh Torah, Vessels 14:8', u'Mishneh Torah, Vessels 14:9']",,,"י ו מיי' פי""ד מהל' כלים הל' ח ט",False
11,יא,ז,1,3,"[u'Mishneh Torah, Vessels 14:7']",,,"יא ז מיי' שם הל""ז",False
12,יב,ח,1,3,"[u'Mishneh Torah, Vessels 14:11']",,,"יב ח מיי' שם הלי""א",False
13,יג,א,1,4,"[u'Mishneh Torah, Sacrificial Procedure 4:10', u'Mishneh Torah, Sacrifices Rendered Unfit 13:1']",,,"יג א ב מיי' פ""ד מהל' מעשה הקרבנות הל' י ופי""ג מהלכות פסה""מ הל' א",
13,יג,ב,1,4,"[u'Mishneh Torah, Sacrificial Procedure 4:10', u'Mishneh Torah, Sacrifices Rendered Unfit 13:1']",,,"יג א ב מיי' פ""ד מהל' מעשה הקרבנות הל' י ופי""ג מהלכות פסה""מ הל' א",False
14,יד,ג,1,4,"[u'Mishneh Torah, Sacrifices Rendered Unfit 15:1']",,,"יד ג מיי' פט""ו מהל' פסה""מ הלכה א",False
15,טו,א,1,5,"[u'Mishneh Torah, Offerings for Those with Incomplete Atonement 1:13']",,,"טו א מיי' פ""א מהל' מחוסרי כפרה הל' יג",False
