txt file line,Perek running counter,page running counter,Daf,Line,Rambam,Semag,Tur Shulchan Arukh,original,problem
38,לח,ב,11b,3,"[u'Mishneh Torah, Fasts 3:11']",,"[u'Tur, Orach Chaim 568', u'Shulchan Arukh, Orach Chayim 568:6']","לח ב מיי' פ""ג מהלכות תענית הלכה יא טוש""ע א""ח סי' תקסח סעיף ו",FALSE
39,לט,ג,11b,3,,,"[u'Tur, Orach Chaim 571', u'Shulchan Arukh, Orach Chayim 571:2']","לט ג טוש""ע א""ח סי' תקעא סעיף ב",FALSE
40,מ,ד,11b,4,"[u'Mishneh Torah, Fasts 1:10']","[u'Sefer Mitzvot Gadol, Positive Commandments 13']","[u'Tur, Orach Chaim 562', u'Shulchan Arukh, Orach Chayim 562:7']","מ ד מיי' פ""א מהלכות תענית הלכה י סמג עשין יג טוש""ע א""ח סי' תקסב סעיף ז",FALSE
41,מא,ה,11b,4,"[u'Mishneh Torah, Fasts 1:11']","[u'Sefer Mitzvot Gadol, Positive Commandments 13']","[u'Tur, Orach Chaim 562', u'Shulchan Arukh, Orach Chayim 562:9']","מא ה מיי' שם הלכה יא סמג שם טור ש""ע א""ח שם סעיף ט",FALSE
42,מב,ו,11b,8,"[u'Mishneh Torah, Fasts 1:13']",,"[u'Tur, Orach Chaim 562', u'Shulchan Arukh, Orach Chayim 562:10']","מב ו מיי' שם הלכה יג טוש""ע שם סעיף י",FALSE
43,מג,ז,11b,8,"[u'Mishneh Torah, Forbidden Foods 1:15']","[u'Sefer Mitzvot Gadol, Negative Commandments 148']","[u'Tur, Yoreh Deah 135', u""Shulchan Arukh, Yoreh De'ah 135:16""]","מג ז מיי' פ""א מהלכו' מאכלות אסורות הלכה טו סמג לאוין קמח טוש""ע י""ד סי' קלה סעיף טז",FALSE
44,מד,א,12a,1,"[u'Mishneh Torah, Fasts 1:13']","[u'Sefer Mitzvot Gadol, Positive Commandments 3']","[u'Tur, Orach Chaim 562', u'Shulchan Arukh, Orach Chayim 562:10']","מד א ב מיי' פ""א מהל' תענית הלכה יג סמג עשין ג טוש""ע א""ח סי' תקסב סעיף י",
44,מד,ב,12a,1,"[u'Mishneh Torah, Fasts 1:13']","[u'Sefer Mitzvot Gadol, Positive Commandments 3']","[u'Tur, Orach Chaim 562', u'Shulchan Arukh, Orach Chayim 562:10']","מד א ב מיי' פ""א מהל' תענית הלכה יג סמג עשין ג טוש""ע א""ח סי' תקסב סעיף י",FALSE
45,מה,ג,12a,2,,,"[u'Tur, Orach Chaim 562', u'Shulchan Arukh, Orach Chayim 562:1']","מה ג טוש""ע א""ח שם סעיף א",FALSE
46,מו,ד,12a,3,"[u'Mishneh Torah, Vessels of the Sanctuary and Those who Serve Therein 6:9']",,,"מו ד מיי' פ""ו מהלכות כלי מקדש הלכה ט",FALSE
