Rashi on Exodus
רש"י על שמות
Judaica Press
http://chabad.org

Chapter 1



Chapter 2



Chapter 3



Chapter 4



Chapter 5



Chapter 6



Chapter 7



Chapter 8



Chapter 9



Chapter 10



Chapter 11



Chapter 12



Verse 1



Verse 2



Verse 3



Verse 4



Verse 5



Verse 6



Verse 7



Verse 8



Verse 9



Verse 10



Verse 11



Verse 12



Verse 13



Verse 14



Verse 15



Verse 16



Verse 17

And you shall watch over the unleavened cakes: that they should not become leavened. From here they [the Rabbis] derived that if [the dough] started to swell, she [the woman rolling it out] must moisten it with cold water. Rabbi Josiah says: Do not read:, אֶת-הַמַצּוֹת, the unleavened cakes, אֶת-הַמִצְוֹת, the commandments. Just as we may not permit the matzoth to become leavened, so may we not permit the commandments to become leavened [i.e., to wait too long before we perform them], but if it [a commandment] comes into your hand, perform it immediately. — [from Mechilta]
