id,name_heb,name_eng
0,הקדמה,Introduction
1,הַמַּדָּע,HaMadda
2,אַהֲבָה,Ahavah
3,זְמַנִּים,Zemanim
4,נָשִׁים,Nashim
5,קְדֻשָּׁה,Kedushah
6,הַפְלָאָה,Hafla'ah
7,זְָרעִים,Zera'im
8,עֲבוֹדָה,Avodah
9,הַקְָּרבָּנוֹת,Korbanot
10,טָהֳָרה,Taharah
11,נְזָקִים,Nezikim
12,קִנְיָן,Kinyan
13,מִשְׁפָּטִים,Mishpatim
14,שׁוֹפְטִים,Shoftim
