Node,BFO ID,isa,Edge,Other Node,Edge2,Other Node2
Musical Process,,Artistic Process,,,,
Independent Continuant,http://purl.obolibrary.org/obo/BFO_0000004,Continuant,,,,
Specifically Dependent Continuant,http://purl.obolibrary.org/obo/BFO_0000020,Continuant,,,,
Generically Dependent Continuant,http://purl.obolibrary.org/obo/BFO_0000031,Continuant,,,,
One-dimensional Continuant Fiat Boundary,http://purl.obolibrary.org/obo/BFO_0000142,Continuant Fiat Boundary,,,,
Two-dimensional Continuant Fiat Boundary,http://purl.obolibrary.org/obo/BFO_0000146,Continuant Fiat Boundary,,,,
Zero-dimensional Continuant Fiat Boundary,http://purl.obolibrary.org/obo/BFO_0000147,Continuant Fiat Boundary,,,,
Fast Day,,Day,,,,
Function,http://purl.obolibrary.org/obo/BFO_0000034,Disposition,,,,
Freedom,,Disposition,,,,
Character Trait,,Disposition,similar,Character Trait,,
Emotion,,Disposition,similar,Emotion,,
Knowledge,,Disposition,,,,
Theological Tenet,,Theology,,,,
Continuant,http://purl.obolibrary.org/obo/BFO_0000002,Entity,,,,
Occurent,http://purl.obolibrary.org/obo/BFO_0000003,Entity,,,,
Philosophy,,Generically Dependent Continuant,,,,
Halacha,,Law,,,,
Science,,Generically Dependent Continuant,,,,
Source,,Generically Dependent Continuant,,,,
Language Entity,,Generically Dependent Continuant,,,,
Ethic,,Generically Dependent Continuant,,,,
Group of People,,Group of Living Creatures,contains,Person,,
Group of Animals,,Group of Living Creatures,contains,Animal,,
Group of Plants,,Group of Living Creatures,contains,Plant,,
Nation/Ethnicity,,Group of People,,,,
Meta-Halacha,,Halacha,,,,
Rabbinic Holiday,,Holiday,,,,
Torah Holiday,,Holiday,,,,
Site,http://purl.obolibrary.org/obo/BFO_0000029,Immaterial Entity,,,,
Continuant Fiat Boundary,http://purl.obolibrary.org/obo/BFO_0000140,Immaterial Entity,,,,
Food,,Inanimate Object,,,,
Material Entity,http://purl.obolibrary.org/obo/BFO_0000040,Independent Continuant,,,,
Immaterial Entity,http://purl.obolibrary.org/obo/BFO_0000141,Independent Continuant,,,,
Language,,Language Entity,contains,Letter,,
Letter,,Language Entity,,,,
Phrase,,Language Entity,,,,
Animal,,Living Creature,contains,Fiat Object Part,,
Person,,Living Creature,contains,Fiat Object Part,participates_in,History
Plant,,Living Creature,,,,
Fiat Object Part,http://purl.obolibrary.org/obo/BFO_0000024,Material Entity,,,,
