Node,BFO ID,isa,Edge,Other Node,Edge2,Other Node2
Object Aggregate,http://purl.obolibrary.org/obo/BFO_0000027,Material Entity,,,,
Object,http://purl.obolibrary.org/obo/BFO_0000030,Material Entity,,,,
Living Creature,,Object,,,,
Inanimate Object,,Object,participates_in,Halachic Process,,
Group of Living Creatures,,Object Aggregate,,,,
Group of Inanimate Objects,,Object Aggregate,,,,
Temporal Region,http://purl.obolibrary.org/obo/BFO_0000008,Occurent,,,,
Spatiotemporal Region,http://purl.obolibrary.org/obo/BFO_0000011,Occurent,,,,
Process,http://purl.obolibrary.org/obo/BFO_0000015,Occurent,,,,
Process Boundary,http://purl.obolibrary.org/obo/BFO_0000035,Occurent,,,,
Week,,One-dimensional Temporal Region,contains,Day,,
Month,,One-dimensional Temporal Region,contains,Day,,
Season,,One-dimensional Temporal Region,,,,
Year,,One-dimensional Temporal Region,contains,Month,,
Holiday,,One-dimensional Temporal Region,applies_halacha,Halacha,,
Part of Day,,One-dimensional Temporal Region,,,,
Day,,One-dimensional Temporal Region,contains,Part of Day,,
Biblical Person,,Person,,,,
Mishnaic Person,,Person,,,,
Talmudic Person,,Person,,,,
Geon Person,,Person,,,,
Rishon Person,,Person,,,,
Modern Person,,Person,,,,
Theology,,Philosophy,,,,
Theurgy,,Philosophy,,,,
Process Profile,http://purl.obolibrary.org/obo/BFO_0000144,Process,,,,
Historical Event,http://purl.obolibrary.org/obo/BFO_0000182,Process,,,,
Lifecycle Process,,Process,,,,
Halachic Process,,Process,,,,
Artistic Process,,Process,,,,
Weather,,Process,,,,
Material Quality,,Quality,,,,
Number,,Quality,,,,
Relational Quality,http://purl.obolibrary.org/obo/BFO_0000145,Quality,,,,
Color,,Material Quality,,,,
Disposition,http://purl.obolibrary.org/obo/BFO_0000016,Realizable Entity,,,,
Role,http://purl.obolibrary.org/obo/BFO_0000023,Realizable Entity,,,,
Preposition,,Relational Quality,,,,
Specific Person Relationship,,Relational Quality,contains,Person,,
Covenant,,Relational Quality,,,,
Divine Role,,Role,,,,
Geographic Site,,Site,,,contains,Geographic Site
Geographic Feature,,Site,,,,
Structure,,Site,,,,
Realizable Entity,http://purl.obolibrary.org/obo/BFO_0000017,Specifically Dependent Continuant,,,,
Quality,http://purl.obolibrary.org/obo/BFO_0000019,Specifically Dependent Continuant,,,,
One-dimensional Temporal Region,http://purl.obolibrary.org/obo/BFO_0000038,Temporal Region,,,,
Zero-dimensional Temporal Region,http://purl.obolibrary.org/obo/BFO_0000148,Temporal Region,,,,
Spiritual Entity,,Theology,,,,
Spiritual Site,,Theology,,,,
Pilgrimage Festival,,Torah Holiday,,,,
High Holiday,,Torah Holiday,,,,
Entity,http://purl.obolibrary.org/obo/BFO_0000001,,,,,
Halachic Role,,Role,,,,
Halachic Quality,,Quality,,,,
Specific Biblical Person Relationship,,Specific Person Relationship,,,,
Biblical Source,,Source,,,,
Word,,Language Entity,,,,
Theological Process,,Process,,,,
Biblical Historical Event,,Historical Event,,,,
Law,,Generically Dependent Continuant,,,,
Body Part,,Fiat Object Part,,,,
Halachic Role of Inanimate Object,,Halachic Role,,,,
Halachic Role of Person,,Halachic Role,,,,
Role of Person,,Role,,,,
Halachic Role of Person,,Role of Person,,,,
Family Role,,Role of Person,,,,
Occupation,,Role of Person,,,,
Mammal,,Animal,,,,
Fish,,Animal,,,,
Bird,,Animal,,,,
Arthropod,,Animal,,,,
Reptile,,Animal,,,,
Amphibian,,Animal,,,,
Worm,,Animal,,,,
