Name,Match Name,Match ID,Match En Name,Match URL
שמשון,שמשון,Q214648,Samson,https://www.wikidata.org/wiki/Q214648
בארה,,#N/A,#N/A,
סיחון,סיחון,Q887987,Sihon,https://www.wikidata.org/wiki/Q887987
ציבא,,#N/A,#N/A,
איש בושת,איש בושת,Q313238,Ish-bosheth,https://www.wikidata.org/wiki/Q313238
איוב וחבריו,איוב,Q179962,Job,https://www.wikidata.org/wiki/Q179962
אגור,אגור בן יקה,Q398663,Agur,https://www.wikidata.org/wiki/Q398663
מחלון וכליון,,Q9026972,Mahlon,https://www.wikidata.org/wiki/Q9026972
אהוד,אהוד בן גרא,Q1300996,Ehud,https://www.wikidata.org/wiki/Q1300996
נמרוד,נמרוד,Q201861,Nimrod,https://www.wikidata.org/wiki/Q201861
יהושע כהן גדול,יהושע בן יהוצדק,Q783824,Joshua the High Priest,https://www.wikidata.org/wiki/Q783824
בלדד,,#N/A,#N/A,
יקטן,יקטן,Q1553059,Joktan,https://www.wikidata.org/wiki/Q1553059
יהוידע,יהוידע הכהן,Q2194240,Jehoiada,https://www.wikidata.org/wiki/Q2194240
אלישבע,אלישבע בת עמינדב,Q2916801,Elisheba,https://www.wikidata.org/wiki/Q2916801
הרן,הרן,Q1199156,Haran,https://www.wikidata.org/wiki/Q1199156
חזאל,,#N/A,#N/A,
נתנאל,,#N/A,#N/A,
שלומיאל,,#N/A,#N/A,
הושע המלך,הושע בן אלה,Q319038,#N/A,https://www.wikidata.org/wiki/Q319038
אליפז,אליפז בן עשו,Q2899130,Eliphaz,https://www.wikidata.org/wiki/Q2899130
בניהו,בניהו בן יהוידע,Q816667,Benaiah,https://www.wikidata.org/wiki/Q816667
שת,שת,Q107626,Seth,https://www.wikidata.org/wiki/Q107626
דוד,דוד,Q41370,David,https://www.wikidata.org/wiki/Q41370
חבקוק,חבקוק,Q135106,#N/A,https://www.wikidata.org/wiki/Q135106
עמשא,עמשא בן יתר,Q2689456,Amasa,https://www.wikidata.org/wiki/Q2689456
שפרה ופועה,,Q767434,Shiphrah,https://www.wikidata.org/wiki/Q767434
צלה,צלה,Q203082,Zillah,https://www.wikidata.org/wiki/Q203082
עבר בנו של שם,עבר,Q502282,Eber,https://www.wikidata.org/wiki/Q502282
מנשה המלך,מנשה,Q156328,Manasseh of Judah,https://www.wikidata.org/wiki/Q156328
המן,המן האגגי,Q650680,Haman,https://www.wikidata.org/wiki/Q650680
און בן פלת,און בן פלת,Q18227832,On,https://www.wikidata.org/wiki/Q18227832
אמתלאה,,#N/A,#N/A,
שלום בן תקוה,,#N/A,#N/A,
שונמית,,#N/A,#N/A,
לבן,לבן הארמי,Q840401,Laban,https://www.wikidata.org/wiki/Q840401
נבוזראדן,נבוזראדן,Q6903514,Nebuzaradan,https://www.wikidata.org/wiki/Q6903514
נחמיה,,#N/A,#N/A,
יעל אשת חבר הקיני,יעל אשת חבר הקיני,Q954820,Yael,https://www.wikidata.org/wiki/Q954820
ידותון,,#N/A,#N/A,
מיכה הנביא,,#N/A,#N/A,
הושע הנביא,הושע בן בארי,Q665541,Hosea,https://www.wikidata.org/wiki/Q665541
יהויקים,יהויקים,Q319034,Jehoiakim,https://www.wikidata.org/wiki/Q319034
יהוא,יהוא,Q313225,#N/A,https://www.wikidata.org/wiki/Q313225
עמוס,,#N/A,#N/A,
עידית,,#N/A,#N/A,
מישאל ואלצפן,,#N/A,#N/A,
גד,גד,Q851749,Gad,https://www.wikidata.org/wiki/Q851749
פרץ,פרץ,Q1814684,Perez,https://www.wikidata.org/wiki/Q1814684
למך,למך בן מתושאל,Q155852,Lamech,https://www.wikidata.org/wiki/Q155852
כלאב,כלאב,Q2418113,Chileab,https://www.wikidata.org/wiki/Q2418113
למואל,,#N/A,#N/A,
נון,נון,Q3344859,Nun,https://www.wikidata.org/wiki/Q3344859
תמר אבשלום,תמר,Q30148909,Tamar,https://www.wikidata.org/wiki/Q30148909
ממרא,,#N/A,#N/A,
חיאל,,#N/A,#N/A,
שבנא,,#N/A,#N/A,
אבשלום,אבשלום,Q205372,Absalom,https://www.wikidata.org/wiki/Q205372
אביאל,אביאל בן צרור,Q16128781,Abiel,https://www.wikidata.org/wiki/Q16128781
ושתי,ושתי,Q1889603,Vashti,https://www.wikidata.org/wiki/Q1889603
עשהאל,,#N/A,#N/A,
פוטיאל,,#N/A,#N/A,
רות,,#N/A,#N/A,
אפרים,,#N/A,#N/A,
סנחריב,,#N/A,#N/A,
תובל קין,תובל קין,Q1356181,Tubal-cain,https://www.wikidata.org/wiki/Q1356181
גרשם,גרשום,Q1514983,Gershom,https://www.wikidata.org/wiki/Q1514983
טוב,,#N/A,#N/A,
נחשון,נחשון בן עמינדב,Q1784980,Nahshon,https://www.wikidata.org/wiki/Q1784980
סדום מלך,,#N/A,#N/A,
מלאכי,,#N/A,#N/A,
שישק,,#N/A,#N/A,
צליה,,#N/A,#N/A,
שבע בן בכרי,,#N/A,#N/A,
יהויכין,יהויכין,Q319049,Jeconiah,https://www.wikidata.org/wiki/Q319049
שרח,,#N/A,#N/A,
יונדב בן רכב,יונדב בן שמעה,Q6271831,Jonadab,https://www.wikidata.org/wiki/Q6271831
פנחס,פינחס,Q128063,Phinehas,https://www.wikidata.org/wiki/Q128063
יעקב,יעקב,Q289957,Jacob,https://www.wikidata.org/wiki/Q289957
עתליה,עתליה,Q463934,Athaliah,https://www.wikidata.org/wiki/Q463934
יואל,יואל,Q20888416,Joel,https://www.wikidata.org/wiki/Q20888416
אדם הראשון,אדם,Q70899,Adam,https://www.wikidata.org/wiki/Q70899
הימן,,#N/A,#N/A,
יואב,יואב בן צרויה,Q1141064,Joab,https://www.wikidata.org/wiki/Q1141064
קהלת,,#N/A,#N/A,
בלעם,בלעם בן בעור,Q574641,Balaam,https://www.wikidata.org/wiki/Q574641
עובד אדום,,Q1135791,Obed,https://www.wikidata.org/wiki/Q1135791
לוט,לוט,Q40574,Lot,https://www.wikidata.org/wiki/Q40574
גלית,גוליית,Q192785,Goliath,https://www.wikidata.org/wiki/Q192785
אויל מרודך,,#N/A,#N/A,
סנבלט,סנבלט,Q751918,Sanballat the Horonite,https://www.wikidata.org/wiki/Q751918
אבנר,אבנר בן נר,Q1133337,Abner,https://www.wikidata.org/wiki/Q1133337
אחימלך,אחימלך בן אחיטוב,Q400257,Ahimelech,https://www.wikidata.org/wiki/Q400257
שבא מלכת,,#N/A,#N/A,
חושים בן דן,,#N/A,#N/A,
אונן,אונן,Q661074,Onan,https://www.wikidata.org/wiki/Q661074
קינן,קינן,Q844433,Kenan,https://www.wikidata.org/wiki/Q844433
יהואחז,יהואחז,Q336832,Jehoahaz of Judah,https://www.wikidata.org/wiki/Q336832
תגלת פלאסר,,#N/A,#N/A,
גד החוזה,גד החוזה,Q2559051,Gad,https://www.wikidata.org/wiki/Q2559051
שמעון,שמעון,Q1773005,Simeon,https://www.wikidata.org/wiki/Q1773005
צופר,,#N/A,#N/A,
אסא,אסא,Q313415,Asa of Judah,https://www.wikidata.org/wiki/Q313415
מנוח,מנוח,Q221514,Manoah,https://www.wikidata.org/wiki/Q221514
בן הדד,בן-הדד הראשון,Q816397,Ben-Hadad I,https://www.wikidata.org/wiki/Q816397
תמנע,,#N/A,#N/A,
מיכל,מיכל,Q1341397,Michal,https://www.wikidata.org/wiki/Q1341397
יאיר,יאיר הגלעדי,Q1143157,Jair,https://www.wikidata.org/wiki/Q1143157
זכריה בית ראשון,,#N/A,#N/A,
סרח,,#N/A,#N/A,
שפן,,#N/A,#N/A,
מישע,,#N/A,#N/A,
בתואל,בתואל,Q1579827,Bethuel,https://www.wikidata.org/wiki/Q1579827
יצחק,יצחק,Q671872,Isaac,https://www.wikidata.org/wiki/Q671872
צדקיה,,#N/A,#N/A,
דתן ואבירם,,#N/A,#N/A,
אביה מלך יהודה,אביה,Q273517,Abijah of Judah,https://www.wikidata.org/wiki/Q273517
עזריהו בן עודד,,#N/A,#N/A,
חנה,חנה,Q2346367,Hannah,https://www.wikidata.org/wiki/Q2346367
ערפה,ערפה,Q1697019,Orpah,https://www.wikidata.org/wiki/Q1697019
