Topic,English description,Is A Type Of,Is a Type Of (2),Final Topic Name,Final English Translation,Final English Transliteration,Is Translation from External Source,According to:,Additional sources (please use link to Sefaria segment and list multiple sources separated by comma),,,Is Paren Good Description
אברהם ושרה,Avraham and Sarah,specific biblical person relationship,,אברהם ושרה,Abraham and Sarah,,,,,,,
אברהם זכות ואמונה,the merit of Avraham's faith,theology,,זכות אמונת אברהם,The Merit of Abraham's Faith,,,,,,,
אברהם נבואה,prophecy of Avraham,theological process,,נבואת אברהם,The Prophecy of Abraham,,,,,,,
אברהם נסיון,Avraham tests,theological process,historical event,נסיונות אברהם,The Tests of Abraham ,,,,,,,
אברהם רכוש,Avraham property,group of inanimate objects,,רכוש אברהם,The Property of Abraham,,,,,,,
אברהם תורה ומצוות,Avraham Torah and observance,theology,,קיום תורה ומצוות של אברהם,Abraham's Observance of the Torah and the Commandments,,,,,,,
אברהם תפלה,Avraham prayer,theological process,,תפלת אברהם,The Prayer of Abraham ,,,,,,,
אברהם,,biblical person,,אברהם,Abraham,,YES,,,,,
אברך,member of royalty,role of person,,אברך,A Royal Individual (One to Whom One Bows),,,Ibn Ezra,Genesis 41:43,,,y
אבשלום,,biblical person,,אבשלום,Absalom,Avshalom,YES,,,,,
אגג,,biblical person,,אגג,,Agag,YES,,,,,
אגדה,"midrash, homily",source,,אגדה,Homily (Midrashic Passage in the Talmud),Aggadah,,,,,,y
אגודה,bundle,quality,,אגודה,A Bundle,,,,,,,
אגוז,nut,plant,food,אגוז,A Nut,,,,,,,
אגור,,biblical person,,אגור,,Agur,YES,,,,,
אגם,body of still water,geographic feature,,אגם,A Body of Still Water,,,,,,,
אגמון,hook,inanimate object,,אגמון,A Bulrush,,,,,,,
אגמי נפש,bodies of calm water,geographic feature,,אגמי נפש,Despondent People,,,,,,,
אגן,type of vessel,inanimate object,,אגן,A Vessel,,,,,,,
אגף,power/resource,quality,,אגף,A Wing (Extension),,,,,,,
אגרוף,hard/strong object,inanimate object,,אגרוף,A Fist or Hard Object,,,,,,,
אגריפס,,talmudic person,,אגריפס,Agrippa,Agrippas,,,,,,
אדום צבע,red/orange,color,,אדום,Red,,,,,,,
אדום,Edom,nation/ethnicity,biblical person,אדום,,Edom,,,,,,
אדון,master,role of person,,אדון,A Master,,,,,,,
אדוניה,,biblical person,,אדוניה,Adonijah,,YES,,,,,
אדיר,great,quality,character trait,אדיר,Powerful,,,,,,,
אדם בריאה,creation of man,theological process,historical event,בריאת אדם,The Creation of Man,,,,,,,
אדם וביתו,man and his family,relationship,,אדם וביתו,A Man and His Household,,,,,,,
אדם ובעלי חיים,relationship of man and animals,relationship,,אדם ובעלי חיים,Man and Animals,,,,,,,
אדם וחברו,treatment of others,meta halacha,relationship,אדם וחברו,Man's [Treatment of] His Fellow,,,,,,,
אדם ומלאך,man and angel,relationship,,אדם ומלאך,Man and Angel[s],,,,,,,
אדם ומציאות,man and existence,relationship,theology,אדם ומציאות,Man and Existence,,,,,,,
אדם חייו,life of man,lifecycle process,philosophy,חיי אדם,The Life of Man,,,,,,,
אדם ידיעה,knowledge of man,knowledge,,ידיעה אנושית,Human Knowledge ,,,,,,,
אדם מעשה,action of man,process,philosophy,מעשי האדם,Man's Actions,,,,,,,
אדם נשמה,soul of man,spiritual entity,,נשמת האדם,The Soul of Man,,,,,,,
אדם פרנסה,livelihood of man,process,philosophy,פרנסה,(Man's) Livelihood ,,,,,,,
אדם צלם אלקים,man representing the Divine,theology,quality,צלם אלקים,The Image of God,,,,,,,
אדם שם,"meaning of ""Adam""",quality,,אדם,Man,,,,,,,
אדם תפקיד ושלמות,purpose of man,disposition,,תפקיד האדם ושלמותו,The Purpose of Man and his Perfection,,,,,,,
אדם בחירה,free will of man,freedom,,בחירה,Free Will ,,,,,,,
אדם הראשון אחר החטא,Adam after the sin,theology,quality,אדם הראשון אחר החטא,Adam After the Sin,,,,,,,
אדם הראשון אכילה,food for Adam,theology,,מזון האדם הראשון,Adam's Food,,,,,,,
אדם הראשון וחוה,,specific biblical person relationship,,אדם וחוה,Adam and Eve,,,,,,,
