Topic,English description,Is A Type Of,Is a Type Of (2),Final Topic Name,Final English Translation,Final English Transliteration,Is Translation from External Source,According to:,Additional sources (please use link to Sefaria segment and list multiple sources separated by comma),,,Is Paren Good Description
טומאה אוכלין ומשקין,impurity of food/liquid,halachic quality,,טומאת אוכלין ומשקין,Impurity of Foods and Liquids,,,,,,,
טומאה הכשר,facilitation of impurity ,halachic process,,הכשר טומאה ,Rendering [Something] Susceptible to Impurity ,,,,,,,
טומאה כלים,impurity of items,halachic quality,,טומאת כלים,Impurity of Vessels,,,,,,,
טומאה לידה,impurity of birthing,halachic quality,,טומאת לידה,Impurity from Birthing,,,,,,,
טומאה מקדש וקדשיו,impurity eating korban/entering Beis HaMikdash,halachic quality,,טומאת מקדש וקדשיו,Impurity of the Temple and its Sanctified Items,,,,,,,
טומאה משקין,impurity of liquids,halachic quality,,טומאת משקין,Impurity of Liquids,,,,,,,
טומאה מת,impurity of death,halachic quality,,טומאת מת,Impurity from a Dead Body,,,,,,,
טומאה נבלה,impurity of dead unslaughtered animal,halachic quality,,טומאת נבלה,Impurity from a Carcass,,,,,,,
טומאה ספק,uncertain impurity,halachic quality,,ספק טומאה ,Uncertain Impurity ,,,,,,,
טומאה שלוח,sending out impure,halachic process,,שילוח טמאים,The Sending Out of Impure People,,,,,,,
טומאה שרץ,impurity of dead creature,halachic quality,,טומאת שרץ,Impurity from a Dead Crawling Animal,,,,,,,
טומאה,impurity ,halachic quality,,טומאה,Impurity ,Tumah,,,,,,
טומטום ואנדרוגינוס,uncertain gender/androgynous,material quality,,טומטום ואנדרוגינוס,A Person With Covered (and Hence Unknown) Genitalia or One with both Male and Female Genitalia,Tumtum and Androginos,,,,,,
טוס,peacock?,bird,,טוס,A Peacock,,,,,,,
טורח,imposition,process,,טורח,Strain or Effort,,,,,,,
טורנוס רופוס,,mishnaic person,,טורנוס רופוס,,Turnus Rufus,,,,,,
טחול,spleen,body part,,טחול,A Spleen,,,,,,,
טטפות,tefillin or other adornment on the forehead,halachic role of inanimate object,,טטפות,Biblical Word for Phylacteries (Tefillin),,,,,,,
טיטוס,,mishnaic person,,טיטוס,Titus,,,,,,,
טירה,palace/shrine,structure,,טירה,A Palace,,,,,,,
טל,dew,weather,inanimate object,טל,Dew,,,,,,,
טלית,shawl,inanimate object,,טלית,A Large Shawl or Wrap,Talit,,,,,,
טעון,carrying/loaded,process,,טעון,Loaded,,,,,,,
טעות,mistake,process,,טעות,A Mistake,,,,,,,
טעם,taste,process,,טעם,Taste or Reason,,,,,,,
טעמים,cantillation,language entity,,טעמים,Cantillation Marks,,,,,,,
טף,children,family role,,טף,Infants,,,,,,,
טפש,stupid,quality,,טפש,Stupid,,,,,,,
טרד טרדה,busy,process,,טרדה,Preoccupation,,,,,,,
טרח טרחה,imposition,process,,טרחה,Strain or Effort,,,,,,,
טרם,before/while,preposition,,טרם,Before (or While),,,,,,,
טרף טרפה,sick/mauled animal,halachic quality,,טרפה,A Severely Injured or Otherwise Dying Animal,Terefah,,,,,,
טרף,food,food,,טרף,Food of Free Animals,,,Hirsch,Genesis 8:11,,,
טרקלין,hall/parlor,structure,,טרקלין,A Parlor,,,,,,,
י,,letter,,י,"The Letter, Yod",,,,,,,
יאהרצייט,anniversary of death,day,,יאהרצייט,The Anniversary of Someone's Death,Yahrzeit,,,,,,
יאור,pool/Nile,geographic feature,,יאור,The Nile River,,,,,,,
יאיר,,biblical person,,יאיר,Jair,Yair,YES,,,,,
יאשיה,,biblical person,,יאשיה,Josiah,Yoshiyah,,,,,,
יבול,produce,food,,יבול,Produce,,,,,,,
יבום,yibum,halachic process,,יבום,Levirate Marriage,Yibum,,,,,,
יבוס,,geographic site,,יבוס,Jebus (Jerusalem),,,,,,,
יבוסי,,nation/ethnicity,,יבוסי,The Jebusites,,,,,,,
יבוק,,geographic site,,יבוק,The Jabbok (Zarqa) River,Yabbok,,,,,,
יבנה,,geographic site,,יבנה,Jabneh,Yavneh,,,,,,
יבש גלעד,,geographic site,,יבש גלעד,Jabesh Gilead,Yavesh Gilad,,,,,,
יבשה,dry land,geographic feature,,יבשה,Dry Land,,,,,,,
יגע,weary,quality,,יגע,Weary,,,,,,,
יד חזקה,"""strong arm""",phrase,,יד חזקה,"""A Strong Arm""",,,,,,,
יד,hand/arm,body part,,יד,A Hand or Arm,,,,,,,
ידותון,,biblical person,,ידותון,Jeduthun,Yedutun,,,,,,
ידיעה,knowledge,disposition,,ידיעה,Knowledge,,,,,,,
ידיעת ה,knowledge of HaShem,theology,knowledge,ידיעת ה',Knowledge of God,,,,,,,
ידעוני,type of sorcery,halachic process,,ידעוני,Type of Divining,Yid'oni,,,,,,
יהא שמיה רבא מברך,"""may His great name be magnified""",phrase,,יהא שמיה רבא מברך,"""May His Great Name be Blessed""",,,,,,,
יהדות,Judaism,theology,,יהדות,Judaism,,,,,,,
יהוא,,biblical person,,יהוא,,Yehu,,,,,,
יהואחז,,biblical person,,יהואחז,Jehoahaz of Judah,,YES,,,,,
יהודה ארץ,land of Yehudah,geographic site,,ארץ יהודה ,The Land of Judah,,,,,,,
יהודה בניו,Yehudah and his children,specific biblical person relationship,,יהודה ובניו,Judah and his Sons,,,,,,,
יהודה ברכה,blessing of Yehudah,theology,,ברכת יהודה,Judah's Blessing  ,,,,,,,
יהודה ויוסף,,specific biblical person relationship,,יהודה ויוסף,Judah and Joseph,,,,,,,
יהודה ועשרת השבטים,Yehudah and 10 tribes,relationship,,יהודה ועשרת השבטים,Judah and the Ten Tribes,,,,,,,
יהודה ותמר,Yehudah and Tamar,specific biblical person relationship,,יהודה ותמר,Judah and Tamar,,,,,,,
יהודה מלכות,kingdom of Yehudah,nation/ethnicity,,מלכות יהודה ,The Kingdom of Judah ,,,,,,,
יהודה בן גרים,,mishnaic person,,יהודה בן גרים,Judah the Son of Converts,,,,,,,
יהודה המכבי,,mishnaic person,,יהודה המכבי,Judah the Maccabee,,,,,,,
יהודה,,biblical person,,יהודה,Judah,Yehudah,YES,,,,,
יהודי,Jew,nation/ethnicity,,יהודי,A Jew,,,,,,,
יהודית,,mishnaic person,,יהודית,Judith,Yehudit,,,,,,
יהוידע,,biblical person,,יהוידע,Jehoiada,Yehoyada,YES,,,,,
יהויכין,,biblical person,,יהויכין,Jeconiah,Yehoyachin,YES,,,,,
יהויקים,,biblical person,,יהויקים,Jehoiakim,Yehoyakim,YES,,,,,
יהונדב בן רכב,,biblical person,,יהונדב בן רכב,"Jehonadab, the Son of Rechab",,,,,,,
יהונתן בן גרשם,,biblical person,,יהונתן בן גרשם,"Jonathan, the Son of Gershom",Yehonatan ben Gershom,YES,,,,,
יהונתן בן שאול,,biblical person,,יהונתן בן שאול,Jonathan,Yehonatan ,YES,,,,,
יהורם מלך יהודה,,biblical person,,יהורם מלך יהודה,"Jehoram, King of Judah",Yehoram,YES,,,,,
יהורם מלך ישראל,,biblical person,,יהורם מלך ישראל,"Jehoram, King of Israel",Yehoram,,,,,,
יהושע כבוש יריחו,Yehoshua conquering Jericho,biblical historical event,,כבוש יריחו,The Conquest of Jericho,,,,,,,
יהושע כהן גדול,,biblical person,,יהושע כהן גדול,Joshua the High Priest,,YES,,,,,
יהושע מעבר הירדן,Yehoshua crossing Jordan river,biblical historical event,,מעבר הירדן,Joshua Crossing the Jordan River,,,,,,,
יהושע מרגלים,Yehoshua sending spies,biblical historical event,,מרגלי יהושע,Joshua's Spies,,,,,,,
יהושע עמידת השמש,Yehoshua stopping sun,biblical historical event,,עמידת השמש בגבעון,The Stopping of the Sun in Gibeon,,,,,,,
יהושע,,biblical person,,יהושע,Joshua,,YES,,,,,
יהושפט,,biblical person,,יהושפט,Jehoshaphat,Yehoshafat,YES,,,,,
יהי,it should/will be,word,,יהי,"""It Shall be""",,,,,,,
יהרג ואל יעבר,mitzvos that require giving life over transgression,halachic process,,יהרג ואל יעבר,Die and do not Transgress (Commandments that Require Martyrdom Not to Transgress),,,,,,,y
יואב,,biblical person,,יואב,Joab,Yoav,YES,,,,,
יואל,,biblical person,,יואל,Joel,Yoel,YES,,,,,
יואש מלך יהודה,,biblical person,,יואש מלך יהודה,"Jehoash, King of Judah",Yoash,YES,,,,,
יואש מלך ישראל,,biblical person,,יואש מלך ישראל,"Jehoash, King of Israel",Yoash,,,,,,
יובל,yovel,span of time,,יובל,Jubilee,Yovel,,,,,,
יוכבד,,biblical person,,יוכבד,Jochebed,Yocheved,YES,,,,,
יולדת,woman who's given birth,halachic quality,,יולדת,A Woman who has Given Birth,,,,,,,
יום ב,monday,day,,יום ב',Monday,,,,,,,
יום ג,tuesday,day,,יום ג',Tuesday,,,,,,,
יום ד,wednesday,day,,יום ד',Wednesday,,,,,,,
יום ה,thursday,day,,יום ה',Thursday,,,,,,,
יום הדין,day of judgement,moment in time,theology,יום הדין,The Day of Judgement,,,,,,,
יום הולדת,birthday,day,,יום הולדת,A Birthday,,,,,,,
יום השם,"""the day of HaShem""",moment in time,theology,יום השם,The Day of the Lord,,,,,,,
יום חול,mundane days of the week,quality,,יום חול,A Weekday,,,,,,,
יום טוב אסורי,prohibitions of yomtov,halachic process,,איסורי יום טוב,Prohibitions of Festival Days,,,,,,,
יום טוב שני,2nd day of yomtov,rabbinic holiday,,יום טוב שני,2nd Day Festival,,,,,,,
יום טוב,holiday,span of time,,יום טוב,Festival,Yom Tov,,,,,,
יום כפורים אסורי,prohibitions of yom kippur,halachic process,,אסורי יום הכפורים ,Prohibitions of Yom Kippur,,,,,,,
יום כפורים כפרה,atonement of yom kippur,theological process,,כפרת יום הכפורים ,Atonement of Yom Kippur,,,,,,,
יום כפורים עבודה,service of yom kippur,halachic process,,עבודת יום הכפורים ,Temple Service of Yom Kippur,,,,,,,
יום כפורים ערב,eve of yom kippur,day,,ערב יום הכפורים ,Yom Kippur Eve,,,,,,,
יום כפורים,yom kippur,high holiday,,יום הכפורים,The Day of Atonement,Yom Kippur,,,,,,
יום,day,span of time,,יום,Day,,,,,,,
יון חכמת לשון,Greek code,language,,יוונית,Greek,,,,,,,
יון,,nation/ethnicity,,יון,Greece,,,,,,,
יונדב בן רכב,,biblical person,,יונדב בן רכב,"Jonadab, the Son of Rechab",,YES,,,,,
יונה הנביא,,biblical person,,יונה הנביא,Jonah,Yonah,,,,,,
יונה עוף,dove,bird,,יונה,A Dove,,,,,,,
יוסף ארון,coffin of Yosef,inanimate object,,ארון יוסף,Joseph's Coffin,,,,,,,
יוסף ברכה,blessing of Yosef,theology,,ברכת יוסף,Joseph's Blessing ,,,,,,,
יוסף ואחיו,Yosef and brothers,specific biblical person relationship,,יוסף ואחיו,Joseph and his Brothers,,,,,,,
יוסף ואשת פוטיפר,Yosef and wife of potifar,biblical historical event,,יוסף ואשת פוטיפר,Joseph and Potiphar's Wife,,,,,,,
יוסף ובניו,Yosef and sons,group of people,,יוסף ובניו,Joseph and His Sons,,,,,,,
יוסף ובנימין,Yosef and Binyamin,specific biblical person relationship,,יוסף ובנימין,Joseph and Benjamin,,,,,,,
יוסף ומצרים,Yosef in Egypt,biblical historical event,,יוסף במצרים,Joseph in Egypt,,,,,,,
יוסף ופוטיפר,Yosef and Potifar,biblical historical event,,יוסף ופוטיפר,Joseph and Potiphar,,,,,,,
יוסף ופרעה,Yosef and Pharaoh,specific biblical person relationship,,יוסף ופרעה,Joseph and Pharaoh,,,,,,,
יוסף ושר המשקים,Yosef and the butler,biblical historical event,,יוסף ושר המשקים,Joseph and the Wine Steward,,,,,,,
יוסף חלום,Yosef dream,biblical historical event,,חלום יוסף,Joseph's Dream,,,,,,,
יוסף מכירת,sale of Yosef,biblical historical event,,מכירת יוסף,The Sale of Joseph ,,,,,,,
יוסף צפנת פענח,Yosef as interpreter of mysteries,role of person,historical event,צפנת פענח,Zaphnath-Paaneah (The Name Given to Joseph by Pharaoh),,,,,,,y
יוסף בן סימאי,,mishnaic person,,יוסף בן סימאי,Joseph ben Simai,Yosef ben Simai,,,,,,
יוסף הכהן,,mishnaic person,,יוסף הכהן,Joseph the Priest,,,,,,,
יוסף מוקיר שבת,,talmudic person,,יוסף מוקיר שבת,Joseph who Cherished the Shabbat,Yosef Mokir Shabbat,,,,,,
יוסף,,biblical person,,יוסף,Joseph,Yosef ,,,,,,
יופי,beauty/virtue,quality,,יופי,Beauty,,,,,,,
יוקר,inflation,process,,יוקר,Inflation or Price Appreciation,,,,,,,
יורה,first rains,weather,,יורה,First Rains,,,,,,,
יורש עצר,heir,role of person,,יורש עצר,No [or Few] Heirs,,,,,,,
יושר,integrity,character trait,,יושר,Integrity,Yosher,,,,,,
יותם,,biblical person,,יותם,Jotham of Judah,Yotam,YES,,,,,
יותרת הכבד,organ/membrane attached to liver,body part,,יותרת הכבד,Diaphragm,,,,,,,
יזם,think/plot,process,,יזם,To Plan or Plot,,,,,,,
יחדיו,together,relationship,,יחדיו,Together,,,,,,,
יחוד,seclusion of opposite genders,halachic process,,יחוד,Seclusion of a Person with Another Individual or Individuals,,,,,,,
יחוס,pedigree,relationship,,יחוס,Lineage,,,,,,,
יחזקאל נבואה,prophecy of yechezkel,theological process,,נבואת יחזקאל,The Prophecy of Ezekiel ,,,,,,,
יחזקאל,,biblical person,,יחזקאל,Ezekiel,Yechezkel,YES,,,,,
יחי,"""long live/may he succeed""",phrase,,יחי,"""Long Live"" or ""May He Succeed""",,,,,,,
יחיד,individual,quality,,יחיד,Individual,,,,,,,
יחידה,highest degree of the soul,spiritual entity,,יחידה,The Highest Part of the Soul,,,,,,,
יחל,anticipate/yearn,process,,יחל,To Hope for or Anticipate,,,,,,,
יחסיות,relativity,quality,,יחסיות,Relativity (of Understanding),,,,,,,
יין המשומר,the Edenic wine,spiritual entity,,יין המשומר,The Hidden (Edenic) Wine,,,,,,,
יין נסך,,halachic role of inanimate object,,יין נסך,Libational Wine (for Idolatry),,,,,,,
יין,wine/spirits,food,,יין,Wine,,,,,,,
יכל,acheive,process,,יכל,To Achieve,,,,,,,
ילד ילדות,child/juvenile,quality,,ילדות,Childhood,,,,,,,
ילתא,,talmudic person,,ילתא,,Yalta,,,,,,
ים מים,sea/ocean,geographic feature,,ים,Sea,,,,,,,
ים המלח,,geographic site,,ים המלח,Dead Sea,,,,,,,
ים טבריה,,geographic site,,ים טבריה,Sea of Galilee,,,,,,,
ים סוף,,geographic site,,ים סוף,The Red (Reed) Sea,Yam Suf,,,,,,
ים,west,quality,,ים,West (Towards the Sea),,,,,,,
ימים,type of giants,group of people,,ימים,Mules or a Group of Giants,,,,,,,
ימין,right side,fiat object part,,ימין,The Right Side,,,,,,,
ינאי,,mishnaic person,,ינאי,[Alexander] Jannaeus ,Yannai,,,,,,
ינוס וימברוס,,group of people,,ינוס וימברוס,Yunus and Yumbros (Balaam's Children),,,,,,,y
ינק,nurse,lifecycle process,,ינק,To Nurse,,,,,,,
יסודות,the 4 elements,philosophy,,יסודות,[The Four] Elements,,,,,,,
יסורין,adversities,process,theology,יסורין,Afflictions,,,,,,,
יעבץ,,biblical person,,יעבץ,Jabez,Ya'vets,,,,,,
יעד,arrange/designate,process,,יעד,To Designate for Marriage,,,,,,,
יעל אשת חבר הקיני,,biblical person,,יעל אשת חבר הקיני,"Yael, the Wife of Chever the Kenite",,YES,,,,,
יעל,mountain goat?,mammal,,יעל,An Ibex,,,,,,,
יען,because/for,preposition,,יען,Since,,,,,,,
יענה,non-kosher animal,mammal,,יענה,An Ostrich,,,,,,,
יעקב אלוקי,the God of Yaakov,specific biblical person relationship,theology,אלוקי יעקב,The God of Jacob,,,,,,,
יעקב בכורה,Yaakov and birthright,theology,,יעקב והבכורה,Jacob and the Birthright,,,,,,,
יעקב ברכה,blessing of Yaakov,theology,,ברכת יעקב,Jacob's Blessing ,,,,,,,
יעקב הבאר,Yaakov and the well,biblical historical event,,יעקב והבאר,Jacob and the Well,,,,,,,
יעקב הבטחה,promise to Yaakov,theology,,ההבטחה ליעקב,The Promise to Jacob,,,,,,,
יעקב החלום,dream of Yaakov,biblical historical event,theology,חלום יעקב,Jacob's Dream ,,,,,,,
יעקב ובניו,Yaakov and children,specific biblical person relationship,,יעקב ובניו,Jacob and His Children,,,,,,,
יעקב והמלאך,Yaakov and angel,specific biblical person relationship,historical event,יעקב והמלאך,Jacob and the Angel,,,,,,,
יעקב והמקלות,Yaakov and the breeding sticks,biblical historical event,,יעקב והמקלות,Jacob And the Sticks (Genesis 30),,,,,,,
יעקב ויוסף,,specific biblical person relationship,,יעקב ויוסף,Jacob and Joseph,,,,,,,
יעקב ולבן,,specific biblical person relationship,,יעקב ולבן,Jacob and Laban,,,,,,,
יעקב ומצרים,Yaakov in Egypt,biblical historical event,,יעקב ומצרים,Jacob in Egypt,,,,,,,
יעקב ועשו,,specific biblical person relationship,,יעקב ועשו,Jacob and Esau,,,,,,,
יעקב ופרעה,,specific biblical person relationship,,יעקב ופרעה,Jacob and Pharaoh,,,,,,,
יעקב ושכם,,biblical historical event,,יעקב ושכם,Jacob and Shechem,,,,,,,
יעקב מיתה,death of Yaakov,biblical historical event,,מיתת יעקב,Jacob's Death ,,,,,,,
יעקב נדרו,oath of Yaakov,biblical historical event,,נדרו של יעקב,Jacob's Oath ,,,,,,,
יעקב נשיו,,group of people,,נשי יעקב,Jacob's Wives,,,,,,,
יעקב פחדו,fear of Yaakov,theology,,פחד יעקב,Jacob's Fear ,,,,,,,
יעקב קבורה,burial of Yaakov,biblical historical event,,קבורת יעקב,Jacob's Burial ,,,,,,,
יעקב שם,name of Yaakov,quality,,השם יעקב,"The Name, Jacob",,,,,,,
יעקב תורה,Yaakov and Torah,theology,,תורת יעקב,Jacob's [Involvement with] Torah,,,,,,,
יעקב תפלה,prayer of Yaakov,theological process,,תפילת יעקב,Jacob's Prayer ,,,,,,,
יעקב,,biblical person,,יעקב,Jacob,Ya'akov,YES,,,,,
יער,forest/brush,group of plants,,יער,Woods or Forest,,,,,,,
יפו,,geographic site,,יפו,Jaffa,Yafo,,,,,,
יפת תאר,,halachic role of person,,יפת תאר,A [Captive] Woman of Beautiful Form,,,,,,,
יפת,,biblical person,,יפת,Japheth,Yafet,YES,,,,,
יפתח,,biblical person,,יפתח,Jephthah,Yiftach,YES,,,,,
יצא,go out,process,,יצא,To Come Out,,,,,,,
יצב,stand/establish,process,,יצב,To Stand Forth,,,,,,,
יצחק בארות,Yitzchak wells,biblical historical event,,בארות יצחק,Isaac's Wells,,,,,,,
יצחק ברכת,Yitzchak blessings,biblical historical event,theology,ברכת יצחק,Isaac's Blessing,,,,,,,
יצחק ואבימלך,,specific biblical person relationship,,יצחק ואבימלך,Isaac and Abimelech,,,,,,,
יצחק ויעקב,,specific biblical person relationship,,יצחק ויעקב,Isaac and Jacob ,,,,,,,
יצחק וישמעאל,,specific biblical person relationship,,יצחק וישמעאל,Isaac and Ishmael,,,,,,,
יצחק ועשו,,specific biblical person relationship,,יצחק ועשו,Isaac and Esau,,,,,,,
יצחק ורבקה,,specific biblical person relationship,,יצחק ורבקה,Isaac and Rebecca,,,,,,,
יצחק זכות,Yitzchak merit,theology,,זכות צחק,Isaac's Merit,,,,,,,
יצחק נסיון,"Yitzchak test, binding",biblical historical event,theology,יצחק בעקידה,Isaac during the Binding,,,,,,,
יצחק תפלה,Yitzchak prayer,biblical historical event,theological process,תפילת יצחק,Isaac's Prayer,,,,,,,
יצחק,,biblical person,,יצחק,Isaac,,YES,,,,,
יציאה,using the bathroom,process,,יציאה,Relieving Oneself,,,,,,,
יציאת מצרים אותות,the exodus signs,biblical historical event,,אותות יציאת מצרים ,The Signs of the Exodus from Egypt,,,,,,,
יציאת מצרים ארבעה לשונות גאולה,the exodus 4 terms of salvation,theology,,ארבעה לשונות גאולה,The Four Terms of Salvation (Torah),,,,,,,
יציאת מצרים דם פסח,the exodus blood of pesach,biblical historical event,,דם פסח,The Blood of the Passover Sacrifice,,,,,,,
יציאת מצרים זכות,the exodus merit to be saved,theology,,זכות יציאת מצרים ,The Merit for the Exodus from Egypt,,,,,,,
יציאת מצרים זכר,remembrance of the exodus ,halachic process,,זכר יציאת מצרים ,Remembrance of  the Exodus from Egypt,,,,,,,
יציאת מצרים פקד יפקד,the exodus assurance,phrase,,פקד יפקד,"""He Will Certainly Remember""",,,,,,,
יציאת מצרים שאלת הרכוש,the exodus asking for wealth,biblical historical event,,שאלת הרכוש ביציאת מצרים ,Borrowing the Property during the Exodus from Egypt,,,,,,,
יציאת מצרים שפטים,the exodus punishments,biblical historical event,,שפטים ביציאת מצרים ,The Retributions during the Exodus from Egypt,,,,,,,
יציאת מצרים,the exodus ,biblical historical event,theology,יציאת מצרים,The Exodus from Egypt,,,,,,,
יצירה,formation,process,,יצירה,Formation,,,,,,,
יצק,pour,process,,יצק,To Pour,,,,,,,
יצר ברא,formation in creation,theological process,,יצירה,Creation,,,,,,,
יצר רצון,"""yetzer"" inclination/disposition",spiritual entity,,יצרים,Impulses,,,,,,,
יצר הטוב,good inclination,spiritual entity,,יצר הטוב,The Good Impulse,Yetzer Hatov,,,,,,
יצר הרע,evil inclination,spiritual entity,,יצר הרע,The Evil Impulse,Yetzer Hara,,,,,,
יצת,ignite,process,,יצת,To Kindle,,,,,,,
יקד,burn,process,,יקד,To Burn,,,,,,,
יקהת,obey,process,,יקהת,To Obey,,,Radak,Genesis 49:10,,,
יקום איש צרורות,,mishnaic person,,יקום איש צרורות,"Yokim, the Man of Tsrorot",,,,,,,
יקום פורקן,,source,,יקום פורקן,"""May Salvation Arise"" (Prayers for the Community)",Yekum Purkan,,,,,,y
יקום,wealth,quality,,יקום,Existence,,,,,,,
יקטן,,biblical person,,יקטן,Joktan,Yoktan,YES,,,,,
יקץ,awaken,process,,יקץ,To Awaken,,,,,,,
יקר,precious,quality,,יקר,Precious,,,,,,,
ירא יראה,fear/awe,emotion,,יראה,Fear or Awe,,,,,,,
ירבעם בן יואש,,biblical person,,ירבעם בן יואש,"Jeroboam (II), the Son of Jehoash",Yerovam,,,,,,
ירבעם בן נבט,,biblical person,,ירבעם בן נבט,"Jeroboam, the Son of Nebat",Yerovam,YES,,,,,
ירד משה,"Yered, name of Moshe",biblical person,,ירד,Jered (Identified as Moses),Yered,,,,,,y
ירד,descend,process,,ירד,To Descend,,,,,,,
ירדן מעבר ואבני,crossing Jordan river and stones of,biblical historical event,,עבר הירדן והקמת האבנים,Crossing the Jordan River and Setting of the Stones ,,,,,,,
ירדן,,geographic site,,ירדן,The Jordan [River],,,,,,,
ירה,cast,process,,ירה,To Cast,,,,,,,
ירוק,greenish,color,,ירוק,Green,,,,,,,
ירושה,inheritance,halachic process,,ירושה,Inheritance,,,,,,,
ירושלים אבלות,mourning Jerusalem,halachic process,,אבלות על ירושלים,Mourning for Jerusalem,,,,,,,
ירושלים חורבן,destruction of Jerusalem,biblical historical event,,חורבן ירושלים,The Destruction of Jerusalem,,,,,,,
ירושלים לעתיד לבא,future Jerusalem,theology,,ירושלים לעתיד לבא,Jerusalem in the [Messianic) Future,,,,,,,
ירושלים,,geographic site,,ירושלים,Jerusalem ,Yerushalayim,,,,,,
ירח לבנה,moon,inanimate object,,ירח ,The Moon,,,,,,,
ירח האיתנים,month of the ancients (Tishrei),month,,ירח האיתנים,The Month of the Strong Ones (Tishrei),,,,,,,
ירח,month,span of time,,ירח,A Month,,,,,,,
ירט,twist (to wrong/turn sharply),process,,ירט,To Twist (a Trajectory or Path),,,,,,,
יריחו כבוש,,biblical historical event,,כיבוש יריחו,The Conquest of Jericho,,,,,,,
יריחו,,geographic site,,יריחו,Jericho,Yericho,,,,,,
ירך,side/thigh,body part,,ירך,Thigh (or an Allusion to the Reproductive Organs),,,,,,,
ירכתי צפון,,geographic site,,ירכתי צפון,The Northern Summit (an Allusion to the Temple or a Part Thereof),,,,,,,y
ירכתי,far reaches/borders,geographic feature,,ירכתי,The Far Reaches of,,,,,,,
ירמיה,,biblical person,,ירמיה,Jeremiah,Yirmiyah,YES,,,,,
ירקות,vegetables,group of plants,,ירקות,Vegetables,,,,,,,
ירקרק,light/strong green,color,,ירקרק,Light or Dark Green,,,Ibn Ezra,,,,
יש אם למקרא,,meta halacha,,יש אם למקרא,The Written Text Takes Precedence (over the Tradition of What is Actually Read),Yesh Em Lemikra,,,,,,
יש,substance,object,,יש,Substance,Yesh,,,,,,
ישב,sit/settle,process,,ישב,To Sit or Dwell,,,,,,,
ישבי,,biblical person,,ישבי,,Yishbi,,,,,,
ישוב,human settlement,structure,,ישוב,A Settlement or the Populating of a Place ,,,,,,,
ישועה,salvation,process,,ישועה,Salvation,,,,,,,
ישורון,Yeshurun (name for the Jewish people) ,nation/ethnicity,,ישורון,Jeshurun (the Jewish people) ,Yeshurun,,,,,,y
ישי,,biblical person,,ישי,Jesse,Yishai,YES,,,,,
ישיבה,sitting/yeshiva,process,,ישיבה,Sitting or Settling,,,,,,,
ישימון,desolate desert,geographic feature,,ישימון,A Desolate Desert,,,Malbim,,,,
ישמעאל בן נתניה,,biblical person,,ישמעאל בן נתניה,"Ishmael, the Son of Nethaniah",Yishmael ben Netanyah,,,,,,
ישמעאל בן פיאבי,,mishnaic person,,ישמעאל בן פיאבי,,Yishmael ben Pavi,,,,,,
ישמעאל,,biblical person,,ישמעאל,Ishmael,Yishmael ,YES,,,,,
ישן,sleep,process,,ישן,To Sleep,,,,,,,
ישעיה,,biblical person,,ישעיה,Isaiah,Yishayah,YES,,,,,
ישר,straight/righteous/honest,character trait,,ישר,Righteous,,,,,,,
ישראל אחדות,unity of Jewish people,quality,,אחדות ישראל,Jewish Unity,,,,,,,
ישראל ברכה,blessing of Jewish people,theology,,ברכת ישראל,The Blessing of the Jewish People,,,,,,,
ישראל גלות,exile of Jewish people,span of time,,גלות ישראל,The Exile of the Jewish People,,,,,,,
ישראל השגחה,providence of Jewish people,theology,,ההשגחה על עם ישראל,[Divine] Providence over the Jewish People,,,,,,,
ישראל וארץ ישראל,land of Israel and Jewish people,theology,,ישראל וארץ ישראל,The Land of Israel and the Jewish People,,,,,,,
ישראל וה,HaShem and Jewish people,theology,relationship,ישראל וה',The Lord and the Jewish People,,,,,,,
ישראל ועמים,Jewish people and non-Jews,relationship,,ישראל והעמים,The Jewish People and the (Other) Nations,,,,,,,
ישראל חטא,sin of the Jewish people,theological process,,חטאי ישראל,The Sins of the Jewish People,,,,,,,
ישראל לעתיד לבא,future of Jewish people,theology,,ישראל לעתיד לבא,The Jewish People in the Future,,,,,,,
ישראל מדות וטבע,traits and nature of Jewish people,character trait,,מדות וטבע ישראל ,The Traits and Nature of the Jewish People,,,,,,,
ישראל מזל,mazal and Jewish people,theology,,ישראל ומזל,The Jewish People and (Predetermination from) the Stars,,,,,,,
ישראל מנין,,theological process,,מנין ישראל,Counting the Jewish People,,,,,,,
ישראל עונש,punishment of the Jewish people,theological process,,עונש ישראל ,The Punishment of the Jewish People,,,,,,,
ישראל ערבות,mutual responsibility of Jewish people,meta halacha,,ערבות עם ישראל ,Mutual Responsibility of the Jewish People,,,,,,,
ישראל שם,name Israel,quality,,השם ישראל ,"The Name, Israel",,,,,,,
ישראל תורה,Torah and Jewish people,theology,,תורת ישראל,Torah and the Jewish People,,,,,,,
ישראל תפקיד,purpose/job of Jewish people,theology,,תפקד עם ישראל,The Mission of the Jewish People,,,,,,,
ישראל,,nation/ethnicity,,ישראל,Israel (the Jewish People),Yisrael,,,,,,y
יששכר וזבולון,,specific biblical person relationship,,יששכר וזבולון,Issachar and Zebulun,Yissachar and Zevulun,,,,,,
יששכר איש כפר ברקאי,,mishnaic person,,יששכר איש כפר ברקאי,"Issachar, the Man of Kfar Barkai",,,,,,,
יששכר,,biblical person,,יששכר,Issachar,Yissachar ,YES,,,,,
יתום,orphan,quality,,יתום,An Orphan,,,,,,,
יתוש,gnat/mosquito?,arthropod,,יתוש,A Mosquito,,,,,,,
