Topic,English description,Is A Type Of,Is a Type Of (2),According to,About Category,Is Category,About Topic,Notes
א,letter aleph,letter,,,,,,
אב,father,family role,,,,,,
אב ובן,father and son,relationship,,,,,,
אב ובת,father and daughter,relationship,,,,,,
אב חודש,month of Av,month,,,,,,
אבא אומנא,,talmudic person,,,,,,
אבא סוראה,,talmudic person,,,,,,
אבדה,lost object,role,,,,,,talking about lost objects in general. discusses a lot of halacha but not purely halacha
אבדון,ether,inanimate object,spiritual site,"מלבי""ם",,,,some type of energy / light
אבה חשק,a type of desire,emotion,,,,,,
אבה אניות,boat,inanimate object,,תרגום יונתן,,,,"machloket, could either mean a boat, a river or will"
אבות,patriarchs of Judaism,group of people,,,,,,"referring to the Avot: Avraham, Yitzchak Yaakov"
אבות אלוקי,God of the patriarchs,divine role,,,,,אבות,relationship between Hashem and the Avot
אבות ברית והבטחה,covenant with patriarchs,theology,covenant,,,,אבות,
אבות ברכה והשגחה,blessing of patriarchs,theological process,covenant,,,,אבות,
אבות זכות,merit of patriarchs,theology,,,,,אבות,
אבות מעשה אבות סימן לבנים,,theology,,,,,אבות,
אבות נבואה,prophecy of patriarchs,theological process,,,,,אבות,
אבות רכוש,property of patriarchs,group of inanimate objects,,,,,אבות,
אבות תורה,torah knowledge of patriarchs,knowledge,,,,,אבות,talking about the Torah knowledge the Avot had
אבות תפלה,prayer of patriarchs,theological process,,,,,אבות,
אביב,spring,season,,אברבנאל,,,,
אביאל,,biblical person,,,,,,
אביגיל,,biblical person,,,,,,
אביה מלך יהודה,,biblical person,,,,,,
אביה בן ירבעם,,biblical person,,,,,,
אביון דל,poor person,role of person,,,,,,
אביונה,type of desire,character trait,,"רש""י",,,,machloket. rashi says it's basically the same as desire
אבימלך ואברהם,relationship of Avimelech and Avraham,specific biblical person relationship,,,,,אברהם,
אבימלך ויצחק,relationship of Avimelech and Isaac,specific biblical person relationship,,,,,יצחק,
אבימלך ושרה,relationship of Avimelech and Sarah,specific biblical person relationship,,,,,שרה,
אבימלך בן ירובעל,,biblical person,,,,,,
אביר,head of bet din,occupation,,מדרש תנחומא,,,,machloket. accord to midrash tanchuma it's referring to an av bet din
אביר יעקב,strength of Yaakov,phrase,,,,,,descriptor of HaShem
אבישג,,biblical person,,,,,,
אבישי,,biblical person,,,,,,
אביתר,,biblical person,,,,,,
